阿鼻元珠,a'bi'yuan'zhu
阿怛含婆,a'da'han'po
阿尔卑斯,a'er'bei'si
阿鬟,a'huan
阿难剑,a'nan'jian
阿阇修利罗,a'she'xiu'li'luo
阿童,a'tong
阿屠钩,a'tu'gou
爱侣,ai'lv
矮叟,ai'sou
安乐岛,an'le'dao
庵主,an'zhu
八部天龙宝藏,ba'bu'tian'long'bao'zang
八反教,ba'fan'jiao
八姑,ba'gu
八卦玄门剑,ba'gua'xuan'men'jian
八魔,ba'mo
八手观音,ba'shou'guan'yin
百宝如意纯阳转心锁,bai'bao'ru'yi'chun'yang'zhuan'xin'suo
百草阳灵膏,bai'cao'yang'ling'gao
百毒金蚕蛊,bai'du'jin'can'gu
百毒烟岚连珠飞弩,bai'du'yan'lan'lian'zhu'fei'nu
白发龙女,bai'fa'long'nv
白骨禅师,bai'gu'chan'shi
白骨丧门箭,bai'gu'sang'men'jian
白骨神君,bai'gu'shen'jun
白骨神魔,bai'gu'shen'mo
白骨搜魂网,bai'gu'sou'hun'wang
白骨锁魂香,bai'gu'suo'hun'xiang
白骨锁心锤,bai'gu'suo'xin'chui
白谷逸,bai'gu'yi
白鬼脸,bai'gui'lian
白虹,bai'hong
白虹岛,bai'hong'dao
白虹钩,bai'hong'gou
百花岛,bai'hua'dao
百花仙,bai'hua'xian
白缙,bai'jin
白癞,bai'lai
百灵冲,bai'ling'chong
白菱礁,bai'ling'jiao
百灵斩仙剑,bai'ling'zhan'xian'jian
白龙庵,bai'long'an
白龙钩,bai'long'gou
白鹿洞,bai'lu'dong
白马坡,bai'ma'po
百蛮山,bai'man'shan
白眉,bai'mei
白眉禅师,bai'mei'chan'shi
白眉针,bai'mei'zhen
白明玉,bai'ming'yu
百魔道长,bai'mo'dao'chang
白琦,bai'qi
百禽道人,bai'qin'dao'ren
白雀洞,bai'que'dong
白首仙童,bai'shou'xian'tong
白水观,bai'shui'guan
白水真,bai'shui'zhen
白犀潭,bai'xi'tan
白侠,bai'xia
白阳山,bai'yang'shan
白幽女,bai'you'nv
百欲神魔,bai'yu'shen'mo
白云庵,bai'yun'an
白云大师,bai'yun'da'shi
白云大师元敬,bai'yun'da'shi'yuan'jing
白云诃,bai'yun'he
白竹涧,bai'zhu'jian
半边,ban'bian
半边老尼,ban'bian'lao'ni
半杨妃勾魂姹女,ban'yang'fei'gou'hun'cha'nv
宝城山,bao'cheng'shan
宝城仙主,bao'cheng'xian'zhu
报恩寺,bao'en'si
宝镜,bao'jing
宝相夫人,bao'xiang'fu'ren
北斗珠,bei'dou'zhu
北海,bei'hai
北极,bei'ji
北极海,bei'ji'hai
被困,bei'kun
北邙山,bei'mang'shan
北天山,bei'tian'shan
北岳,bei'yue
被逐,bei'zhu
本门,ben'men
毕半,bi'ban
碧火,bi'huo
碧筠庵,bi'jun'an
碧磷冲,bi'lin'chong
碧磷斧,bi'lin'fu
碧磷砂,bi'lin'sha
碧灵刀,bi'ling'dao
碧目天罗,bi'mu'tian'luo
碧雯仙子,bi'wen'xian'zi
碧蜈钩,bi'wu'gou
碧梧仙子,bi'wu'xian'zi
碧犀球,bi'xi'qiu
辟邪村,bi'xie'cun
碧斜钩,bi'xie'gou
辟邪古玉,bi'xie'gu'yu
辟邪神璧,bi'xie'shen'bi
辟邪仙裳,bi'xie'xian'shang
毕修,bi'xiu
碧血灭魂梭,bi'xue'mie'hun'suo
碧血神网,bi'xue'shen'wang
碧血神焰,bi'xue'shen'yan
碧血针,bi'xue'zhen
碧眼神佛,bi'yan'shen'fo
碧云盾,bi'yun'dun
碧云屏,bi'yun'ping
碧云绡,bi'yun'xiao
毕真真,bi'zhen'zhen
鼻祖,bi'zu
冰蚕,bing'can
兵解,bing'jie
丙灵梭,bing'ling'suo
冰魄神光剑,bing'po'shen'guang'jian
丙融,bing'rong
病维摩,bing'wei'mo
冰洋岛,bing'yang'dao
丙乙针,bing'yi'zhen
冰原灵山,bing'yuan'ling'shan
病钟离,bing'zhong'li
博克大坂,bo'ke'da'ban
波罗刀,bo'luo'dao
般若刀,bo're'dao
跛师,bo'shi
波旬婆,bo'xun'po
钵盂峰,bo'yu'feng
不坏金光护身法,bu'huai'jin'guang'hu'shen'fa
布鲁音加,bu'lu'yin'jia
卜天童,bu'tian'tong
步虚仙子,bu'xu'xian'zi
不夜城,bu'ye'cheng
不夜城主,bu'ye'cheng'zhu
彩霓练,cai'ni'lian
蔡三娘,cai'san'niang
采薇僧,cai'wei'seng
彩霞红云瘴,cai'xia'hong'yun'zhang
彩云瘴,cai'yun'zhang
残魂,can'hun
餐霞,can'xia
餐霞大师,can'xia'da'shi
餐霞大师诛杀,can'xia'da'shi'zhu'sha
沧浪羽士,cang'lang'yu'shi
藏灵子,cang'ling'zi
苍虚老人,cang'xu'lao'ren
仓真人,cang'zhen'ren
曹飞,cao'fei
曹枯竹,cao'ku'zhu
侧室,ce'shi
姹女旗,cha'nv'qi
查山五鬼,cha'shan'wu'gui
柴伯恭,chai'bo'gong
柴成,chai'cheng
柴达木河,chai'da'mu'he
禅经,chan'jing
禅师,chan'shi
长白山,chang'bai'shan
长臂金猱,chang'bi'jin'nao
长臂天魔,chang'bi'tian'mo
长春岩,chang'chun'yan
长狄洞,chang'di'dong
长风洞,chang'feng'dong
常鹤,chang'he
长眉真人,chang'mei'zhen'ren
长夜岛,chang'ye'dao
朝天观,chao'tian'guan
潮音小筑,chao'yin'xiao'zhu
彻地神针,che'di'shen'zhen
车青笠,che'qing'li
陈长泰,chen'chang'tai
陈太真,chen'tai'zhen
陈文玑,chen'wen'ji
陈圩,chen'xu
陈岩,chen'yan
成道,cheng'dao
程连,cheng'lian
承露峰,cheng'lu'feng
程明诚,cheng'ming'cheng
赤城仙障,chi'cheng'xian'zhang
赤城子,chi'cheng'zi
赤发峒主,chi'fa'dong'zhu
翅尖,chi'jian
叱利老佛,chi'li'lao'fo
赤隆儿爪,chi'long'er'zhao
池鲁,chi'lu
赤身洞,chi'shen'dong
赤身教,chi'shen'jiao
赤身教主,chi'shen'jiao'zhu
赤身寨,chi'shen'zhai
赤尸七煞神光,chi'shi'qi'sha'shen'guang
赤尸神君,chi'shi'shen'jun
赤手天尊,chi'shou'tian'zun
赤苏剑,chi'su'jian
赤霞神君,chi'xia'shen'jun
赤霞玄阴障,chi'xia'xuan'yin'zhang
赤焰道人,chi'yan'dao'ren
赤阴飞叉,chi'yin'fei'cha
赤阴球,chi'yin'qiu
蚩尤,chi'you
蚩尤九宫鉴,chi'you'jiu'gong'jian
蚩尤墓,chi'you'mu
赤玉杖,chi'yu'zhang
赤杖仙姥,chi'zhang'xian'lao
赤杖仙童,chi'zhang'xian'tong
赤杖真人,chi'zhang'zhen'ren
崇明岛,chong'ming'dao
崇韶,chong'shao
仇慧珠,chou'hui'zhu
丑魔王,chou'mo'wang
仇魄,chou'po
仇生明,chou'sheng'ming
愁鹰涧,chou'ying'jian
初凤,chu'feng
褚玲,chu'ling
楚鸣球,chu'ming'qiu
褚南川,chu'nan'chuan
储晴,chu'qing
楚青琴,chu'qing'qin
除邪九烟丸,chu'xie'jiu'yan'wan
穿心和尚,chuan'xin'he'shang
慈云寺,ci'yun'si
催光穿云法,cui'guang'chuan'yun'fa
崔海客,cui'hai'ke
崔黑女,cui'hei'nv
崔晋,cui'jin
翠练,cui'lian
翠螺洲,cui'luo'zhou
崔绮,cui'qi
崔树,cui'shu
崔天绶,cui'tian'shou
崔文和,cui'wen'he
崔芜,cui'wu
崔五姑,cui'wu'gu
崔瑶仙,cui'yao'xian
崔盈,cui'ying
大呆山人,da'dai'shan'ren
大方真人,da'fang'zhen'ren
大鼓浪山,da'gu'lang'shan
大荒,da'huang
大荒山,da'huang'shan
大咎山,da'jiu'shan
大雷音烈火神幡,da'lei'yin'lie'huo'shen'fan
大力法王,da'li'fa'wang
大力金刚,da'li'jin'gang
大力仙童,da'li'xian'tong
大麻山,da'ma'shan
大魅山,da'mei'shan
大魔,da'mo
大徒弟,da'tu'di
大熊岭,da'xiong'ling
大雄神僧,da'xiong'shen'seng
大须弥障,da'xu'mi'zhang
大雪山,da'xue'shan
大衍天机,da'yan'tian'ji
大有圈,da'you'quan
大智禅师,da'zhi'chan'shi
大竹子山,da'zhu'zi'shan
打坐,da'zuo
戴衡玉,dai'heng'yu
戴家场,dai'jia'chang
戴湘英,dai'xiang'ying
丹书,dan'shu
丹云嶂,dan'yun'zhang
道书,dao'shu
道童,dao'tong
得道,de'dao
邓八姑,deng'ba'gu
邓明,deng'ming
登萍仙子,deng'ping'xian'zi
邓清风,deng'qing'feng
邓隐,deng'yin
地残,di'can
涤尘老尼,di'chen'lao'ni
地遁,di'dun
地灵,di'ling
狄鸣岐,di'ming'qi
地缺,di'que
地阙金章,di'que'jin'zhang
地仙,di'xian
地行,di'xing
狄银儿,di'yin'er
弟子,di'zi
滇池,dian'chi
颠倒八门锁仙旗,dian'dao'ba'men'suo'xian'qi
颠倒八门镇仙旗,dian'dao'ba'men'zhen'xian'qi
颠倒迷仙五云网,dian'dao'mi'xian'wu'yun'wang
癫道人,dian'dao'ren
颠颠,dian'dian
癫和尚,dian'he'shang
癫和尚韦秃,dian'he'shang'wei'tu
丁嫦,ding'chang
丁甲幢,ding'jia'zhuang
丁汝林,ding'ru'lin
东方皓,dong'fang'hao
东海,dong'hai
东海三仙,dong'hai'san'xian
东海神山,dong'hai'shen'shan
东海双凶,dong'hai'shuang'xiong
东极,dong'ji
洞灵筝,dong'ling'zheng
董人瑜,dong'ren'yu
东神岛,dong'shen'dao
东天,dong'tian
董天孙,dong'tian'sun
东阳,dong'yang
峒主,dong'zhu
斗剑,dou'jian
兜率宝伞,dou'lv'bao'san
兜率火,dou'lv'huo
都天烈火神旗,dou'tian'lie'huo'shen'qi
都天神雷烈火旗门,dou'tian'shen'lei'lie'huo'qi'men
兜元仙,dou'yuan'xian
兜元仙史,dou'yuan'xian'shi
独臂韦护,du'bi'wei'hu
度厄,du'e
度厄仙衣,du'e'xian'yi
杜芳蘅,du'fang'heng
度化,du'hua
独角金刚,du'jiao'jin'gang
独角灵官,du'jiao'ling'guan
独角蟒,du'jiao'mang
度劫,du'jie
毒龙,du'long
毒龙香,du'long'xiang
毒龙尊者,du'long'zun'zhe
毒手,du'shou
毒手摩什,du'shou'mo'shen
独指,du'zhi
独指禅师,du'zhi'chan'shi
断金玦,duan'jin'jue
断玉钩,duan'yu'gou
遁法,dun'fa
遁形符,dun'xing'fu
夺宝,duo'bao
多宝真人,duo'bao'zhen'ren
多臂金刚,duo'bi'jin'gang
多臂熊,duo'bi'xiong
多目金刚,duo'mu'jin'gang
恶鬼师,e'gui'shi
恶鬼子,e'gui'zi
饿老鸦,e'lao'ya
峨眉,e'mei
峨眉斗剑,e'mei'dou'jian
恶弥勒,e'mi'le
二恶,er'e
二凤,er'feng
二行珠,er'hang'zhu
二魔,er'mo
