暗堡,an'bao
岸边码头,an'bian'ma'tou
岸边器材,an'bian'qi'cai
岸边舟,an'bian'zhou
安全电流,an'quan'dian'liu
安全距离,an'quan'ju'li
岸滩障碍物,an'tan'zhang'ai'wu
暗挖式工事,an'wa'shi'gong'shi
拔桩机,ba'zhuang'ji
绊发,ban'fa
绊线轴,ban'xian'zhou
班用冲锋舟,ban'yong'chong'feng'zhou
绊桩,ban'zhuang
爆破,bao'po
爆破器材,bao'po'qi'cai
爆破筒,bao'po'tong
爆破作业,bao'po'zuo'ye
爆速,bao'su
爆炸,bao'zha
爆炸带,bao'zha'dai
爆炸性障碍物,bao'zha'xing'zhang'ai'wu
保障机械,bao'zhang'ji'xie
被覆,bei'fu
被具,bei'ju
避弹所,bi'tan'suo
变形遮障,bian'xing'zhe'zhang
标示绳,biao'shi'sheng
标示通路,biao'shi'tong'lu
冰上渡场,bing'shang'du'chang
冰上渡河,bing'shang'du'he
冰雪障碍物,bing'xue'zhang'ai'wu
并舟具,bing'zhou'ju
布雷,bu'lei
布雷车,bu'lei'che
布雷密度,bu'lei'mi'du
布雷器,bu'lei'qi
漕渡,cao'du
漕渡门桥,cao'du'men'qiao
操舟机,cao'zhou'ji
操纵地雷,cao'zong'di'lei
车行部,che'hang'bu
车行部宽度,che'hang'bu'kuan'du
车轮式荷载,che'lun'shi'he'zai
车辙,che'zhe
车辙道,che'zhe'dao
车辙桥,che'zhe'qiao
沉底水雷,chen'di'shui'lei
冲锋舟,chong'feng'zhou
储雷架,chu'lei'jia
传爆药,chuan'bao'yao
串联准爆电流,chuan'lian'zhun'bao'dian'liu
垂直遮障,chui'zhi'zhe'zhang
刺钉,ci'ding
磁性定时水雷,ci'xing'ding'shi'shui'lei
磁性雷,ci'xing'lei
大爆破,da'bao'po
打桩门桥,da'zhuang'men'qiao
待渡地区,dai'du'di'qu
带式舟桥,dai'shi'zhou'qiao
单个起爆电流,dan'ge'qi'bao'dian'liu
氮化铅,dan'hua'qian
弹坑桥,dan'keng'qiao
单列地雷,dan'lie'di'lei
单人掩体,dan'ren'yan'ti
单人掩体爆破器,dan'ren'yan'ti'bao'po'qi
导爆索,dao'bao'suo
导火索,dao'huo'suo
道路保障,dao'lu'bao'zhang
道路标志,dao'lu'biao'zhi
道路警备调整勤务,dao'lu'jing'bei'tiao'zheng'qin'wu
道路平曲线半径,dao'lu'ping'qu'xian'ban'jing
道路网,dao'lu'wang
道路维护,dao'lu'wei'hu
