艾子村,ai'zi'cun
安家庄村,an'jia'zhuang'cun
安乐庄村,an'le'zhuang'cun
安上村,an'shang'cun
安头村,an'tou'cun
敖坡村,ao'po'cun
八十堡村,ba'shi'bao'cun
柏草坡村,bai'cao'po'cun
白石村,bai'shi'cun
坂峪村,ban'yu'cun
堡城寺村,bao'cheng'si'cun
北堡村,bei'bao'cun
北川头村,bei'chuan'tou'cun
北关村,bei'guan'cun
北关园村,bei'guan'yuan'cun
北广城村,bei'guang'cheng'cun
北花枝村,bei'hua'zhi'cun
北廓村,bei'kuo'cun
北灵浮村,bei'ling'fu'cun
北马庄村,bei'ma'zhuang'cun
北门村,bei'men'cun
北偏城村,bei'pian'cheng'cun
北上达村,bei'shang'da'cun
北舍村,bei'she'cun
北石村,bei'shi'cun
北西庄村,bei'xi'zhuang'cun
北小堡村,bei'xiao'bao'cun
北辛庄村,bei'xin'zhuang'cun
北榆苑村,bei'yu'yuan'cun
北垣底村,bei'yuan'di'cun
北赵郡村,bei'zhao'jun'cun
北庄村,bei'zhuang'cun
曹家庄村,cao'jia'zhuang'cun
曹兴庄村,cao'xing'zhuang'cun
昌宁宫村,chang'ning'gong'cun
城子村,cheng'zi'cun
褚家沟村,chu'jia'gou'cun
磁盆沟村,ci'pen'gou'cun
大会头村,da'hui'tou'cun
大相村,da'xiang'cun
大向善村,da'xiang'shan'cun
邓家坪村,deng'jia'ping'cun
东堡村,dong'bao'cun
东堡障村,dong'bao'zhang'cun
东北村,dong'bei'cun
东陈家庄村,dong'chen'jia'zhuang'cun
东村,dong'cun
东大王村,dong'da'wang'cun
东关村,dong'guan'cun
东官村,dong'guan'cun
董和村,dong'he'cun
东河头村,dong'he'tou'cun
东贾壁村,dong'jia'bi'cun
董家庄村,dong'jia'zhuang'cun
东九枝社村,dong'jiu'zhi'she'cun
东雷家堡村,dong'lei'jia'bao'cun
东龙观村,dong'long'guan'cun
东路家庄村,dong'lu'jia'zhuang'cun
东马寨村,dong'ma'zhai'cun
东南村,dong'nan'cun
东社村,dong'she'cun
东石村,dong'shi'cun
董寺村,dong'si'cun
东宋家庄村,dong'song'jia'zhuang'cun
东武堡村,dong'wu'bao'cun
东阳城村,dong'yang'cheng'cun
东遥庄村,dong'yao'zhuang'cun
东赵村,dong'zhao'cun
杜村村,du'cun'cun
段家庄村,duan'jia'zhuang'cun
冯郝沟村,feng'hao'gou'cun
冯家山底村,feng'jia'shan'di'cun
冯家庄村,feng'jia'zhuang'cun
峰南村,feng'nan'cun
富家庄村,fu'jia'zhuang'cun
干河村,gan'he'cun
高丰村,gao'feng'cun
高家庄村,gao'jia'zhuang'cun
圪垛村,ge'duo'cun
巩村,gong'cun
古池村,gu'chi'cun
谷丰村,gu'feng'cun
古浮图村,gu'fu'tu'cun
古贤村,gu'xian'cun
古贤庄村,gu'xian'zhuang'cun
谷雨堰村,gu'yu'yan'cun
古庄村,gu'zhuang'cun
官道村,guan'dao'cun
崞村,guo'cun
郭家庄村,guo'jia'zhuang'cun
韩家桥村,han'jia'qiao'cun
韩家垣村,han'jia'yuan'cun
郝家庄村,hao'jia'zhuang'cun
河北村,he'bei'cun
河堤村,he'di'cun
何家庄村,he'jia'zhuang'cun
洪南社村,hong'nan'she'cun
宏寺村,hong'si'cun
后沟村,hou'gou'cun
后贺庄村,hou'he'zhuang'cun
侯家堰村,hou'jia'yan'cun
后杨家寨村,hou'yang'jia'zhai'cun
后庄化村,hou'zhuang'hua'cun
胡家社村,hu'jia'she'cun
黄嶂村,huang'zhang'cun
冀村,ji'cun
贾家庄村,jia'jia'zhuang'cun
建昌村,jian'chang'cun
见喜村,jian'xi'cun
交口村,jiao'kou'cun
节义村,jie'yi'cun
靳家庄村,jin'jia'zhuang'cun
金井村,jin'jing'cun
靳屯村,jin'tun'cun
金庄村,jin'zhuang'cun
开垣庄村,kai'yuan'zhuang'cun
康宁堡村,kang'ning'bao'cun
李家沟村,li'jia'gou'cun
李家街村,li'jia'jie'cun
李家庄村,li'jia'zhuang'cun
栗家庄村,li'jia'zhuang'cun
梁家沟村,liang'jia'gou'cun
刘村,liu'cun
刘家庄村,liu'jia'zhuang'cun
龙泉村,long'quan'cun
龙湾村,long'wan'cun
芦家垣村,lu'jia'yuan'cun
芦家庄村,lu'jia'zhuang'cun
芦王庄村,lu'wang'zhuang'cun
罗城村,luo'cheng'cun
马家社村,ma'jia'she'cun
米家庄村,mi'jia'zhuang'cun
牧庄村,mu'zhuang'cun
南关村,nan'guan'cun
南广城村,nan'guang'cheng'cun
南花枝村,nan'hua'zhi'cun
南开社村,nan'kai'she'cun
南灵浮村,nan'ling'fu'cun
南马庄村,nan'ma'zhuang'cun
南偏城村,nan'pian'cheng'cun
南浦村,nan'pu'cun
南上达村,nan'shang'da'cun
南石村,nan'shi'cun
南堰村,nan'yan'cun
南垣村,nan'yuan'cun
南垣底村,nan'yuan'di'cun
南垣活村,nan'yuan'huo'cun
南垣寨村,nan'yuan'zhai'cun
南赵郡村,nan'zhao'jun'cun
南庄村,nan'zhuang'cun
聂生村,nie'sheng'cun
牛庄村,niu'zhuang'cun
裴家庄村,pei'jia'zhuang'cun
平陆村,ping'lu'cun
坡头村,po'tou'cun
普堤庄村,pu'di'zhuang'cun
普会村,pu'hui'cun
前贺庄村,qian'he'zhuang'cun
前杨家寨村,qian'yang'jia'zhai'cun
前庄村,qian'zhuang'cun
前庄化村,qian'zhuang'hua'cun
乔家山村,qiao'jia'shan'cun
乔家庄村,qiao'jia'zhuang'cun
青堆村,qing'dui'cun
仁道村,ren'dao'cun
任家堡村,ren'jia'bao'cun
任家庄村,ren'jia'zhuang'cun
仁岩村,ren'yan'cun
仁义庄村,ren'yi'zhuang'cun
三泉村,san'quan'cun
桑沟村,sang'gou'cun
桑枣坡村,sang'zao'po'cun
色头村,se'tou'cun
上堡村,shang'bao'cun
上池家庄村,shang'chi'jia'zhuang'cun
上林舍村,shang'lin'she'cun
上庙村,shang'miao'cun
尚文村,shang'wen'cun
上张家庄村,shang'zhang'jia'zhuang'cun
上庄村,shang'zhuang'cun
舍科村,she'ke'cun
申家堡村,shen'jia'bao'cun
史家堡村,shi'jia'bao'cun
师家庄村,shi'jia'zhuang'cun
石家庄村,shi'jia'zhuang'cun
石老村,shi'lao'cun
石塔村,shi'ta'cun
石庄村,shi'zhuang'cun
菽禾村,shu'he'cun
水泉村,shui'quan'cun
宋家庄村,song'jia'zhuang'cun
肃静村,su'jing'cun
孙家庄村,sun'jia'zhuang'cun
太平村,tai'ping'cun
唐家堡村,tang'jia'bao'cun
唐兴庄村,tang'xing'zhuang'cun
田褚村,tian'chu'cun
田村,tian'cun
田屯村,tian'tun'cun
团城村,tuan'cheng'cun
万户侯村,wan'hu'hou'cun
望春村,wang'chun'cun
王家池村,wang'jia'chi'cun
王盛庄村,wang'sheng'zhuang'cun
文侯村,wen'hou'cun
武家垣村,wu'jia'yuan'cun
吴南社村,wu'nan'she'cun
西堡村,xi'bao'cun
西堡障村,xi'bao'zhang'cun
西陈家庄村,xi'chen'jia'zhuang'cun
西大王村,xi'da'wang'cun
西关村,xi'guan'cun
西官村,xi'guan'cun
西河堡村,xi'he'bao'cun
西贾壁村,xi'jia'bi'cun
西九枝社村,xi'jiu'zhi'she'cun
西雷家堡村,xi'lei'jia'bao'cun
西龙观村,xi'long'guan'cun
西路家庄村,xi'lu'jia'zhuang'cun
西马寨村,xi'ma'zhai'cun
西门村,xi'men'cun
西武堡村,xi'wu'bao'cun
西阳城村,xi'yang'cheng'cun
西赵村,xi'zhao'cun
西庄村,xi'zhuang'cun
下堡村,xia'bao'cun
下池家庄村,xia'chi'jia'zhuang'cun
下家庄村,xia'jia'zhuang'cun
下张家庄村,xia'zhang'jia'zhuang'cun
下庄村,xia'zhuang'cun
向阳村,xiang'yang'cun
相子垣村,xiang'zi'yuan'cun
孝臣村,xiao'chen'cun
小虢城村,xiao'guo'cheng'cun
肖家庄村,xiao'jia'zhuang'cun
小罗城村,xiao'luo'cheng'cun
小相村,xiao'xiang'cun
小向善村,xiao'xiang'shan'cun
小相寨村,xiao'xiang'zhai'cun
协和堡村,xie'he'bao'cun
新丰村,xin'feng'cun
辛盖村,xin'gai'cun
