阿加莎,a'jia'sha
阿来,a'lai
阿西莫夫,a'xi'mo'fu
艾齐纳哈,ai'qi'na'ha
奥贝斯坦,ao'bei'si'tan
奥林巴斯,ao'lin'ba'si
八酒杯,ba'jiu'bei
八神,ba'shen
八神庵,ba'shen'an
百合折,bai'he'zhe
白金之星,bai'jin'zhi'xing
百年孤独,bai'nian'gu'du
白平衡,bai'ping'heng
白石桥,bai'shi'qiao
白银时代,bai'yin'shi'dai
坂崎,ban'qi
坂崎良,ban'qi'liang
坂崎由莉,ban'qi'you'li
坂崎琢磨,ban'qi'zuo'mo
北方交大,bei'fang'jiao'da
北条司,bei'tiao'si
毕典菲尔德,bi'dian'fei'er'de
变化系,bian'hua'xi
变形记,bian'xing'ji
波布兰,bo'bu'lan
波鲁纳尼夫,bo'lu'na'ni'fu
波纳尼夫,bo'na'ni'fu
波纹,bo'wen
蔡宝健,cai'bao'jian
菜市口,cai'shi'kou
蔡司,cai'si
草薙,cao'ti
草薙柴舟,cao'ti'chai'zhou
草薙京,cao'ti'jing
操纵系,cao'zong'xi
车公庄,che'gong'zhuang
陈可汗,chen'ke'han
城市猎人,cheng'shi'lie'ren
承太郎,cheng'tai'lang
赤木律子,chi'mu'lv'zi
崇文门,chong'wen'men
初号机,chu'hao'ji
创通,chuang'tong
吹飞,chui'fei
村上春树,cun'shang'chun'shu
大暴走,da'bao'zou
大发电者,da'fa'dian'zhe
大回转,da'hui'zhuan
大门五郎,da'men'wu'lang
大蛇,da'she
大蛇雉,da'she'zhi
大唐双龙传,da'tang'shuang'long'zhuan
大压杀,da'ya'sha
大栅栏,da'zha'lan
大钟寺,da'zhong'si
逮捕令,dai'bu'ling
当身,dang'shen
倒易律,dao'yi'lv
德胜门,de'sheng'men
迪奥,di'ao
第二次冲击,di'er'ci'chong'ji
地雷震,di'lei'zhen
第三新东京市,di'san'xin'dong'jing'shi
碇元渡,ding'yuan'du
碇真治,ding'zhen'zhi
东单,dong'dan
东方仗助,dong'fang'zhang'zhu
东四,dong'si
东四十条,dong'si'shi'tiao
东丈,dong'zhang
东直门,dong'zhi'men
杜拉丝,du'la'si
对空,dui'kong
二段跳,er'duan'tiao
二号机,er'hao'ji
二阶堂,er'jie'tang
二阶堂红丸,er'jie'tang'hong'wan
法皇之绿,fa'huang'zhi'lv
放出系,fang'chu'xi
防反,fang'fan
防御不能,fang'yu'bu'neng
非常家庭,fei'chang'jia'ting
飞行道具,fei'xing'dao'ju
飞影,fei'ying
凤凰脚,feng'huang'jiao
疯狂钻石,feng'kuang'zuan'shi
富坚义博,fu'jian'yi'bo
富江,fu'jiang
复兴门,fu'xing'men
葛城美里,ge'cheng'mei'li
公主坟,gong'zhu'fen
古武术,gu'wu'shu
哈代,ha'dai
哈迪伦,ha'di'lun
海怪,hai'guai
寒羽,han'yu
寒羽良,han'yu'liang
和平里,he'ping'li
和平门,he'ping'men
黑色枪骑兵,hei'se'qiang'qi'bing
红丸投,hong'wan'tou
后海,hou'hai
呼啸山庄,hu'xiao'shan'zhuang
户愚吕,hu'yu'lv
花京院,hua'jing'yuan
花京院典明,hua'jing'yuan'dian'ming
晃晃悠悠,huang'huang'you'you
黄易,huang'yi
黄庄,huang'zhuang
吉尔菲艾斯,ji'er'fei'ai'si
疾风之狼,ji'feng'zhi'lang
吉良吉影,ji'liang'ji'ying
积水潭,ji'shui'tan
极限流,ji'xian'liu
极限流空手,ji'xian'liu'kong'shou
击坠王,ji'zhui'wang
加持良治,jia'chi'liang'zhi
剑持,jian'chi
剑持勇,jian'chi'yong
金家藩,jin'jia'fan
金田一,jin'tian'yi
金田一耕助,jin'tian'yi'geng'zhu
金田一少年事件簿,jin'tian'yi'shao'nian'shi'jian'bu
金田一一,jin'tian'yi'yi
金五星,jin'wu'xing
金眼妖瞳,jin'yan'yao'tong
具象化系,ju'xiang'hua'xi
卡尔维诺,ka'er'wei'nuo
卡夫卡,ka'fu'ka
卡介伦,ka'jie'lun
卡西欧,ka'xi'ou
科幻世界,ke'huan'shi'jie
克莉斯,ke'li'si
克里斯蒂,ke'li'si'di
空条,kong'tiao
空条承太郎,kong'tiao'cheng'tai'lang
空条徐伦,kong'tiao'xu'lun
赖明珠,lai'ming'zhu
莱因哈特,lai'yin'ha'te
雷光拳,lei'guang'quan
连击,lian'ji
林少华,lin'shao'hua
凌波丽,ling'bo'li
铃木光司,ling'mu'guang'si
刘慈欣,liu'ci'xin
柳文杨,liu'wen'yang
柳叶雅彦,liu'ye'ya'yan
龙二,long'er
龙虎乱舞,long'hu'luan'wu
隆基努斯之枪,long'ji'nu'si'zhi'qiang
龙枪,long'qiang
龙枪编年史,long'qiang'bian'nian'shi
龙与地下城,long'yu'di'xia'cheng
乱舞,luan'wu
罗严拉克姆,luo'yan'la'ke'mu
罗严塔尔,luo'yan'ta'er
绿杨,lv'yang
马尔克斯,ma'er'ke'si
马克西马,ma'ke'xi'ma
麦卓,mai'zhuo
美格,mei'ge
梅克林格,mei'ke'lin'ge
美幸,mei'xing
美雪,mei'xue
米达麦亚,mi'da'mai'ya
米恩杰,mi'en'jie
米克,mi'ke
明日香,ming'ri'xiang
明智健吾,ming'zhi'jian'wu
缪拉,miu'la
魔幻,mo'huan
魔术师之红,mo'shu'shi'zhi'hong
牧村,mu'cun
牧村香,mu'cun'xiang
倪匡,ni'kuang
挪威的森林,nuo'wei'de'sen'lin
偏振镜,pian'zhen'jing
苹果园,ping'guo'yuan
破防,po'fang
浦饭,pu'fan
浦饭幽助,pu'fan'you'zhu
七伽社,qi'ga'she
七濑美雪,qi'lai'mei'xue
七夜怪谈,qi'ye'guai'tan
迁岛,qian'dao
迁岛夏实,qian'dao'xia'shi
强化系,qiang'hua'xi
蔷薇骑士,qiang'wei'qi'shi
乔乔,qiao'qiao
青铜时代,qing'tong'shi'dai
全聚德,quan'ju'de
热靴,re'xue
人类补完计划,ren'lei'bu'wan'ji'hua
若苗空,ruo'miao'kong
若苗紫,ruo'miao'zi
若苗紫苑,ruo'miao'zi'yuan
三里屯,san'li'tun
三贤人,san'xian'ren
桑原,sang'yuan
山崎,shan'qi
山崎龙二,shan'qi'long'er
上段,shang'duan
升龙,sheng'long
矢吹真吾,shi'chui'zhen'wu
时间机器,shi'jian'ji'qi
石康,shi'kang
受身,shou'shen
双城记,shuang'cheng'ji
水见式,shui'jian'shi
四道口,si'dao'kou
斯蒂芬,si'di'fen
四惠,si'hui
四惠东,si'hui'dong
泰瑞,tai'rui
特丽珑,te'li'long
特殊系,te'shu'xi
藤堂龙白,teng'tang'long'bai
藤堂香澄,teng'tang'xiang'cheng
替身使者,ti'shen'shi'zhe
同级生,tong'ji'sheng
王晋康,wang'jin'kang
王小波,wang'xiao'bo
威尔斯,wei'er'si
薇丝,wei'si
微星,wei'xing
我流,wo'liu
五道口,wu'dao'kou
无式,wu'shi
无限连,wu'xian'lian
西单,xi'dan
希区柯克,xi'qu'ke'ke
西四,xi'si
西外大街,xi'wai'da'jie
西直门,xi'zhi'men
下段,xia'duan
夏尔米,xia'er'mi
夏实,xia'shi
先寇布,xian'kou'bu
仙水,xian'shui
香澄,xiang'cheng
小杰,xiao'jie
小王子,xiao'wang'zi
小影霸,xiao'ying'ba
小早川,xiao'zao'chuan
小早川美幸,xiao'zao'chuan'mei'xing
谢皮利,xie'pi'li
新街口,xin'jie'kou
徐伦,xu'lun
玄幻,xuan'huan
迅驰,xun'chi
寻羊冒险记,xun'yang'mao'xian'ji
亚典波罗,ya'dian'bo'luo
鸭都劳,ya'du'lao
雅彦,ya'yan
杨舰队,yang'jian'dui
杨威利,yang'wei'li
野上,ye'shang
野上寒子,ye'shang'han'zi
野上丽香,ye'shang'li'xiang
野上唯香,ye'shang'wei'xiang
伊藤润二,yi'teng'run'er
银河帝国,yin'he'di'guo
银河英雄传说,yin'he'ying'xiong'chuan'shuo
银英,yin'ying
银战车,yin'zhan'che
尤里安,you'li'an
幽游白书,you'you'bai'shu
幽助,you'zhu
原振侠,yuan'zhen'xia
藏马,zang'ma
皂君庙,zao'jun'miao
仗助,zhang'zhu
真吾,zhen'wu
镇元斋,zhen'yuan'zhai
指令投,zhi'ling'tou
中海,zhong'hai
中央财经大学,zhong'yang'cai'jing'da'xue
中友,zhong'you
椎拳崇,zhui'quan'chong
自由行星同盟,zi'you'xing'xing'tong'meng
自由之石,zi'you'zhi'shi
紫苑,zi'yuan
祖班纳,zu'ban'na
祖罗,zu'luo
祖罗夫,zu'luo'fu
祖纳桑,zu'na'sang
祖斯达,zu'si'da
钻石珑,zuan'shi'long
