阿纲,a'gang
阿满网吧,a'man'wang'ba
阿婆潭,a'po'tan
巴了锅,ba'le'guo
宝峰,bao'feng
宝峰寺,bao'feng'si
包秀,bao'xiu
北门胡家,bei'men'hu'jia
被子,bei'zi
笨人,ben'ren
博士,bo'shi
操场,cao'chang
差不行,cha'bu'xing
铲刀,chan'dao
吵架,chao'jia
吹牛,chui'niu
蠢古,chun'gu
打洞,da'dong
大河,da'he
大屁股,da'pi'gu
搭头,da'tou
打眼,da'yan
蹬地,deng'di
丢人,diu'ren
东方街,dong'fang'jie
东门坡,dong'men'po
发溜,fa'liu
发那,fa'na
仿古街,fang'gu'jie
干洲,gan'zhou
高湖,gao'hu
高尖,gao'jian
搞子里,gao'zi'li
给脚早里,gei'jiao'zao'li
蛤蟆,ha'ma
寒噶,han'ga
寒进里,han'jin'li
河渡里,he'du'li
和尚,he'shang
和尚崽子,he'shang'zai'zi
红薯,hong'shu
黄瓜,huang'gua
辉哥,hui'ge
活命活的精,huo'ming'huo'de'jing
鸡爪,ji'zhua
剪刀,jian'dao
江西省靖安县双溪镇,jiang'xi'sheng'jing'an'xian'shuang'xi'zhen
靖安二中,jing'an'er'zhong
靖安三中,jing'an'san'zhong
靖安一中,jing'an'yi'zhong
看别人在吃想别人给他吃,kan'bie'ren'zai'chi'xiang'bie'ren'gei'ta'chi
看别人在玩想别人给他玩,kan'bie'ren'zai'wan'xiang'bie'ren'gei'ta'wan
克毛,ke'mao
裤头子改背心,ku'tou'zi'gai'bei'xin
困告,kun'gao
困晒个,kun'shai'ge
赖死,lai'si
乐瓜里,le'gua'li
了色,le'se
雷公尖,lei'gong'jian
类洗,lei'xi
厉害,li'hai
良骨力,liang'gu'li
乱说话,luan'shuo'hua
麻花,ma'hua
马家洲,ma'jia'zhou
米包的,mi'bao'de
木匠,mu'jiang
南门口,nan'men'kou
泥啊里,ni'a'li
泥水匠,ni'shui'jiang
尼头,ni'tou
农机厂,nong'ji'chang
批婆,pi'po
骗人,pian'ren
恰噶,qia'ga
恰靠,qia'kao
切的佛,qie'de'fo
切灭,qie'mie
情况不妙,qing'kuang'bu'miao
情况很糟糕,qing'kuang'hen'zao'gao
蚯蚓,qiu'yin
去玩,qu'wan
人力三轮车,ren'li'san'lun'che
仁首,ren'shou
仁首大桥,ren'shou'da'qiao
仁首中学,ren'shou'zhong'xue
三爪仑,san'zhao'lun
森林公园,sen'lin'gong'yuan
石井,shi'jing
石马,shi'ma
石马中路,shi'ma'zhong'lu
事情严重,shi'qing'yan'zhong
失误,shi'wu
受吃,shou'chi
受到靠,shou'dao'kao
受死,shou'si
薯梗,shu'geng
耍赖,shua'lai
睡觉,shui'jiao
水口,shui'kou
说废话,shuo'fei'hua
说话,shuo'hua
硕拉稀,shuo'la'xi
说抛,shuo'pao
所古,suo'gu
所广里,suo'guang'li
踏八,ta'ba
太阳,tai'yang
滩尸,tan'shi
桃源,tao'yuan
特古老,te'gu'lao
脱的卵,tuo'de'luan
驼里,tuo'li
哇事,wa'shi
完蛋了,wan'dan'le
网城网吧,wang'cheng'wang'ba
尾巴,wei'ba
威风,wei'feng
窝尚,wo'shang
窝唐里,wo'tang'li
五丰网吧,wu'feng'wang'ba
无各虫里,wu'ge'chong'li
蜈蚣,wu'gong
西门舒家,xi'men'shu'jia
习气,xi'qi
线粉,xian'fen
献世,xian'shi
香田,xiang'tian
秀人,xiu'ren
沿河路,yan'he'lu
淹死的,yan'si'de
一包药,yi'bao'yao
勇哥,yong'ge
玉米,yu'mi
载喔,zai'wo
这人有点废,zhe'ren'you'dian'fei
知了,zhi'liao
种田,zhong'tian
状况不乐观,zhuang'kuang'bu'le'guan
