爱你爱你,ai'ni'ai'ni
爱情接力,ai'qing'jie'li
爱已离去,ai'yi'li'qu
安吉拉,an'ji'la
白真宇,bai'zhen'yu
宝石美男,bao'shi'mei'nan
别再见面了,bie'zai'jian'mian'le
不良家族,bu'liang'jia'zu
才干小子,cai'gan'xiao'zi
彩虹罗曼史,cai'hong'luo'man'shi
曹奎贤,cao'kui'xian
炒饭王子,chao'fan'wang'zi
纯情漫画,chun'qing'man'hua
春天华尔兹,chun'tian'hua'er'zi
春子家有喜事,chun'zi'jia'you'xi'shi
崔票子,cui'piao'zi
崔始源,cui'shi'yuan
大云哥,da'yun'ge
单身爸爸恋爱中,dan'shen'ba'ba'lian'ai'zhong
到了明天,dao'le'ming'tian
东海,dong'hai
东新,dong'xin
恩赫,en'he
二巡,er'xun
范范,fan'fan
番茄,fan'qie
父母见上书,fu'mu'jian'shang'shu
腐笑,fu'xiao
告白动情,gao'bai'dong'qing
庚宝,geng'bao
庚澈,geng'che
公主,gong'zhu
怪物,guai'wu
圭贤,gui'xian
海宝,hai'bao
海妖,hai'yao
韩庚,han'geng
韩希范,han'xi'fan
韩语,han'yu
赫海,he'hai
赫妖,he'yao
黑龙江省牡丹江,hei'long'jiang'sheng'mu'dan'jiang
恨你,hen'ni
横城郡,heng'cheng'jun
弘恩洞,hong'en'dong
洪吉童,hong'ji'tong
花瓣,hua'ban
花美男,hua'mei'nan
花美男连环恐怖事件,hua'mei'nan'lian'huan'kong'bu'shi'jian
坏女人,huai'nv'ren
换句话说,huan'ju'hua'shuo
黄金新娘,huang'jin'xin'niang
火星公主,huo'xing'gong'zhu
基范,ji'fan
江峰万,jiang'feng'wan
江原道,jiang'yuan'dao
姐妹海,jie'mei'hai
金基范,jin'ji'fan
金丽旭,jin'li'xu
金起范,jin'qi'fan
金起伏,jin'qi'fu
金希澈,jin'xi'che
金香槟,jin'xiang'bin
金勋燮,jin'xun'xie
金英秀,jin'ying'xiu
金英云,jin'ying'yun
金永云,jin'yong'yun
金钟云,jin'zhong'yun
京畿道,jing'ji'dao
镜子,jing'zi
康淑,kang'shu
渴望,ke'wang
孔敏,kong'min
狂花绝壁惜澈今生,kuang'hua'jue'bi'xi'che'jin'sheng
来过倒,lai'guo'dao
离别你能轻易做到吗,li'bie'ni'neng'qing'yi'zuo'dao'ma
李澈,li'che
李东海,li'dong'hai
李恩赫,li'en'he
李狗子,li'gou'zi
李赫在,li'he'zai
李猴子,li'hou'zi
李晟敏,li'sheng'min
利特,li'te
丽旭,li'xu
厉旭,li'xu
两个人,liang'ge'ren
梁适,liang'shi
料理王,liao'li'wang
灵骨塔少年,ling'gu'ta'shao'nian
美人啊,mei'ren'a
美少年宿舍大骚动,mei'shao'nian'su'she'da'sao'dong
没有像我这样的人,mei'you'xiang'wo'zhe'yang'de'ren
孟神,meng'shen
蜜罐,mi'guan
墨攻,mo'gong
木浦市,mu'pu'shi
那皓太,na'hao'tai
南汉山城,nan'han'shan'cheng
尼莫鱼,ni'mo'yu
你是我的奇迹,ni'shi'wo'de'qi'ji
凝结,ning'jie
牛奶皮肤金希澈,niu'nai'pi'fu'jin'xi'che
努力吧,nu'li'ba
朴仁英,pu'ren'ying
朴正洙,pu'zheng'zhu
七年间的爱,qi'nian'jian'de'ai
千万遍我爱你,qian'wan'bian'wo'ai'ni
强仁,qiang'ren
强特,qiang'te
茄子,qie'zi
青春舞台,qing'chun'wu'tai
庆尚北道,qing'shang'bei'dao
全罗南道,quan'luo'nan'dao
仁川,ren'chuan
日山,ri'shan
三巡,san'xun
杀人微笑,sha'ren'wei'xiao
少爷,shao'ye
申东熙,shen'dong'xi
神童,shen'tong
晟敏,sheng'min
声旭,sheng'xu
十三,shi'san
始源,shi'yuan
首班车,shou'ban'che
睡衣派对,shui'yi'pai'dui
说不出的爱,shuo'bu'chu'de'ai
四辑,si'ji
四月之吻,si'yue'zhi'wen
天安市,tian'an'shi
甜南瓜,tian'nan'gua
天上天下希澈独尊,tian'shang'tian'xia'xi'che'du'zun
天使,tian'shi
兔妖,tu'yao
兔子,tu'zi
闻庆市,wen'qing'shi
我抱着我,wo'bao'zhe'wo
我的二分之一,wo'de'er'fen'zhi'yi
我们爱你金希澈,wo'men'ai'ni'jin'xi'che
我们的爱,wo'men'de'ai
我唯一的女孩,wo'wei'yi'de'nv'hai
我这个人,wo'zhe'ge'ren
午睡,wu'shui
希澈,xi'che
希大,xi'da
希大人,xi'da'ren
喜欢你的理由,xi'huan'ni'de'li'you
夏磊,xia'lei
仙那度,xian'na'du
贤兔,xian'tu
香丹传,xiang'dan'zhuan
小海,xiao'hai
小萌,xiao'meng
小十三,xiao'shi'san
小鱼儿,xiao'yu'er
小鱼干,xiao'yu'gan
辛德瑞拉,xin'de'rui'la
心如止水,xin'ru'zhi'shui
雪花,xue'hua
寻找丢失的时间,xun'zhao'diu'shi'de'shi'jian
延新内,yan'xin'nei
遥远的昔日,yao'yuan'de'xi'ri
艺声,yi'sheng
银赫,yin'he
有心愿吗,you'xin'yuan'ma
与百万富翁结婚的故事,yu'bai'wan'fu'weng'jie'hun'de'gu'shi
玉琳的成长日记,yu'lin'de'cheng'zhang'ri'ji
源范,yuan'fan
云妖,yun'yao
早班车,zao'ban'che
赵奎贤,zhao'kui'xian
这一秒,zhe'yi'miao
珍珠,zhen'zhu
至少还有你,zhi'shao'hai'you'ni
忠清南道,zhong'qing'nan'dao
注文津,zhu'wen'jin
朱俞明,zhu'yu'ming
最后的胜负,zui'hou'de'sheng'fu
