按照本款处理,an'zhao'ben'kuan'chu'li
把对方,ba'dui'fang
把对方的,ba'dui'fang'de
八进,ba'jin
八平,ba'ping
八卒,ba'zu
白赚一象,bai'zhuan'yi'xiang
包抄入侵,bao'chao'ru'qin
被对方,bei'dui'fang
被判输棋,bei'pan'shu'qi
逼宫,bi'gong
逼黑,bi'hei
逼进红方帅府,bi'jin'hong'fang'shuai'fu
逼仕,bi'shi
避仕,bi'shi
必亡,bi'wang
必须变着,bi'xu'bian'zhe
必须隔一个棋子,bi'xu'ge'yi'ge'qi'zi
必须立即,bi'xu'li'ji
编成,bian'cheng
变二,bian'er
边卒,bian'zu
表现了,biao'xian'le
蹩马腿,bie'ma'tui
兵八进一,bing'ba'jin'yi
兵八平九,bing'ba'ping'jiu
兵八平七,bing'ba'ping'qi
兵二进一,bing'er'jin'yi
兵二平三,bing'er'ping'san
兵二平四,bing'er'ping'si
兵九进一,bing'jiu'jin'yi
兵九进一卒,bing'jiu'jin'yi'zu
兵九平八,bing'jiu'ping'ba
并卡肋,bing'ka'lei
兵六进一,bing'liu'jin'yi
兵六平七,bing'liu'ping'qi
兵六平五,bing'liu'ping'wu
兵破,bing'po
兵七进一,bing'qi'jin'yi
兵七平八,bing'qi'ping'ba
兵七平六,bing'qi'ping'liu
兵三进一,bing'san'jin'yi
兵三平四,bing'san'ping'si
兵三平五,bing'san'ping'wu
兵四进一,bing'si'jin'yi
兵四进一士,bing'si'jin'yi'shi
兵四平三,bing'si'ping'san
兵四平五,bing'si'ping'wu
兵五,bing'wu
兵五进一,bing'wu'jin'yi
兵五进一炮,bing'wu'jin'yi'pao
兵五平六,bing'wu'ping'liu
兵五平四,bing'wu'ping'si
兵一进一,bing'yi'jin'yi
兵一进一马,bing'yi'jin'yi'ma
兵一平二,bing'yi'ping'er
并在下一着,bing'zai'xia'yi'zhao
兵之危,bing'zhi'wei
不变作和,bu'bian'zuo'he
不吃子,bu'chi'zi
不得再度提出,bu'de'zai'du'ti'chu
不够精确,bu'gou'jing'que
不可缺少的,bu'ke'que'shao'de
不能撤回,bu'neng'che'hui
不能越过,bu'neng'yue'guo
不能自由活动,bu'neng'zi'you'huo'dong
不受此限,bu'shou'ci'xian
不限步数,bu'xian'bu'shu
不许反悔,bu'xu'fan'hui
不征得,bu'zheng'de
不准在同一直线上,bu'zhun'zai'tong'yi'zhi'xian'shang
踩掉红马,cai'diao'hong'ma
踩黑边卒,cai'hei'bian'zu
裁判员也,cai'pan'yuan'ye
裁判员有权,cai'pan'yuan'you'quan
踩双,cai'shuang
残局形势,can'ju'xing'shi
残棋技艺,can'qi'ji'yi
残棋炮归家,can'qi'pao'gui'jia
残棋圣手,can'qi'sheng'shou
超过了,chao'guo'le
车八进,che'ba'jin
车八进二,che'ba'jin'er
车八进五,che'ba'jin'wu
车八平,che'ba'ping
车八平六,che'ba'ping'liu
车八平四,che'ba'ping'si
车八退,che'ba'tui
车八退八,che'ba'tui'ba
车二进,che'er'jin
车二进四,che'er'jin'si
车二平,che'er'ping
车二平八,che'er'ping'ba
车二平六,che'er'ping'liu
车二平四,che'er'ping'si
车二平一,che'er'ping'yi
车二退,che'er'tui
车九进,che'jiu'jin
车九平,che'jiu'ping
车九平八,che'jiu'ping'ba
车九平六,che'jiu'ping'liu
车九退,che'jiu'tui
车控,che'kong
车六进,che'liu'jin
车六进四,che'liu'jin'si
车六进五,che'liu'jin'wu
车六平,che'liu'ping
车六平七,che'liu'ping'qi
车六平五,che'liu'ping'wu
车六平一,che'liu'ping'yi
车六退,che'liu'tui
车每一着,che'mei'yi'zhe
撤炮,che'pao
车七进,che'qi'jin
车七进五,che'qi'jin'wu
车七平,che'qi'ping
车七平八,che'qi'ping'ba
车七退,che'qi'tui
车七退五,che'qi'tui'wu
车三进,che'san'jin
车三平,che'san'ping
车三平二,che'san'ping'er
车三平四,che'san'ping'si
车三退,che'san'tui
车四进,che'si'jin
车四进八,che'si'jin'ba
车四进四,che'si'jin'si
车四平,che'si'ping
车四退,che'si'tui
车五进,che'wu'jin
车五进一,che'wu'jin'yi
车五平,che'wu'ping
车五平八,che'wu'ping'ba
车五平六,che'wu'ping'liu
车五退,che'wu'tui
车一进,che'yi'jin
车一进二,che'yi'jin'er
车一进一,che'yi'jin'yi
车一平,che'yi'ping
车一平二,che'yi'ping'er
车一平三,che'yi'ping'san
车一平四,che'yi'ping'si
车一退,che'yi'tui
沉底炮,chen'di'pao
称为铁门栓妙杀,cheng'wei'tie'men'shuan'miao'sha
称为一个回合,cheng'wei'yi'ge'hui'he
吃底象,chi'di'xiang
吃马,chi'ma
吃子,chi'zi
重新载入,chong'xin'zai'ru
冲卒,chong'zu
抽将,chou'jiang
出将,chu'jiang
除帅,chu'shuai
出帅,chu'shuai
出现下列情况之一,chu'xian'xia'lie'qing'kuang'zhi'yi
出现循环反复,chu'xian'xun'huan'fan'fu
此局,ci'ju
此局胡荣华,ci'ju'hu'rong'hua
此局吕钦,ci'ju'lv'qin
此局许银川,ci'ju'xu'yin'chuan
此局由于,ci'ju'you'yu
此象,ci'xiang
次序井然,ci'xu'jing'ran
此着,ci'zhe
从一个交叉点,cong'yi'ge'jiao'cha'dian
从右到左,cong'you'dao'zuo
从左路,cong'zuo'lu
打开缺口,da'kai'que'kou
打开通道,da'kai'tong'dao
打死黑卒,da'si'hei'zu
打死红仕,da'si'hong'shi
打下牢固基础,da'xia'lao'gu'ji'chu
打象,da'xiang
打相,da'xiang
待机而动,dai'ji'er'dong
但不能后退,dan'bu'neng'hou'tui
但不能走出,dan'bu'neng'zou'chu
单方面出现第三次,dan'fang'mian'chu'xian'di'san'ci
但黑方也有,dan'hei'fang'ye'you
但黑有,dan'hei'you
但红,dan'hong
单缺士,dan'que'shi
单缺相,dan'que'xiang
单缺相胜,dan'que'xiang'sheng
但如,dan'ru
但下列,dan'xia'lie
担子炮,dan'zi'pao
当田字中心,dang'tian'zi'zhong'xin
到此结束,dao'ci'jie'shu
到另一个空着的交叉点,dao'ling'yi'ge'kong'zhe'de'jiao'cha'dian
的残局形势,de'can'ju'xing'shi
的地方,de'di'fang
的规定时,de'gui'ding'shi
的紧手,de'jin'shou
的局势,de'ju'shi
的棋,de'qi
的胜形,de'sheng'xing
得仕,de'shi
的时候,de'shi'hou
的特殊规定,de'te'shu'gui'ding
得以发挥,de'yi'fa'hui
的一方,de'yi'fang
的一方先走,de'yi'fang'xian'zou
的有关规定,de'you'guan'gui'ding
的战略意图,de'zhan'lue'yi'tu
的主将,de'zhu'jiang
的状态,de'zhuang'tai
等子力,deng'zi'li
底炮,di'pao
第三编,di'san'bian
第三届,di'san'jie
底士,di'shi
第一局,di'yi'ju
点击数,dian'ji'shu
电子互动棋盘,dian'zi'hu'dong'qi'pan
都可以,dou'ke'yi
都没有提和,dou'mei'you'ti'he
都算走了一着,dou'suan'zou'le'yi'zhao
渡河,du'he
兑车,dui'che
对大连,dui'da'lian
对方的计时钟,dui'fang'de'ji'shi'zhong
对方的棋子,dui'fang'de'qi'zi
对方得胜,dui'fang'de'sheng
对广东,dui'guang'dong
对黑方,dui'hei'fang
对湖北,dui'hu'bei
对江苏,dui'jiang'su
对局时,dui'ju'shi
兑马,dui'ma
兑炮,dui'pao
对上海,dui'shang'hai
对上海胡荣华,dui'shang'hai'hu'rong'hua
对弈,dui'yi
对浙江,dui'zhe'jiang
咄咄逼人,duo'duo'bi'ren
扼控肋道,e'kong'lei'dao
遏制黑,e'zhi'hei
二车,er'che
二鬼拍门,er'gui'pai'men
二将,er'jiang
而径走,er'jing'zou
二炮,er'pao
而且还可以,er'qie'hai'ke'yi
而实际上,er'shi'ji'shang
二退,er'tui
而无法就算被,er'wu'fa'jiu'suan'bei
而循环反复局面,er'xun'huan'fan'fu'ju'mian
而占领叉点,er'zhan'ling'cha'dian
而占领那个位置,er'zhan'ling'na'ge'wei'zhi
二卒,er'zu
方车,fang'che
方的,fang'de
方的攻势,fang'de'gong'shi
方多,fang'duo
方可按动,fang'ke'an'dong
方欠行认负,fang'qian'xing'ren'fu
方认负,fang'ren'fu
方胜定,fang'sheng'ding
方实现了,fang'shi'xian'le
方士象残缺,fang'shi'xiang'can'que
方无直,fang'wu'zhi
防御力量,fang'yu'li'liang
方终以,fang'zhong'yi
飞高象,fei'gao'xiang
非经对方提和一次,fei'jing'dui'fang'ti'he'yi'ci
飞象,fei'xiang
飞相,fei'xiang
分为红,fen'wei'hong
封将门,feng'jiang'men
封棋着法有误,feng'qi'zhe'fa'you'wu
封死将门,feng'si'jiang'men
否则红有,fou'ze'hong'you
伏沉,fu'chen
伏马,fu'ma
伏杀,fu'sha
该次比赛规定的,gai'ci'bi'sai'gui'ding'de
改走将,gai'zou'jiang
高科杯,gao'ke'bei
隔步成杀,ge'bu'cheng'sha
各分七种,ge'fen'qi'zhong
个人赛,ge'ren'sai
个人赛上海,ge'ren'sai'shang'hai
各种棋子的走法如下,ge'zhong'qi'zi'de'zou'fa'ru'xia
更新时间,geng'xin'shi'jian
攻击对方的,gong'ji'dui'fang'de
攻守兼备,gong'shou'jian'bei
共有九十个交叉点,gong'you'jiu'shi'ge'jiao'cha'dian
构成严重威胁,gou'cheng'yan'zhong'wei'xie
观秤,guan'cheng
官和,guan'he
广东吕钦,guang'dong'lv'qin
还在延续,hai'zai'yan'xu
好棋,hao'qi
和对局时,he'dui'ju'shi
和活动,he'huo'dong
河界,he'jie
和精湛的,he'jing'zhan'de
和局,he'ju
和十道横线,he'shi'dao'heng'xian
河头马,he'tou'ma
黑必胜,hei'bi'sheng
黑冲卒无奈,hei'chong'zu'wu'nai
黑出将,hei'chu'jiang
黑方,hei'fang
黑方必须,hei'fang'bi'xu
黑方看出,hei'fang'kan'chu
黑方只有,hei'fang'zhi'you
黑两组,hei'liang'zu
黑马紧贴红马而行,hei'ma'jin'tie'hong'ma'er'xing
黑炮,hei'pao
黑棋子,hei'qi'zi
黑如,hei'ru
黑如改走,hei'ru'gai'zou
黑若,hei'ruo
黑胜,hei'sheng
黑胜定,hei'sheng'ding
黑也,hei'ye
黑亦,hei'yi
横走,heng'zou
横走都可以,heng'zou'dou'ke'yi
红败局已定,hong'bai'ju'yi'ding
红兵,hong'bing
红此着,hong'ci'zhe
红马,hong'ma
红炮,hong'pao
红棋,hong'qi
红棋子,hong'qi'zi
红如,hong'ru
红胜,hong'sheng
轰卒照将,hong'zu'zhao'jiang
后兵进一,hou'bing'jin'yi
后兵平,hou'bing'ping
后兵平六,hou'bing'ping'liu
后兵平五,hou'bing'ping'wu
后马进,hou'ma'jin
后马进四,hou'ma'jin'si
后马进五,hou'ma'jin'wu
后马退,hou'ma'tui
后卒进一,hou'zu'jin'yi
后卒平,hou'zu'ping
后卒平四,hou'zu'ping'si
互保,hu'bao
湖北柳大华,hu'bei'liu'da'hua
胡荣华,hu'rong'hua
胡荣华破仕,hu'rong'hua'po'shi
胡荣华胜,hu'rong'hua'sheng
护双卒,hu'shuang'zu
划有交叉线,hua'you'jiao'cha'xian
换双卒,huan'shuang'zu
回合的,hui'he'de
回合的残局势,hui'he'de'can'ju'shi
回合的残局形势,hui'he'de'can'ju'xing'shi
回合时,hui'he'shi
回合时的,hui'he'shi'de
回合时的残局形势,hui'he'shi'de'can'ju'xing'shi
或简称,huo'jian'cheng
或一横,huo'yi'heng
或者吃掉,huo'zhe'chi'diao
或主动送吃,huo'zhu'dong'song'chi
或走成和棋为止,huo'zou'cheng'he'qi'wei'zhi
或走出,huo'zou'chu
机会均等,ji'hui'jun'deng
及结局图棋局,ji'jie'ju'tu'qi'ju
即可由,ji'ke'you
即使黑马,ji'shi'hei'ma
即使另一方不同意,ji'shi'ling'yi'fang'bu'tong'yi
计时钟,ji'shi'zhong
即俗称,ji'su'cheng
继续进行讹诈,ji'xu'jin'xing'e'zha
即用自卫的,ji'yong'zi'wei'de
将某个棋子,jiang'mou'ge'qi'zi
将帅捕杀,jiang'shuai'bu'sha
将死,jiang'si
将一个,jiang'yi'ge
交叉组成,jiao'cha'zu'cheng
进八,jin'ba
进车,jin'che
紧凑老练,jin'cou'lao'lian
进二,jin'er
进九,jin'jiu
紧靠一直,jin'kao'yi'zhi
进六,jin'liu
进七,jin'qi
进三,jin'san
进四,jin'si
进五,jin'wu
紧要之着,jin'yao'zhi'zhe
进一,jin'yi
进一马,jin'yi'ma
禁在一个位置上,jin'zai'yi'ge'wei'zhi'shang
精警异常,jing'jing'yi'chang
经审查,jing'shen'cha
就摆放,jiu'bai'fang
就不能走过去,jiu'bu'neng'zou'guo'qu
