安居小区,an'ju'xiao'qu
奥林匹克广场,ao'lin'pi'ke'guang'chang
八境路口,ba'jing'lu'kou
宝葫芦农庄,bao'hu'lu'nong'zhuang
宝申花园,bao'shen'hua'yuan
标准钟,biao'zhun'zhong
滨江城市广场,bin'jiang'cheng'shi'guang'chang
滨江一校,bin'jiang'yi'xiao
博德山庄,bo'de'shan'zhuang
财保公司,cai'bao'gong'si
长安医院,chang'an'yi'yuan
城市管理局,cheng'shi'guan'li'ju
储潭,chu'tan
灯盏塘,deng'zhan'tang
地税局,di'shui'ju
第五人民医院,di'wu'ren'min'yi'yuan
电机厂,dian'ji'chang
电信大楼,dian'xin'da'lou
电信局,dian'xin'ju
钓鱼台,diao'yu'tai
东河车站,dong'he'che'zhan
东河大桥,dong'he'da'qiao
东郊路,dong'jiao'lu
东门市场,dong'men'shi'chang
东桥路,dong'qiao'lu
东山公园,dong'shan'gong'yuan
东胜山路,dong'sheng'shan'lu
东胜食品厂,dong'sheng'shi'pin'chang
东阳山市场,dong'yang'shan'shi'chang
东园,dong'yuan
峨嵋中学,e'mei'zhong'xue
二康庙,er'kang'miao
儿童公园,er'tong'gong'yuan
飞龙岛大桥,fei'long'dao'da'qiao
妇保院,fu'bao'yuan
附属医院,fu'shu'yi'yuan
妇幼保健院,fu'you'bao'jian'yuan
赣纺,gan'fang
赣江源大道,gan'jiang'yuan'da'dao
赣南宾馆,gan'nan'bin'guan
赣县,gan'xian
赣州大桥,gan'zhou'da'qiao
赣州二中,gan'zhou'er'zhong
赣州饭店,gan'zhou'fan'dian
赣州公园,gan'zhou'gong'yuan
赣州酒厂,gan'zhou'jiu'chang
赣州汽车站,gan'zhou'qi'che'zhan
赣州七中,gan'zhou'qi'zhong
赣州三中,gan'zhou'san'zhong
赣州四中,gan'zhou'si'zhong
赣州一中,gan'zhou'yi'zhong
高速公路路口,gao'su'gong'lu'lu'kou
公交公司,gong'jiao'gong'si
公交枢纽站,gong'jiao'shu'niu'zhan
公交枢纽中心,gong'jiao'shu'niu'zhong'xin
公务员小区,gong'wu'yuan'xiao'qu
光彩大市场,guang'cai'da'shi'chang
广电局,guang'dian'ju
国道,guo'dao
国际汽车城,guo'ji'qi'che'cheng
国税局,guo'shui'ju
国土资源局,guo'tu'zi'yuan'ju
海天大酒店,hai'tian'da'jiu'dian
豪德小学,hao'de'xiao'xue
荷包塘,he'bao'tang
河边桥,he'bian'qiao
和乐,he'le
和平路,he'ping'lu
横江,heng'jiang
横岭,heng'ling
红环路,hong'huan'lu
红环路口,hong'huan'lu'kou
红旗二校,hong'qi'er'xiao
鸿晟酒店,hong'sheng'jiu'dian
红十字会医院,hong'shi'zi'hui'yi'yuan
湖边,hu'bian
虎岗村,hu'gang'cun
虎岗小学,hu'gang'xiao'xue
化工厂,hua'gong'chang
华坚鞋城,hua'jian'xie'cheng
华京稀土公司,hua'jing'xi'tu'gong'si
华夏金属公司,hua'xia'jin'shu'gong'si
环城路,huan'cheng'lu
环境工程学院,huan'jing'gong'cheng'xue'yuan
黄金广场,huang'jin'guang'chang
黄金桥,huang'jin'qiao
黄金时代小区,huang'jin'shi'dai'xiao'qu
黄垅公墓区,huang'long'gong'mu'qu
黄沙桥,huang'sha'qiao
火车站,huo'che'zhan
家俱城,jia'ju'cheng
家俱大市场,jia'ju'da'shi'chang
建材大市场,jian'cai'da'shi'chang
建春门,jian'chun'men
建国路,jian'guo'lu
江铃大酒店,jiang'ling'da'jiu'dian
交警大队,jiao'jing'da'dui
交警支队,jiao'jing'zhi'dui
解放路,jie'fang'lu
金东路,jin'dong'lu
金力永磁公司,jin'li'yong'ci'gong'si
金坪花园,jin'ping'hua'yuan
金星村,jin'xing'cun
锦绣星城,jin'xiu'xing'cheng
锦绣星城嘉苑,jin'xiu'xing'cheng'jia'yuan
金元大酒店,jin'yuan'da'jiu'dian
经济开发区,jing'ji'kai'fa'qu
均井巷路口,jun'jing'xiang'lu'kou
康复医院,kang'fu'yi'yuan
康洋加油站,kang'yang'jia'you'zhan
腊长村,la'chang'cun
蓝波湾小区,lan'bo'wan'xiao'qu
理工大学,li'gong'da'xue
李家山,li'jia'shan
梨园,li'yuan
濂溪路,lian'xi'lu
岭头上,ling'tou'shang
岭下,ling'xia
龙都市场,long'du'shi'chang
龙岭工业园,long'ling'gong'ye'yuan
龙岭职校,long'ling'zhi'xiao
楼梯岭,lou'ti'ling
鹭江花园,lu'jiang'hua'yuan
马祖岩村,ma'zu'yan'cun
