安丰,an'feng
安丰村,an'feng'cun
凹坑,ao'keng
凹坑村,ao'keng'cun
百斤税,bai'jin'shui
白土,bai'tu
白土村,bai'tu'cun
背寨,bei'zhai
背寨村,bei'zhai'cun
礤文村,ca'wen'cun
长居,chang'ju
长居村,chang'ju'cun
朝岭,chao'ling
朝岭村,chao'ling'cun
陈埔,chen'pu
陈埔村,chen'pu'cun
澄邦,cheng'bang
澄邦村,cheng'bang'cun
城南,cheng'nan
城南村,cheng'nan'cun
城厢人,cheng'xiang'ren
城厢乡,cheng'xiang'xiang
城中,cheng'zhong
城中村,cheng'zhong'cun
处明,chu'ming
处明村,chu'ming'cun
川坊,chuan'fang
川坊村,chuan'fang'cun
大布,da'bu
大布村,da'bu'cun
大礤村,da'ca'cun
大成,da'cheng
大成村,da'cheng'cun
大禾,da'he
大禾村,da'he'cun
大禾人,da'he'ren
大禾乡,da'he'xiang
大绩,da'ji
大吉村,da'ji'cun
大联,da'lian
大联村,da'lian'cun
大明,da'ming
大明村,da'ming'cun
大沛,da'pei
大沛村,da'pei'cun
大坪,da'ping
大坪村,da'ping'cun
大田,da'tian
大田村,da'tian'cun
大阳,da'yang
大阳村,da'yang'cun
邓坑,deng'keng
邓坑村,deng'keng'cun
店下,dian'xia
店下村,dian'xia'cun
东峰,dong'feng
东峰村,dong'feng'cun
东岗,dong'gang
东岗村,dong'gang'cun
东留人,dong'liu'ren
东留乡,dong'liu'xiang
东兴,dong'xing
东兴村,dong'xing'cun
东云,dong'yun
东云村,dong'yun'cun
东寨,dong'zhai
东寨村,dong'zhai'cun
芳洋,fang'yang
芳洋村,fang'yang'cun
汾水,fen'shui
汾水村,fen'shui'cun
峰贵,feng'gui
丰贵村,feng'gui'cun
封侯,feng'hou
封侯村,feng'hou'cun
丰田,feng'tian
丰田村,feng'tian'cun
伏虎,fu'hu
伏虎村,fu'hu'cun
富岭,fu'ling
富岭村,fu'ling'cun
福兴,fu'xing
福兴村,fu'xing'cun
岗背,gang'bei
岗背村,gang'bei'cun
高横,gao'heng
高横村,gao'heng'cun
高书,gao'shu
高书村,gao'shu'cun
高梧,gao'wu
高梧村,gao'wu'cun
钩坑,gou'keng
勾坑村,gou'keng'cun
卦坑,gua'keng
卦坑村,gua'keng'cun
官坑,guan'keng
