八方连,ba'fang'lian
白封,bai'feng
白片,bai'pian
包裹邮票,bao'guo'you'piao
背胶,bei'jiao
背面戳,bei'mian'chuo
背面戳记,bei'mian'chuo'ji
本埠明信片,ben'bu'ming'xin'pian
变体票,bian'ti'piao
部分原胶,bu'fen'yuan'jiao
插票册,cha'piao'ce
唱片邮票,chang'pian'you'piao
长尾,chang'wei
成对票,cheng'dui'piao
齿孔,chi'kong
齿孔错误,chi'kong'cuo'wu
齿孔移位,chi'kong'yi'wei
赤色邮花,chi'se'you'hua
传统集邮,chuan'tong'ji'you
戳印,chuo'yin
戳源,chuo'yuan
存疑戳,cun'yi'chuo
存疑片,cun'yi'pian
大方连,da'fang'lian
单色,dan'se
单张,dan'zhang
倒戳,dao'chuo
到达戳,dao'da'chuo
倒盖,dao'gai
倒盖兼复盖,dao'gai'jian'fu'gai
倒水印,dao'shui'yin
电子邮票,dian'zi'you'piao
雕刻影写套印版,diao'ke'ying'xie'tao'yin'ban
对倒票,dui'dao'piao
对剖票,dui'pou'piao
对剖邮票,dui'pou'you'piao
多色,duo'se
二方张,er'fang'zhang
二连张,er'lian'zhang
发光邮票,fa'guang'you'piao
发行日期,fa'xing'ri'qi
翻印片,fan'yin'pian
反置片,fan'zhi'pian
仿戳,fang'chuo
放大镜,fang'da'jing
方连,fang'lian
粉面纸,fen'mian'zhi
风光邮资明信片,feng'guang'you'zi'ming'xin'pian
风景日戳,feng'jing'ri'chuo
封口纸,feng'kou'zhi
覆盖,fu'gai
复盖,fu'gai
复合齿孔,fu'he'chi'kong
附加金,fu'jia'jin
附加票,fu'jia'piao
附捐邮票,fu'juan'you'piao
附票,fu'piao
复品,fu'pin
盖销,gai'xiao
盖销票,gai'xiao'piao
改值邮票,gai'zhi'you'piao
钢箔邮票,gang'bo'you'piao
高面值,gao'mian'zhi
高头,gao'tou
公事邮票,gong'shi'you'piao
估价,gu'jia
孤品,gu'pin
挂号签条,gua'hao'qian'tiao
挂号邮件回执,gua'hao'you'jian'hui'zhi
挂号邮票,gua'hao'you'piao
光齿,guang'chi
广告副票,guang'gao'fu'piao
规范片,gui'fan'pian
滚筒邮戳,gun'tong'you'chuo
国耻片,guo'chi'pian
国际回信券,guo'ji'hui'xin'quan
国际集邮展览,guo'ji'ji'you'zhan'lan
国际明信片,guo'ji'ming'xin'pian
过桥,guo'qiao
航空集邮,hang'kong'ji'you
航空签条,hang'kong'qian'tiao
航空邮票,hang'kong'you'piao
航空邮资信封,hang'kong'you'zi'xin'feng
航空邮资邮简,hang'kong'you'zi'you'jian
贺年邮资明信片,he'nian'you'zi'ming'xin'pian
黑便士,hei'bian'shi
横缝漏齿,heng'feng'lou'chi
横连,heng'lian
横三连,heng'san'lian
横五连,heng'wu'lian
横中缝漏齿,heng'zhong'feng'lou'chi
护邮袋,hu'you'dai
花饰,hua'shi
化学变色,hua'xue'bian'se
化学胶,hua'xue'jiao
绘画片,hui'hua'pian
回执戳,hui'zhi'chuo
混合齿孔,hun'he'chi'kong
混血片,hun'xue'pian
火车邮戳,huo'che'you'chuo
纪念币,ji'nian'bi
纪念封,ji'nian'feng
纪念香币,ji'nian'xiang'bi
纪念邮戳,ji'nian'you'chuo
纪念邮票,ji'nian'you'piao
纪念邮资明信片,ji'nian'you'zi'ming'xin'pian
纪念邮资信封,ji'nian'you'zi'xin'feng
纪念张,ji'nian'zhang
极限集邮,ji'xian'ji'you
极限明信片,ji'xian'ming'xin'pian
集邮,ji'you
集邮爱好者,ji'you'ai'hao'zhe
集邮簿,ji'you'bu
集邮家,ji'you'jia
集邮品,ji'you'pin
极优品,ji'you'pin
集邮文献,ji'you'wen'xian
集邮展览,ji'you'zhan'lan
加盖,jia'gai
假盖销票,jia'gai'xiao'piao
加盖邮票,jia'gai'you'piao
佳品,jia'pin
假无齿票,jia'wu'chi'piao
节日邮票,jie'ri'you'piao
金箔邮票,jin'bo'you'piao
旧票,jiu'piao
卷简邮票,juan'jian'you'piao
军用明信片,jun'yong'ming'xin'pian
军用邮戳,jun'yong'you'chuo
军用邮票,jun'yong'you'piao
军邮封,jun'you'feng
空难封,kong'nan'feng
