爱臣,ai'chen
哀公,ai'gong
哀公问,ai'gong'wen
爱日精庐藏书志,ai'ri'jing'lu'cang'shu'zhi
爱日斋丛钞,ai'ri'zhai'cong'chao
按断,an'duan
安陆集,an'lu'ji
安南志略,an'nan'zhi'lue
安晚堂集,an'wan'tang'ji
安危,an'wei
按文,an'wen
安雅堂集,an'ya'tang'ji
按语,an'yu
熬波图,ao'bo'tu
傲轩吟稿,ao'xuan'yin'gao
八朝名臣言行录,ba'chao'ming'chen'yan'xing'lu
八奸,ba'jian
八经,ba'jing
巴茂,ba'mao
八面锋,ba'mian'feng
八旗满洲氏族通谱,ba'qi'man'zhou'shi'zu'tong'pu
八旗通志唐律疏义,ba'qi'tong'zhi'tang'lv'shu'yi
八千卷楼,ba'qian'juan'lou
八千卷楼书目,ba'qian'juan'lou'shu'mu
霸史,ba'shi
八说,ba'shuo
八索,ba'suo
八索九丘,ba'suo'jiu'qiu
跋尾,ba'wei
巴西集,ba'xi'ji
八旬万寿盛典,ba'xun'wan'shou'sheng'dian
八佾,ba'yi
百川书志,bai'chuan'shu'zhi
百川源尾图,bai'chuan'yuan'wei'tu
白谷集,bai'gu'ji
百官箴,bai'guan'zhen
白光,bai'guang
白虎通,bai'hu'tong
白虎通义,bai'hu'tong'yi
白华,bai'hua
拜经楼藏书题跋记,bai'jing'lou'cang'shu'ti'ba'ji
白驹,bai'ju
百菊集谱,bai'ju'ji'pu
白居易,bai'ju'yi
白孔六帖,bai'kong'liu'tie
白口,bai'kou
白麻纸,bai'ma'zhi
白绵纸,bai'mian'zhi
百衲本,bai'na'ben
百诗,bai'shi
稗史,bai'shi
白石道人歌曲,bai'shi'dao'ren'ge'qu
白石道人诗集,bai'shi'dao'ren'shi'ji
白氏六帖,bai'shi'liu'tie
白石山房逸稿,bai'shi'shan'fang'yi'gao
白石山房逸藁,bai'shi'shan'fang'yi'gao
稗疏,bai'shu
百宋一廛赋注,bai'song'yi'chan'fu'zhu
百宋一廛书录,bai'song'yi'chan'shu'lu
白田杂著,bai'tian'za'zhu
白文本,bai'wen'ben
白鱼尾,bai'yu'wei
百越先贤志,bai'yue'xian'xian'zhi
白云,bai'yun
白云稿,bai'yun'gao
白云集,bai'yun'ji
白云樵唱集,bai'yun'qiao'chang'ji
柏斋集,bai'zhai'ji
百正集,bai'zheng'ji
柏舟,bai'zhou
板框,ban'kuang
班马异同,ban'ma'yi'tong
班马字类,ban'ma'zi'lei
半轩集,ban'xuan'ji
班志,ban'zhi
邦计,bang'ji
包被装,bao'bei'zhuang
鲍彪,bao'biao
抱犊山房集,bao'du'shan'fang'ji
包角,bao'jiao
抱经,bao'jing
鲍骏,bao'jun
包恺,bao'kai
鲍康,bao'kang
宝刻丛编,bao'ke'cong'bian
宝刻类编,bao'ke'lei'bian
包命,bao'ming
鲍明远集,bao'ming'yuan'ji
抱朴子内外篇,bao'pu'zi'nei'wai'pian
保乾图,bao'qian'tu
宝庆四明志,bao'qing'si'ming'zhi
鲍氏战国策注,bao'shi'zhan'guo'ce'zhu
宝书阁,bao'shu'ge
宝书阁著录,bao'shu'ge'zhu'lu
曝书亭集,bao'shu'ting'ji
宝文堂,bao'wen'tang
包咸,bao'xian
包孝肃奏议集,bao'xiao'su'zou'yi'ji
宝佑四年登科录,bao'you'si'nian'deng'ke'lu
宝祐四年登科录,bao'you'si'nian'deng'ke'lu
鸨羽,bao'yu
保越录,bao'yue'lu
宝章待访录,bao'zhang'dai'fang'lu
宝真斋法书赞,bao'zhen'zhai'fa'shu'zan
备参,bei'can
碑传,bei'chuan
北窗炙,bei'chuang'zhi
北风,bei'feng
邶风,bei'feng
北郭集,bei'guo'ji
北河纪,bei'he'ji
北户录,bei'hu'lu
备急千金要方,bei'ji'qian'jin'yao'fang
北监本,bei'jian'ben
北磵集,bei'jian'ji
北郊配位尊西向议,bei'jiao'pei'wei'zun'xi'xiang'yi
备考,bei'kao
北门,bei'men
北梦琐言,bei'meng'suo'yan
备内,bei'nei
北齐书,bei'qi'shu
北齐文纪,bei'qi'wen'ji
北腔韵类,bei'qiang'yun'lei
北山,bei'shan
北山酒经,bei'shan'jiu'jing
北史,bei'shi
北史识小录,bei'shi'shi'xiao'lu
北狩见闻录,bei'shou'jian'wen'lu
北堂书钞,bei'tang'shu'chao
备忘集,bei'wang'ji
北溪大全集,bei'xi'da'quan'ji
北溪集,bei'xi'ji
北溪字义,bei'xi'zi'yi
北轩笔记,bei'xuan'bi'ji
北游集,bei'you'ji
本草成书,ben'cao'cheng'shu
