阿党相为,a'dang'xiang'wei
阿其所好,a'qi'suo'hao
阿时趋俗,a'shi'qu'su
阿谀谄媚,a'yu'chan'mei
阿谀奉承,a'yu'feng'cheng
阿谀逢迎,a'yu'feng'ying
阿谀取容,a'yu'qu'rong
哀哀父母,ai'ai'fu'mu
哀哀欲绝,ai'ai'yu'jue
爱别离苦,ai'bie'li'ku
哀兵必胜,ai'bing'bi'sheng
爱博而情不专,ai'bo'er'qing'bu'zhuan
爱不忍释,ai'bu'ren'shi
爱不释手,ai'bu'shi'shou
爱才如渴,ai'cai'ru'ke
爱财如命,ai'cai'ru'ming
爱才若渴,ai'cai'ruo'ke
哀而不伤,ai'er'bu'shang
挨风缉缝,ai'feng'ji'feng
哀感天地,ai'gan'tian'di
哀感顽艳,ai'gan'wan'yan
哀感中年,ai'gan'zhong'nian
哀告宾服,ai'gao'bin'fu
爱国如家,ai'guo'ru'jia
爱鹤失众,ai'he'shi'zhong
哀鸿遍野,ai'hong'bian'ye
哀毁骨立,ai'hui'gu'li
挨家挨户,ai'jia'ai'hu
挨肩并足,ai'jian'bing'zu
挨肩擦膀,ai'jian'ca'bang
挨肩擦背,ai'jian'ca'bei
挨肩擦脸,ai'jian'ca'lian
挨肩搭背,ai'jian'da'bei
碍口识羞,ai'kou'shi'xiu
爱礼存羊,ai'li'cun'yang
哀梨蒸食,ai'li'zheng'shi
爱毛反裘,ai'mao'fan'qiu
暧昧不明,ai'mei'bu'ming
暧昧之情,ai'mei'zhi'qing
挨门逐户,ai'men'zhu'hu
爱民如子,ai'min'ru'zi
哀莫大于心死,ai'mo'da'yu'xin'si
爱莫能助,ai'mo'neng'zhu
爱钱如命,ai'qian'ru'ming
蔼然可亲,ai'ran'ke'qin
蔼然仁者,ai'ran'ren'zhe
爱人好士,ai'ren'hao'shi
矮人看场,ai'ren'kan'chang
爱人利物,ai'ren'li'wu
爱人以德,ai'ren'yi'de
爱日惜力,ai'ri'xi'li
爱如己出,ai'ru'ji'chu
爱如珍宝,ai'ru'zhen'bao
挨三顶五,ai'san'ding'wu
挨山塞海,ai'shan'sai'hai
唉声叹气,ai'sheng'tan'qi
碍手碍脚,ai'shou'ai'jiao
哀丝豪竹,ai'si'hao'zhu
哀思如潮,ai'si'ru'chao
爱素好古,ai'su'hao'gu
哀天叫地,ai'tian'jiao'di
哀痛欲绝,ai'tong'yu'jue
爱屋及乌,ai'wu'ji'wu
爱惜羽毛,ai'xi'yu'mao
爱憎分明,ai'zeng'fen'ming
爱之欲其生恶之欲其死,ai'zhi'yu'qi'sheng'e'zhi'yu'qi'si
矮子看戏,ai'zi'kan'xi
安安稳稳,an'an'wen'wen
安邦定国,an'bang'ding'guo
安邦治国,an'bang'zhi'guo
按兵不动,an'bing'bu'dong
安步当车,an'bu'dang'che
按部就班,an'bu'jiu'ban
鞍不离马甲不离身,an'bu'li'ma'jia'bu'li'shen
安不忘危,an'bu'wang'wei
安常处顺,an'chang'chu'shun
安常守分,an'chang'shou'fen
安常守故,an'chang'shou'gu
安车蒲轮,an'che'pu'lun
暗淡无光,an'dan'wu'guang
暗渡陈仓,an'du'chen'cang
案牍劳形,an'du'lao'xing
安堵乐业,an'du'le'ye
安堵如故,an'du'ru'gu
安分守己,an'fen'shou'ji
安分知足,an'fen'zhi'zu
安富恤贫,an'fu'xu'pin
安富尊荣,an'fu'zun'rong
安国宁家,an'guo'ning'jia
安魂定魄,an'hun'ding'po
安家立业,an'jia'li'ye
安家落户,an'jia'luo'hu
按甲寝兵,an'jia'qin'bing
按甲休兵,an'jia'xiu'bing
暗箭难防,an'jian'nan'fang
暗箭伤人,an'jian'shang'ren
安居乐业,an'ju'le'ye
安老怀少,an'lao'huai'shao
安乐窝,an'le'wo
安良除暴,an'liang'chu'bao
鞍马劳顿,an'ma'lao'dun
鞍马劳困,an'ma'lao'kun
鞍马之劳,an'ma'zhi'lao
安眉带眼,an'mei'dai'yan
暗昧之事,an'mei'zhi'shi
安民告示,an'min'gao'shi
按名责实,an'ming'ze'shi
按捺不住,an'na'bu'zhu
安内攘外,an'nei'rang'wai
按辔徐行,an'pei'xu'xing
安贫乐道,an'pin'le'dao
安贫乐贱,an'pin'le'jian
暗气暗恼,an'qi'an'nao
鞍前马后,an'qian'ma'hou
安然如故,an'ran'ru'gu
黯然伤神,an'ran'shang'shen
黯然失色,an'ran'shi'se
安然无事,an'ran'wu'shi
安然无恙,an'ran'wu'yang
黯然销魂,an'ran'xiao'hun
安忍无亲,an'ren'wu'qin
安如磐石,an'ru'pan'shi
安如泰山,an'ru'tai'shan
暗弱无断,an'ruo'wu'duan
安身立命,an'shen'li'ming
安身为乐,an'shen'wei'le
安身之处,an'shen'zhi'chu
安身之地,an'shen'zhi'di
暗室不欺,an'shi'bu'qi
安时处顺,an'shi'chu'shun
暗室逢灯,an'shi'feng'deng
暗室亏心,an'shi'kui'xin
安室利处,an'shi'li'chu
暗室欺心,an'shi'qi'xin
暗室求物,an'shi'qiu'wu
安适如常,an'shi'ru'chang
暗送秋波,an'song'qiu'bo
安土重迁,an'tu'chong'qian
按图索骥,an'tu'suo'ji
安危相易,an'wei'xiang'yi
安危与共,an'wei'yu'gong
暗无天日,an'wu'tian'ri
安闲自得,an'xian'zi'de
安闲自在,an'xian'zi'zai
暗香疏影,an'xiang'shu'ying
安心定志,an'xin'ding'zhi
按行自抑,an'xing'zi'yi
安营扎寨,an'ying'zha'zhai
安于故俗溺于旧闻,an'yu'gu'su'ni'yu'jiu'wen
安于现状,an'yu'xian'zhuang
安于一隅,an'yu'yi'yu
安宅正路,an'zhai'zheng'lu
安枕而卧,an'zhen'er'wo
