阿拉斯加鸬鹚,a'la'si'jia'lu'ci
阿鲁巴岛响尾蛇,a'lu'ba'dao'xiang'wei'she
阿氏偕老同穴,a'shi'xie'lao'tong'xue
阿特拉斯棕熊,a'te'la'si'zong'xiong
爱尔兰红色蹲猎犬,ai'er'lan'hong'se'dun'lie'quan
爱尔兰软毛梗,ai'er'lan'ruan'mao'geng
艾美虫属,ai'mei'chong'shu
爱斯基摩杓鹬,ai'si'ji'mo'biao'yu
安德鲁军舰鸟,an'de'lu'jun'jian'niao
安第斯神鹰,an'di'si'shen'ying
暗腹雪鸡,an'fu'xue'ji
安哥拉兔,an'ge'la'tu
凹甲陆龟,ao'jia'lu'gui
奥勒什蒂鱼,ao'le'shen'di'yu
螯肢动物亚门,ao'zhi'dong'wu'ya'men
澳洲肺鱼,ao'zhou'fei'yu
澳洲肺鱼目,ao'zhou'fei'yu'mu
巴倍虫属,ba'bei'chong'shu
叭虫属,ba'chong'shu
巴德兰兹大角羊,ba'de'lan'zi'da'jiao'yang
巴哥犬,ba'ge'quan
巴吉度犬,ba'ji'du'quan
巴基斯坦沙猫,ba'ji'si'tan'sha'mao
巴克夏猪,ba'ke'xia'zhu
巴厘虎,ba'li'hu
巴拿马金蛙,ba'na'ma'jin'wa
巴西马代拉海燕,ba'xi'ma'dai'la'hai'yan
白腹鲮鲤,bai'fu'ling'li
白虎,bai'hu
白鹡鸰,bai'ji'ling
白颊长臂猿,bai'jia'chang'bi'yuan
白狼,bai'lang
白领白脸猴,bai'ling'bai'lian'hou
白鹭,bai'lu
白眉长臂猿,bai'mei'chang'bi'yuan
白眉蝮蛇,bai'mei'fu'she
白眉姬鹟,bai'mei'ji'weng
白寿带,bai'shou'dai
白条锦蛇,bai'tiao'jin'she
白头叶猴,bai'tou'ye'hou
白犀,bai'xi
白熊,bai'xiong
白腰草鹬,bai'yao'cao'yu
白掌长臂猿,bai'zhang'chang'bi'yuan
白足澳洲林鼠,bai'zu'ao'zhou'lin'shu
白足鼬狐猴,bai'zu'you'hu'hou
斑点楔齿蜥,ban'dian'xie'chi'xi
斑海豹,ban'hai'bao
斑节对虾,ban'jie'dui'xia
斑林狸,ban'lin'li
斑羚,ban'ling
斑驴,ban'lv
半索动物门,ban'suo'dong'wu'men
斑文鸟,ban'wen'niao
宝刀鱼,bao'dao'yu
保护色,bao'hu'se
豹蛙,bao'wa
北鲑,bei'gui
北极动物,bei'ji'dong'wu
贝吉格里芬凡丁犬,bei'ji'ge'li'fen'fan'ding'quan
北极鸟类,bei'ji'niao'lei
北京动物园,bei'jing'dong'wu'yuan
杯状珊瑚群,bei'zhuang'shan'hu'qun
奔跑最快的动物,ben'pao'zui'kuai'de'dong'wu
鼻端柔软肿胀的印度鳄,bi'duan'rou'ruan'zhong'zhang'de'yin'du'e
壁虎科,bi'hu'ke
比利牛斯北山羊,bi'li'niu'si'bei'shan'yang
比目鱼,bi'mu'yu
鼻型动物,bi'xing'dong'wu
躄鱼,bi'yu
鞭虫,bian'chong
蝙蝠鱼科,bian'fu'yu'ke
扁平上皮,bian'ping'shang'pi
变色动物的启示,bian'se'dong'wu'de'qi'shi
变温动物,bian'wen'dong'wu
变形虫属,bian'xing'chong'shu
扁形动物,bian'xing'dong'wu
扁形动物门,bian'xing'dong'wu'men
标本室,biao'ben'shi
濒临灭绝的印尼椰子蟹,bin'lin'mie'jue'de'yin'ni'ye'zi'xie
冰下捕鱼,bing'xia'bu'yu
并殖吸虫属,bing'zhi'xi'chong'shu
博茨瓦纳国家动物园,bo'ci'wa'na'guo'jia'dong'wu'yuan
玻甲鱼,bo'jia'yu
波兰野牛,bo'lan'ye'niu
玻璃动物园,bo'li'dong'wu'yuan
博美犬,bo'mei'quan
波士顿梗,bo'shi'dun'geng
不丹尾凤蝶,bu'dan'wei'feng'die
不规则纺锤螺,bu'gui'ze'fang'chui'luo
不会迁徙的夏威夷雁,bu'hui'qian'xi'de'xia'wei'yi'yan
不列颠哥伦比亚狼,bu'lie'dian'ge'lun'bi'ya'lang
不列颠猫,bu'lie'dian'mao
不列塔尼猎犬,bu'lie'ta'ni'lie'quan
布列塔尼猎犬,bu'lie'ta'ni'lie'quan
不明透孔螺,bu'ming'tou'kong'luo
哺乳,bu'ru
布氏姜片虫,bu'shi'jiang'pian'chong
捕鼠能手印度蟒,bu'shu'neng'shou'yin'du'mang
捕蝇草的捕虫叶,bu'ying'cao'de'bu'chong'ye
彩绘动物漆座屏,cai'hui'dong'wu'qi'zuo'ping
藏酋猴,cang'qiu'hou
仓鼠,cang'shu
苍蝇和航天事业,cang'ying'he'hang'tian'shi'ye
草鹭,cao'lu
草履虫,cao'lv'chong
草履虫的接合生殖,cao'lv'chong'de'jie'he'sheng'zhi
草履虫分裂,cao'lv'chong'fen'lie
草履虫属,cao'lv'chong'shu
草苔虫属,cao'tai'chong'shu
草蜥,cao'xi
草原动物群,cao'yuan'dong'wu'qun
侧生动物,ce'sheng'dong'wu
层孔虫目,ceng'kong'chong'mu
叉角羚,cha'jiao'ling
查塔姆秧鸡,cha'ta'mu'yang'ji
蟾蜍,chan'chu
蟾鱼目,chan'yu'mu
长臂猿,chang'bi'yuan
长颈鹿,chang'jing'lu
长尾鲮鲤,chang'wei'ling'li
长尾山雀,chang'wei'shan'que
长吻针鼹,chang'wen'zhen'yan
长须牧羊犬,chang'xu'mu'yang'quan
长轴螺,chang'zhou'luo
澄江动物群,cheng'jiang'dong'wu'qun
池鹭,chi'lu
翅脉,chi'mai
池塘养鱼,chi'tang'yang'yu
虫动物门,chong'dong'wu'men
虫积,chong'ji
虫蜡,chong'la
虫霉目,chong'mei'mu
虫牙,chong'ya
丑鸭,chou'ya
除虫菊,chu'chong'ju
雏鸟,chu'niao
穿山甲,chuan'shan'jia
刺毛虫类,ci'mao'chong'lei
刺猬,ci'wei
刺尾鱼,ci'wei'yu
刺尾鱼科,ci'wei'yu'ke
刺细胞,ci'xi'bao
刺鱼目,ci'yu'mu
丛林猫,cong'lin'mao
丛林犬,cong'lin'quan
丛林鸦,cong'lin'ya
聪明的塔里木兔,cong'ming'de'ta'li'mu'tu
丛石鴴,cong'shi'heng
丛石鸻,cong'shi'heng
丛云宝螺,cong'yun'bao'luo
