岔心,cha'xin
道岔检查,dao'cha'jian'cha
道钉锤,dao'ding'chui
导曲上股,dao'qu'shang'gu
导曲下股,dao'qu'xia'gu
方尺,fang'chi
方向,fang'xiang
高低,gao'di
轨距,gui'ju
轨距尺,gui'ju'chi
活口扳手,huo'kou'ban'shou
尖轨尖,jian'gui'jian
九齿叉,jiu'chi'cha
密贴,mi'tie
扭力矩扳手,niu'li'ju'ban'shou
起拨器,qi'bo'qi
起道机,qi'dao'ji
汽油,qi'you
曲线上股,qu'xian'shang'gu
曲线下股,qu'xian'xia'gu
三齿耙,san'chi'pa
三角坑,san'jiao'keng
石笔,shi'bi
水平,shui'ping
威客捣固机,wei'ke'dao'gu'ji
线路,xian'lu
线路设备检查,xian'lu'she'bei'jian'cha
液压起道机,ye'ya'qi'dao'ji
一抄两捣固机,yi'chao'liang'dao'gu'ji
辙叉,zhe'cha
直钢尺,zhi'gang'chi
直基准股,zhi'ji'zhun'gu
