八宝景天,ba'bao'jing'tian
芭蕾舞美人,ba'lei'wu'mei'ren
白蜡,bai'la
白皮松,bai'pi'song
白三叶草,bai'san'ye'cao
白榆,bai'yu
白玉兰,bai'yu'lan
白玉簪,bai'yu'zan
北海道黄杨,bei'hai'dao'huang'yang
北京桧柏,bei'jing'gui'bai
北京桧柏球,bei'jing'gui'bai'qiu
北美海棠系列,bei'mei'hai'tang'xi'lie
彩叶花木类,cai'ye'hua'mu'lei
草莓果冻海棠,cao'mei'guo'dong'hai'tang
侧柏,ce'bai
常春藤,chang'chun'teng
常绿类,chang'lv'lei
常夏石竹,chang'xia'shi'zhu
朝鲜黄杨,chao'xian'huang'yang
垂柳,chui'liu
垂丝海棠,chui'si'hai'tang
春雪海棠,chun'xue'hai'tang
刺槐,ci'huai
丛生福禄考,cong'sheng'fu'lu'kao
大花秋葵,da'hua'qiu'kui
大花溲疏,da'hua'sou'shu
大花萱草,da'hua'xuan'cao
大花月季,da'hua'yue'ji
大叶垂榆,da'ye'chui'yu
大叶黄杨,da'ye'huang'yang
大叶黄杨球,da'ye'huang'yang'qiu
丹麦草,dan'mai'cao
德国景天,de'guo'jing'tian
德国鸢尾,de'guo'yuan'wei
地被菊,di'bei'ju
棣棠,di'tang
杜仲,du'zhong
多花胡枝子,duo'hua'hu'zhi'zi
法桐,fa'tong
粉花麦李,fen'hua'mai'li
丰花月季,feng'hua'yue'ji
高原之火海棠,gao'yuan'zhi'huo'hai'tang
国槐,guo'huai
果石榴,guo'shi'liu
果树类,guo'shu'lei
海州常山,hai'zhou'chang'shan
合欢,he'huan
荷兰菊,he'lan'ju
河南桧,he'nan'gui
河南桧柏球,he'nan'gui'bai'qiu
核桃,he'tao
红宝石海棠,hong'bao'shi'hai'tang
红果海棠,hong'guo'hai'tang
红果山楂,hong'guo'shan'zha
红花麦李,hong'hua'mai'li
红丽海棠,hong'li'hai'tang
红帽子月季,hong'mao'zi'yue'ji
红玫瑰,hong'mei'gui
红瑞木,hong'rui'mu
红王子锦带,hong'wang'zi'jin'dai
红雪果,hong'xue'guo
红叶碧桃,hong'ye'bi'tao
红叶红花垂枝海棠,hong'ye'hong'hua'chui'zhi'hai'tang
红叶景天,hong'ye'jing'tian
红玉海棠,hong'yu'hai'tang
红玉兰,hong'yu'lan
蝴蝶槐,hu'die'huai
花灌木类,hua'guan'mu'lei
华山松,hua'shan'song
花石榴,hua'shi'liu
花叶玉簪,hua'ye'yu'zan
黄刺梅,huang'ci'mei
黄花锦鸡儿,huang'hua'jin'ji'er
黄金槐,huang'jin'huai
黄柳,huang'liu
火炬,huo'ju
火焰海棠,huo'yan'hai'tang
鸡麻,ji'ma
假龙头,jia'long'tou
剑麻,jian'ma
江南槐,jiang'nan'huai
胶东卫矛,jiao'dong'wei'mao
接骨木,jie'gu'mu
金边扶芳藤,jin'bian'fu'fang'teng
金露梅,jin'lu'mei
金玛丽月季,jin'ma'li'yue'ji
金山绣线菊,jin'shan'xiu'xian'ju
金丝垂柳,jin'si'chui'liu
金娃娃萱草,jin'wa'wa'xuan'cao
金焰绣线菊,jin'yan'xiu'xian'ju
金叶风箱果,jin'ye'feng'xiang'guo
金叶复叶槭,jin'ye'fu'ye'qi
金叶红瑞木,jin'ye'hong'rui'mu
金叶接骨木,jin'ye'jie'gu'mu
金叶锦带,jin'ye'jin'dai
金叶景天,jin'ye'jing'tian
金叶连翘,jin'ye'lian'qiao
金叶裂叶接骨木,jin'ye'lie'ye'jie'gu'mu
金叶女贞球,jin'ye'nv'zhen'qiu
金叶山梅花,jin'ye'shan'mei'hua
金叶莸,jin'ye'you
金叶榆,jin'ye'yu
金银花,jin'yin'hua
金银木,jin'yin'mu
金枝红瑞木,jin'zhi'hong'rui'mu
金枝梾木,jin'zhi'lai'mu
金钟花,jin'zhong'hua
菊花桃,ju'hua'tao
凯尔斯海棠,kai'er'si'hai'tang
勘察加费菜,kan'cha'jia'fei'cai
腊梅,la'mei
兰花莸,lan'hua'you
蓝花鸢尾,lan'hua'yuan'wei
蓝叶景天,lan'ye'jing'tian
梨树,li'shu
连翘,lian'qiao
凌霄,ling'xiao
龙爪槐,long'zhao'huai
龙爪紫花槐,long'zhao'zi'hua'huai
栾树,luan'shu
落新妇,luo'xin'fu
绿叶碧桃,lv'ye'bi'tao
马兰,ma'lan
曼海姆月季,man'hai'mu'yue'ji
馒头柳,man'tou'liu
毛白杨,mao'bai'yang
美人梅,mei'ren'mei
木槿,mu'jin
木绣球,mu'xiu'qiu
糯米条,nuo'mi'tiao
挪威枫,nuo'wei'feng
苹果,ping'guo
平枝栒子,ping'zhi'xun'zi
婆婆娜,po'po'na
葡萄,pu'tao
千屈菜,qian'qu'cai
千头椿,qian'tou'chun
蔷薇,qiang'wei
乔木类,qiao'mu'lei
青桐,qing'tong
忍冬,ren'dong
日本绣线菊,ri'ben'xiu'xian'ju
日本樱花,ri'ben'ying'hua
洒金柏,sa'jin'bai
三七景天,san'qi'jing'tian
三叶地锦,san'ye'di'jin
沙地柏,sha'di'bai
蛇鞭菊,she'bian'ju
柿子树,shi'zi'shu
蜀桧,shu'gui
蜀葵,shu'kui
水栒子,shui'xun'zi
四季锦带,si'ji'jin'dai
丝兰,si'lan
丝绵木,si'mian'mu
宿根地被花卉,su'gen'di'bei'hua'hui
宿根福禄考,su'gen'fu'lu'kao
速生柳,su'sheng'liu
太平花,tai'ping'hua
桃树,tao'shu
藤本类,teng'ben'lei
天目琼花,tian'mu'qiong'hua
贴梗海棠,tie'geng'hai'tang
望都塔桧,wang'du'ta'gui
王族海棠,wang'zu'hai'tang
猥实,wei'shi
五彩石竹,wu'cai'shi'zhu
五角枫,wu'jiao'feng
五叶地锦,wu'ye'di'jin
西安桧,xi'an'gui
西府海棠,xi'fu'hai'tang
香椿,xiang'chun
香花槐,xiang'hua'huai
小花溲疏,xiao'hua'sou'shu
小叶扶芳藤,xiao'ye'fu'fang'teng
小叶黄杨,xiao'ye'huang'yang
小叶黄杨球,xiao'ye'huang'yang'qiu
小紫珠,xiao'zi'zhu
新疆杨,xin'jiang'yang
杏树,xing'shu
绚丽海棠,xuan'li'hai'tang
雪柳,xue'liu
雪松,xue'song
亚当海棠,ya'dang'hai'tang
银杏,yin'xing
迎春,ying'chun
樱桃,ying'tao
油松,you'song
榆叶梅,yu'ye'mei
云杉,yun'shan
枣树,zao'shu
早熟禾系列草坪,zao'shu'he'xi'lie'cao'ping
早园竹,zao'yuan'zhu
珍珠梅,zhen'zhu'mei
珍珠绣线菊,zhen'zhu'xiu'xian'ju
紫丁香,zi'ding'xiang
紫藤,zi'teng
紫薇,zi'wei
紫叶矮樱,zi'ye'ai'ying
紫叶稠李,zi'ye'chou'li
紫叶风箱果,zi'ye'feng'xiang'guo
紫叶李,zi'ye'li
紫叶酢桨草,zi'ye'zuo'jiang'cao
紫玉簪,zi'yu'zan
钻石海棠,zuan'shi'hai'tang
