八一路口,ba'yi'lu'kou
北郊乡政府,bei'jiao'xiang'zheng'fu
本城街口,ben'cheng'jie'kou
茶马古道,cha'ma'gu'dao
长江造林,chang'jiang'zao'lin
车管所,che'guan'suo
城监支队,cheng'jian'zhi'dui
成雅高速北,cheng'ya'gao'su'bei
川农体育馆,chuan'nong'ti'yu'guan
川西医院,chuan'xi'yi'yuan
创业商城,chuang'ye'shang'cheng
大北街口,da'bei'jie'kou
档案校,dang'an'xiao
电大,dian'da
东安明珠,dong'an'ming'zhu
东风大桥,dong'feng'da'qiao
二汽,er'qi
泛华厂,fan'hua'chang
高颐阙,gao'yi'que
公路局,gong'lu'ju
汉碑村,han'bei'cun
汉文化广场,han'wen'hua'guang'chang
红十字医院,hong'shi'zi'yi'yuan
化工厂厂区,hua'gong'chang'chang'qu
化工厂宿舍,hua'gong'chang'su'she
华兴街,hua'xing'jie
华兴街东口,hua'xing'jie'dong'kou
货运站,huo'yun'zhan
假日广场,jia'ri'guang'chang
建新路口,jian'xin'lu'kou
交警大队,jiao'jing'da'dui
交警支队,jiao'jing'zhi'dui
金凤寺,jin'feng'si
康北路口,kang'bei'lu'kou
廊桥北桥头,lang'qiao'bei'qiao'tou
联通公司,lian'tong'gong'si
龙观路口,long'guan'lu'kou
陆王村,lu'wang'cun
旅游车站,lv'you'che'zhan
绿洲路口,lv'zhou'lu'kou
贸易校,mao'yi'xiao
木城街口,mu'cheng'jie'kou
南三路口,nan'san'lu'kou
南四路口,nan'si'lu'kou
汽车市场,qi'che'shi'chang
汽车展场,qi'che'zhan'chang
七星桥,qi'xing'qiao
七中,qi'zhong
青江厂,qing'jiang'chang
青年路口,qing'nian'lu'kou
青衣江大桥,qing'yi'jiang'da'qiao
青衣江公园,qing'yi'jiang'gong'yuan
区法院,qu'fa'yuan
区政府,qu'zheng'fu
人民路,ren'min'lu
三九药业,san'jiu'yao'ye
三十七医院,san'shi'qi'yi'yuan
三雅园,san'ya'yuan
上坝路口,shang'ba'lu'kou
商务局,shang'wu'ju
少年宫,shao'nian'gong
市二医院,shi'er'yi'yuan
市防疫站,shi'fang'yi'zhan
市交通局,shi'jiao'tong'ju
实验小学,shi'yan'xiao'xue
市政府,shi'zheng'fu
双江路口,shuang'jiang'lu'kou
水中坝村,shui'zhong'ba'cun
水中坝开发区,shui'zhong'ba'kai'fa'qu
桃花巷,tao'hua'xiang
通工小区,tong'gong'xiao'qu
通讯城,tong'xun'cheng
桐梓林油库,tong'zi'lin'you'ku
外国语小学,wai'guo'yu'xiao'xue
王家沟路口,wang'jia'gou'lu'kou
魏家岗,wei'jia'gang
文定街口,wen'ding'jie'kou
武安街口,wu'an'jie'kou
武安街路口,wu'an'jie'lu'kou
五营村,wu'ying'cun
溪沟巷,xi'gou'xiang
西康码头,xi'kang'ma'tou
西康码头招呼站,xi'kang'ma'tou'zhao'hu'zhan
西门车站,xi'men'che'zhan
县车队,xian'che'dui
小宝洞,xiao'bao'dong
小北街口,xiao'bei'jie'kou
行政中心,xing'zheng'zhong'xin
学府花园,xue'fu'hua'yuan
雅安宾馆,ya'an'bin'guan
雅安东站,ya'an'dong'zhan
雅通市场,ya'tong'shi'chang
雅职院,ya'zhi'yuan
雅职院附院,ya'zhi'yuan'fu'yuan
雅中后门,ya'zhong'hou'men
一七二厂,yi'qi'er'chang
友谊茶厂,you'yi'cha'chang
育才路口,yu'cai'lu'kou
雨城大酒店,yu'cheng'da'jiu'dian
雨城电站,yu'cheng'dian'zhan
雨都饭店,yu'dou'fan'dian
运管处红十字医院,yun'guan'chu'hong'shi'zi'yi'yuan
中医院,zhong'yi'yuan
住院部,zhu'yuan'bu
