阿比拉玛勒达,a'bi'la'ma'le'da
阿帕契,a'pa'qi
阿散井,a'san'jing
阿散井恋次,a'san'jing'lian'ci
爱川罗武,ai'chuan'luo'wu
艾多拉德里欧尼斯,ai'duo'la'de'li'ou'ni'si
八番队,ba'fan'dui
八千流,ba'qian'liu
巴瓦巴瓦,ba'wa'ba'wa
百步阑干,bai'bu'lan'gan
百刺毒娼,bai'ci'du'chang
白打,bai'da
白刀,bai'dao
白伏,bai'fu
拜勒岗,bai'le'gang
拜勒岗鲁伊森帮,bai'le'gang'lu'yi'sen'bang
白雷,bai'lei
白涟,bai'lian
百连闩,bai'lian'shuan
白蔷薇之刑,bai'qiang'wei'zhi'xing
白蛇姬,bai'she'ji
白一护,bai'yi'hu
白哉,bai'zai
斑目一角,ban'mu'yi'jiao
半虚,ban'xu
暴风男爵,bao'feng'nan'jue
豹王,bao'wang
豹王之爪,bao'wang'zhi'zhao
贝罗纳,bei'luo'na
本匠千鹤,ben'jiang'qian'he
崩玉,beng'yu
碧鹿斗女,bi'lu'dou'nv
冰龙旋尾,bing'long'xuan'wei
冰龙旋尾绝空,bing'long'xuan'wei'jue'kong
冰轮丸,bing'lun'wan
冰天百华葬,bing'tian'bai'hua'zang
狛村,bo'cun
狛村左阵,bo'cun'zuo'zhen
不精独乐,bu'jing'du'le
苍火坠,cang'huo'zhui
苍剑炮,cang'jian'pao
苍角王子,cang'jiao'wang'zi
草鹿八千流,cao'lu'ba'qian'liu
茶渡,cha'du
茶渡泰虎,cha'du'tai'hu
侘助,cha'zhu
柴田勇一,chai'tian'yong'yi
车谷善之助,che'gu'shan'zhi'zhu
车轮铁燕,che'lun'tie'yan
瀞灵壁,cheng'ling'bi
瀞灵门,cheng'ling'men
瀞灵廷,cheng'ling'ting
赤火炮,chi'huo'pao
炽热的小锤,chi're'de'xiao'chui
赤烟遁,chi'yan'dun
紬屋雨,chou'wu'yu
雏森,chu'sen
雏森桃,chu'sen'tao
初舞,chu'wu
穿界门,chuan'jie'men
椿鬼,chun'gui
春水,chun'shui
次舞,ci'wu
从属官,cong'shu'guan
翠绿射枪,cui'lv'she'qiang
大鬼道长,da'gui'dao'chang
大红莲冰轮丸,da'hong'lian'bing'lun'wan
大前田,da'qian'tian
大前田希千代,da'qian'tian'xi'qian'dai
大虚,da'xu
戴斯乐,dai'si'le
刀剑解放,dao'jian'jie'fang
倒山晶,dao'shan'jing
地缚灵,di'fu'ling
迪罗伊,di'luo'yi
蒂雅赫丽贝尔,di'ya'he'li'bei'er
地狱蝶,di'yu'die
吊星,diao'xing
咚德恰卡,dong'de'qia'ka
咚德恰卡毕尔斯坦,dong'de'qia'ka'bi'er'si'tan
冬狮郎,dong'shi'lang
东仙,dong'xian
东仙要,dong'xian'yao
冻云,dong'yun
断地风,duan'di'feng
断界,duan'jie
断空,duan'kong
断瀑,duan'pu
端坐于霜天,duan'zuo'yu'shuang'tian
队舍,dui'she
盾舜六花,dun'shun'liu'hua
多鲁多尼亚历山卓戴尔索卡奇欧,duo'lu'duo'ni'ya'li'shan'zhuo'dai'er'suo'ka'qi'ou
二段归刃,er'duan'gui'ren
二番队,er'fan'dui
反鬼相杀,fan'gui'xiang'sha
反膜,fan'mo
反膜之匪,fan'mo'zhi'fei
狒狒王蛇尾丸,fei'fei'wang'she'wei'wan
狒骨大炮,fei'gu'da'pao
飞廉脚,fei'lian'jiao
飞梅,fei'mei
狒牙绝咬,fei'ya'jue'yao
废炎,fei'yan
绯真,fei'zhen
芬朵尔凯利亚司,fen'duo'er'kai'li'ya'si
愤兽,fen'shou
凤桥楼十郎,feng'qiao'lou'shi'lang
风死,feng'si
蜂纹华,feng'wen'hua
缚道,fu'dao
伏火,fu'huo
弗勒,fu'le
抚斩,fu'zhan
浮竹,fu'zhu
浮竹十四郎,fu'zhu'shi'si'lang
改造魂魄,gai'zao'hun'po
钢皮,gang'pi
刚腾拜恩莫司克达,gang'teng'bai'en'mo'si'ke'da
葛力姆乔,ge'li'mu'qiao
葛力姆乔贾卡杰克,ge'li'mu'qiao'jia'ka'jie'ke
更木剑八,geng'mu'jian'ba
弓亲,gong'qin
宫廷玫瑰花园的美丽女王,gong'ting'mei'gui'hua'yuan'de'mei'li'nv'wang
孤天斩盾,gu'tian'zhan'dun
掴趾追雀,guai'zhi'zhui'que
贯坂兕丹坊,guan'ban'si'dan'fang
观音寺,guan'yin'si
光之雨,guang'zhi'yu
鬼道,gui'dao
鬼灯丸,gui'deng'wan
归刃,gui'ren
桧佐木修兵,gui'zuo'mu'xiu'bing
馘大蛇,guo'da'she
海燕,hai'yan
赫丽贝尔,he'li'bei'er
黑棺,hei'guan
黑崎,hei'qi
黑崎夏梨,hei'qi'xia'li
黑崎一护,hei'qi'yi'hu
黑崎一心,hei'qi'yi'xin
黑崎游子,hei'qi'you'zi
黑崎真咲,hei'qi'zhen'xiao
黑绳天谴明王,hei'sheng'tian'qian'ming'wang
黑虚闪,hei'xu'shan
黑翼大魔,hei'yi'da'mo
红飞蝗,hong'fei'huang
红姬,hong'ji
虎彻清音,hu'che'qing'yin
虎彻勇音,hu'che'yong'yin
弧雀,hu'que
护廷十三队,hu'ting'shi'san'dui
护廷十三番队,hu'ting'shi'san'fan'dui
瓠丸,hu'wan
虎牙迅风,hu'ya'xun'feng
花太郎,hua'tai'lang
花天狂骨,hua'tian'kuang'gu
花刈甚太,hua'yi'shen'tai
皇鲛后,huang'jiao'hou
荒卷真木造,huang'juan'zhen'mu'zao
毁鷇王,hui'kou'wang
灰猫,hui'mao
混兽神,hun'shou'shen
魂吸,hun'xi
魂葬,hun'zang
火焚城郭,huo'fen'cheng'guo
火山兽,huo'shan'shou
火无菊,huo'wu'ju
基力安,ji'li'an
吉良,ji'liang
吉良伊鹤,ji'liang'yi'he
吉欧魏格,ji'ou'wei'ge
技术开发局,ji'shu'kai'fa'ju
假面,jia'mian
假面军团,jia'mian'jun'tuan
剑八,jian'ba
歼景,jian'jing
尽敌螫杀,jin'di'shi'sha
金色疋杀地藏,jin'se'pi'sha'di'zang
金沙罗,jin'sha'luo
金沙罗奏曲,jin'sha'luo'zou'qu
金狮子将,jin'shi'zi'jiang
禁术,jin'shu
金彦,jin'yan
镜花水月,jing'hua'shui'yue
京乐春水,jing'le'chun'shui
净灵廷,jing'ling'ting
镜门,jing'men
井上,jing'shang
井上旻,jing'shang'min
井上织姬,jing'shang'zhi'ji
九番队,jiu'fan'dui
九相轮杀,jiu'xiang'lun'sha
拘流,ju'liu
拘突,ju'tu
巨腕鲸,ju'wan'jing
巨象兵,ju'xiang'bing
柯雅泰史塔克,ke'ya'tai'shi'ta'ke
吭景,keng'jing
空蝉,kong'chan
空鹤,kong'he
空间转移,kong'jian'zhuan'yi
空战鹫,kong'zhan'jiu
空座町,kong'zuo'ding
骷髅大帝,ku'lou'da'di
骷髅军团,ku'lou'jun'tuan
骷髅树,ku'lou'shu
狂伽蟋蟀,kuang'jia'xi'shuai
蓝染,lan'ran
蓝染惣右介,lan'ran'zong'you'jie
雷吼炮,lei'hou'pao
雷霆之枪,lei'ting'zhi'qiang
莉莉,li'li
莉莉妮特,li'li'ni'te
莉莉妮特金洁巴克,li'li'ni'te'jin'jie'ba'ke
莉莎,li'sha
恋次,lian'ci
捩花,lie'hua
灵波计测所,ling'bo'ji'ce'suo
零番队,ling'fan'dui
灵弓,ling'gong
绫濑川弓亲,ling'lai'chuan'gong'qin
灵络,ling'luo
羚骑士,ling'qi'shi
灵压,ling'ya
灵珠核,ling'zhu'he
灵子,ling'zi
灵子兵装,ling'zi'bing'zhuang
灵子转换机,ling'zi'zhuan'huan'ji
六车九番队,liu'che'jiu'fan'dui
六车拳西,liu'che'quan'xi
六番队,liu'fan'dui
流魂街,liu'hun'jie
琉璃色孔雀,liu'li'se'kong'que
流刃若火,liu'ren'ruo'huo
六杖光牢,liu'zhang'guang'lao
龙贵,long'gui
龙纹鬼灯丸,long'wen'gui'deng'wan
龙弦,long'xian
龙霰架,long'xian'jia
露比,lu'bi
路德本,lu'de'ben
卢米纳,lu'mi'na
露琪亚,lu'qi'ya
乱菊,luan'ju
乱装天傀,luan'zhuang'tian'kui
洛莉,luo'li
罗武,luo'wu
罗兹,luo'zi
绿杯,lv'bei
旅祸,lv'huo
卯之花烈,mao'zhi'hua'lie
梅达赛皮,mei'da'sai'pi
梅诺莉,mei'nuo'li
梅严,mei'yan
门乘寺辰房,men'cheng'si'chen'fang
米菈罗兹,mi'la'luo'zi
灭火皇子,mie'huo'huang'zi
灭却师,mie'que'shi
灭亡之斧,mie'wang'zhi'fu
明王,ming'wang
纳奇姆格林迪那,na'qi'mu'ge'lin'di'na
尼尔格帕尔多克,ni'er'ge'pa'er'duo'ke
逆拂,ni'fu
妮莉艾露杜欧德修凡克,ni'li'ai'lu'du'ou'de'xiu'fan'ke
妮露,ni'lu
茑娘,niao'niang
涅茧利,nie'jian'li
涅音梦,nie'yin'meng
诺伊特拉,nuo'yi'te'la
诺伊特拉吉尔加,nuo'yi'te'la'ji'er'jia
沛薛,pei'xue
沛薛卡迪谢,pei'xue'ka'di'xie
疋杀地藏,pi'sha'di'zang
漂灵,piao'ling
平子,ping'zi
平子真子,ping'zi'zhen'zi
破道,po'dao
破芒阵,po'mang'zhen
浦原,pu'yuan
浦原商店,pu'yuan'shang'dian
浦原喜助,pu'yuan'xi'zhu
七番队,qi'fan'dui
奇农波,qi'nong'bo
启吾,qi'wu
千本樱,qian'ben'ying
千本樱景严,qian'ben'ying'jing'yan
千年冰牢,qian'nian'bing'lao
牵星箝,qian'xing'qian
浅野启吾,qian'ye'qi'wu
切魂之物,qie'hun'zhi'wu
清虫,qing'chong
清虫百式,qing'chong'bai'shi
清虫终式,qing'chong'zhong'shi
蛆虫之巢,qu'chong'zhi'chao
曲光,qu'guang
拳西,quan'xi
雀部长次郎,que'bu'zhang'ci'lang
雀蜂,que'feng
雀蜂雷公鞭,que'feng'lei'gong'bian
群狼,qun'lang
群鸟冰柱,qun'niao'bing'zhu
日番谷,ri'fan'gu
日番谷冬狮郎,ri'fan'gu'dong'shi'lang
日世里,ri'shi'li
融合虚闪,rong'he'xu'shan
肉雫唼,rou'na'sha
萨尔阿波罗,sa'er'a'bo'luo
萨尔阿波罗格兰兹,sa'er'a'bo'luo'ge'lan'zi
三番队,san'fan'dui
散灵手套,san'ling'shou'tao
三天结盾,san'tian'jie'dun
三舞,san'wu
杀气石,sha'qi'shi
山本元柳斋重国,shan'ben'yuan'liu'zhai'zhong'guo
闪花,shan'hua
山田花太郎,shan'tian'hua'tai'lang
梢绫,shao'ling
射场,she'chang
射场铁左卫门,she'chang'tie'zuo'wei'men
舍弃咏唱,she'qi'yong'chang
蛇尾丸,she'wei'wan
神枪,shen'qiang
甚太,shen'tai
圣哭螳螂,sheng'ku'tang'lang
圣噬,sheng'shi
矢胴丸莉莎,shi'dong'wan'li'sha
十二番队,shi'er'fan'dui
十番队,shi'fan'dui
尸魂界,shi'hun'jie
时间停止,shi'jian'ting'zhi
始解,shi'jie
十六夜蔷薇,shi'liu'ye'qiang'wei
十刃,shi'ren
十三番队,shi'san'fan'dui
史塔克,shi'ta'ke
石田,shi'tian
石田龙弦,shi'tian'long'xian
石田雨龙,shi'tian'yu'long
石田宗弦,shi'tian'zong'xian
市丸银,shi'wan'yin
噬虚,shi'xu
十一番队,shi'yi'fan'dui
受胎告知,shou'tai'gao'zhi
双重咏唱,shuang'chong'yong'chang
双儿响转,shuang'er'xiang'zhuan
双殛,shuang'ji
双莲苍火坠,shuang'lian'cang'huo'zhui
双天归盾,shuang'tian'gui'dun
双鱼理,shuang'yu'li
水色,shui'se
瞬步,shun'bu
瞬閧,shun'hong
舜樱,shun'ying
兕丹坊,si'dan'fang
四番队,si'fan'dui
四枫院,si'feng'yuan
四枫院夜一,si'feng'yuan'ye'yi
死神,si'shen
四十六室,si'shi'liu'shi
四兽塞门,si'shou'sai'men
死亡气息,si'wang'qi'xi
松本乱菊,song'ben'luan'ju
碎蜂,sui'feng
荪荪,sun'sun
锁条锁缚,suo'tiao'suo'fu
探查回路,tan'cha'hui'lu
