安胎养血先为主,an'tai'yang'xue'xian'wei'zhu
安胎养血宜常服,an'tai'yang'xue'yi'chang'fu
安胎饮子,an'tai'yin'zi
安胎饮子建莲先,an'tai'yin'zi'jian'lian'xian
八仙都气治相殊,ba'xian'dou'qi'zhi'xiang'shu
八珍糕,ba'zhen'gao
八珍糕与小儿宜,ba'zhen'gao'yu'xiao'er'yi
八珍合入四君子,ba'zhen'he'ru'si'jun'zi
八正木通与车前,ba'zheng'mu'tong'yu'che'qian
八正散,ba'zheng'san
百病多因痰作祟,bai'bing'duo'yin'tan'zuo'sui
白矾胡粉糊丸服,bai'fan'hu'fen'hu'wan'fu
白附川乌俱用生,bai'fu'chuan'wu'ju'yong'sheng
白茯苓丸,bai'fu'ling'wan
白茯苓丸治肾消,bai'fu'ling'wan'zhi'shen'xiao
百合固金二地黄,bai'he'gu'jin'er'di'huang
百合固金汤,bai'he'gu'jin'tang
百合汤中乌药佐,bai'he'tang'zhong'wu'yao'zuo
白虎汤,bai'hu'tang
白虎汤用石膏偎,bai'hu'tang'yong'shi'gao'wei
白通加尿猪胆汁,bai'tong'jia'niao'zhu'dan'zhi
白通加猪胆汁汤,bai'tong'jia'zhu'dan'zhi'tang
白芷升麻与木通,bai'zhi'sheng'ma'yu'mu'tong
白芷天麻苏叶参,bai'zhi'tian'ma'su'ye'can
白术散,bai'zhu'san
白术散中用四皮,bai'zhu'san'zhong'yong'si'pi
白术泽泻猪茯苓,bai'zhu'ze'xie'zhu'fu'ling
柏子仁丸,bai'zi'ren'wan
柏子仁丸人参术,bai'zi'ren'wan'ren'shen'shu
柏子仁丸熟地黄,bai'zi'ren'wan'shu'di'huang
斑黄阳毒皆堪治,ban'huang'yang'du'jie'kan'zhi
半硫半夏与硫黄,ban'liu'ban'xia'yu'liu'huang
半硫丸,ban'liu'wan
斑龙丸,ban'long'wan
斑龙丸用鹿胶霜,ban'long'wan'yong'lu'jiao'shuang
半夏白术天麻汤,ban'xia'bai'zhu'tian'ma'tang
半夏甘姜大枣临,ban'xia'gan'jiang'da'zao'lin
半夏厚朴茯苓苏,ban'xia'hou'pu'fu'ling'su
半夏荆甘赤茯因,ban'xia'jing'gan'chi'fu'yin
半夏木瓜赤茯苓,ban'xia'mu'gua'chi'fu'ling
半夏人参甘草藏,ban'xia'ren'shen'gan'cao'cang
半夏人参甘草从,ban'xia'ren'shen'gan'cao'cong
半夏人参兼炙草,ban'xia'ren'shen'jian'zhi'cao
半夏泻心黄连芩,ban'xia'xie'xin'huang'lian'qin
半夏泻心汤,ban'xia'xie'xin'tang
保安万灵丹,bao'an'wan'ling'dan
保产无忧方,bao'chan'wu'you'fang
保产无忧芎芍归,bao'chan'wu'you'xiong'shao'gui
保赤丹,bao'chi'dan
保赤丹中巴豆霜,bao'chi'dan'zhong'ba'dou'shuang
保肺清心治暑淫,bao'fei'qing'xin'zhi'shu'yin
保和神曲与山楂,bao'he'shen'qu'yu'shan'zha
保和丸,bao'he'wan
抱龙丸,bao'long'wan
抱龙星麝竺雄黄,bao'long'xing'she'zhu'xiong'huang
保元补益总偏温,bao'yuan'bu'yi'zong'pian'wen
保元汤,bao'yuan'tang
贝母天花兼乳没,bei'mu'tian'hua'jian'ru'mei
奔豚汤,ben'tun'tang
奔豚汤治肾中邪,ben'tun'tang'zhi'shen'zhong'xie
萆解分清石菖蒲,bi'jie'fen'qing'shi'chang'pu
萆解分清饮,bi'jie'fen'qing'yin
鼻生息肉此方攻,bi'sheng'xi'rou'ci'fang'gong
臂痛难移脾气阻,bi'tong'nan'yi'pi'qi'zu
便秘大黄可加使,bian'mi'da'huang'ke'jia'shi
便秘蓄血桃仁黄,bian'mi'xu'xue'tao'ren'huang
便实参去大黄跻,bian'shi'can'qu'da'huang'ji
便溏龟赭易脂良,bian'tang'gui'zhe'yi'zhi'liang
便溏阳痿服之宜,bian'tang'yang'wei'fu'zhi'yi
便血淋漓颇难治,bian'xie'lin'li'po'nan'zhi
匾蓄大黄滑石研,bian'xu'da'huang'hua'shi'yan
表里交攻阳热盛,biao'li'jiao'gong'yang're'sheng
表里三焦热盛宣,biao'li'san'jiao're'sheng'xuan
表散风寒力最雄,biao'san'feng'han'li'zui'xiong
表实细辛兼麻黄,biao'shi'xi'xin'jian'ma'huang
表虚身痛效无过,biao'xu'shen'tong'xiao'wu'guo
别称神术丸苍术,bie'cheng'shen'shu'wan'cang'zhu
鳖甲常山巴豆邀,bie'jia'chang'shan'ba'dou'yao
鳖甲饮子,bie'jia'yin'zi
鳖甲饮子治疟母,bie'jia'yin'zi'zhi'nue'mu
别名导气除甘桂,bie'ming'dao'qi'chu'gan'gui
别名止汗玉屏风,bie'ming'zhi'han'yu'ping'feng
鳖麝乌龙灵乳储,bie'she'wu'long'ling'ru'chu
别有白头翁可恃,bie'you'bai'tou'weng'ke'shi
槟曲蟾虫连楂合,bin'qu'chan'chong'lian'zha'he
槟榔朴草青陈伙,bing'lang'pu'cao'qing'chen'huo
槟榔芜荑苦楝群,bing'lang'wu'yi'ku'lian'qun
冰片硼珠朱二黄,bing'pian'peng'zhu'zhu'er'huang
冰麝羌防蛇蝎襄,bing'she'qiang'fang'she'xie'xiang
病危脉绝急煎斟,bing'wei'mai'jue'ji'jian'zhen
薄荷芩术力偏饶,bo'he'qin'shu'li'pian'rao
薄荷少许姜三片,bo'he'shao'xu'jiang'san'pian
补肺阿胶马兜铃,bu'fei'e'jiao'ma'dou'ling
补肺阿胶散,bu'fei'e'jiao'san
不眠黄芩栀子良,bu'mian'huang'qin'zhi'zi'liang
补人三宝气精神,bu'ren'san'bao'qi'jing'shen
补肾宁心健忘觉,bu'shen'ning'xin'jian'wang'jue
补土泻木理肝脾,bu'tu'xie'mu'li'gan'pi
补心丹,bu'xin'dan
补心丹用柏枣仁,bu'xin'dan'yong'bai'zao'ren
补阳还五赤芍芎,bu'yang'hai'wu'chi'shao'xiong
补阳还五汤,bu'yang'huan'wu'tang
不用附子及干姜,bu'yong'fu'zi'ji'gan'jiang
不用朴实伤上焦,bu'yong'pu'shi'shang'shang'jiao
不与行水渗湿同,bu'yu'hang'shui'shen'shi'tong
不欲苦寒伤胃腑,bu'yu'ku'han'shang'wei'fu
补中兼收须量度,bu'zhong'jian'shou'xu'liang'du
补中益气芪术陈,bu'zhong'yi'qi'qi'shu'chen
补中益气汤,bu'zhong'yi'qi'tang
参茯龙骨同龟壳,can'fu'long'gu'tong'gui'qiao
参茯知芩皆可入,can'fu'zhi'qin'jie'ke'ru
参甘半夏枇杷麦,can'gan'ban'xia'pi'pa'mai
参甘归乌甘草酌,can'gan'gui'wu'gan'cao'zhuo
参桂夏草妙更殊,can'gui'xia'cao'miao'geng'shu
参前若去芎柴入,can'qian'ruo'qu'xiong'chai'ru
参首归陈姜枣约,can'shou'gui'chen'jiang'zao'yue
参术陈姜枳实尝,can'shu'chen'jiang'zhi'shi'chang
参术茯苓甘草比,can'shu'fu'ling'gan'cao'bi
参术甘陈归芍随,can'shu'gan'chen'gui'shao'sui
参术苓陈豆薏依,can'shu'ling'chen'dou'yi'yi
参术饮,can'shu'yin
苍耳散,cang'er'san
苍耳散中用薄荷,cang'er'san'zhong'yong'bo'he
草果槟榔共涤痰,cao'guo'bing'lang'gong'di'tan
草果槟榔厚朴增,cao'guo'bing'lang'hou'pu'zeng
草蔻附姜兼厚朴,cao'kou'fu'jiang'jian'hou'pu
草蒲远志及当归,cao'pu'yuan'zhi'ji'dang'gui
草梢瞿麦兼栀子,cao'shao'qu'mai'jian'zhi'zi
草梢乌药益智俱,cao'shao'wu'yao'yi'zhi'ju
草梢竹叶四般攻,cao'shao'zhu'ye'si'ban'gong
侧柏艾荷生地协,ce'bai'ai'he'sheng'di'xie
侧柏黑荆枳壳充,ce'bai'hei'jing'zhi'ke'chong
茶末冬冬糖共捣,cha'mo'dong'dong'tang'gong'dao
柴胡白芍姜枣随,chai'hu'bai'shao'jiang'zao'sui
柴胡赤芍甘桔梗,chai'hu'chi'shao'gan'jie'geng
柴胡芒硝义亦尔,chai'hu'mang'xiao'yi'yi'er
柴苓术草加姜薄,chai'ling'shu'cao'jia'jiang'bo
产后伏热此为宝,chan'hou'fu're'ci'wei'bao
产后腹痛蓐劳匡,chan'hou'fu'tong'ru'lao'kuang
产后胎前功效深,chan'hou'tai'qian'gong'xiao'shen
蟾酥丸,chan'su'wan
蟾酥丸用麝蜗牛,chan'su'wan'yong'she'wo'niu
蝉衣荆芥薄荷司,chan'yi'jing'jie'bo'he'si
产中昏晕神魂贴,chan'zhong'hun'yun'shen'hun'tie
肠风崩漏总能医,chang'feng'beng'lou'zong'neng'yi
肠风下血总堪凭,chang'feng'xia'xue'zong'kan'ping
长流水煎疝痛释,chang'liu'shui'jian'shan'tong'shi
菖蒲青草不容删,chang'pu'qing'cao'bu'rong'shan
常山饮,chang'shan'yin
常山饮中知贝取,chang'shan'yin'zhong'zhi'bei'qu
肠胃诸虫永绝氛,chang'wei'zhu'chong'yong'jue'fen
炒香蜜酒调和服,chao'xiang'mi'jiu'tiao'he'fu
陈草芎苏白芷加,chen'cao'xiong'su'bai'zhi'jia
陈茯姜桑大腹奇,chen'fu'jiang'sang'da'fu'qi
沉寒厥逆亦兴阳,chen'han'jue'ni'yi'xing'yang
陈皮半夏加姜葱,chen'pi'ban'xia'jia'jiang'cong
陈皮半夏竹茹襄,chen'pi'ban'xia'zhu'ru'xiang
陈皮甘草四般药,chen'pi'gan'cao'si'ban'yao
陈皮桔梗草荆添,chen'pi'jie'geng'cao'jing'tian
陈皮木香槟榔增,chen'pi'mu'xiang'bing'lang'zeng
陈皮益智兼甘草,chen'pi'yi'zhi'jian'gan'cao
陈皮远志加姜枣,chen'pi'yuan'zhi'jia'jiang'zao
瘛从昏愦力能匡,chi'cong'hun'kui'li'neng'kuang
赤豆艽羌泻木通,chi'dou'jiao'qiang'xie'mu'tong
豉粉银翘蓝紫草,chi'fen'yin'qiao'lan'zi'cao
赤茯再加姜枣煎,chi'fu'zai'jia'jiang'zao'jian
持纲三气妙难言,chi'gang'san'qi'miao'nan'yan
赤苓枳壳兼碧玉,chi'ling'zhi'ke'jian'bi'yu
尺脉虚浮萸地匡,chi'mai'xu'fu'yu'di'kuang
虫啮攻疼均可尝,chong'nie'gong'teng'jun'ke'chang
除桂名为四苓散,chu'gui'ming'wei'si'ling'san
除桂枳陈余略炒,chu'gui'zhi'chen'yu'lue'chao
初起风痧此可施,chu'qi'feng'sha'ci'ke'shi
初起宜通勿遽尝,chu'qi'yi'tong'wu'ju'chang
除却半夏名异功,chu'que'ban'xia'ming'yi'gong
除却川芎五味联,chu'que'chuan'xiong'wu'wei'lian
除湿散满驱瘴岚,chu'shi'san'man'qu'zhang'lan
除湿升麻苍术充,chu'shi'sheng'ma'cang'zhu'chong
喘汗自利保平康,chuan'han'zi'li'bao'ping'kang
喘咳呕哕渴利慰,chuan'ke'ou'hui'ke'li'wei
喘咳痰血肺家伤,chuan'ke'tan'xue'fei'jia'shang
川楝槟榔巴豆姜,chuan'lian'bing'lang'ba'dou'jiang
穿山角刺酒煎嘉,chuan'shan'jiao'ci'jiu'jian'jia
川芎茶调散,chuan'xiong'cha'tiao'san
川芎茶调散荆防,chuan'xiong'cha'tiao'san'jing'fang
疮疡湿热服皆应,chuang'yang'shi're'fu'jie'ying
吹鼻得嚏保生还,chui'bi'de'ti'bao'sheng'huan
此方遂为治痢祖,ci'fang'sui'wei'zhi'li'zu
慈戟千金五倍同,ci'ji'qian'jin'wu'bei'tong
此皆经产通用剂,ci'jie'jing'chan'tong'yong'ji
磁石天花同黑豆,ci'shi'tian'hua'tong'hei'dou
此是阳邪成厥逆,ci'shi'yang'xie'cheng'jue'ni
此吐实热与风痰,ci'tu'shi're'yu'feng'tan
此为和湿兼泻热,ci'wei'he'shi'jian'xie're
此为伤寒温毒盛,ci'wei'shang'han'wen'du'sheng
此治风水与诸湿,ci'zhi'feng'shui'yu'zhu'shi
葱茶调服疏肝肺,cong'cha'diao'fu'shu'gan'fei
从里达表服之安,cong'li'da'biao'fu'zhi'an
苁蓉楮实茴巴枸,cong'rong'chu'shi'hui'ba'gou
苁蓉桂附巴戟天,cong'rong'gui'fu'ba'ji'tian
醋吞惟有此方堪,cu'tun'wei'you'ci'fang'kan
卒中痰迷服此灵,cu'zhong'tan'mi'fu'ci'ling
大安丸内加白术,da'an'wan'nei'jia'bai'zhu
大补阴丸除肉桂,da'bu'yin'wan'chu'rou'gui
大柴胡汤,da'chai'hu'tang
大柴胡汤用大黄,da'chai'hu'tang'yong'da'huang
大承气汤,da'cheng'qi'tang
大承气汤用芒硝,da'cheng'qi'tang'yong'mang'xiao
大封大固春常在,da'feng'da'gu'chun'chang'zai
大黄便实可加使,da'huang'bian'shi'ke'jia'shi
大黄附子汤同意,da'huang'fu'zi'tang'tong'yi
大黄黑丑兼香附,da'huang'hei'chou'jian'xiang'fu
大黄黄芩沉水香,da'huang'huang'qin'chen'shui'xiang
大黄枳朴蜜和丸,da'huang'zhi'pu'mi'he'wan
大活络丹多味益,da'huo'luo'dan'duo'wei'yi
大橘皮汤,da'ju'pi'tang
大橘皮汤治湿热,da'ju'pi'tang'zhi'shi're
大力石膏竹叶和,da'li'shi'gao'zhu'ye'he
大羌活汤,da'qiang'huo'tang
大羌活汤即九味,da'qiang'huo'tang'ji'jiu'wei
大秦艽汤,da'qin'jiao'tang
大秦艽汤羌独防,da'qin'jiao'tang'qiang'du'fang
大青龙汤,da'qing'long'tang
大青龙汤桂麻黄,da'qing'long'tang'gui'ma'huang
达生散,da'sheng'san
达生紫苏大腹皮,da'sheng'zi'su'da'fu'pi
大顺杏仁姜桂甘,da'shun'xing'ren'jiang'gui'gan
大头天行力能御,da'tou'tian'xing'li'neng'yu
大陷胸丸加杏苈,da'xian'xiong'wan'jia'xing'li
达原厚朴与常山,da'yuan'hou'pu'yu'chang'shan
达原饮,da'yuan'yin
大枣百枚姜八两,da'zao'bai'mei'jiang'ba'liang
大枣阿胶加酒服,da'zao'e'jiao'jia'jiu'fu
大枣和之治虚痞,da'zao'he'zhi'zhi'xu'pi
大枣芝麻停饮珍,da'zao'zhi'ma'ting'yin'zhen
怠惊风发保平康,dai'jing'feng'fa'bao'ping'kang
代赭天冬元芍草,dai'zhe'tian'dong'yuan'shao'cao
疸黄便闭渴呕宁,dan'huang'bian'bi'ke'ou'ning
丹皮苓泽加附桂,dan'pi'ling'ze'jia'fu'gui
胆怯闷烦自继根,dan'qie'men'fan'zi'ji'gen
丹参饮,dan'shen'yin
丹参饮里用檩砂,dan'shen'yin'li'yong'lin'sha
丹石栀甘竹叶寻,dan'shi'zhi'gan'zhu'ye'xun
单用芍药与甘草,dan'yong'shao'yao'yu'gan'cao
当归补血汤,dang'gui'bu'xue'tang
当归补血有奇功,dang'gui'bu'xue'you'qi'gong
当归六黄汤,dang'gui'liu'huang'tang
当归六黄治汗出,dang'gui'liu'huang'zhi'han'chu
当归龙荟丸,dang'gui'long'hui'wan
当归龙荟用四黄,dang'gui'long'hui'yong'si'huang
当归麦味青陈皮,dang'gui'mai'wei'qing'chen'pi
当归拈痛羌防升,dang'gui'nian'tong'qiang'fang'sheng
当归拈痛汤,dang'gui'nian'tong'tang
当归润肠沁名殊,dang'gui'run'chang'qin'ming'shu
当归散,dang'gui'san
当归散益妇人妊,dang'gui'san'yi'fu'ren'ren
当归生地牡丹全,dang'gui'sheng'di'mu'dan'quan
当归生姜羊肉汤,dang'gui'sheng'jiang'yang'rou'tang
当归四逆桂枝芍,dang'gui'si'ni'gui'zhi'shao
当归四逆汤,dang'gui'si'ni'tang
当归知母乌梅合,dang'gui'zhi'mu'wu'mei'he
当先服此通其关,dang'xian'fu'ci'tong'qi'guan
导赤散,dao'chi'san
导赤生地与木通,dao'chi'sheng'di'yu'mu'tong
导气汤,dao'qi'tang
导痰汤内加里枳,dao'tan'tang'nei'jia'li'zhi
等分生捣如泥煎,deng'fen'sheng'dao'ru'ni'jian
等分为丸酒化服,deng'fen'wei'wan'jiu'hua'fu
地草淮山枸杞子,di'cao'huai'shan'gou'qi'zi
抵当丸,di'dang'wan
抵当丸用桃仁黄,di'dang'wan'yong'tao'ren'huang
地骨柴胡及青蒿,di'gu'chai'hu'ji'qing'hao
地骨柴胡亦茯苓,di'gu'chai'hu'yi'fu'ling
地骨当归紫菀偕,di'gu'dang'gui'zi'wan'xie
地骨青藁知母草,di'gu'qing'gao'zhi'mu'cao
地龟猪髓合之宜,di'gui'zhu'sui'he'zhi'yi
地黄芍药天冬桂,di'huang'shao'yao'tian'dong'gui
地黄饮子,di'huang'yin'zi
地黄饮子山茱斛,di'huang'yin'zi'shan'zhu'hu
地黄饮子参芪草,di'huang'yin'zi'shen'qi'cao
地龙乳没胆星俱,di'long'ru'mei'dan'xing'ju
涤痰汤,di'tan'tang
涤痰汤用半夏星,di'tan'tang'yong'ban'xia'xing
地榆泽泻皂角子,di'yu'ze'xie'zao'jiao'zi
癫狗咬毒汤,dian'gou'yao'du'tang
癫狗咬毒无妙方,dian'gou'yao'du'wu'miao'fang
丁沉木麝升玄草,ding'chen'mu'she'sheng'xuan'cao
定喘白果与麻黄,ding'chuan'bai'guo'yu'ma'huang
定喘汤,ding'chuan'tang
疔疮发背乳痈瘳,ding'chuang'fa'bei'ru'yong'chou
丁香柿蒂人参姜,ding'xiang'shi'di'ren'shen'jiang
丁香柿蒂汤,ding'xiang'shi'di'tang
独参功擅得嘉名,du'can'gong'shan'de'jia'ming
独参汤,du'can'tang
毒传迅速有难当,du'chuan'xun'su'you'nan'dang
独活寄生艽防辛,du'huo'ji'sheng'jiao'fang'xin
独活寄生汤,du'huo'ji'sheng'tang
独活汤,du'huo'tang
独活汤中羌独防,du'huo'tang'zhong'qiang'du'fang
独圣功同更守经,du'sheng'gong'tong'geng'shou'jing
杜仲牛膝人参草,du'zhong'niu'xi'ren'shen'cao
多时便血脾虚陷,duo'shi'bian'xie'pi'xu'xian
恶风大症此方需,e'feng'da'zheng'ci'fang'xu
恶寒加附治相当,e'han'jia'fu'zhi'xiang'dang
阿胶艾叶甘草全,e'jiao'ai'ye'gan'cao'quan
阿胶生草保安全,e'jiao'sheng'cao'bao'an'quan
