阿赖山裂脸蜥,a'lai'shan'lie'lian'xi
百步蛇,bai'bu'she
白唇树蜥,bai'chun'shu'xi
百花锦蛇,bai'hua'jin'she
白梢沙蜥,bai'shao'sha'xi
白条草蜥,bai'tiao'cao'xi
白条沙蜥,bai'tiao'sha'xi
白尾双足蜥,bai'wei'shuang'zu'xi
斑飞蜥,ban'fei'xi
斑蜓蜥,ban'ting'xi
蚌西树蜥,bang'xi'shu'xi
北草蜥,bei'cao'xi
变色沙蜥,bian'se'sha'xi
变色树蜥,bian'se'shu'xi
草绿攀蜥,cao'lv'pan'xi
草原沙蜥,cao'yuan'sha'xi
草原蜥,cao'yuan'xi
长棘蜥,chang'ji'xi
长鬣蜥,chang'lie'xi
长裸趾虎,chang'luo'zhi'hu
长尾南蜥,chang'wei'nan'xi
长肢滑蜥,chang'zhi'hua'xi
长肢攀蜥,chang'zhi'pan'xi
赤链蛇,chi'lian'she
崇安地蜥,chong'an'di'xi
崇安石龙子,chong'an'shi'long'zi
虫纹麻蜥,chong'wen'ma'xi
脆蛇蜥,cui'she'xi
大渡石龙子,da'du'shi'long'zi
大耳沙蜥,da'er'sha'xi
东亚腹链蛇,dong'ya'fu'lian'she
短肢攀蜥,duan'zhi'pan'xi
短肢树蜥,duan'zhi'shu'xi
多棱南蜥,duo'leng'nan'xi
多线南蜥,duo'xian'nan'xi
多疣壁虎,duo'you'bi'hu
峨眉地蜥,e'mei'di'xi
耳疣壁虎,er'you'bi'hu
福建后棱蛇,fu'jian'hou'leng'she
股鳞蜓蜥,gu'lin'ting'xi
光蜥,guang'xi
广西棱蜥,guang'xi'leng'xi
广西林蛇,guang'xi'lin'she
海南壁虎,hai'nan'bi'hu
海南脆蛇蜥,hai'nan'cui'she'xi
海南棱蜥,hai'nan'leng'xi
旱地沙蜥,han'di'sha'xi
黑脊蛇,hei'ji'she
黑龙江草蜥,hei'long'jiang'cao'xi
横斑锦蛇,heng'ban'jin'she
恒春草蜥,heng'chun'cao'xi
红尾沙蜥,hong'wei'sha'xi
红原沙蜥,hong'yuan'sha'xi
喉褶蜥,hou'zhe'xi
虎斑颈槽蛇,hu'ban'jing'cao'she
桓仁滑蜥,huan'ren'hua'xi
黄脊游蛇,huang'ji'you'she
荒漠麻蜥,huang'mo'ma'xi
荒漠沙蜥,huang'mo'sha'xi
黄纹石龙子,huang'wen'shi'long'zi
灰裸趾虎,hui'luo'zhi'hu
睑虎,jian'hu
绞花林蛇,jiao'hua'lin'she
捷蜥蜴,jie'xi'yi
截趾虎,jie'zhi'hu
锯尾蜥虎,ju'wei'xi'hu
居延沙蜥,ju'yan'sha'xi
喀什麻蜥,ka'shi'ma'xi
卡西裸趾虎,ka'xi'luo'zhi'hu
康定滑蜥,kang'ding'hua'xi
库车沙蜥,ku'che'sha'xi
快步麻蜥,kuai'bu'ma'xi
宽鼻沙蜥,kuan'bi'sha'xi
昆明滑蜥,kun'ming'hua'xi
昆明攀蜥,kun'ming'pan'xi
昆明小头蛇,kun'ming'xiao'tou'she
拉达克滑蜥,la'da'ke'hua'xi
蜡皮蜥,la'pi'xi
拉萨岩蜥,la'sa'yan'xi
蓝尾石龙子,lan'wei'shi'long'zi
兰屿壁虎,lan'yu'bi'hu
丽斑麻蜥,li'ban'ma'xi
丽棘蜥,li'ji'xi
丽纹攀蜥,li'wen'pan'xi
鳞趾虎,lin'zhi'hu
六盘山蝮,liu'pan'shan'fu
琉球攀蜥,liu'qiu'pan'xi
刘氏石龙子,liu'shi'shi'long'zi
裸耳飞蜥,luo'er'fei'xi
裸耳攀蜥,luo'er'pan'xi
绿背树蜥,lv'bei'shu'xi
孟加拉巨蜥,meng'jia'la'ju'xi
孟加拉眼镜蛇,meng'jia'la'yan'jing'she
米仓山攀蜥,mi'cang'shan'pan'xi
密点麻蜥,mi'dian'ma'xi
密疣蜥虎,mi'you'xi'hu
缅北腹链蛇,mian'bei'fu'lian'she
缅甸棱蜥,mian'dian'leng'xi
敏麻蜥,min'ma'xi
墨脱裸趾虎,mo'tuo'luo'zhi'hu
墨脱树蜥,mo'tuo'shu'xi
墨脱蜓蜥,mo'tuo'ting'xi
南草蜥,nan'cao'xi
南滑蜥,nan'hua'xi
南疆沙蜥,nan'jiang'sha'xi
南亚岩蜥,nan'ya'yan'xi
宁波滑蜥,ning'bo'hua'xi
蓬莱草蜥,peng'lai'cao'xi
平颏海蛇,ping'ke'hai'she
凭祥睑虎,ping'xiang'jian'hu
坡普腹链蛇,po'pu'fu'lian'she
蹼趾壁虎,pu'zhi'bi'hu
棋盘蛇,qi'pan'she
奇台沙蜥,qi'tai'sha'xi
铅山壁虎,qian'shan'bi'hu
秦岭滑蜥,qin'ling'hua'xi
青海沙蜥,qing'hai'sha'xi
沙坝半叶趾虎,sha'ba'ban'ye'zhi'hu
莎车裸趾虎,sha'che'luo'zhi'hu
山斑小头蛇,shan'ban'xiao'tou'she
山地麻蜥,shan'di'ma'xi
山滑蜥,shan'hua'xi
双全白环蛇,shuang'quan'bai'huan'she
四川攀蜥,si'chuan'pan'xi
四线石龙子,si'xian'shi'long'zi
塔里木岩蜥,ta'li'mu'yan'xi
太白壁虎,tai'bai'bi'hu
胎生蜥蜴,tai'sheng'xi'yi
台湾草蜥,tai'wan'cao'xi
台湾脆蜥蛇,tai'wan'cui'xi'she
台湾地蜥,tai'wan'di'xi
台湾滑蜥,tai'wan'hua'xi
台湾攀蜥,tai'wan'pan'xi
台湾蜓蜥,tai'wan'ting'xi
台湾蜥虎,tai'wan'xi'hu
铜蜓蜥,tong'ting'xi
吐鲁番沙虎,tu'lu'fan'sha'hu
团花锦蛇,tuan'hua'jin'she
托克逊沙虎,tuo'ke'xun'sha'hu
瓦山滑蜥,wa'shan'hua'xi
网纹麻蜥,wang'wen'ma'xi
无斑沙蜥,wu'ban'sha'xi
五步蛇,wu'bu'she
乌拉尔沙蜥,wu'la'er'sha'xi
无颞鳞腹链蛇,wu'nie'lin'fu'lian'she
无蹼壁虎,wu'pu'bi'hu
乌梢蛇,wu'shao'she
吴氏岩蜥,wu'shi'yan'xi
乌苏里蝮,wu'su'li'fu
细白环蛇,xi'bai'huan'she
细脆蛇蜥,xi'cui'she'xi
锡金滑蜥,xi'jin'hua'xi
细鳞树蜥,xi'lin'shu'xi
喜山钝头蛇,xi'shan'dun'tou'she
喜山过树蛇,xi'shan'guo'shu'she
喜山滑蜥,xi'shan'hua'xi
喜山颈槽蛇,xi'shan'jing'cao'she
喜山攀蜥,xi'shan'pan'xi
喜山小头蛇,xi'shan'xiao'tou'she
喜山岩蜥,xi'shan'yan'xi
溪头攀蜥,xi'tou'pan'xi
西域滑蜥,xi'yu'hua'xi
西藏裸趾虎,xi'zang'luo'zhi'hu
西藏沙蜥,xi'zang'sha'xi
西藏树蜥,xi'zang'shu'xi
西藏岩蜥,xi'zang'yan'xi
西藏竹叶青蛇,xi'zang'zhu'ye'qing'she
乡城原矛头蝮,xiang'cheng'yuan'mao'tou'fu
香港后棱蛇,xiang'gang'hou'leng'she
香港双足蜥,xiang'gang'shuang'zu'xi
小头海蛇,xiao'tou'hai'she
小头坭蛇,xiao'tou'ni'she
蝎虎,xie'hu
斜鳞蛇,xie'lin'she
新疆漠虎,xin'jiang'mo'hu
新疆沙虎,xin'jiang'sha'hu
新疆岩蜥,xin'jiang'yan'xi
绣链腹链蛇,xiu'lian'fu'lian'she
雪山草蜥,xue'shan'cao'xi
雅美鳞趾虎,ya'mei'lin'zhi'hu
岩岸岛蜥,yan'an'dao'xi
眼镜王蛇,yan'jing'wang'she
岩栖蝮,yan'qi'fu
叶城沙蜥,ye'cheng'sha'xi
宜宾攀蜥,yi'bin'pan'xi
宜兰攀蜥,yi'lan'pan'xi
伊犁沙虎,yi'li'sha'hu
异鳞蜥,yi'lin'xi
隐耳漠虎,yin'er'mo'hu
银环蛇,yin'huan'she
疣尾蜥虎,you'wei'xi'hu
玉斑锦蛇,yu'ban'jin'she
渔游蛇,yu'you'she
圆斑蝰,yuan'ban'kui
圆斑小头蛇,yuan'ban'xiao'tou'she
原柔头蝮,yuan'rou'tou'fu
原尾蜥虎,yuan'wei'xi'hu
云南半叶趾虎,yun'nan'ban'ye'zhi'hu
云南颈斑蛇,yun'nan'jing'ban'she
云南两头蛇,yun'nan'liang'tou'she
云南攀蜥,yun'nan'pan'xi
云南竹叶青蛇,yun'nan'zhu'ye'qing'she
泽当沙蜥,ze'dang'sha'xi
中国壁虎,zhong'guo'bi'hu
中国棱蜥,zhong'guo'leng'xi
中国石龙子,zhong'guo'shi'long'zi
中国水蛇,zhong'guo'shui'she
中国小头蛇,zhong'guo'xiao'tou'she
