阿爸,a'ba
阿崩叫狗越叫越走,a'beng'jiao'gou'yue'jiao'yue'zou
阿崩養貓轉性,a'beng'yang'mao'zhuai'xing
阿燦,a'can
阿超著褲穀住來,a'chao'zhu'ku'gu'zhu'lai
阿哥,a'ge
阿公,a'gong
阿貴買布唔講那筆,a'gui'mai'bu'wu'jiang'na'bi
阿蘭嫁阿瑞類鬥類,a'lan'jia'a'rui'lei'dou'lei
阿蘭嫁阿瑞累上加累,a'lan'jia'a'rui'lei'shang'jia'lei
阿媽,a'ma
阿嫲,a'ma
吖嘛,a'ma
吖嗱,a'na
阿婆,a'po
阿奇生阿奇奇上加奇,a'qi'sheng'a'qi'qi'shang'jia'qi
阿嫂,a'sao
阿叔,a'shu
阿駝行路中中地,a'tuo'xing'lu'zhong'zhong'di
阿仙奴,a'xian'nu
阿些斯奧,a'xie'si'ao
阿爺,a'ye
吖吱吖咗,a'zhi'a'zuo
愛愛惜,ai'ai'xi
埃布爾,ai'bu'er
矮躉,ai'dun
捱更抵夜,ai'geng'di'ye
矮瓜,ai'gua
捱饑抵餓,ai'ji'di'e
嗌交,ai'jiao
餲堪堪,ai'kan'kan
挨年近晚,ai'nian'jin'wan
挨拼,ai'pin
挨拼椅,ai'pin'yi
嗌佢去,ai'qu'qu
捱世界,ai'shi'jie
挨晚,ai'wan
愛錫,ai'xi
矮細,ai'xi
捱眼瞓,ai'yan'fen
哎吔,ai'ye
挨夜,ai'ye
捱夜,ai'ye
捱夜捱齋,ai'ye'ai'zhai
暗暗沉沉,an'an'chen'chen
暗瘡,an'chuang
暗啞抵,an'e'di
安樂,an'le
揞脈,an'mai
暗渠,an'qu
安人,an'ren
安士,an'shi
醃臢,ang'za
醃臢腥悶,ang'za'xing'men
凹凹凸凸,ao'ao'tu'tu
八八卦卦,ba'ba'gua'gua
巴閉,ba'bi
八公,ba'gong
八卦,ba'gua
八卦妹,ba'gua'mei
八卦婆,ba'gua'po
把鬼,ba'gui
罷就,ba'jiu
巴辣,ba'la
罷啦,ba'la
拔蘭地,ba'lan'di
芭蕾,ba'lei
巴黎帽,ba'li'mao
巴黎聖日門,ba'li'sheng'ri'men
把脈,ba'mai
八妹,ba'mei
把炮,ba'pao
把屁,ba'pi
八婆,ba'po
扒錢,ba'qian
扒錢包,ba'qian'bao
巴士,ba'shi
巴斯蒂亞,ba'si'di'ya
把舦,ba'tai
扒頭,ba'tou
霸王,ba'wang
霸王花,ba'wang'hua
巴仙,ba'xian
八仙過海各有千秋,ba'xian'guo'hai'ge'you'qian'qiu
把心唔定,ba'xin'wu'ding
霸掗,ba'ya
八音,ba'yin
巴喳,ba'zha
八珍,ba'zhen
白皚皚,bai'ai'ai
白皚嘥,bai'ai'sai
拜拜,bai'bai
擺白,bai'bai
白板,bai'ban
白鼻哥,bai'bi'ge
白菜煮豆腐一清二白,bai'cai'zhu'dou'fu'yi'qing'er'bai
擺檔,bai'dang
擺檔口,bai'dang'kou
白豆,bai'dou
擺甫士,bai'fu'shi
白鴿,bai'ge
白鴿籠,bai'ge'long
白鴿眼,bai'ge'yan
白鴿眼附旺唔附衰,bai'ge'yan'fu'wang'wu'fu'shuai
白瓜,bai'gua
白話,bai'hua
白霍,bai'huo
白霍白鴿,bai'huo'bai'ge
敗家精,bai'jia'jing
敗家仔,bai'jia'zai
擺景,bai'jing
白淨,bai'jing
擺酒,bai'jiu
擺款,bai'kuan
擺闊佬,bai'kuo'lao
白蘭,bai'lan
白欖,bai'lan
白蘭地,bai'lan'di
白濛濛,bai'meng'meng
擺平,bai'ping
白曬曬,bai'shai'shai
拜山,bai'shan
拜神唔見雞,bai'shen'wu'jian'ji
拜神唔見鷄,bai'shen'wu'jian'ji
白蝕,bai'shi
白糖炒涼瓜同甘共苦,bai'tang'chao'liang'gua'tong'gan'gong'ku
白頭郎,bai'tou'lang
擺烏龍,bai'wu'long
白雪雪,bai'xue'xue
百厭,bai'ya
白斬雞,bai'zhan'ji
白斬鷄,bai'zhan'ji
白粥,bai'zhou
白撞,bai'zhuang
白撞雨,bai'zhuang'yu
百足,bai'zu
班兵,ban'bing
班房,ban'fang
板斧,ban'fu
班格爾馬辛席,ban'ge'er'ma'xin'xi
班戟,ban'ji
半裏,ban'li
班馬,ban'ma
半賣,ban'mai
扮懵,ban'meng
扮曬嘢,ban'shai'ye
半天弔,ban'tian'di
半天吊,ban'tian'diao
半條命,ban'tiao'ming
半桶水,ban'tong'shui
扮蟹,ban'xie
扮嘢,ban'ye
板障,ban'zhang
扳著臉,ban'zhu'lian
幫補,bang'bu
幫襯,bang'chen
幫嚇眼,bang'he'yan
幫口,bang'kou
磅龍,bang'long
崗棯,bang'ren
幫手,bang'shou
磅水,bang'shui
傍友,bang'you
暴暴,bao'bao
爆煲,bao'bao
飽飽滯滯,bao'bao'zhi'zhi
爆坼,bao'che
爆大鑊,bao'da'huo
煲電話粥,bao'dian'hua'zhou
包頂頸,bao'ding'geng
菢竇,bao'dou
煲飯仔,bao'fan'zai
爆缸,bao'gang
爆格,bao'ge
爆穀,bao'gu
剝光豬,bao'guang'zhu
剝花生,bao'hua'sheng
爆火,bao'huo
菢雞仔,bao'ji'zai
爆鏡,bao'jing
爆冷,bao'leng
爆冷門,bao'leng'men
保齡,bao'ling
包屘,bao'man
爆滿,bao'man
煲冇米粥,bao'mao'mi'zhou
煲無米粥,bao'mo'mi'zhou
保你大,bao'ni'da
爆棚,bao'peng
爆竊,bao'qie
刨書,bao'shu
飽死,bao'si
