奥巴家族,ao'ba'jia'zu
奥托,ao'tuo
八彩原石,ba'cai'yuan'shi
八荒破灭焱,ba'huang'po'mie'yan
八极崩,ba'ji'beng
八阶魔兽,ba'jie'mo'shou
八星大斗师,ba'xing'da'dou'shi
八星斗皇,ba'xing'dou'huang
八星斗灵,ba'xing'dou'ling
八星斗圣,ba'xing'dou'sheng
八星斗师,ba'xing'dou'shi
八星斗王,ba'xing'dou'wang
八星斗者,ba'xing'dou'zhe
八星斗宗,ba'xing'dou'zong
八星斗尊,ba'xing'dou'zun
八翼黑蛇皇,ba'yi'hei'she'huang
白兰果,bai'lan'guo
白灵参果,bai'ling'can'guo
白牙,bai'ya
半圣,ban'sheng
伴生紫晶源,ban'sheng'zi'jing'yuan
暴雪魔猿,bao'xue'mo'yuan
北龙王,bei'long'wang
壁虎爬行,bi'hu'pa'xing
壁虎爬行斗技,bi'hu'pa'xing'dou'ji
碧蛇三花瞳,bi'she'san'hua'tong
冰河谷,bing'he'gu
冰皇,bing'huang
冰皇海波东,bing'huang'hai'bo'dong
冰灵焰草,bing'ling'yan'cao
冰系斗气,bing'xi'dou'qi
冰尊者,bing'zun'zhe
不死体,bu'si'ti
彩鳞,cai'lin
采药队,cai'yao'dui
测验魔石碑,ce'yan'mo'shi'bei
长寿之火,chang'shou'zhi'huo
赤冰蛇,chi'bing'she
初级半圣,chu'ji'ban'sheng
出云帝国,chu'yun'di'guo
吹火掌,chui'huo'zhang
刺头学生,ci'tou'xue'sheng
大地之心,da'di'zhi'xin
大斗师,da'dou'shi
大千世界,da'qian'shi'jie
丹会,dan'hui
丹雷,dan'lei
丹塔,dan'ta
丹王,dan'wang
丹王古河,dan'wang'gu'he
丹药,dan'yao
导师,dao'shi
等级测试工会,deng'ji'ce'shi'gong'hui
地阶低级,di'jie'di'ji
地阶斗技,di'jie'dou'ji
地阶斗气功法,di'jie'dou'qi'gong'fa
地阶高级,di'jie'gao'ji
低阶魔兽,di'jie'mo'shou
地阶中级,di'jie'zhong'ji
帝境,di'jing
帝境灵魂,di'jing'ling'hun
帝境者,di'jing'zhe
地魔老鬼,di'mo'lao'gui
帝品丹药,di'pin'dan'yao
地心鼎,di'xin'ding
地心魂髓,di'xin'hun'sui
地心珠,di'xin'zhu
帝炎,di'yan
殿主,dian'zhu
斗帝,dou'di
斗帝强者,dou'di'qiang'zhe
斗帝源气,dou'di'yuan'qi
斗皇,dou'huang
斗皇巅峰,dou'huang'dian'feng
斗皇强者,dou'huang'qiang'zhe
斗技,dou'ji
斗技师,dou'ji'shi
斗技堂,dou'ji'tang
斗灵,dou'ling
斗灵强者,dou'ling'qiang'zhe
斗破苍穹,dou'po'cang'qiong
斗气,dou'qi
斗气大陆,dou'qi'da'lu
斗气阁,dou'qi'ge
斗气功法,dou'qi'gong'fa
斗气化翼,dou'qi'hua'yi
斗气火焰,dou'qi'huo'yan
斗气铠甲,dou'qi'kai'jia
斗气凝物,dou'qi'ning'wu
斗气气旋,dou'qi'qi'xuan
斗气纱衣,dou'qi'sha'yi
斗圣,dou'sheng
斗圣强者,dou'sheng'qiang'zhe
斗师,dou'shi
斗王,dou'wang
斗王强者,dou'wang'qiang'zhe
斗者,dou'zhe
斗者八星,dou'zhe'ba'xing
斗者二星,dou'zhe'er'xing
斗者九星,dou'zhe'jiu'xing
斗者六星,dou'zhe'liu'xing
斗者七星,dou'zhe'qi'xing
斗者三星,dou'zhe'san'xing
斗者四星,dou'zhe'si'xing
斗者五星,dou'zhe'wu'xing
斗者一星,dou'zhe'yi'xing
斗之气,dou'zhi'qi
斗之气八段,dou'zhi'qi'ba'duan
斗之气二段,dou'zhi'qi'er'duan
斗之气九段,dou'zhi'qi'jiu'duan
斗之气六段,dou'zhi'qi'liu'duan
斗之气七段,dou'zhi'qi'qi'duan
斗之气三段,dou'zhi'qi'san'duan
斗之气四段,dou'zhi'qi'si'duan
斗之气五段,dou'zhi'qi'wu'duan
斗之气旋,dou'zhi'qi'xuan
斗之气一段,dou'zhi'qi'yi'duan
斗宗,dou'zong
斗宗强者,dou'zong'qiang'zhe
斗尊,dou'zun
斗尊巅峰,dou'zun'dian'feng
斗尊强者,dou'zun'qiang'zhe
斗尊之巅,dou'zun'zhi'dian
毒经,du'jing
毒师,du'shi
毒宗,du'zong
厄难毒体,e'nan'du'ti
二阶魔兽,er'jie'mo'shou
二品炼药师,er'pin'lian'yao'shi
二星大斗师,er'xing'da'dou'shi
二星斗皇,er'xing'dou'huang
二星斗灵,er'xing'dou'ling
二星斗圣,er'xing'dou'sheng
二星斗师,er'xing'dou'shi
二星斗王,er'xing'dou'wang
二星斗者,er'xing'dou'zhe
二星斗宗,er'xing'dou'zong
二星斗尊,er'xing'dou'zun
二长老萧鹰,er'zhang'lao'xiao'ying
法犸,fa'ma
凡境,fan'jing
范痨,fan'lao
范凌,fan'ling
反噬,fan'shi
坊市,fang'shi
坊主,fang'zhu
飞行斗技,fei'xing'dou'ji
飞行魔兽,fei'xing'mo'shou
焚决,fen'jue
焚天炼气塔,fen'tian'lian'qi'ta
焚血,fen'xue
焚炎谷,fen'yan'gu
焚炎谷谷主,fen'yan'gu'gu'zhu
风光刃,feng'guang'ren
风卷决,feng'juan'jue
风雷阁,feng'lei'ge
风雷怒焰,feng'lei'nu'yan
风雷怒焱,feng'lei'nu'yan
凤鸣鼎,feng'ming'ding
凤清儿,feng'qing'er
风刃,feng'ren
风刃刀舞,feng'ren'dao'wu
风杀指,feng'sha'zhi
风属性,feng'shu'xing
风推势,feng'tui'shi
风闲,feng'xian
风翔步,feng'xiang'bu
封印术,feng'yin'shu
风之极陨杀,feng'zhi'ji'yun'sha
风尊者,feng'zun'zhe
风尊者风闲,feng'zun'zhe'feng'xian
佛怒火莲,fo'nu'huo'lian
茯苓青丹,fu'ling'qing'dan
高级半圣,gao'ji'ban'sheng
高阶斗皇,gao'jie'dou'huang
高阶斗宗,gao'jie'dou'zong
高阶魔兽,gao'jie'mo'shou
戈剌,ge'la
葛叶,ge'ye
功法,gong'fa
古河,gu'he
古凰血精,gu'huang'xue'jing
骨灵冷火,gu'ling'leng'huo
古龙岛,gu'long'dao
谷尼,gu'ni
谷尼大师,gu'ni'da'shi
古青阳,gu'qing'yang
古文心,gu'wen'xin
古熏儿,gu'xun'er
古妖,gu'yao
骨幽圣者,gu'you'sheng'zhe
古元,gu'yuan
谷主冰河,gu'zhu'bing'he
古族,gu'zu
古族族长,gu'zu'zu'zhang
龟灵地火,gui'ling'di'huo
龟息丹,gui'xi'dan
海波东,hai'bo'dong
海灵鼎,hai'ling'ding
海心焰,hai'xin'yan
寒冰精,han'bing'jing
寒冰王座,han'bing'wang'zuo
韩枫,han'feng
韩珊珊,han'shan'shan
荷尔大师,he'er'da'shi
赫蒙,he'meng
合猿,he'yuan
黑皇宗,hei'huang'zong
黑角域,hei'jiao'yu
黑盟,hei'meng
黑冥鼎,hei'ming'ding
黑魔,hei'mo
黑魔鼎,hei'mo'ding
黑魔雷,hei'mo'lei
黑擎,hei'qing
黑石碑,hei'shi'bei
黑岩,hei'yan
黑岩城,hei'yan'cheng
黑岩城炼药师工会,hei'yan'cheng'lian'yao'shi'gong'hui
黑湮军,hei'yan'jun
黑焰紫云雕,hei'yan'zi'yun'diao
红莲业火,hong'lian'ye'huo
琥嘉,hu'jia
虎口,hu'kou
虎魄鼎,hu'po'ding
琥乾,hu'qian
化生火,hua'sheng'huo
化形丹,hua'xing'dan
花宗,hua'zong
黄阶低级,huang'jie'di'ji
黄阶斗技,huang'jie'dou'ji
黄阶斗气功法,huang'jie'dou'qi'gong'fa
黄阶高级,huang'jie'gao'ji
黄阶中级,huang'jie'zhong'ji
黄莲精,huang'lian'jing
黄泉阁,huang'quan'ge
黄泉妖圣,huang'quan'yao'sheng
黄泉尊者,huang'quan'zun'zhe
凰天,huang'tian
凰轩,huang'xuan
回春散,hui'chun'san
回灵赤果,hui'ling'chi'guo
毁灭火莲,hui'mie'huo'lian
回气丹,hui'qi'dan
魂殿,hun'dian
魂殿殿主,hun'dian'dian'zhu
魂断涧,hun'duan'jian
混沌圣鼎,hun'dun'sheng'ding
混沌圣焱,hun'dun'sheng'yan
魂风,hun'feng
魂厉,hun'li
魂灭生,hun'mie'sheng
魂千陌,hun'qian'mo
魂天帝,hun'tian'di
魂虚子,hun'xu'zi
魂崖,hun'ya
魂婴妖树,hun'ying'yao'shu
魂玉,hun'yu
魂元天,hun'yuan'tian
魂族,hun'zu
魂族族长,hun'zu'zu'zhang
火口,huo'kou
火狼,huo'lang
火奴,huo'nu
活气果,huo'qi'guo
火山石焰,huo'shan'shi'yan
火属性,huo'shu'xing
火炫,huo'xuan
火耀,huo'yao
火云,huo'yun
火云水焱,huo'yun'shui'yan
火稚,huo'zhi
机关术,ji'guan'shu
加列奥,jia'lie'ao
加列毕,jia'lie'bi
加列家族,jia'lie'jia'zu
加列可奥,jia'lie'ke'ao
加列库,jia'lie'ku
加列怒,jia'lie'nu
加玛帝国,jia'ma'di'guo
