阿敦础鲁,a'dun'chu'lu
阿拉坦额莫勒镇,a'la'tan'e'mo'le'zhen
阿日哈沙特口岸,a'ri'ha'sha'te'kou'an
阿日哈沙特镇,a'ri'ha'sha'te'zhen
宝东,bao'dong
宝格达乌拉苏木,bao'ge'da'wu'la'su'mu
宝格德乌拉社区,bao'ge'de'wu'la'she'qu
贝尔社区,bei'er'she'qu
贝尔苏木,bei'er'su'mu
布达图嘎查,bu'da'tu'ga'cha
布尔顿,bu'er'dun
达赉苏木,da'lai'su'mu
达石莫,da'shi'mo
东庙,dong'miao
额尔顿乌拉社区,e'er'dun'wu'la'she'qu
杭乌拉,hang'wu'la
红光村,hong'guang'cun
呼伦社区,hu'lun'she'qu
呼伦镇,hu'lun'zhen
黄花,huang'hua
金海岸,jin'hai'an
克尔伦,ke'er'lun
克尔伦社区,ke'er'lun'she'qu
克尔伦苏木,ke'er'lun'su'mu
兰旗庙,lan'qi'miao
六村,liu'cun
农业对,nong'ye'dui
赛汉塔拉,sai'han'ta'la
三八连队,san'ba'lian'dui
三六连队,san'liu'lian'dui
三七连队,san'qi'lian'dui
三四连队,san'si'lian'dui
三五连队,san'wu'lian'dui
四零连队,si'ling'lian'dui
乌日图煤矿,wu'ri'tu'mei'kuang
五三牧场,wu'san'mu'chang
五一队,wu'yi'dui
西庙,xi'miao
移民新村,yi'min'xin'cun
银海岸,yin'hai'an
