鞍山大曲,an'shan'da'qu
白玉露酒,bai'yu'lu'jiu
棒棰岛啤酒,bang'chui'dao'pi'jiu
北大仓酒,bei'da'cang'jiu
宾县老黄酒,bin'xian'lao'huang'jiu
宾州大曲,bin'zhou'da'qu
草原香酒,cao'yuan'xiang'jiu
长白山啤酒,chang'bai'shan'pi'jiu
长白山葡萄酒,chang'bai'shan'pu'tao'jiu
长白山五味子酒,chang'bai'shan'wu'wei'zi'jiu
长春清酒,chang'chun'qing'jiu
陈曲,chen'qu
大连黄酒,da'lian'huang'jiu
大连啤酒,da'lian'pi'jiu
大青山啤酒,da'qing'shan'pi'jiu
大香槟酒,da'xiang'bin'jiu
德惠大曲,de'hui'da'qu
吊桥特曲,diao'qiao'te'qu
东陵老窖,dong'ling'lao'jiao
凤城老窖酒,feng'cheng'lao'jiao'jiu
蜂王浆补酒,feng'wang'jiang'bu'jiu
富裕老窖,fu'yu'lao'jiao
高级苹果酒,gao'ji'ping'guo'jiu
高力板大曲酒,gao'li'ban'da'qu'jiu
桂花葡萄酒,gui'hua'pu'tao'jiu
龟鹿酒,gui'lu'jiu
和龙大曲酒,he'long'da'qu'jiu
黑龙江省,hei'long'jiang'sheng
红豆味美思,hong'dou'wei'mei'si
鸿茅酒,hong'mao'jiu
花园大曲酒,hua'yuan'da'qu'jiu
集安大曲,ji'an'da'qu
吉林啤酒,ji'lin'pi'jiu
吉林省,ji'lin'sheng
佳汾酒,jia'fen'jiu
佳凤牌啤酒,jia'feng'pai'pi'jiu
江城酒,jiang'cheng'jiu
金梅酒,jin'mei'jiu
津泉酒,jin'quan'jiu
金州曲酒,jin'zhou'qu'jiu
开鲁大曲,kai'lu'da'qu
老白干酒,lao'bai'gan'jiu
老窖酒,lao'jiao'jiu
辽宁省,liao'ning'sheng
凌川白酒,ling'chuan'bai'jiu
龙泉老窖头曲,long'quan'lao'jiao'tou'qu
龙溪特曲,long'xi'te'qu
鹿春液,lu'chun'ye
鹿茸酒,lu'rong'jiu
鹿尾巴补酒,lu'wei'ba'bu'jiu
旅大红葡萄酒,lv'da'hong'pu'tao'jiu
帽儿山牌精制葡萄酒,mao'er'shan'pai'jing'zhi'pu'tao'jiu
玫瑰白酒,mei'gui'bai'jiu
纳尔松酒,na'er'song'jiu
内蒙古自治区,nei'meng'gu'zi'zhi'qu
嫩江春,nen'jiang'chun
宁城老窖,ning'cheng'lao'jiao
泼雪泉酒,po'xue'quan'jiu
千山白酒,qian'shan'bai'jiu
青城曲酒,qing'cheng'qu'jiu
人参露酒,ren'shen'lu'jiu
荣春酒,rong'chun'jiu
山葡萄酒红梅牌,shan'pu'tao'jiu'hong'mei'pai
山葡萄酒小清河牌,shan'pu'tao'jiu'xiao'qing'he'pai
山枣蜜酒,shan'zao'mi'jiu
参茸灵酒,shen'rong'ling'jiu
参茸三鞭酒,shen'rong'san'bian'jiu
参茸双宝酒,shen'rong'shuang'bao'jiu
沈阳白葡萄酒,shen'yang'bai'pu'tao'jiu
沈阳山楂酒,shen'yang'shan'zha'jiu
双瑰酒,shuang'gui'jiu
洮儿河酒,tao'er'he'jiu
洮南香酒,tao'nan'xiang'jiu
特酿大曲,te'niang'da'qu
特酿龙滨酒,te'niang'long'bin'jiu
特制红豆酒,te'zhi'hong'dou'jiu
特质红人参酒,te'zhi'hong'ren'shen'jiu
特制太阳岛啤酒,te'zhi'tai'yang'dao'pi'jiu
特制转龙液,te'zhi'zhuan'long'ye
通化干红葡萄酒,tong'hua'gan'hong'pu'tao'jiu
通化红葡萄酒,tong'hua'hong'pu'tao'jiu
通化葡萄酒,tong'hua'pu'tao'jiu
通化人参葡萄酒,tong'hua'ren'shen'pu'tao'jiu
通化味美葡萄酒,tong'hua'wei'mei'pu'tao'jiu
卧虎泉酒,wo'hu'quan'jiu
五加参酒,wu'jia'can'jiu
仙境大曲,xian'jing'da'qu
香梅酒,xiang'mei'jiu
新怀德酒,xin'huai'de'jiu
新辽河酒,xin'liao'he'jiu
新农牌啤酒,xin'nong'pai'pi'jiu
熊岳苹果酒,xiong'yue'ping'guo'jiu
薛刚山大曲,xue'gang'shan'da'qu
雪蛤大补酒,xue'ha'da'bu'jiu
雪花啤酒,xue'hua'pi'jiu
雪鹿啤酒,xue'lu'pi'jiu
雪山啤酒,xue'shan'pi'jiu
玉泉大曲,yu'quan'da'qu
榆树大曲,yu'shu'da'qu
越桔酒,yue'jie'jiu
肇东低度大曲,zhao'dong'di'du'da'qu
昭君酒,zhao'jun'jiu
中国钵酒,zhong'guo'bo'jiu
中国龙泉酒,zhong'guo'long'quan'jiu
中国人参钵酒,zhong'guo'ren'shen'bo'jiu
紫梅酒,zi'mei'jiu
