安隆村,an'long'cun
安南乡,an'nan'xiang
安溪村,an'xi'cun
岙后村,ao'hou'cun
岙里村,ao'li'cun
岙头村,ao'tou'cun
八二,ba'er
八炉村,ba'lu'cun
八三,ba'san
坝头村,ba'tou'cun
八洋村,ba'yang'cun
八一,ba'yi
白岭头,bai'ling'tou
百山祖镇,bai'shan'zu'zhen
白岩下村,bai'yan'xia'cun
白柘村,bai'zhe'cun
白柘洋村,bai'zhe'yang'cun
半岱村,ban'dai'cun
班岱后村,ban'dai'hou'cun
半坑村,ban'keng'cun
半路村,ban'lu'cun
半湾村,ban'wan'cun
半溪,ban'xi
包果村,bao'guo'cun
包谢村,bao'xie'cun
北坑村,bei'keng'cun
北门村,bei'men'cun
北择,bei'ze
钵下村,bo'xia'cun
蔡川村,cai'chuan'cun
蔡地村,cai'di'cun
蔡段,cai'duan
蔡双村,cai'shuang'cun
菜业村,cai'ye'cun
曹岭村,cao'ling'cun
茶垅村,cha'long'cun
长砻村,chang'long'cun
菖蒲洋,chang'pu'yang
车坑村,che'keng'cun
陈边村,chen'bian'cun
陈村村,chen'cun'cun
陈鉴坑村,chen'jian'keng'cun
陈岭村,chen'ling'cun
陈龙溪村,chen'long'xi'cun
城北村,cheng'bei'cun
澄湖村,cheng'hu'cun
葱甩村,cong'shuai'cun
崔家田村,cui'jia'tian'cun
崔上村,cui'shang'cun
村尾村,cun'wei'cun
大坂洋村,da'ban'yang'cun
大池洋村,da'chi'yang'cun
大洪村,da'hong'cun
大济村,da'ji'cun
大际头村,da'ji'tou'cun
大坑村,da'keng'cun
大毛坪村,da'mao'ping'cun
大丘村,da'qiu'cun
大岩村,da'yan'cun
大园村,da'yuan'cun
大泽村,da'ze'cun
岱根村,dai'gen'cun
岱上村,dai'shang'cun
道岗村,dao'gang'cun
底村村,di'cun'cun
地虎坑村,di'hu'keng'cun
底墅村,di'shu'cun
第五坑,di'wu'keng
东川村,dong'chuan'cun
东村村,dong'cun'cun
东岱村,dong'dai'cun
东坑村,dong'keng'cun
东门村,dong'men'cun
东山村,dong'shan'cun
东山后,dong'shan'hou
东溪村,dong'xi'cun
东西村,dong'xi'cun
发竹村,fa'zhu'cun
范源村,fan'yuan'cun
芳村村,fang'cun'cun
方塘村,fang'tang'cun
冯家山村,feng'jia'shan'cun
丰岭村,feng'ling'cun
枫坪村,feng'ping'cun
风滩洋,feng'tan'yang
富林村,fu'lin'cun
富楼源村,fu'lou'yuan'cun
盖竹村,gai'zhu'cun
甘竹山村,gan'zhu'shan'cun
岗后洋村,gang'hou'yang'cun
高大村,gao'da'cun
高际村,gao'ji'cun
高山村,gao'shan'cun
高山湾村,gao'shan'wan'cun
高嵩坑村,gao'song'keng'cun
高阳村,gao'yang'cun
高住村,gao'zhu'cun
葛田村,ge'tian'cun
古岭坑村,gu'ling'keng'cun
官山头,guan'shan'tou
官塘村,guan'tang'cun
官塘乡,guan'tang'xiang
国坪村,guo'ping'cun
荷地村,he'di'cun
荷地镇,he'di'zhen
合湖村,he'hu'cun
荷洋村,he'yang'cun
横坑村,heng'keng'cun
横岭村,heng'ling'cun
后奔,hou'ben
后仓坑村,hou'cang'keng'cun
后村村,hou'cun'cun
后碓村,hou'dui'cun
后广村,hou'guang'cun
后坑村,hou'keng'cun
后楼村,hou'lou'cun
后溪村,hou'xi'cun
后洋村,hou'yang'cun
后洋坑村,hou'yang'keng'cun
湖边村,hu'bian'cun
湖池村,hu'chi'cun
胡处洋村,hu'chu'yang'cun
