阿斯玛,a'si'ma
艾米利亚,ai'mi'li'ya
鞍马八云,an'ma'ba'yun
八尾大蛇,ba'wei'da'she
八云,ba'yun
百合之神,bai'he'zhi'shen
北斗,bei'dou
冰雨,bing'yu
并足雷同,bing'zu'lei'tong
波风皆人,bo'feng'jie'ren
波风水门,bo'feng'shui'men
赤胴铠,chi'dong'kai
赤砂之蝎,chi'sha'zhi'xie
赤铜铠,chi'tong'kai
赤丸,chi'wan
赤星,chi'xing
雏田,chu'tian
春奈,chun'nai
春野樱,chun'ye'ying
次郎坊,ci'lang'fang
丛云,cong'yun
大蛇丸,da'she'wan
达兹纳,da'zi'na
带土,dai'tu
迪达拉,di'da'la
地陆,di'lu
地马,di'ma
地雅,di'ya
丁次,ding'ci
多斯,duo'si
多由也,duo'you'ye
二大仙人,er'da'xian'ren
二尾猫又,er'wei'mao'you
风魔屉目,feng'mo'ti'mu
风云姬,feng'yun'ji
干柿鬼鲛,gan'shi'gui'jiao
甘笋,gan'sun
纲手,gang'shou
钢子铁,gang'zi'tie
鬼灯满月,gui'deng'man'yue
鬼灯水月,gui'deng'shui'yue
鬼郎丸,gui'lang'wan
蛤蟆吉,ha'ma'ji
蛤蟆健,ha'ma'jian
蛤蟆龙,ha'ma'long
蛤蟆文太,ha'ma'wen'tai
海德,hai'de
海老蔵,hai'lao'zang
黑丸,hei'wan
红叶,hong'ye
幻幽丸,huan'you'wan
惠比斯,hui'bi'si
灰丸三兄弟,hui'wan'san'xiong'di
加琉罗,jia'liu'luo
剑三隅,jian'san'yu
角都,jiao'dou
津奈美,jin'nai'mei
井野,jing'ye
静音,jing'yin
九尾妖狐,jiu'wei'yao'hu
菊助,ju'zhu
君麻吕,jun'ma'lv
卡多,ka'duo
卡卡西,ka'ka'xi
堪九郎,kan'jiu'lang
蛞蝓,kuo'yu
兰丸,lan'wan
雷牙,lei'ya
垒雅,lei'ya
李洛克,li'luo'ke
连歌,lian'ge
镰鼬,lian'you
六道仙人,liu'dao'xian'ren
六尾雷兽,liu'wei'lei'shou
六助,liu'zhu
鹿丸,lu'wan
绿儿,lv'er
绿青葵,lv'qing'kui
马基,ma'ji
猫婆婆,mao'po'po
妙木山大蛤蟆,miao'mu'shan'da'ha'ma
明黄,ming'huang
鸣人,ming'ren
冥头,ming'tou
木叶丸,mu'ye'wan
奈良鹿丸,nai'liang'lu'wan
奈良四角,nai'liang'si'jiao
奈露古依,nai'lu'gu'yi
宁次,ning'ci
佩恩,pei'en
旗木卡卡西,qi'mu'ka'ka'xi
旗木朔茂,qi'mu'shuo'mao
七尾貉,qi'wei'hao
千代,qian'dai
千手大和,qian'shou'da'he
千手大藏,qian'shou'da'zang
千手纲手,qian'shou'gang'shou
千手绳树,qian'shou'sheng'shu
千手柱间,qian'shou'zhu'jian
秋道丁次,qiu'dao'ding'ci
秋道丁座,qiu'dao'ding'zuo
犬冢花,quan'zhong'hua
犬冢牙,quan'zhong'ya
犬冢爪,quan'zhong'zhao
忍龟,ren'gui
忍猫,ren'mao
忍犬,ren'quan
忍猿,ren'yuan
日向雏田,ri'xiang'chu'tian
日向花火,ri'xiang'hua'huo
日向宁次,ri'xiang'ning'ci
日向日差,ri'xiang'ri'cha
日向日足,ri'xiang'ri'zu
萨克,sa'ke
三连星,san'lian'xing
三尾矶怃,san'wei'ji'wu
森乃伊比喜,sen'nai'yi'bi'xi
山城青叶,shan'cheng'qing'ye
山椒婆婆,shan'jiao'po'po
山中亥一,shan'zhong'hai'yi
山中井野,shan'zhong'jing'ye
涉木,she'mu
神月出云,shen'yue'chu'yun
深作仙人,shen'zuo'xian'ren
手鞠,shou'ju
水木,shui'mu
水无月白,shui'wu'yue'bai
水烟,shui'yan
斯麦尔,si'mai'er
四尾鼠鲛,si'wei'shu'jiao
桃地再不斩,tao'di'zai'bu'zhan
特穆金,te'mu'jin
天天,tian'tian
铁臂蛤蟆,tie'bi'ha'ma
铁血凯,tie'xue'kai
团藏,tuan'cang
豚豚,tun'tun
托斯,tuo'si
万蛇,wan'she
我爱罗,wo'ai'luo
五寸钉,wu'cun'ding
乌顿,wu'dun
五尾彭侯,wu'wei'peng'hou
雾雨,wu'yu
夕日红,xi'ri'hong
夏日,xia'ri
夏日星,xia'ri'xing
香燐,xiang'lin
小楠,xiao'nan
小樱,xiao'ying
玄能,xuan'neng
旋涡玖辛奈,xuan'wo'jiu'xin'nai
漩涡鸣人,xuan'wo'ming'ren
雪姬,xue'ji
药师兜,yao'shi'dou
夜叉丸,ye'cha'wan
业头,ye'tou
伊鲁卡,yi'lu'ka
一尾守鹤,yi'wei'shou'he
右近,you'jin
由良,you'liang
油女志乃,you'nv'zhi'nai
渔火,yu'huo
御手洗红豆,yu'shou'xi'hong'dou
宇智波斑,yu'zhi'bo'ban
宇智波带土,yu'zhi'bo'dai'tu
宇智波富岳,yu'zhi'bo'fu'yue
宇智波美琴,yu'zhi'bo'mei'qin
宇智波鼬,yu'zhi'bo'you
宇智波止水,yu'zhi'bo'zhi'shui
宇智波佐助,yu'zhi'bo'zuo'zhu
猿飞阿斯玛,yuan'fei'a'si'ma
猿飞新之助,yuan'fei'xin'zhi'zhu
猿飞佐助,yuan'fei'zuo'zhu
月光疾风,yue'guang'ji'feng
云海,yun'hai
志保,zhi'bao
志乃,zhi'nai
止水,zhi'shui
重吾,zhong'wu
朱鹭,zhu'lu
竹取君麻吕,zhu'qu'jun'ma'lv
自来也,zi'lai'ye
紫苑,zi'yuan
左近,zuo'jin
佐井,zuo'jing
佐助,zuo'zhu
