阿,a
直接染料,zhi'jie'ran'liao
直接印花,zhi'jie'yin'hua
织锦,zhi'jin
织锦缎,zhi'jin'duan
织锦回文,zhi'jin'hui'wen
织金锦,zhi'jin'jin
织金陀罗经被,zhi'jin'tuo'luo'jing'bei
织染局,zhi'ran'ju
织绒,zhi'rong
织室,zhi'shi
织毯,zhi'tan
织文,zhi'wen
植物染料,zhi'wu'ran'liao
织物文字图案,zhi'wu'wen'zi'tu'an
织物印金,zhi'wu'yin'jin
织造,zhi'zao
织造工,zhi'zao'gong
织造衙门,zhi'zao'ya'men
中国丝绸,zhong'guo'si'chou
重莲绫,zhong'lian'ling
钟氏染羽,zhong'shi'ran'yu
中性染料,zhong'xing'ran'liao
绉,zhou
绉絺,zhou'chi
绉纱,zhou'sha
纻,zhu
诸葛锦,zhu'ge'jin
朱红色杯形菱纹罗,zhu'hong'se'bei'xing'ling'wen'luo
朱缂法,zhu'ke'fa
拽花工,zhuai'hua'gong
转化效果印花,zhuan'hua'xiao'guo'yin'hua
转移印花,zhuan'yi'yin'hua
妆花,zhuang'hua
妆花缎,zhuang'hua'duan
妆花绢,zhuang'hua'juan
妆花罗,zhuang'hua'luo
壮锦,zhuang'jin
装饰用纺织品,zhuang'shi'yong'fang'zhi'pin
装造,zhuang'zao
缀花绢幡,zhui'hua'juan'fan
卓氏锦,zhuo'shi'jin
紫花布,zi'hua'bu
紫鸾鹊谱缂丝,zi'luan'que'pu'ke'si
紫曲水,zi'qu'shui
