阿,a
高山锦,gao'shan'jin
葛,ge
葛絺,ge'chi
臈缬,ge'xie
葛越,ge'yue
格子红锦,ge'zi'hong'jin
茛纱,gen'sha
贡罗,gong'luo
宫纱,gong'sha
工字纹绫,gong'zi'wen'ling
构缂法,gou'ke'fa
勾连万字纹绫,gou'lian'wan'zi'wen'ling
古代绞缬工艺方法,gu'dai'jiao'xie'gong'yi'fang'fa
古香缎,gu'xiang'duan
挂毯,gua'tan
瓜子罗,gua'zi'luo
广西苗族浆染,guang'xi'miao'zu'jiang'ran
龟背王字纹锦,gui'bei'wang'zi'wen'jin
桂布,gui'bu
桂管布,gui'guan'bu
龟甲四瓣纹罽,gui'jia'si'ban'wen'ji
龟纱,gui'sha
滚筒印花,gun'tong'yin'hua
海棠纹锦,hai'tang'wen'jin
海西布,hai'xi'bu
汉代帛画,han'dai'bo'hua
汉代的纺车,han'dai'de'fang'che
汉代提花机,han'dai'ti'hua'ji
皓纱,hao'sha
褐,he
合成染料,he'cheng'ran'liao
合成纤维,he'cheng'xian'wei
褐地双色方格纹锦,he'di'shuang'se'fang'ge'wen'jin
合锦,he'jin
褐色山茶罗,he'se'shan'cha'luo
红地宝相花纹锦,hong'di'bao'xiang'hua'wen'jin
红地韩仁绣锦,hong'di'han'ren'xiu'jin
红地华纹锦,hong'di'hua'wen'jin
红地双龙纹锦,hong'di'shuang'long'wen'jin
红地团花纹锦,hong'di'tuan'hua'wen'jin
红地小团窠锦,hong'di'xiao'tuan'ke'jin
红地折枝梅花锦,hong'di'zhe'zhi'mei'hua'jin
红缦,hong'man
红色杯纹罗,hong'se'bei'wen'luo
红绡,hong'xiao
猴戏加绣妆花罗,hou'xi'jia'xiu'zhuang'hua'luo
縠,hu
胡王锦,hu'wang'jin
花本,hua'ben
花本挑花,hua'ben'tiao'hua
画缋,hua'hui
花罽,hua'ji
花楼,hua'lou
花罗,hua'luo
花软缎,hua'ruan'duan
化学纤维,hua'xue'xian'wei
浣花锦,huan'hua'jin
还原染料,huan'yuan'ran'liao
黄褐色长春花绮,huang'he'se'chang'chun'hua'qi
回回锦,hui'hui'jin
缋罽,hui'ji
会州的复鞍毡,hui'zhou'de'fu'an'zhan
火毳,huo'cui
火浣布,huo'huan'bu
活性染料,huo'xing'ran'liao
罽,ji
吉贝,ji'bei
机房,ji'fang
机户,ji'hu
机匠,ji'jiang
季绢,ji'juan
极乐世界织成锦图轴,ji'le'shi'jie'zhi'cheng'jin'tu'zhou
辑里丝,ji'li'si
鸡鸣布,ji'ming'bu
罽衣金缕,ji'yi'jin'lv
机织地毯,ji'zhi'di'tan
加金缠枝花卉天华纹锦,jia'jin'chan'zhi'hua'hui'tian'hua'wen'jin
夹缬,jia'xie
缣,jian
碱剂印花,jian'ji'yin'hua
剪片,jian'pian
缣素,jian'su
碱性染料,jian'xing'ran'liao
绛地宝相花印花绢裙,jiang'di'bao'xiang'hua'yin'hua'juan'qun
绛地交龙锦,jiang'di'jiao'long'jin
江陵锦,jiang'ling'jin
绛色地花鸟印花绢,jiang'se'di'hua'niao'yin'hua'juan
绛色牡丹纹罗,jiang'se'mu'dan'wen'luo
胶背手工地毯,jiao'bei'shou'gong'di'tan
蕉布,jiao'bu
蕉葛,jiao'ge
交龙锦,jiao'long'jin
脚踏纺车,jiao'ta'fang'che
鲛绡,jiao'xiao
绞缬,jiao'xie
交织,jiao'zhi
锦,jin
金宝地,jin'bao'di
锦城,jin'cheng
金雕缎,jin'diao'duan
锦官城,jin'guan'cheng
锦绫,jin'ling
锦纶,jin'lun
浸染,jin'ran
金丝缎,jin'si'duan
金丝挂毯,jin'si'gua'tan
金条纱,jin'tiao'sha
金银线,jin'yin'xian
金玉缎,jin'yu'duan
经,jing
经编织物,jing'bian'zhi'wu
荆缎,jing'duan
荆锦,jing'jin
经锦,jing'jin
经丝彩色显花,jing'si'cai'se'xian'hua
经纬线,jing'wei'xian
九龙缂丝靠背,jiu'long'ke'si'kao'bei
九阳消寒图轴,jiu'yang'xiao'han'tu'zhou
九緵布,jiu'zong'bu
苴布,ju'bu
局部轧光,ju'bu'ya'guang
菊花罗,ju'hua'luo
菊花纹绮,ju'hua'wen'qi
局纱,ju'sha
矩纹花纱,ju'wen'hua'sha
句文锦,ju'wen'jin
绢,juan
卷草纹绫,juan'cao'wen'ling
绢素,juan'su
卡垫,ka'dian
拷绸,kao'chou
拷花,kao'hua
拷花印花布,kao'hua'yin'hua'bu
拷花织物,kao'hua'zhi'wu
缂金法,ke'jin'fa
缂鳞法,ke'lin'fa
缂毛,ke'mao
克丝,ke'si
刻丝,ke'si
尅丝,ke'si
缂丝,ke'si
缂丝带,ke'si'dai
缂丝靴面,ke'si'xue'mian
刻丝作,ke'si'zuo
缂绣混色法,ke'xiu'hun'se'fa
刻毡,ke'zhan
孔雀罗,kong'que'luo
孔雀羽拈线行龙妆花遍地金,kong'que'yu'nian'xian'xing'long'zhuang'hua'bian'di'jin
孔雀妆花锦,kong'que'zhuang'hua'jin
库缎,ku'duan
库锦,ku'jin
矿物染料,kuang'wu'ran'liao
夔龙锦,kui'long'jin
夔纹锦,kui'wen'jin
蜡刀,la'dao
蜡防印花,la'fang'yin'hua
拉祜锦,la'hu'jin
拉绞地毯,la'jiao'di'tan
蜡缬,la'xie
蓝地富贵妆花缎,lan'di'fu'gui'zhuang'hua'duan
蓝底瑞花锦,lan'di'rui'hua'jin
蓝地桃榴佛手锦缎,lan'di'tao'liu'fo'shou'jin'duan
蓝地重莲团花锦,lan'di'zhong'lian'tuan'hua'jin
烂花,lan'hua
烂花乔其绒,lan'hua'qiao'qi'rong
蓝印花布,lan'yin'hua'bu
老龙头妆花缎,lao'long'tou'zhuang'hua'duan
冷布,leng'bu
纚,li
黎单,li'dan
黎锦,li'jin
练,lian
练漂,lian'piao
莲塘乳鸭图,lian'tang'ru'ya'tu
联珠大鹿纹锦,lian'zhu'da'lu'wen'jin
联珠对孔雀贵字纹锦,lian'zhu'dui'kong'que'gui'zi'wen'jin
联珠对马纹锦,lian'zhu'dui'ma'wen'jin
联珠对鸟对狮同字纹锦,lian'zhu'dui'niao'dui'shi'tong'zi'wen'jin
联珠对鸭纹锦,lian'zhu'dui'ya'wen'jin
联珠孔雀锦,lian'zhu'kong'que'jin
联珠龙纹绮,lian'zhu'long'wen'qi
联珠鹿纹锦,lian'zhu'lu'wen'jin
联珠鸟纹锦,lian'zhu'niao'wen'jin
联珠骑士纹锦,lian'zhu'qi'shi'wen'jin
联珠纹锦,lian'zhu'wen'jin
联珠猪头纹锦,lian'zhu'zhu'tou'wen'jin
两经绞罗,liang'jing'jiao'luo
两窠紬绫,liang'ke'chou'ling
缭绫,liao'ling
绫,ling
菱格彩花壮锦丝毯,ling'ge'cai'hua'zhuang'jin'si'tan
菱纹绮,ling'wen'qi
菱形忍冬锦,ling'xing'ren'dong'jin
菱形阳字锦,ling'xing'yang'zi'jin
陵阳公样,ling'yang'gong'yang
灵芝团龙纹金锦,ling'zhi'tuan'long'wen'jin'jin
灵州的靴鞟毡,ling'zhou'de'xue'kuo'zhan
斿豹锦,liu'bao'jin
六边形几何纹蓝印花棉布,liu'bian'xing'ji'he'wen'lan'yin'hua'mian'bu
六达晕,liu'da'yun
硫化染料,liu'hua'ran'liao
六角连环纹锦缎,liu'jiao'lian'huan'wen'jin'duan
六角梅花罗,liu'jiao'mei'hua'luo
留香绉,liu'xiang'zhou
龙凤棋格纹锦,long'feng'qi'ge'wen'jin
龙凤条纹锦,long'feng'tiao'wen'jin
镂空版印花,lou'kong'ban'yin'hua
镂空纸花版印染工艺,lou'kong'zhi'hua'ban'yin'ran'gong'yi
纑,lu
鲁绢,lu'juan
鸾纹锦,luan'wen'jin
罗,luo
落花流水锦,luo'hua'liu'shui'jin
绿地缠枝莲妆花缎,lv'di'chan'zhi'lian'zhuang'hua'duan
氀毼,lv'he
绿色打猎图印花纱,lv'se'da'lie'tu'yin'hua'sha
玛什鲁布,ma'shen'lu'bu
马王堆出土泥金银印花纱,ma'wang'dui'chu'tu'ni'jin'yin'yin'hua'sha
马王堆出土绒圈锦,ma'wang'dui'chu'tu'rong'quan'jin
麻纤维,ma'xian'wei
蛮布,man'bu
满地万字绫,man'di'wan'zi'ling
蛮氈,man'zhan
毛毯,mao'tan
梅蝶锦,mei'die'jin
梅花曲水锦,mei'hua'qu'shui'jin
媒染,mei'ran
媒染染料,mei'ran'ran'liao
蜜蜂缠枝花缎,mi'feng'chan'zhi'hua'duan
米黄地灵鹫纹锦,mi'huang'di'ling'jiu'wen'jin
绵绸,mian'chou
棉锦,mian'jin
棉菱形花纹织锦,mian'ling'xing'hua'wen'zhi'jin
棉纬富春纺,mian'wei'fu'chun'fang
棉纤维,mian'xian'wei
苗锦,miao'jin
民族锦,min'zu'jin
明代九狮栽绒毯,ming'dai'jiu'shi'zai'rong'tan
明光锦,ming'guang'jin
鸣鸟纹锦,ming'niao'wen'jin
明霞锦,ming'xia'jin
模版印花,mo'ban'yin'hua
摹本,mo'ben
墨绿地宝相花妆花缎,mo'lv'di'bao'xiang'hua'zhuang'hua'duan
牡丹团扇缂丝,mu'dan'tuan'shan'ke'si
牡丹纹烟色暗花绸,mu'dan'wen'yan'se'an'hua'chou
木棉锦,mu'mian'jin
纳布,na'bu
纳克实,na'ke'shi
纳失失,na'shi'shi
纳石失,na'shi'shi
纳失思,na'shi'si
男工地毯,nan'gong'di'tan
南宋缠枝牡丹花罗,nan'song'chan'zhi'mu'dan'hua'luo
南宋方形小花绮,nan'song'fang'xing'xiao'hua'qi
南宋几何小花罗,nan'song'ji'he'xiao'hua'luo
南宋矩形点小花绮,nan'song'ju'xing'dian'xiao'hua'qi
撚金,nian'jin
宁州的五色复鞍毡,ning'zhou'de'wu'se'fu'an'zhan
女布,nv'bu
女工地毯,nv'gong'di'tan
盘金地毯,pan'jin'di'tan
泡泡纱,pao'pao'sha
喷雾印花,pen'wu'yin'hua
片金,pian'jin
偏诸,pian'zhu
缥,piao
缥帙,piao'zhi
平毯,ping'tan
平纹组织,ping'wen'zu'zhi
平针地毯,ping'zhen'di'tan
铺地锦,pu'di'jin
氆氇,pu'lu
普罗,pu'luo
绮,qi
齐缂法,qi'ke'fa
綦绮,qi'qi
骑士对兽纹锦,qi'shi'dui'shou'wen'jin
棋纹锦,qi'wen'jin
七緵布,qi'zong'bu
浅褐色绉纱,qian'he'se'zhou'sha
千金绦,qian'jin'tao
千金绦饰,qian'jin'tao'shi
抢缂法,qiang'ke'fa
乔其绒,qiao'qi'rong
乔其纱,qiao'qi'sha
乔其绉,qiao'qi'zhou
綅,qin
清代金线地玉堂富贵壁毯,qing'dai'jin'xian'di'yu'tang'fu'gui'bi'tan
清代山茶印花布,qing'dai'shan'cha'yin'hua'bu
青地彩云寿字金龙妆花缎,qing'di'cai'yun'shou'zi'jin'long'zhuang'hua'duan
青地粉花缂丝,qing'di'fen'hua'ke'si
晴纶,qing'lun
青絇细綻,qing'qu'xi'zhan
轻容,qing'rong
紌,qiu
毬露锦,qiu'lu'jin
球路锦,qiu'lu'jin
球路双鸟纹锦,qiu'lu'shuang'niao'wen'jin
球路纹,qiu'lu'wen
秋罗,qiu'luo
氍毹,qu'shu
曲水纹,qu'shui'wen
群机祝寿图缂丝,qun'ji'zhu'shou'tu'ke'si
染草,ran'cao
染坊,ran'fang
染料,ran'liao
染色,ran'se
染织,ran'zhi
染织染织美术设计,ran'zhi'ran'zhi'mei'shu'she'ji
染织图案,ran'zhi'tu'an
人物缠枝纹撚金锦,ren'wu'chan'zhi'wen'nian'jin'jin
人物蜡染花布,ren'wu'la'ran'hua'bu
人物葡萄纹毛织品,ren'wu'pu'tao'wen'mao'zhi'pin
人造麂皮,ren'zao'ji'pi
人造毛皮,ren'zao'mao'pi
人造染料,ren'zao'ran'liao
人造纤维,ren'zao'xian'wei
人字绮幡,ren'zi'qi'fan
绒,rong
绒布花色起毛印花,rong'bu'hua'se'qi'mao'yin'hua
绒锦,rong'jin
绒圈锦,rong'quan'jin
绒毯,rong'tan
繻缓绦,ru'huan'tao
繻缓绦饰,ru'huan'tao'shi
如意云八宝缎,ru'yi'yun'ba'bao'duan
如意云鹤锦,ru'yi'yun'he'jin
如意云纹绫,ru'yi'yun'wen'ling
软缎,ruan'duan
瑞草云鹤锦,rui'cao'yun'he'jin
瑞鹿团花锦,rui'lu'tuan'hua'jin
瑞鹊衔花锦,rui'que'xian'hua'jin
洒海刺,sa'hai'ci
洒金印花,sa'jin'yin'hua
散点小花锦,san'dian'xiao'hua'jin
散花锦,san'hua'jin
三经绞罗,san'jing'jiao'luo
三蓝缂法,san'lan'ke'fa
三色金缂,san'se'jin'ke
色拔,se'ba
纱,sha
沙縠,sha'hu
筛网印花,shai'wang'yin'hua
山茶蛱蝶图缂丝,shan'cha'jia'die'tu'ke'si
山顶洞人的骨针,shan'ding'dong'ren'de'gu'zhen
商代回纹丝织物残痕,shang'dai'hui'wen'si'zhi'wu'can'hen
商代云雷纹丝织物残痕,shang'dai'yun'lei'wen'si'zhi'wu'can'hen
商铜觚表面平纹丝织物残痕,shang'tong'gu'biao'mian'ping'wen'si'zhi'wu'can'hen
神锦衾锦,shen'jin'qin'jin
渗透印花,shen'tou'yin'hua
深湘地十字花紬,shen'xiang'di'shi'zi'hua'chou
盛纺,sheng'fang
生丝,sheng'si
升越,sheng'yue
生织,sheng'zhi
石棉,shi'mian
石棉布,shi'mian'bu
石染,shi'ran
十样锦,shi'yang'jin
狮子纹锦,shi'zi'wen'jin
狮子戏彩球印花花边,shi'zi'xi'cai'qiu'yin'hua'hua'bian
十緵布,shi'zong'bu
手工地毯,shou'gong'di'tan
手工栽绒地毯,shou'gong'zai'rong'di'tan
兽锦,shou'jin
狩猎纹印花绢,shou'lie'wen'yin'hua'juan
寿字织银锦,shou'zi'zhi'yin'jin
綀,shu
蜀布,shu'bu
蜀锦,shu'jin
树叶纹锦,shu'ye'wen'jin
熟织,shu'zhi
双凤五福八吉祥织锦,shuang'feng'wu'fu'ba'ji'xiang'zhi'jin
双鹤双桃缂丝,shuang'he'shuang'tao'ke'si
双虎印花罗,shuang'hu'yin'hua'luo
双龙穿璧缂丝,shuang'long'chuan'bi'ke'si
双龙戏珠锦,shuang'long'xi'zhu'jin
双面绒,shuang'mian'rong
双丝淡黄地印鸳鸯花束纹纱,shuang'si'dan'huang'di'yin'yuan'yang'hua'shu'wen'sha
双绉,shuang'zhou
水波藏龙锦,shui'bo'cang'long'jin
水墨缂,shui'mo'ke
丝布,si'bu
丝绸之路,si'chou'zhi'lu
四大天王狩猎纹锦,si'da'tian'wang'shou'lie'wen'jin
丝国,si'guo
四合如意云纹缎,si'he'ru'yi'yun'wen'duan
四经绞罗,si'jing'jiao'luo
丝绒,si'rong
四色金,si'se'jin
丝絮片,si'xu'pian
丝织天鹅绒毯,si'zhi'tian'e'rong'tan
宋代纺车,song'dai'fang'che
宋代罗机,song'dai'luo'ji
宋代烟色素罗,song'dai'yan'se'su'luo
宋代棕色纹罗,song'dai'zong'se'wen'luo
宋锦,song'jin
宋罗,song'luo
松梅竹缎带,song'mei'zhu'duan'dai
宋式锦,song'shi'jin
宋元织机,song'yuan'zhi'ji
塑料地毯,su'liao'di'tan
素罗,su'luo
素凸式地毯图案,su'tu'shi'di'tan'tu'an
酸性染料,suan'xing'ran'liao
梭福,suo'fu
塔夫绸,ta'fu'chou
太极云纹缎,tai'ji'yun'wen'duan
酞菁染料,tai'jing'ran'liao
台湾锦,tai'wan'jin
緂,tan
唐代碧地二窠长方毯,tang'dai'bi'di'er'ke'chang'fang'tan
唐代花卉人物长方毯,tang'dai'hua'hui'ren'wu'chang'fang'tan
唐代几何兽纹挂毯,tang'dai'ji'he'shou'wen'gua'tan
唐代栽绒花毯,tang'dai'zai'rong'hua'tan
唐格子花纹蜀江锦,tang'ge'zi'hua'wen'shu'jiang'jin
绦,tao
套环对鸟纹绮,tao'huan'dui'niao'wen'qi
套环贵字纹绮,tao'huan'gui'zi'wen'qi
套缂法,tao'ke'fa
套染,tao'ran
绨,ti
提花布,ti'hua'bu
提花圆机,ti'hua'yuan'ji
提花组织,ti'hua'zu'zhi
天鹅绒,tian'e'rong
天华锦,tian'hua'jin
填花燕纹锦,tian'hua'yan'wen'jin
天水碧,tian'shui'bi
挑花结本,tiao'hua'jie'ben
橦布,tong'bu
通海缎,tong'hai'duan
僮锦,tong'jin
凸版印花,tu'ban'yin'hua
凸花锦,tu'hua'jin
土花铺盖,tu'hua'pu'gai
土家锦,tu'jia'jin
涂料印花,tu'liao'yin'hua
团窠锦,tuan'ke'jin
团绫,tuan'ling
团龙缂丝,tuan'long'ke'si
佤锦,wa'jin
万年丰益寿飞鹿双虎锦,wan'nian'feng'yi'shou'fei'lu'shuang'hu'jin
万世如意锦,wan'shi'ru'yi'jin
万寿绸,wan'shou'chou
万寿双龙缂丝,wan'shou'shuang'long'ke'si
纨素,wan'su
万字百蝠漳缎,wan'zi'bai'fu'zhang'duan
万字缠枝花锦,wan'zi'chan'zhi'hua'jin
纬,wei
纬编,wei'bian
纬编平针织物,wei'bian'ping'zhen'zhi'wu
纬锦,wei'jin
纬缂,wei'ke
卫绒,wei'rong
纹,wen
文绮,wen'qi
文辱,wen'ru
文绣,wen'xiu
纹制,wen'zhi
无纺织条纹地毯,wu'fang'zhi'tiao'wen'di'tan
五谷丰登妆花缎,wu'gu'feng'deng'zhuang'hua'duan
无光纺,wu'guang'fang
武侯锦,wu'hou'jin
雾縠,wu'hu
乌驎,wu'lin
吴绫,wu'ling
舞人动物纹锦衾,wu'ren'dong'wu'wen'jin'qin
綌,xi
緆,xi
西兰卡普,xi'lan'ka'pu
洗毯,xi'tan
细緤,xi'xie
细旃,xi'zhan
霞氎,xia'die
线春,xian'chun
显妆,xian'zhuang
像景,xiang'jing
缃缥,xiang'piao
香色地红茱萸纹锦,xiang'se'di'hong'zhu'yu'wen'jin
缃素,xiang'su
象纹锦,xiang'wen'jin
绡,xiao
小锦,xiao'jin
小团凤缎,xiao'tuan'feng'duan
缬,xie
斜褐,xie'he
斜纹纬锦,xie'wen'wei'jin
斜纹组织,xie'wen'zu'zhi
斜织机织造机器,xie'zhi'ji'zhi'zao'ji'qi
锌版印花,xin'ban'yin'hua
新疆民丰出土的汉棉织品,xin'jiang'min'feng'chu'tu'de'han'mian'zhi'pin
型版印花,xing'ban'yin'hua
型纸印花,xing'zhi'yin'hua
绣毡,xiu'zhan
璇玑图锦,xuan'ji'tu'jin
玄纤,xuan'xian
轧光,ya'guang
轧染,ya'ran
延年益寿大宣子孙锦,yan'nian'yi'shou'da'xuan'zi'sun'jin
烟色梅花罗,yan'se'mei'hua'luo
氧化染料,yang'hua'ran'liao
阳离子染料接枝印花,yang'li'zi'ran'liao'jie'zhi'yin'hua
洋绉,yang'zhou
瑶池集庆图轴,yao'chi'ji'qing'tu'zhou
腰机,yao'ji
瑶锦,yao'jin
意匠图,yi'jiang'tu
意匠纸,yi'jiang'zhi
益州新样锦,yi'zhou'xin'yang'jin
衣着纺织品,yi'zhuo'fang'zhi'pin
银锭万字紬,yin'ding'wan'zi'chou
银勾晕,yin'gou'yun
银红地宝相花纹锦,yin'hong'di'bao'xiang'hua'wen'jin
印花,yin'hua
印花彩绘芍药缨络花边,yin'hua'cai'hui'shao'yao'ying'luo'hua'bian
印花敷彩纱,yin'hua'fu'cai'sha
印花描金,yin'hua'miao'jin
隐花星花纹锦,yin'hua'xing'hua'wen'jin
印经织物,yin'jing'zhi'wu
引纬,yin'wei
鹦鹉纹金锦,ying'wu'wen'jin'jin
永昌锦,yong'chang'jin
黝紫,you'zi
羽缎,yu'duan
御龙舟人物帛画,yu'long'zhou'ren'wu'bo'hua
羽纱,yu'sha
雨丝锦,yu'si'jin
鱼蛙纹锦,yu'wa'wen'jin
鱼油锦,yu'you'jin
羽织物,yu'zhi'wu
院紬,yuan'chou
鸳机,yuan'ji
圆金线,yuan'jin'xian
院绢,yuan'juan
圆网印花,yuan'wang'yin'hua
鸳鸯缎,yuan'yang'duan
鸳鸯莲鹭锦,yuan'yang'lian'lu'jin
原州的复鞍毡,yuan'zhou'de'fu'an'zhan
月华缎,yue'hua'duan
月季鹌鹑图缂丝,yue'ji'an'chun'tu'ke'si
云布,yun'bu
云地宝相花纹重锦,yun'di'bao'xiang'hua'wen'zhong'jin
晕繝锦,yun'jian'jin
晕间提花锦,yun'jian'ti'hua'jin
云锦,yun'jin
云锦图案创作口诀,yun'jin'tu'an'chuang'zuo'kou'jue
云龙八吉祥缎,yun'long'ba'ji'xiang'duan
云纹花绢,yun'wen'hua'juan
云纹罗,yun'wen'luo
杂宝织金绫,za'bao'zhi'jin'ling
皂地八角团花锦,zao'di'ba'jiao'tuan'hua'jin
则数,ze'shu
缯,zeng
轧花布,zha'hua'bu
扎经染色,zha'jing'ran'se
轧纹,zha'wen
毡,zhan
战国褐地矩纹锦,zhan'guo'he'di'ju'wen'jin
战国棕色地几何纹锦,zhan'guo'zong'se'di'ji'he'wen'jin
漳缎,zhang'duan
漳绒,zhang'rong
罩印,zhao'yin
折枝花卉蝴蝶妆花缎,zhe'zhi'hua'hui'hu'die'zhuang'hua'duan
折枝牡丹花罗,zhe'zhi'mu'dan'hua'luo
真丝缎,zhen'si'duan
緻,zhi
织贝,zhi'bei
织成,zhi'cheng
织成仪凤图,zhi'cheng'yi'feng'tu
织花,zhi'hua
