白川凛,bai'chuan'lin
白琉璃,bai'liu'li
不老不死,bu'lao'bu'si
陈大光,chen'da'guang
陈瑶,chen'yao
除妖师,chu'yao'shi
大道永生,da'dao'yong'sheng
大公子,da'gong'zi
丁小猫,ding'xiao'mao
丁小甜,ding'xiao'tian
斗法,dou'fa
毒婴,du'ying
法师,fa'shi
凡夫俗子皆为尘泥,fan'fu'su'zi'jie'wei'chen'ni
高泰宇,gao'tai'yu
革命小将,ge'ming'xiao'jiang
顾基,gu'ji
顾萌萌,gu'meng'meng
顾玄武,gu'xuan'wu
怪婴,guai'ying
韩东君,han'dong'jun
和尚,he'shang
黑帮帮草,hei'bang'bang'cao
护身符,hu'shen'fu
沪西赌场,hu'xi'du'chang
狐妖大白,hu'yao'da'bai
霍舒哲,huo'shu'zhe
活物,huo'wu
精气,jing'qi
烂肉,lan'rou
李兰迪,li'lan'di
林栋甫,lin'dong'fu
灵魂不灭,ling'hun'bu'mie
刘骐玮,liu'qi'wei
刘松仁,liu'song'ren
猫爷,mao'ye
尼迪裴善官,ni'di'pei'shan'guan
女煞,nv'sha
披拉,pi'la
人盅,ren'zhong
肉体不死,rou'ti'bu'si
三千世界皆为草芥,san'qian'shi'jie'jie'wei'cao'jie
摄魂夺魄,she'hun'duo'po
苏桃,su'tao
太极石门,tai'ji'shi'men
桃桃,tao'tao
天眼,tian'yan
王彦霖,wang'yan'lin
王妍苏,wang'yan'su
王艺诺,wang'yi'nuo
魏宗万,wei'zong'wan
无心,wu'xin
小丁猫,xiao'ding'mao
小汤包,xiao'tang'bao
小雯,xiao'wen
小妖女,xiao'yao'nv
邪祟,xie'sui
异人,yi'ren
冤魂,yuan'hun
岳萝莉,yue'luo'li
岳绮罗,yue'qi'luo
张铭轩,zhang'ming'xuan
纸人,zhi'ren
钟旺,zhong'wang
转世,zhuan'shi
捉妖师,zhuo'yao'shi
