飞雁苏卿,fei'yan'su'qing
冯诞同舆,feng'dan'tong'yu
冯道痴顽,feng'dao'chi'wan
冯官五代,feng'guan'wu'dai
冯后当熊,feng'hou'dang'xiong
凤凰律吕,feng'huang'lv'lv
凤集徐陵,feng'ji'xu'ling
枫落吴江,feng'luo'wu'jiang
风仪李揆,feng'yi'li'kui
腹负将军,fu'fu'jiang'jun
苻卤投鞭,fu'lu'tou'bian
服虔赁作,fu'qian'lin'zuo
拂矢贾坚,fu'shi'jia'jian
傅说骑箕,fu'shuo'qi'ji
伏羲画卦,fu'xi'hua'gua
傅奕除邪,fu'yi'chu'xie
虙子驱车,fu'zi'qu'che
改氏为民,gai'shi'wei'min
盖忘苏隙,gai'wang'su'xi
敢谏香车,gan'jian'xiang'che
干椹杨沛,gan'shen'yang'pei
高逢白帝,gao'feng'bai'di
高凤持竿,gao'feng'chi'gan
杲卿断舌,gao'qing'duan'she
皋惟团力,gao'wei'tuan'li
高祖伤胸,gao'zu'shang'xiong
鬲贩鱼盐,ge'fan'yu'yan
葛洪负笈,ge'hong'fu'ji
割肉东方,ge'rou'dong'fang
耿恭拜井,geng'gong'bai'jing
耿弇北道,geng'yan'bei'dao
更衣范冉,geng'yi'fan'ran
公超成市,gong'chao'cheng'shi
功臣图阁,gong'chen'tu'ge
供奉忠唐,gong'feng'zhong'tang
公瑾醇醪,gong'jin'chun'lao
公权隐谏,gong'quan'yin'jian
公孙白纻,gong'sun'bai'zhu
公孙东阁,gong'sun'dong'ge
功显云台,gong'xian'yun'tai
公信采薇,gong'xin'cai'wei
公艺百忍,gong'yi'bai'ren
公议袁枢,gong'yi'yuan'shu
公瑜嫁婢,gong'yu'jia'bi
贡禹弹冠,gong'yu'tan'guan
公远玩月,gong'yuan'wan'yue
公主梅妆,gong'zhu'mei'zhuang
苟变干城,gou'bian'gan'cheng
勾践灭吴,gou'jian'mie'wu
古帝凤阁,gu'di'feng'ge
姑妇手谈,gu'fu'shou'tan
古人万亿,gu'ren'wan'yi
骨相吕岩,gu'xiang'lv'yan
鼓枻诗翁,gu'xie'shi'weng
固言柳汁,gu'yan'liu'zhi
古冶持鼋,gu'ye'chi'yuan
灌夫使酒,guan'fu'shi'jiu
管宁割席,guan'ning'ge'xi
关西孔子,guan'xi'kong'zi
灌园陈定,guan'yuan'chen'ding
光安耕钓,guang'an'geng'diao
广被孟仁,guang'bei'meng'ren
光进五规,guang'jin'wu'gui
广平作赋,guang'ping'zuo'fu
贵妃捧砚,gui'fei'peng'yan
贵妃桃髻,gui'fei'tao'ji
诡术尸佼,gui'shu'shi'jiao
归罪遗缣,gui'zui'yi'jian
国华取印,guo'hua'qu'yin
郭家金穴,guo'jia'jin'xue
郭巨埋儿,guo'ju'mai'er
郭讷言佳,guo'ne'yan'jia
郭泰人师,guo'tai'ren'shi
郭象注庄,guo'xiang'zhu'zhuang
郭奕三叹,guo'yi'san'tan
韩比云龙,han'bi'yun'long
汉称七制,han'cheng'qi'zhi
韩仇良复,han'chou'liang'fu
韩侯敝袴,han'hou'bi'ku
汉纪备存,han'ji'bei'cun
汉家三杰,han'jia'san'jie
韩康卖药,han'kang'mai'yao
韩屏题叶,han'ping'ti'ye
韩浦鸾笺,han'pu'luan'jian
韩琦焚疏,han'qi'fen'shu
韩琦芍药,han'qi'shao'yao
汉使张骞,han'shi'zhang'qian
鼾睡陈抟,han'shui'chen'tuan
汉王封齿,han'wang'feng'chi
韩文鼎扛,han'wen'ding'kang
汉宣续令,han'xuan'xu'ling
韩愈斗牛,han'yu'dou'niu
韩愈焚膏,han'yu'fen'gao
韩愈辟佛,han'yu'pi'fo
韩子孤愤,han'zi'gu'fen
汉祖歌风,han'zu'ge'feng
浩从床匿,hao'cong'chuang'ni
皓折贾充,hao'zhe'jia'chong
何点三高,he'dian'san'gao
和靖观梅,he'jing'guan'mei
和凝衣钵,he'ning'yi'bo
何奇韩信,he'qi'han'xin
和峤专车,he'qiao'zhuan'che
何守关中,he'shou'guan'zhong
贺循冰玉,he'xun'bing'yu
何逊行吟,he'xun'xing'yin
何晏谈易,he'yan'tan'yi
鸿耻因人,hong'chi'yin'ren
鸿渐论茶,hong'jian'lun'cha
弘景作相,hong'jing'zuo'xiang
弘治凝脂,hong'zhi'ning'zhi
胡姬人种,hu'ji'ren'zhong
湖循莺脰,hu'xun'ying'dou
画点龙睛,hua'dian'long'jing
华歆逃难,hua'xin'tao'nan
华祝三多,hua'zhu'san'duo
怀素种蕉,huai'su'zhong'jiao
桓典乘骢,huan'dian'cheng'cong
浣妇分餐,huan'fu'fen'can
缓颊郦生,huan'jia'li'sheng
桓谭非谶,huan'tan'fei'chen
桓伊弄笛,huan'yi'nong'di
黄霸宽和,huang'ba'kuan'he
黄联池上,huang'lian'chi'shang
黄琬对日,huang'wan'dui'ri
黄宪汪汪,huang'xian'wang'wang
诲尔童蒙,hui'er'tong'meng
晦肯负国,hui'ken'fu'guo
会书张旭,hui'shu'zhang'xu
晦堂无隐,hui'tang'wu'yin
浑濬争功,hun'jun'zheng'gong
获被七擒,huo'bei'qi'qin
霍光忠厚,huo'guang'zhong'hou
箕陈五福,ji'chen'wu'fu
伋辞馈肉,ji'ci'kui'rou
稽古桓荣,ji'gu'huan'rong
嵇懒转跑,ji'lan'zhuan'pao
吉了思汉,ji'le'si'han
籍杀怀王,ji'sha'huai'wang
济叔不痴,ji'shu'bu'chi
鸡黍张范,ji'shu'zhang'fan
季相三朝,ji'xiang'san'zhao
季雅买邻,ji'ya'mai'lin
季野春秋,ji'ye'chun'qiu
偈赠提刑,ji'zeng'ti'xing
季札挂剑,ji'zha'gua'jian
祭遵俎豆,ji'zun'zu'dou
嘉宾赋雪,jia'bin'fu'xue
贾岛祭诗,jia'dao'ji'shi
贾岛推敲,jia'dao'tui'qiao
驾鹤缑仙,jia'he'gou'xian
贾逵舌耕,jia'kui'she'geng
嫁虏王嫱,jia'lu'wang'qiang
贾郁重来,jia'yu'chong'lai
嘉贞丝慢,jia'zhen'si'man
建安七子,jian'an'qi'zi
见讥子敬,jian'ji'zi'jing
江笔生花,jiang'bi'sheng'hua
姜桂敦复,jiang'gui'dun'fu
姜后脱簪,jiang'hou'tuo'zan
降金刘豫,jiang'jin'liu'yu
绛县老人,jiang'xian'lao'ren
江左夷吾,jiang'zuo'yi'wu
焦饭陈遗,jiao'fan'chen'yi
蕉鹿难求,jiao'lu'nan'qiu
郊祁并第,jiao'qi'bing'di
胶漆陈雷,jiao'qi'chen'lei
介诚狂直,jie'cheng'kuang'zhi
玠杀王夔,jie'sha'wang'kui
介子弃觚,jie'zi'qi'gu
琎除酿部,jin'chu'niang'bu
金慎三缄,jin'shen'san'jian
晋室七贤,jin'shi'qi'xian
金书梦珏,jin'shu'meng'jue
金台招士,jin'tai'zhao'shi
谨选花裀,jin'xuan'hua'yin
近游束皙,jin'you'shu'xi
金藏披心,jin'zang'pi'xin
井伯烹雌,jing'bo'peng'ci
景公禳慧,jing'gong'rang'hui
景焕垂戒,jing'huan'chui'jie
荆山泣玉,jing'shan'qi'yu
敬叔受饷,jing'shu'shou'xiang
经书暇日,jing'shu'xia'ri
敬微谢馈,jing'wei'xie'kui
景文饮鸩,jing'wen'yin'zhen
景行莲幕,jing'xing'lian'mu
京兆画眉,jing'zhao'hua'mei
敬之说好,jing'zhi'shuo'hao
经传御史,jing'zhuan'yu'shi
景宗险韵,jing'zong'xian'yun
九婢珍馐,jiu'bi'zhen'xiu
救赵信陵,jiu'zhao'xin'ling
巨伯高谊,ju'bo'gao'yi
鉏麑触槐,ju'ni'chu'huai
巨山龟息,ju'shan'gui'xi
居易识字,ju'yi'shi'zi
捐生纪信,juan'sheng'ji'xin
觉范论诗,jue'fan'lun'shi
绝裾温峤,jue'ju'wen'qiao
浚沮李纲,jun'ju'li'gang
君谟龙片,jun'mo'long'pian
君起盘古,jun'qi'pan'gu
浚杀曲端,jun'sha'qu'duan
恺崇斗富,kai'chong'dou'fu
康侯训侄,kang'hou'xun'zhi
孔戮闻人,kong'lu'wen'ren
孔门十哲,kong'men'shi'zhe
孔明流马,kong'ming'liu'ma
孔融了了,kong'rong'liao'liao
孔惜繁缨,kong'xi'fan'ying
孔璋文伯,kong'zhang'wen'bo
寇公枯竹,kou'gong'ku'zhu
寇却列簿,kou'que'lie'bu
宽识天星,kuan'shi'tian'xing
匡衡凿壁,kuang'heng'zao'bi
圹先表圣,kuang'xian'biao'sheng
腊花齐放,la'hua'qi'fang
来护卓荦,lai'hu'zhuo'luo
懒残煨芋,lan'can'wei'yu
老婢吹篪,lao'bi'chui'chi
老人结草,lao'ren'jie'cao
勒比高光,le'bi'gao'guang
乐广杯蛇,le'guang'bei'she
乐羊七载,le'yang'qi'zai
李白乘驴,li'bai'cheng'lv
李白骑鲸,li'bai'qi'jing
力称乌获,li'cheng'wu'huo
李订六逸,li'ding'liu'yi
李耳青牛,li'er'qing'niu
李固芙蓉,li'gu'fu'rong
李广成蹊,li'guang'cheng'xi
李贺锦囊,li'he'jin'nang
李绩焚须,li'ji'fen'xu
李佳国士,li'jia'guo'shi
李桔千头,li'ju'qian'tou
李密陈情,li'mi'chen'qing
李泌烧梨,li'mi'shao'li
李牧备边,li'mu'bei'bian
李平鳞甲,li'ping'lin'jia
隶善钟繇,li'shan'zhong'yao
李使迟留,li'shi'chi'liu
立雪杨时,li'xue'yang'shi
李膺破柱,li'ying'po'zhu
廉颇负荆,lian'po'fu'jing
廉颇雄餐,lian'po'xiong'can
良弼课儿,liang'bi'ke'er
亮方管乐,liang'fang'guan'yue
梁公训雀,liang'gong'xun'que
梁鸿五噫,liang'hong'wu'yi
梁姬值虎,liang'ji'zhi'hu
梁竦矜高,liang'song'jin'gao
梁亭窃灌,liang'ting'qie'guan
梁相鹓鸱,liang'xiang'yuan'chi
梁吟傀儡,liang'yin'kui'lei
烈裔刻虎,lie'yi'ke'hu
琳卜金瓯,lin'bu'jin'ou
麟士织帘,lin'shi'zhi'lian
临洮大汉,lin'tao'da'han
林宗倾粥,lin'zong'qing'zhou
陵甘降虏,ling'gan'jiang'lu
令公请税,ling'gong'qing'shui
令狐冰语,ling'hu'bing'yu
陵母知兴,ling'mu'zhi'xing
令威华表,ling'wei'hua'biao
令严孙武,ling'yan'sun'wu
灵运池塘,ling'yun'chi'tang
灵征刍狗,ling'zheng'chu'gou
刘晨采药,liu'chen'cai'yao
刘宠一钱,liu'chong'yi'qian
留犊时苗,liu'du'shi'miao
刘蕡下第,liu'fen'xia'di
刘公殿虎,liu'gong'dian'hu
刘峻书淫,liu'jun'shu'yin
刘琨啸月,liu'kun'xiao'yue
柳眠汉苑,liu'mian'han'yuan
柳母和丸,liu'mu'he'wan
刘胜寒蝉,liu'sheng'han'chan
刘诗瓿覆,liu'shi'bu'fu
刘式墨庄,liu'shi'mo'zhuang
刘四骂人,liu'si'ma'ren
刘向校书,liu'xiang'xiao'shu
刘殷七业,liu'yin'qi'ye
刘煇奇文,liu'yun'qi'wen
刘子高操,liu'zi'gao'cao
龙逄极谏,long'pang'ji'jian
隆贫晒腹,long'pin'shai'fu
鲁恭三异,lu'gong'san'yi
漉酒渊明,lu'jiu'yuan'ming
虏惧仲淹,lu'ju'zhong'yan
鹿门隐庞,lu'men'yin'pang
卢杞除患,lu'qi'chu'huan
路斯九龙,lu'si'jiu'long
卢携貌丑,lu'xie'mao'chou
鲁隐观鱼,lu'yin'guan'yu
卢肇夺标,lu'zhao'duo'biao
鲁直彩缸,lu'zhi'cai'gang
鲁直沉酣,lu'zhi'chen'han
卢植楷模,lu'zhi'kai'mo
栾巴救火,luan'ba'jiu'huo
栾大求仙,luan'da'qiu'xian
罗敷陌上,luo'fu'mo'shang
罗珦持节,luo'xiang'chi'jie
捋须何典,luo'xu'he'dian
罗友逢鬼,luo'you'feng'gui
罗友乞祠,luo'you'qi'ci
闾里鸣珂,lv'li'ming'ke
吕虔赠刀,lv'qian'zeng'dao
吕置夹囊,lv'zhi'jia'nang
吕诛华士,lv'zhu'hua'shi
吕祖邯郸,lv'zu'han'dan
马当王勃,ma'dang'wang'bo
马良白眉,ma'liang'bai'mei
马融绛帐,ma'rong'jiang'zhang
马援矍铄,ma'yuan'jue'shuo
卖卜君平,mai'bu'jun'ping
买臣怀绶,mai'chen'huai'shou
曼卿豪饮,man'qing'hao'yin
毛宝放龟,mao'bao'fang'gui
茂弘龙超,mao'hong'long'chao
茂弘綀服,mao'hong'shu'fu
茅焦伏烹,mao'jiao'fu'peng
茅容割鸡,mao'rong'ge'ji
茂叔观莲,mao'shu'guan'lian
貌疏宰相,mao'shu'zai'xiang
毛遂脱颖,mao'sui'tuo'ying
茂异简言,mao'yi'jian'yan
茂贞苛税,mao'zhen'ke'shui
枚皋敏捷,mei'gao'min'jie
美姬工笛,mei'ji'gong'di
孟称清发,meng'cheng'qing'fa
梦窗草窗,meng'chuang'cao'chuang
梦得诗豪,meng'de'shi'hao
孟嘉落帽,meng'jia'luo'mao
孟母断机,meng'mu'duan'ji
孟守还珠,meng'shou'huan'zhu
蒙恬造笔,meng'tian'zao'bi
猛相苻坚,meng'xiang'fu'jian
梦穴唾金,meng'xue'tuo'jin
孟邺九穗,meng'ye'jiu'sui
祢衡一鹗,mi'heng'yi'e
泌仅献身,mi'jin'xian'shen
弥勒同龛,mi'le'tong'kan
灭明毁壁,mie'ming'hui'bi
闵贡猪肝,min'gong'zhu'gan
愍骥应玚,min'ji'ying'chang
民皆字郑,min'jie'zi'zheng
敏修未娶,min'xiu'wei'qu
闽越樵夫,min'yue'qiao'fu
名高麟阁,ming'gao'lin'ge
明皇化萼,ming'huang'hua'e
明皇羯鼓,ming'huang'jie'gu
名妓书仙,ming'ji'shu'xian
冥鉴季达,ming'jian'ji'da
明善辞金,ming'shan'ci'jin
名士道衡,ming'shi'dao'heng
墨翟悲丝,mo'di'bei'si
摩诘芭蕉,mo'jie'ba'jiao
沫经三败,mo'jing'san'bai
穆亲杵臼,mu'qin'chu'jiu
穆生决去,mu'sheng'jue'qu
南郭先生,nan'guo'xian'sheng
男子天祥,nan'zi'tian'xiang
能诗杜甫,neng'shi'du'fu
能文曹植,neng'wen'cao'zhi
能言李泌,neng'yan'li'mi
聂报严仇,nie'bao'yan'chou
聂悯田夫,nie'min'tian'fu
宁越弥勤,ning'yue'mi'qin
牛诸袁宏,niu'zhu'yuan'hong
弄玉吹箫,nong'yu'chui'xiao
弩名克敌,nu'ming'ke'di
欧母画荻,ou'mu'hua'di
潘谷称仙,pan'gu'cheng'xian
潘阆藏名,pan'lang'cang'ming
潘岳诚奇,pan'yue'cheng'qi
潘岳西征,pan'yue'xi'zheng
庞德遗安,pang'de'yi'an
庞公休畅,pang'gong'xiu'chang
逄萌挂冠,pang'meng'gua'guan
庞统南州,pang'tong'nan'zhou
庞蕴投金,pang'yun'tou'jin
裴度还犀,pei'du'hai'xi
裴度千缣,pei'du'qian'jian
裴楷清通,pei'kai'qing'tong
烹茶秀实,peng'cha'xiu'shi
彭宠言功,peng'chong'yan'gong
捧檄毛义,peng'xi'mao'yi
漂母进食,piao'mu'jin'shi
平得分羹,ping'de'fen'geng
屏雀为媒,ping'que'wei'mei
平叔傅粉,ping'shu'fu'fen
平原十日,ping'yuan'shi'ri
平仲无术,ping'zhong'wu'shu
裒废蓼莪,pou'fei'liao'e
普读鲁论,pu'du'lu'lun
岐曾贩饼,qi'ceng'fan'bing
奇计居鄛,qi'ji'ju'chao
弃疾云烟,qi'ji'yun'yan
奇节任棠,qi'jie'ren'tang
骑鹏沈晦,qi'peng'shen'hui
启期三乐,qi'qi'san'le
气吞曹刘,qi'tun'cao'liu
齐主烹阿,qi'zhu'peng'a
钱昆嗜蟹,qian'kun'shi'xie
潜懒折腰,qian'lan'zhe'yao
黔娄布被,qian'lou'bu'bei
钱塘驿邸,qian'tang'yi'di
前席贾生,qian'xi'jia'sheng
羌愿姓包,qiang'yuan'xing'bao
琴操参宗,qin'cao'can'zong
琴高赤鲤,qin'gao'chi'li
秦宓论天,qin'mi'lun'tian
禽息击车,qin'xi'ji'che
琴张礼意,qin'zhang'li'yi
秦政坑儒,qin'zheng'keng'ru
倾城妲己,qing'cheng'da'ji
清时安石,qing'shi'an'shi
青威漠北,qing'wei'mo'bei
琼却饷瓜,qiong'que'xiang'gua
琼崖小儿,qiong'ya'xiao'er
鸜鹆学语,qu'yu'xue'yu
泉访虎跑,quan'fang'hu'pao
却衣师道,que'yi'shi'dao
绕朝赠策,rao'chao'zeng'ce
仁杰望云,ren'jie'wang'yun
仁杰携裘,ren'jie'xie'qiu
仁杰药笼,ren'jie'yao'long
人末燃蒿,ren'mo'ran'hao
人使亚当,ren'shi'ya'dang
仁裕诗窖,ren'yu'shi'jiao
融赋沧海,rong'fu'cang'hai
如龙诸葛,ru'long'zhu'ge
汝锡奇诗,ru'xi'qi'shi
儒雅儿宽,ru'ya'er'kuan
孺子磨镜,ru'zi'mo'jing
阮籍猖狂,ruan'ji'chang'kuang
阮籍青眼,ruan'ji'qing'yan
阮籍咏怀,ruan'ji'yong'huai
阮咸曝裈,ruan'xian'bao'kun
塞翁失马,sai'weng'shi'ma
三戟崔家,san'ji'cui'jia
三径陶潜,san'jing'tao'qian
丧邦黄浩,sang'bang'huang'hao
僧孺西台,seng'ru'xi'tai
僧岩不测,seng'yan'bu'ce
纱护卜藩,sha'hu'bu'fan
沙鸥可狎,sha'ou'ke'xia
善辩张仪,shan'bian'zhang'yi
善画王维,shan'hua'wang'wei
善酿白堕,shan'niang'bai'duo
善讴王豹,shan'ou'wang'bao
山器难知,shan'qi'nan'zhi
扇枕黄香,shan'zhen'huang'xiang
商安鹑服,shang'an'chun'fu
商化芝兰,shang'hua'zhi'lan
上寿童参,shang'shou'tong'can
商王祷雨,shang'wang'dao'yu
少帝坐膝,shao'di'zuo'xi
召父杜母,shao'fu'du'mu
邵瓜五色,shao'gua'wu'se
少翁致鬼,shao'weng'zhi'gui
少逸神童,shao'yi'shen'tong
邵雍识乱,shao'yong'shi'luan
社结香山,she'jie'xiang'shan
射鸭孟郊,she'ya'meng'jiao
谌纪成糜,shen'ji'cheng'mi
深情子野,shen'qing'zi'ye
神识阮咸,shen'shi'ruan'xian
沈思好客,shen'si'hao'ke
申屠松屋,shen'tu'song'wu
神威翼德,shen'wei'yi'de
沈约四声,shen'yue'si'sheng
沈昭狂瘦,shen'zhao'kuang'shou
圣祖吟虹,sheng'zu'yin'hong
升座延明,sheng'zuo'yan'ming
士安正字,shi'an'zheng'zi
师德宽容,shi'de'kuan'rong
轼攻正叔,shi'gong'zheng'shu
士衡黄耳,shi'heng'huang'er
诗祸花尨,shi'huo'hua'mang
适嵇命驾,shi'ji'ming'jia
嗜酒刘伶,shi'jiu'liu'ling
世南书监,shi'nan'shu'jian
石虔矫捷,shi'qian'jiao'jie
诗穷五际,shi'qiong'wu'ji
师徒布算,shi'tu'bu'suan
石与三豪,shi'yu'san'hao
轼谪黄冈,shi'zhe'huang'gang
释之结袜,shi'zhi'jie'wa
仕治远志,shi'zhi'yuan'zhi
寿昌寻母,shou'chang'xun'mu
收遁首阳,shou'dun'shou'yang
叔敖埋蛇,shu'ao'mai'she
书成凤尾,shu'cheng'feng'wei
蠋耻臣昭,shu'chi'chen'zhao
叔邵凭棺,shu'shao'ping'guan
疏脱士简,shu'tuo'shi'jian
叔武守国,shu'wu'shou'guo
叔向埋羊,shu'xiang'mai'yang
叔子避嫌,shu'zi'bi'xian
爽欣御李,shuang'xin'yu'li
