阿布杜拉,a'bu'du'la
阿里,a'li
阿舒拉,a'shu'la
艾布拜克尔,ai'bu'bai'ke'er
安拉,an'la
安拉至大,an'la'zhi'da
安拉至知,an'la'zhi'zhi
奥斯曼,ao'si'man
保安族,bao'an'zu
朝觐,chao'jin
大能主,da'neng'zhu
东乡族,dong'xiang'zu
尔德,er'de
尔德节,er'de'jie
尔萨,er'sa
法提哈,fa'ti'ha
法土买,fa'tu'mai
奉普慈特慈的安拉之名,feng'pu'ci'te'ci'de'an'la'zhi'ming
奉普慈特慈的安拉之尊名,feng'pu'ci'te'ci'de'an'la'zhi'zun'ming
奉普慈特慈的真主之名,feng'pu'ci'te'ci'de'zhen'zhu'zhi'ming
奉普慈特慈的真主之尊名,feng'pu'ci'te'ci'de'zhen'zhu'zhi'zun'ming
封斋,feng'zhai
古尔邦,gu'er'bang
古兰,gu'lan
皈依,gui'yi
哈录乃,ha'lu'nai
哈萨克族,ha'sa'ke'zu
哈桑,ha'sang
海必布,hai'bi'bu
海蒂撤,hai'di'che
亥亭,hai'ting
黄牛章,huang'niu'zhang
回赐,hui'ci
回赛俩目,hui'sai'liang'mu
回族,hui'zu
禁寺,jin'si
开端章,kai'duan'zhang
开斋,kai'zhai
开斋节,kai'zhai'jie
柯尔克孜族,ke'er'ke'zi'zu
莱给布,lai'gei'bu
莱买丹,lai'mai'dan
礼拜,li'bai
礼拜殿,li'bai'dian
麦地那,mai'di'na
麦加,mai'jia
乜提,mie'ti
穆罕默德,mu'han'mo'de
穆萨,mu'sa
穆圣,mu'sheng
穆斯林,mu'si'lin
穆斯林在线,mu'si'lin'zai'xian
欧麦勒,ou'mai'le
普慈,pu'ci
普慈特慈,pu'ci'te'ci
祈求安拉回赐,qi'qiu'an'la'hui'ci
祈求真主回赐,qi'qiu'zhen'zhu'hui'ci
清真寺,qing'zhen'si
肉孜节,rou'zi'jie
如果安拉意欲,ru'guo'an'la'yi'yu
撒拉族,sa'la'zu
萨利赫,sa'li'he
赛百布,sai'bai'bu
赛俩目,sai'liang'mu
沙特,sha'te
沙特阿拉伯,sha'te'a'la'bo
圣人,sheng'ren
圣寺,sheng'si
圣训,sheng'xun
苏莱曼,su'lai'man
索哈百,suo'ha'bai
塔吉克族,ta'ji'ke'zu
台斯米,tai'si'mi
陶菲戈,tao'fei'ge
特慈,te'ci
亡人,wang'ren
维吾尔族,wei'wu'er'zu
无常,wu'chang
先知,xian'zhi
雅古柏,ya'gu'bai
耶海雅,ye'hai'ya
伊历,yi'li
伊斯哈格,yi'si'ha'ge
伊斯兰,yi'si'lan
伊斯兰教,yi'si'lan'jiao
伊斯玛依莱,yi'si'ma'yi'lai
意欲,yi'yu
因善安拉,yin'shan'an'la
尤努斯,you'nu'si
育人圣道,yu'ren'sheng'dao
愿安拉回赐你,yuan'an'la'hui'ci'ni
远寺,yuan'si
宰牲节,zai'sheng'jie
斋戒,zhai'jie
斋月,zhai'yue
真主,zhen'zhu
真主回赐,zhen'zhu'hui'ci
知感,zhi'gan
知感安拉,zhi'gan'an'la
主麻,zhu'ma
主麻日,zhu'ma'ri
