阿尔及利亚第纳尔,a'er'ji'li'ya'di'na'er
阿富汗尼,a'fu'han'ni
阿根廷比索,a'gen'ting'bi'suo
阿曼里亚尔,a'man'li'ya'er
爱尔兰镑,ai'er'lan'bang
埃及镑,ai'ji'bang
埃斯库多,ai'si'ku'duo
澳大利亚元,ao'da'li'ya'yuan
奥地利先令,ao'di'li'xian'ling
澳门元,ao'men'yuan
巴巴多斯元,ba'ba'duo'si'yuan
巴哈马元,ba'ha'ma'yuan
巴基斯坦卢比,ba'ji'si'tan'lu'bi
巴拉圭瓜拉尼,ba'la'gui'gua'la'ni
巴林第纳尔,ba'lin'di'na'er
巴拿马巴波亚,ba'na'ma'ba'bo'ya
比利时法郎,bi'li'shi'fa'lang
比塞塔,bi'sai'ta
冰岛克朗,bing'dao'ke'lang
博利瓦,bo'li'wa
玻利维亚比索,bo'li'wei'ya'bi'suo
布隆迪法郎,bu'long'di'fa'lang
赤道几内亚埃奎勒,chi'dao'ji'nei'ya'ai'kui'le
丹麦克朗,dan'mai'ke'lang
德拉马克,de'la'ma'ke
多米尼加比索,duo'mi'ni'jia'bi'suo
法拉西,fa'la'xi
法郎,fa'lang
非共体法郎,fei'gong'ti'fa'lang
斐济元,fei'ji'yuan
菲律宾比索,fei'lv'bin'bi'suo
芬兰马克,fen'lan'ma'ke
福林,fu'lin
港元,gang'yuan
格查尔,ge'cha'er
哥伦比亚比索,ge'lun'bi'ya'bi'suo
哥斯达黎加科朗,ge'si'da'li'jia'ke'lang
古巴比索,gu'ba'bi'suo
古德,gu'de
圭亚那元,gui'ya'na'yuan
荷兰盾,he'lan'dun
吉布提法郎,ji'bu'ti'fa'lang
几内亚比索,ji'nei'ya'bi'suo
几内亚西里,ji'nei'ya'xi'li
基普,ji'pu
加元,jia'yuan
捷克克朗,jie'ke'ke'lang
津巴布韦元,jin'ba'bu'wei'yuan
卡塔尔里亚尔,ka'ta'er'li'ya'er
科多巴,ke'duo'ba
科摩罗法郎,ke'mo'luo'fa'lang
科威特第纳尔,ke'wei'te'di'na'er
肯尼亚先令,ken'ni'ya'xian'ling
兰特,lan'te
利昂,li'ang
黎巴嫩镑,li'ba'nen'bang
利比里亚元,li'bi'li'ya'yuan
利比亚第纳尔,li'bi'ya'di'na'er
里拉,li'la
列弗,lie'fu
列克,lie'ke
列伊,lie'yi
卢比,lu'bi
卢布,lu'bu
卢森堡法郎,lu'sen'bao'fa'lang
卢旺达法郎,lu'wang'da'fa'lang
伦皮拉,lun'pi'la
马达加斯加法郎,ma'da'jia'si'jia'fa'lang
马尔代夫卢比,ma'er'dai'fu'lu'bi
马耳他镑,ma'er'ta'bang
马克,ma'ke
马元,ma'yuan
毛里求斯卢比,mao'li'qiu'si'lu'bi
美元,mei'yuan
缅元,mian'yuan
摩洛哥迪拉姆,mo'luo'ge'di'la'mu
墨西哥比索,mo'xi'ge'bi'suo
奈拉,nai'la
南斯拉夫新第纳尔,nan'si'la'fu'xin'di'na'er
尼泊尔卢比,ni'bo'er'lu'bi
挪威克朗,nuo'wei'ke'lang
欧元,ou'yuan
人民币元,ren'min'bi'yuan
日圆,ri'yuan
瑞典克朗,rui'dian'ke'lang
瑞尔,rui'er
瑞士法郎,rui'shi'fa'lang
萨尔瓦多科朗,sa'er'wa'duo'ke'lang
塞地,sai'di
塞浦路斯镑,sai'pu'lu'si'bang
塞舌尔卢比,sai'she'er'lu'bi
斯里兰卡卢比,si'li'lan'ka'lu'bi
苏丹镑,su'dan'bang
苏克雷,su'ke'lei
苏里南盾,su'li'nan'dun
所罗门元,suo'luo'men'yuan
索马里先令,suo'ma'li'xian'ling
泰铢,tai'zhu
坦桑尼亚先令,tan'sang'ni'ya'xian'ling
特立尼达多巴哥元,te'li'ni'da'duo'ba'ge'yuan
土耳其镑,tu'er'qi'bang
突尼斯第纳尔,tu'ni'si'di'na'er
乌干达先令,wu'gan'da'xian'ling
乌吉亚,wu'ji'ya
乌拉圭新比索,wu'la'gui'xin'bi'suo
新加坡元,xin'jia'po'yuan
新克鲁赛罗,xin'ke'lu'sai'luo
新索尔,xin'suo'er
新西兰元,xin'xi'lan'yuan
叙利亚镑,xu'li'ya'bang
亚尔,ya'er
牙买加元,ya'mai'jia'yuan
也门第纳尔,ye'men'di'na'er
也门里亚尔,ye'men'li'ya'er
伊拉克第纳尔,yi'la'ke'di'na'er
伊朗里亚尔,yi'lang'li'ya'er
英镑,ying'bang
约旦第纳尔,yue'dan'di'na'er
越南盾,yue'nan'dun
赞比亚克瓦查,zan'bi'ya'ke'wa'cha
扎伊尔,zha'yi'er
智利比索,zhi'li'bi'suo
中非金融合作法郎,zhong'fei'jin'rong'he'zuo'fa'lang
兹罗提,zi'luo'ti
