冰族,bing'zu
潮涯,chao'ya
大祭司,da'ji'si
诞星仗,dan'xing'zhang
东方护卫,dong'fang'hu'wei
封天,feng'tian
黑魔法,hei'mo'fa
幻城,huan'cheng
幻术师,huan'shu'shi
幻雪帝国,huan'xue'di'guo
幻雪神山,huan'xue'shen'shan
皇柝,huang'tuo
火族,huo'zu
剪瞳,jian'tong
卡索,ka'suo
克托,ke'tuo
岚裳,lan'shang
离镜,li'jing
梨落,li'luo
罹天烬,li'tian'jin
莲姬,lian'ji
辽溅,liao'jian
落星杖,luo'xing'zhang
片风,pian'feng
倾刃,qing'ren
刃雪城,ren'xue'cheng
人鱼族,ren'yu'zu
叹息墙,tan'xi'qiang
巫师,wu'shi
星轨,xing'gui
星旧,xing'jiu
星昼,xing'zhou
雪雾森林,xue'wu'sen'lin
樱空释,ying'kong'shi
渊祭,yuan'ji
月神,yue'shen
占星师,zhan'xing'shi
