安胜,an'sheng
白鹤顶,bai'he'ding
白剪绒,bai'jian'rong
白莲花,bai'lian'hua
白缨络,bai'ying'luo
白玉,bai'yu
白玉盘,bai'yu'pan
冰青白,bing'qing'bai
不晕红,bu'yun'hong
彩云,cai'yun
出嘴白,chu'zui'bai
大胡红,da'hu'hong
大黄,da'huang
大火米,da'huo'mi
大火珠,da'huo'zhu
大千叶,da'qian'ye
大宋紫,da'song'zi
大素,da'su
大魏紫,da'wei'zi
大叶黄,da'ye'huang
大正红,da'zheng'hong
大棕紫,da'zong'zi
丹炉焰,dan'lu'yan
丹州红,dan'zhou'hong
丹州黄,dan'zhou'huang
灯笼,deng'long
叠罗,die'luo
丁香紫,ding'xiang'zi
豆绿,dou'lv
斗珠光,dou'zhu'guang
夺翠,duo'cui
夺锦,duo'jin
多叶红,duo'ye'hong
多叶紫,duo'ye'zi
二乔,er'qiao
二色红,er'se'hong
飞来红,fei'lai'hong
非霞,fei'xia
凤尾白,feng'wei'bai
甘草黄,gan'cao'huang
宫锦,gong'jin
瓜瓤黄,gua'rang'huang
光英妆,guang'ying'zhuang
闺艳,gui'yan
汉宫春,han'gong'chun
鹤白,he'bai
何白,he'bai
赫红,he'hong
合欢娇,he'huan'jiao
红线,hong'xian
火齐红,huo'ji'hong
降雪,jiang'xue
娇红,jiao'hong
洁玉,jie'yu
靳黄,jin'huang
金栗,jin'li
九萼红,jiu'e'hong
军容紫,jun'rong'zi
六封禅,liu'feng'shan
刘师阁,liu'shi'ge
绿花,lv'hua
闵黄,min'huang
墨葵,mo'kui
内人娇,nei'ren'jiao
牛家黄,niu'jia'huang
女真黄,nv'zhen'huang
欧碧,ou'bi
平实红,ping'shi'hong
平头白,ping'tou'bai
平头红,ping'tou'hong
平头紫,ping'tou'zi
七宝冠,qi'bao'guan
奇绿,qi'lv
乾花,qian'hua
千心黄,qian'xin'huang
庆云黄,qing'yun'huang
庆云仙,qing'yun'xian
庆云香,qing'yun'xiang
肉红,rou'hong
瑞兰,rui'lan
三春魁,san'chun'kui
三奇,san'qi
三云紫,san'yun'zi
胜琼,sheng'qiong
石家红,shi'jia'hong
双头红,shuang'tou'hong
水晶球,shui'jing'qiu
顺圣,shun'sheng
四面镜,si'mian'jing
丝头黄,si'tou'huang
太真冠,tai'zhen'guan
天外红,tian'wai'hong
鞓红,ting'hong
万花魁,wan'hua'kui
万卷书,wan'juan'shu
王家红,wang'jia'hong
魏红,wei'hong
魏紫,wei'zi
文公红,wen'gong'hong
五重楼,wu'chong'lou
五陵春,wu'ling'chun
无瑕玉,wu'xia'yu
五云楼,wu'yun'lou
西紫,xi'zi
香玉,xiang'yu
祥云,xiang'yun
小黄,xiao'huang
小黄娇,xiao'huang'jiao
小千叶,xiao'qian'ye
小素,xiao'su
雪素,xue'su
雪塔,xue'ta
雪重,xue'zhong
延安黄,yan'an'huang
姚黄,yao'huang
妖血,yao'xue
叶底紫,ye'di'zi
一百红,yi'bai'hong
一尺红,yi'chi'hong
一拂黄,yi'fu'huang
一面红,yi'mian'hong
一捻红,yi'nian'hong
一捧雪,yi'peng'xue
油红,you'hong
优家白,you'jia'bai
玉版白,yu'ban'bai
玉抱肚,yu'bao'du
玉炊饼,yu'chui'bing
玉带白,yu'dai'bai
玉芙蓉,yu'fu'rong
玉覆盂,yu'fu'yu
玉干叶,yu'gan'ye
玉玲珑,yu'ling'long
玉楼春,yu'lou'chun
玉楼红,yu'lou'hong
玉楼台,yu'lou'tai
玉楼子,yu'lou'zi
玉美人,yu'mei'ren
玉盘盂,yu'pan'yu
玉盘妆,yu'pan'zhuang
玉润白,yu'run'bai
玉天仙,yu'tian'xian
玉碗白,yu'wan'bai
玉绣球,yu'xiu'qiu
玉蕴红,yu'yun'hong
玉簪白,yu'zan'bai
月宫花,yue'gong'hua
云红,yun'hong
赵粉,zhao'fen
中秋月,zhong'qiu'yue
棕紫,zong'zi
左花,zuo'hua
左紫,zuo'zi
