博文园,bo'wen'yuan
博易楼,bo'yi'lou
畅远楼,chang'yuan'lou
存中楼,cun'zhong'lou
广知楼,guang'zhi'lou
济源堂,ji'yuan'tang
家和堂,jia'he'tang
健行楼,jian'xing'lou
健行学院,jian'xing'xue'yuan
精弘集市,jing'hong'ji'shi
精弘论坛,jing'hong'lun'tan
精弘食堂,jing'hong'shi'tang
李寿恒奖学金,li'shou'heng'jiang'xue'jin
刘化章奖学金,liu'hua'zhang'jiang'xue'jin
梦溪村,meng'xi'cun
屏峰校区,ping'feng'xiao'qu
小和山,xiao'he'shan
新教楼,xin'jiao'lou
语林楼,yu'lin'lou
毓秀堂,yu'xiu'tang
运河杯,yun'he'bei
朝晖校区,zhao'hui'xiao'qu
子良楼,zi'liang'lou
