艾仓村,ai'cang'cun
安乐庄村,an'le'zhuang'cun
安阳村,an'yang'cun
柏崖村,bai'ya'cun
白栈掌村,bai'zhan'zhang'cun
抱犊村,bao'du'cun
报双村,bao'shuang'cun
北黑山底村,bei'hei'shan'di'cun
北街村,bei'jie'cun
北炉河村,bei'lu'he'cun
北马村,bei'ma'cun
北坡村,bei'po'cun
北山村,bei'shan'cun
北四渠村,bei'si'qu'cun
北冶村,bei'ye'cun
北召村,bei'zhao'cun
北庄村,bei'zhuang'cun
毕家掌村,bi'jia'zhang'cun
鼻良掌村,bi'liang'zhang'cun
簸箕掌村,bo'ji'zhang'cun
苍郊村,cang'jiao'cun
仓掌村,cang'zhang'cun
草坡村,cao'po'cun
曹庄村,cao'zhuang'cun
长三地村,chang'san'di'cun
长栈村,chang'zhan'cun
城北社区,cheng'bei'she'qu
城东村,cheng'dong'cun
城东社区,cheng'dong'she'qu
城南社区,cheng'nan'she'qu
城内社区,cheng'nei'she'qu
城西社区,cheng'xi'she'qu
池下村,chi'xia'cun
赤叶河村,chi'ye'he'cun
崇文镇,chong'wen'zhen
川里村,chuan'li'cun
崔村,cui'cun
大泊池村,da'bo'chi'cun
大河西村,da'he'xi'cun
大槲树村,da'hu'shu'cun
大会村,da'hui'cun
大郊村,da'jiao'cun
大路沟村,da'lu'gou'cun
大双村,da'shuang'cun
大王村,da'wang'cun
大义井村,da'yi'jing'cun
大玉铺村,da'yu'pu'cun
德义村,de'yi'cun
东岸上村,dong'an'shang'cun
东八渠村,dong'ba'qu'cun
东毕村,dong'bi'cun
东大佛掌村,dong'da'fo'zhang'cun
东沟村,dong'gou'cun
东谷村,dong'gu'cun
东河村,dong'he'cun
东街村,dong'jie'cun
东井郊村,dong'jing'jiao'cun
东庙花村,dong'miao'hua'cun
东坡村,dong'po'cun
东伞村,dong'san'cun
东上河村,dong'shang'he'cun
东双脑村,dong'shuang'nao'cun
东头村,dong'tou'cun
东王庄村,dong'wang'zhuang'cun
东西掌村,dong'xi'zhang'cun
东下河村,dong'xia'he'cun
东要辿村,dong'yao'chan'cun
东尧村,dong'yao'cun
东瑶泉村,dong'yao'quan'cun
东闸水村,dong'zha'shui'cun
东掌村,dong'zhang'cun
东庄村,dong'zhuang'cun
段家庄村,duan'jia'zhuang'cun
夺火村,duo'huo'cun
夺火乡,duo'huo'xiang
分水岭村,fen'shui'ling'cun
凤凰村,feng'huang'cun
冯山村,feng'shan'cun
峰西村,feng'xi'cun
佛水村,fo'shui'cun
