阿伯子哥,a'bo'zi'ge
挨哩,ai'li
碍情憷面,ai'qing'chu'mian
碍事不啦哩,ai'shi'bu'la'li
熬煎人,ao'jian'ren
熬面条,ao'mian'tiao
巴巴差差,ba'ba'cha'cha
粑粑屎,ba'ba'shi
八辈子,ba'bei'zi
扒箔篱,ba'bo'li
巴不得,ba'bu'de
巴不哩,ba'bu'li
把不住滑,ba'bu'zhu'hua
扒蹅,ba'cha
扒蹅子命,ba'cha'zi'ming
把滑,ba'hua
扒灰头,ba'hui'tou
扒豁子,ba'huo'zi
把撅,ba'jue
拔橛,ba'jue
疤瘌眼,ba'la'yan
疤瘌眼哩,ba'la'yan'li
八面光,ba'mian'guang
八字还没有一撇,ba'zi'hai'mei'you'yi'pie
八字没一撇,ba'zi'mei'yi'pie
把作,ba'zuo
掰不开,bai'bu'kai
白打渣子,bai'da'zha'zi
掰盖,bai'gai
掰盖了,bai'gai'le
百六九,bai'liu'jiu
摆扭,bai'niu
掰屁股招风,bai'pi'gu'zhao'feng
掰屁股招风哩,bai'pi'gu'zhao'feng'li
白说,bai'shuo
白说了,bai'shuo'le
摆证,bai'zheng
摆治,bai'zhi
白字客,bai'zi'ke
绊绊磕磕,ban'ban'ke'ke
半边人,ban'bian'ren
板不烂,ban'bu'lan
板蹿,ban'cuan
板蹿货,ban'cuan'huo
半吊子,ban'diao'zi
板儿起,ban'er'qi
板跟头,ban'gen'tou
半拉,ban'la
半拉橛子,ban'la'jue'zi
半拉子,ban'la'zi
搬亲,ban'qin
板三,ban'san
梆硬,bang'ying
包包菜,bao'bao'cai
包谷瓤,bao'gu'rang
苞谷糁,bao'gu'shen
苞谷糁子,bao'gu'shen'zi
包壶,bao'hu
抱鸡娃,bao'ji'wa
背锅,bei'guo
被窝,bei'wo
被窝亮毬,bei'wo'liang'qiu
被窝亮毬冒眨,bei'wo'liang'qiu'mao'zha
被窝亮毬冒眨哩,bei'wo'liang'qiu'mao'zha'li
笨笨磕磕,ben'ben'ke'ke
笨货,ben'huo
笨磕,ben'ke
崩板哩,beng'ban'li
崩崩,beng'beng
蹦蹦枣,beng'beng'zao
崩瓷,beng'ci
崩毬哩,beng'qiu'li
庳庳蹴蹴,bi'bi'jiu'jiu
比猴都精,bi'hou'dou'jing
逼货,bi'huo
逼货们,bi'huo'men
比较蛋毬,bi'jiao'dan'qiu
庳蹴,bi'jiu
逼脸,bi'lian
逼脸黑着,bi'lian'hei'zhe
逼裂,bi'lie
逼人,bi'ren
逼上打花脸,bi'shang'da'hua'lian
比谁都精,bi'shui'dou'jing
逼样,bi'yang
鞭打狗尿薹,bian'da'gou'niao'tai
边起,bian'qi
飙你,biao'ni
飙你哩,biao'ni'li
滮你一嘴糖鸡屎,biao'ni'yi'zui'tang'ji'shi
飙人,biao'ren
飙人哩,biao'ren'li
飙我,biao'wo
飙我哩,biao'wo'li
憋憋卡卡,bie'bie'qia'qia
鳖瞅蛋,bie'chou'dan
鳖翻潭,bie'fan'tan
鳖改调,bie'gai'diao
憋倔楞,bie'jue'leng
鳖柯杈,bie'ke'cha
瘪可叉子,bie'ke'cha'zi
憋卡,bie'qia
憋山种,bie'shan'zhong
鳖孙,bie'sun
鳖娃,bie'wa
鳖型,bie'xing
鳖样,bie'yang
鳖样啊,bie'yang'a
鳖样呀,bie'yang'ya
鳖样子,bie'yang'zi
憋燥,bie'zao
憋躁,bie'zao
箔篱儿,bo'li'er
不把滑,bu'ba'hua
不飙你,bu'biao'ni
不飙人,bu'biao'ren
不飙我,bu'biao'wo
