奥尔森派琴虫病,ao'er'sen'pai'qin'chong'bing
白斑综合征,bai'ban'zong'he'zheng
白垩病,bai'e'bing
斑点叉尾鮰病毒病,ban'dian'cha'wei'hui'bing'du'bing
斑节对虾杆状病毒病,ban'jie'dui'xia'gan'zhuang'bing'du'bing
鲍病毒性死亡病,bao'bing'du'xing'si'wang'bing
鲍立克次体病,bao'li'ke'ci'ti'bing
包纳米虫病,bao'na'mi'chong'bing
鲍脓疱病,bao'nong'pao'bing
鳖腮腺炎病,bie'sai'xian'yan'bing
病毒性出血性败血症,bing'du'xing'chu'xue'xing'bai'xue'zheng
病毒性神经坏死病,bing'du'xing'shen'jing'huai'si'bing
布鲁氏菌病,bu'lu'shi'jun'bing
蚕白僵病,can'bai'jiang'bing
蚕型多角体病,can'xing'duo'jiao'ti'bing
草鱼出血病,cao'yu'chu'xue'bing
产蛋下降综合征,chan'dan'xia'jiang'zong'he'zheng
迟缓爱德华氏菌病,chi'huan'ai'de'hua'shi'jun'bing
传染性鼻炎,chuan'ran'xing'bi'yan
传染性法氏囊病,chuan'ran'xing'fa'shi'nang'bing
传染性肌肉坏死病,chuan'ran'xing'ji'rou'huai'si'bing
传染性脓疱,chuan'ran'xing'nong'pao
传染性脾肾坏死病,chuan'ran'xing'pi'shen'huai'si'bing
传染性皮下和造血器官坏死病,chuan'ran'xing'pi'xia'he'zao'xue'qi'guan'huai'si'bing
传染性造血器官坏死病,chuan'ran'xing'zao'xue'qi'guan'huai'si'bing
刺激隐核虫病,ci'ji'yin'he'chong'bing
大肠杆菌病,da'chang'gan'jun'bing
淡水鱼细菌性败血症,dan'shui'yu'xi'jun'xing'bai'xue'zheng
低致病性禽流感,di'zhi'bing'xing'qin'liu'gan
对虾杆状病毒病,dui'xia'gan'zhuang'bing'du'bing
放线菌病,fang'xian'jun'bing
肺腺瘤病,fei'xian'liu'bing
非洲马瘟,fei'zhou'ma'wen
非洲猪瘟,fei'zhou'zhu'wen
蜂螨病,feng'man'bing
附红细胞体病,fu'hong'xi'bao'ti'bing
副结核病,fu'jie'he'bing
