阿利氏群聚原则,a'li'shi'qun'ju'yuan'ze
阿伦法则,a'lun'fa'ze
斑块性,ban'kuai'xing
半深海带,ban'shen'hai'dai
伴生种,ban'sheng'zhong
保守主义者,bao'shou'zhu'yi'zhe
孢子生殖,bao'zi'sheng'zhi
贝格曼规律,bei'ge'man'gui'lv
边缘效应,bian'yuan'xiao'ying
表现型,biao'xian'xing
波动,bo'dong
泊松分布,bo'song'fen'bu
补偿性捕食,bu'chang'xing'bu'shi
捕食食物链,bu'shi'shi'wu'lian
捕食者,bu'shi'zhe
策略连续系统,ce'lue'lian'xu'xi'tong
策略者,ce'lue'zhe
层片,ceng'pian
常绿硬材林,chang'lv'ying'cai'lin
超顶级,chao'ding'ji
潮间带,chao'jian'dai
沉积循环,chen'ji'xun'huan
成本外摊,cheng'ben'wai'tan
成层现象,cheng'ceng'xian'xiang
城市生态学,cheng'shi'sheng'tai'xue
抽彩式竞争,chou'cai'shi'jing'zheng
初级生产,chu'ji'sheng'chan
初级演替原生演替,chu'ji'yan'ti'yuan'sheng'yan'ti
出生率,chu'sheng'lv
次级生产力,ci'ji'sheng'chan'li
次级演替,ci'ji'yan'ti
次生代谢物质,ci'sheng'dai'xie'wu'zhi
次生演替,ci'sheng'yan'ti
雌雄二形现象,ci'xiong'er'xing'xian'xiang
雌雄同体,ci'xiong'tong'ti
粗粒性分布,cu'li'xing'fen'bu
存活曲线,cun'huo'qu'xian
大陆架,da'lu'jia
大陆隆,da'lu'long
大陆坡,da'lu'po
大气候,da'qi'hou
大型生物,da'xing'sheng'wu
单配偶制,dan'pei'ou'zhi
单食性,dan'shi'xing
淡水生态系统,dan'shui'sheng'tai'xi'tong
淡水生态学,dan'shui'sheng'tai'xue
单体生物,dan'ti'sheng'wu
单元演替顶级,dan'yuan'yan'ti'ding'ji
单种养殖,dan'zhong'yang'zhi
当年繁殖价值,dang'nian'fan'zhi'jia'zhi
岛屿生态学,dao'yu'sheng'tai'xue
等位基因,deng'wei'ji'yin
地核,di'he
抵抗稳定性,di'kang'wen'ding'xing
地理变异,di'li'bian'yi
地幔,di'man
底面积,di'mian'ji
地面芽植物,di'mian'ya'zhi'wu
地上芽植物,di'shang'ya'zhi'wu
地下芽植物,di'xia'ya'zhi'wu
淀积层,dian'ji'ceng
