阿魏无真,a'wei'wu'zhen
爱月不梳头,ai'yue'bu'shu'tou
安居虑危,an'ju'lv'wei
安乐值钱多,an'le'zhi'qian'duo
暗室亏心,an'shi'kui'xin
罢却虎狼之威,ba'que'hu'lang'zhi'wei
白酒酿成缘好客,bai'jiu'niang'cheng'yuan'hao'ke
百年成之不足,bai'nian'cheng'zhi'bu'zu
百人传实,bai'ren'chuan'shi
百世修来同船渡,bai'shi'xiu'lai'tong'chuan'du
百世姻缘,bai'shi'yin'yuan
白云出岫本无心,bai'yun'chu'xiu'ben'wu'xin
半点不由人,ban'dian'bu'you'ren
报应甚速,bao'ying'shen'su
杯杯先劝有钱人,bei'bei'xian'quan'you'qian'ren
壁有耳,bi'you'er
必有近忧,bi'you'jin'you
必有我师,bi'you'wo'shi
便失大道,bian'shi'da'dao
便是是非人,bian'shi'shi'fei'ren
便作等闲看,bian'zuo'deng'xian'kan
病有高人说药方,bing'you'gao'ren'shuo'yao'fang
不擦红粉也风流,bu'ca'hong'fen'ye'feng'liu
不愁无处下金钩,bu'chou'wu'chu'xia'jin'gou
不到白头死,bu'dao'bai'tou'si
不会说无礼,bu'hui'shuo'wu'li
不击乃无烟,bu'ji'nai'wu'yan
不可曲中求,bu'ke'qu'zhong'qiu
不可邪而有余,bu'ke'xie'er'you'yu
不可信其无,bu'ke'xin'qi'wu
不求金玉重重贵,bu'qiu'jin'yu'chong'chong'gui
不忍不耐,bu'ren'bu'nai
不如暗处一灯,bu'ru'an'chu'yi'deng
不如孤月独明,bu'ru'gu'yue'du'ming
不如明解经书,bu'ru'ming'jie'jing'shu
不如自生,bu'ru'zi'sheng
不涉你目,bu'she'ni'mu
不涉你足,bu'she'ni'zu
不是不报,bu'shi'bu'bao
不是才人莫献诗,bu'shi'cai'ren'mo'xian'shi
不是知音莫与弹,bu'shi'zhi'yin'mo'yu'tan
不听自然无,bu'ting'zi'ran'wu
不信但看筵中酒,bu'xin'dan'kan'yan'zhong'jiu
不学亦徒然,bu'xue'yi'tu'ran
不学者如蒿如草,bu'xue'zhe'ru'hao'ru'cao
不以我为德,bu'yi'wo'wei'de
不饮从他酒价高,bu'yin'cong'ta'jiu'jia'gao
不因渔父引,bu'yin'yu'fu'yin
不知其可也,bu'zhi'qi'ke'ye
不知我者谓我何求,bu'zhi'wo'zhe'wei'wo'he'qiu
财多害自己,cai'duo'hai'zi'ji
财上分明大丈夫,cai'shang'fen'ming'da'zhang'fu
仓廪虚兮岁月乏,cang'lin'xu'xi'sui'yue'fa
草生一春,cao'sheng'yi'chun
差之毫厘,cha'zhi'hao'li
常怀千岁忧,chang'huai'qian'sui'you
长江后浪推前浪,chang'jiang'hou'lang'tui'qian'lang
常将有日思无日,chang'jiang'you'ri'si'wu'ri
成佛有余,cheng'fo'you'yu
城门失火,cheng'men'shi'huo
成事莫说,cheng'shi'mo'shuo
痴汉不会饶人,chi'han'bu'hui'rao'ren
痴人畏妇,chi'ren'wei'fu
池塘积水须防旱,chi'tang'ji'shui'xu'fang'han
池养化龙鱼,chi'yang'hua'long'yu
处处有路透长安,chu'chu'you'lu'tou'chang'an
出家从夫,chu'jia'cong'fu
出家如初,chu'jia'ru'chu
触来莫与说,chu'lai'mo'yu'shuo
出外方知少主人,chu'wai'fang'zhi'shao'zhu'ren
