暗插销,an'cha'xiao
暗灯,an'deng
暗房,an'fang
暗管,an'guan
暗间,an'jian
暗炉片,an'lu'pian
按钮,an'niu
按钮开关,an'niu'kai'guan
按钮控制,an'niu'kong'zhi
安全,an'quan
安全操作,an'quan'cao'zuo
安全出口,an'quan'chu'kou
安全出口灯,an'quan'chu'kou'deng
安全出口灯出线口,an'quan'chu'kou'deng'chu'xian'kou
安全警报系统,an'quan'jing'bao'xi'tong
安全开关,an'quan'kai'guan
安全设备,an'quan'she'bei
安全设施,an'quan'she'shi
安全疏散线路,an'quan'shu'san'xian'lu
安全梯,an'quan'ti
安全系数,an'quan'xi'shu
暗室,an'shi
暗线,an'xian
安装,an'zhuang
安装工程,an'zhuang'gong'cheng
暗装空调器,an'zhuang'kong'tiao'qi
暗装散热器,an'zhuang'san're'qi
安装图,an'zhuang'tu
凹入式顶灯,ao'ru'shi'ding'deng
拔气罩,ba'qi'zhao
白炽灯,bai'chi'deng
白炽灯头,bai'chi'deng'tou
白炽灯照明,bai'chi'deng'zhao'ming
白水泥,bai'shui'ni
百叶窗,bai'ye'chuang
百叶式出气口,bai'ye'shi'chu'qi'kou
百叶式进气口,bai'ye'shi'jin'qi'kou
办公楼,ban'gong'lou
办公室,ban'gong'shi
办公自动化,ban'gong'zi'dong'hua
板式散热器,ban'shi'san're'qi
板条吊顶,ban'tiao'diao'ding
板条抹灰,ban'tiao'mo'hui
半硬质塑料,ban'ying'zhi'su'liao
半永久性建筑,ban'yong'jiu'xing'jian'zhu
半圆头螺钉,ban'yuan'tou'luo'ding
半直接照明,ban'zhi'jie'zhao'ming
半自动化,ban'zi'dong'hua
棒球场,bang'qiu'chang
薄壁钢管,bao'bi'gang'guan
报告,bao'gao
保管室,bao'guan'shi
包裹室,bao'guo'shi
保护层,bao'hu'ceng
保护系统,bao'hu'xi'tong
保护罩,bao'hu'zhao
保护装置,bao'hu'zhuang'zhi
刨花板,bao'hua'ban
报价,bao'jia
报价单,bao'jia'dan
保健站,bao'jian'zhan
包金属皮,bao'jin'shu'pi
报警蜂鸣器,bao'jing'feng'ming'qi
报警器,bao'jing'qi
报警设备,bao'jing'she'bei
报刊阅览室,bao'kan'yue'lan'shi
保密工程,bao'mi'gong'cheng
保姆室,bao'mu'shi
保温,bao'wen
保温板,bao'wen'ban
保温材料,bao'wen'cai'liao
保温层,bao'wen'ceng
保温门,bao'wen'men
保险电梯,bao'xian'dian'ti
保鲜库,bao'xian'ku
保险系数,bao'xian'xi'shu
保险装置,bao'xian'zhuang'zhi
保修期,bao'xiu'qi
包装车间,bao'zhuang'che'jian
备餐室,bei'can'shi
背景幕,bei'jing'mu
背景音乐,bei'jing'yin'yue
背景照明,bei'jing'zhao'ming
背立面,bei'li'mian
北立面,bei'li'mian
背面,bei'mian
备用,bei'yong
备用泵,bei'yong'beng
备用电池,bei'yong'dian'chi
备用电源,bei'yong'dian'yuan
备用发电机,bei'yong'fa'dian'ji
备用房间,bei'yong'fang'jian
备用机组,bei'yong'ji'zu
备用设备,bei'yong'she'bei
备用照明,bei'yong'zhao'ming
泵房,beng'fang
泵坑,beng'keng
壁板,bi'ban
壁橱,bi'chu
壁灯,bi'deng
壁灯架,bi'deng'jia
壁挂,bi'gua
壁柜吊挂装置,bi'gui'diao'gua'zhuang'zhi
闭合电器,bi'he'dian'qi
壁龛,bi'kan
避雷,bi'lei
避雷器,bi'lei'qi
避雷系统,bi'lei'xi'tong
避雷针,bi'lei'zhen
比例尺,bi'li'chi
壁炉,bi'lu
闭路电视,bi'lu'dian'shi
变电所,bian'dian'suo
变更通知,bian'geng'tong'zhi
变光灯,bian'guang'deng
编号,bian'hao
变截面,bian'jie'mian
变流器,bian'liu'qi
变频器,bian'pin'qi
变速,bian'su
变形缝,bian'xing'feng
变压器,bian'ya'qi
变压器容量,bian'ya'qi'rong'liang
变压器室,bian'ya'qi'shi
变压器组,bian'ya'qi'zu
编织线,bian'zhi'xian
编制预算,bian'zhi'yu'suan
标高,biao'gao
标号,biao'hao
表面处理,biao'mian'chu'li
表面温度,biao'mian'wen'du
标志照明系统,biao'zhi'zhao'ming'xi'tong
标准,biao'zhun
标准层,biao'zhun'ceng
标准层平面,biao'zhun'ceng'ping'mian
标准大样,biao'zhun'da'yang
标准构件,biao'zhun'gou'jian
标准光源,biao'zhun'guang'yuan
标准技术规范,biao'zhun'ji'shu'gui'fan
标准截面,biao'zhun'jie'mian
标准设计,biao'zhun'she'ji
标准图,biao'zhun'tu
标准住宅,biao'zhun'zhu'zhai
别墅,bie'shu
宾馆,bin'guan
病房,bing'fang
病例室,bing'li'shi
并联,bing'lian
并联电路,bing'lian'dian'lu
并列,bing'lie
冰球场,bing'qiu'chang
冰箱,bing'xiang
波段开关,bo'duan'kai'guan
薄腹梁,bo'fu'liang
薄钢板,bo'gang'ban
玻璃,bo'li
玻璃板,bo'li'ban
玻璃窗,bo'li'chuang
玻璃钢,bo'li'gang
玻璃马赛克,bo'li'ma'sai'ke
玻璃门,bo'li'men
玻璃幕墙,bo'li'mu'qiang
玻璃罩,bo'li'zhao
波纹管,bo'wen'guan
博物馆,bo'wu'guan
不安全,bu'an'quan
补偿,bu'chang
补偿电路,bu'chang'dian'lu
补偿器,bu'chang'qi
补充规定,bu'chong'gui'ding
补充说明,bu'chong'shuo'ming
补充条件,bu'chong'tiao'jian
不等边角钢,bu'deng'bian'jiao'gang
不等肢角钢,bu'deng'zhi'jiao'gang
不对称,bu'dui'chen
不封闭楼梯,bu'feng'bi'lou'ti
不封闭室外楼梯,bu'feng'bi'shi'wai'lou'ti
不可预见费,bu'ke'yu'jian'fei
不可预见项目,bu'ke'yu'jian'xiang'mu
不良导体,bu'liang'dao'ti
不燃结构,bu'ran'jie'gou
不同标高,bu'tong'biao'gao
布线,bu'xian
布线管道,bu'xian'guan'dao
布线图,bu'xian'tu
不锈钢,bu'xiu'gang
不锈钢板,bu'xiu'gang'ban
不锈钢管,bu'xiu'gang'guan
布置图,bu'zhi'tu
材料,cai'liao
材料表,cai'liao'biao
材料清单,cai'liao'qing'dan
材料试验,cai'liao'shi'yan
彩色涂料,cai'se'tu'liao
菜市场,cai'shi'chang
参见详图,can'jian'xiang'tu
餐具,can'ju
餐具室,can'ju'shi
参考标准,can'kao'biao'zhun
参考书,can'kao'shu
参考数据,can'kao'shu'ju
参数,can'shu
餐厅,can'ting
仓库,cang'ku
草地,cao'di
草地喷水器,cao'di'pen'shui'qi
槽钢,cao'gang
草坪,cao'ping
槽铁,cao'tie
草图,cao'tu
草图阶段,cao'tu'jie'duan
操纵台,cao'zong'tai
操作,cao'zuo
操作程序,cao'zuo'cheng'xu
操作方法,cao'zuo'fang'fa
操作规程,cao'zuo'gui'cheng
操作平台,cao'zuo'ping'tai
操作说明书,cao'zuo'shuo'ming'shu
操作走廊,cao'zuo'zou'lang
测绘,ce'hui
侧立面,ce'li'mian
侧视图,ce'shi'tu
厕所,ce'suo
侧向照明,ce'xiang'zhao'ming
层高,ceng'gao
层数,ceng'shu
插板,cha'ban
插接板,cha'jie'ban
插接管,cha'jie'guan
插口,cha'kou
插口接头,cha'kou'jie'tou
插头,cha'tou
插头板,cha'tou'ban
插图,cha'tu
插销,cha'xiao
插座,cha'zuo
拆除,chai'chu
柴油发电机,chai'you'fa'dian'ji
柴油机,chai'you'ji
柴油机发电站,chai'you'ji'fa'dian'zhan
产房,chan'fang
产科病房,chan'ke'bing'fang
产品,chan'pin
产品规格,chan'pin'gui'ge
产品目录,chan'pin'mu'lu
场地工程,chang'di'gong'cheng
场地平面图,chang'di'ping'mian'tu
厂房,chang'fang
常规,chang'gui
常规设计,chang'gui'she'ji
长弧氙灯,chang'hu'xian'deng
厂前区,chang'qian'qu
长途电话局,chang'tu'dian'hua'ju
长途汽车站,chang'tu'qi'che'zhan
厂址,chang'zhi
场致发光,chang'zhi'fa'guang
场致发光灯,chang'zhi'fa'guang'deng
超负荷运行,chao'fu'he'yun'xing
超高层建筑,chao'gao'ceng'jian'zhu
超高频,chao'gao'pin
超级市场,chao'ji'shi'chang
超声波,chao'sheng'bo
潮湿,chao'shi
车床,che'chuang
车间,che'jian
车库,che'ku
车库翻门,che'ku'fan'men
车棚,che'peng
车位,che'wei
车站,che'zhan
沉降缝,chen'jiang'feng
陈列馆,chen'lie'guan
陈列柜,chen'lie'gui
陈列品照明,chen'lie'pin'zhao'ming
陈列室,chen'lie'shi
沉头螺栓,chen'tou'luo'shuan
沉头螺丝,chen'tou'luo'si
沉头木螺栓,chen'tou'mu'luo'shuan
承包工程,cheng'bao'gong'cheng
承插管,cheng'cha'guan
承插接头,cheng'cha'jie'tou
程控电源,cheng'kong'dian'yuan
程控器,cheng'kong'qi
程控台,cheng'kong'tai
城市,cheng'shi
城市电力网,cheng'shi'dian'li'wang
成套设备,cheng'tao'she'bei
程序,cheng'xu
程序开关,cheng'xu'kai'guan
程序设计,cheng'xu'she'ji
承重,cheng'zhong
承重隔墙,cheng'zhong'ge'qiang
承重结构,cheng'zhong'jie'gou
承重墙,cheng'zhong'qiang
承重墙结构,cheng'zhong'qiang'jie'gou
承重砖墙,cheng'zhong'zhuan'qiang
尺寸,chi'cun
尺寸线,chi'cun'xian
尺度,chi'du
冲击电流,chong'ji'dian'liu
充气结构,chong'qi'jie'gou
筹备,chou'bei
筹备处,chou'bei'chu
筹备工作,chou'bei'gong'zuo
筹建项目,chou'jian'xiang'mu
抽气泵,chou'qi'beng
抽气风扇,chou'qi'feng'shan
抽气机,chou'qi'ji
抽气通风,chou'qi'tong'feng
抽气通风系统,chou'qi'tong'feng'xi'tong
抽水马桶,chou'shui'ma'tong
抽水站,chou'shui'zhan
臭氧发生器,chou'yang'fa'sheng'qi
初步草图,chu'bu'cao'tu
初步方案,chu'bu'fang'an
初步估算,chu'bu'gu'suan
初步设计,chu'bu'she'ji
初步设计阶段,chu'bu'she'ji'jie'duan
初步设计图,chu'bu'she'ji'tu
储藏室,chu'cang'shi
橱窗,chu'chuang
橱窗照明,chu'chuang'zhao'ming
触点,chu'dian
触点压力,chu'dian'ya'li
厨房,chu'fang
厨房拔气罩,chu'fang'ba'qi'zhao
厨房设备,chu'fang'she'bei
厨房设备布置,chu'fang'she'bei'bu'zhi
厨房用具,chu'fang'yong'ju
出口,chu'kou
出气口,chu'qi'kou
出入口,chu'ru'kou
除湿剂,chu'shi'ji
出水口,chu'shui'kou
出线盒,chu'xian'he
出线口,chu'xian'kou
除油池,chu'you'chi
出租办公楼,chu'zu'ban'gong'lou
出租汽车停车场,chu'zu'qi'che'ting'che'chang
出租汽车站,chu'zu'qi'che'zhan
串并联,chuan'bing'lian
串并联电路,chuan'bing'lian'dian'lu
传达室,chuan'da'shi
穿钉,chuan'ding
传动装置,chuan'dong'zhuang'zhi
传感器,chuan'gan'qi
穿孔板,chuan'kong'ban
串联,chuan'lian
串联电池组,chuan'lian'dian'chi'zu
串联电路,chuan'lian'dian'lu
串联线圈,chuan'lian'xian'quan
传送带,chuan'song'dai
传送机,chuan'song'ji
传送系统,chuan'song'xi'tong
传送装置,chuan'song'zhuang'zhi
传真,chuan'zhen
传真电报,chuan'zhen'dian'bao
窗间墙,chuang'jian'qiang
窗井,chuang'jing
窗帘轨,chuang'lian'gui
窗帘盒,chuang'lian'he
窗式空调器,chuang'shi'kong'tiao'qi
床头柜,chuang'tou'gui
床头桌,chuang'tou'zhuo
瓷管,ci'guan
瓷夹,ci'jia
瓷夹板,ci'jia'ban
瓷夹布线,ci'jia'bu'xian
磁力开关,ci'li'kai'guan
磁力起重机,ci'li'qi'zhong'ji
磁石发电机,ci'shi'fa'dian'ji
磁性烟感器,ci'xing'yan'gan'qi
瓷砖,ci'zhuan
存水弯,cun'shui'wan
存衣柜,cun'yi'gui
错层式车库,cuo'ceng'shi'che'ku
错列排管,cuo'lie'pai'guan
打靶场,da'ba'chang
大板结构,da'ban'jie'gou
大板结构体系,da'ban'jie'gou'ti'xi
打包机,da'bao'ji
大比例详图,da'bi'li'xiang'tu
大便器,da'bian'qi
大病房,da'bing'fang
大卡,da'ka
大理石,da'li'shi
大理石板,da'li'shi'ban
大理石板贴面,da'li'shi'ban'tie'mian
大梁,da'liang
大门,da'men
大幕,da'mu
大厦,da'sha
大使馆,da'shi'guan
大使官邸,da'shi'guan'di
大屋顶,da'wu'ding
大学,da'xue
大样,da'yang
打字室,da'zi'shi
代号,dai'hao
代用材料,dai'yong'cai'liao
代用品,dai'yong'pin
单层厂房,dan'ceng'chang'fang
单层窗,dan'ceng'chuang
单床间,dan'chuang'jian
单床客房,dan'chuang'ke'fang
单方造价,dan'fang'zao'jia
单风道空调系统,dan'feng'dao'kong'tiao'xi'tong
单管热水供暖系统,dan'guan're'shui'gong'nuan'xi'tong
单管上行下给供暖系统,dan'guan'shang'xing'xia'gei'gong'nuan'xi'tong
单管卫生管道系统,dan'guan'wei'sheng'guan'dao'xi'tong
单极开关,dan'ji'kai'guan
单价,dan'jia
单孔插座出线口,dan'kong'cha'zuo'chu'xian'kou
单面自行车架,dan'mian'zi'xing'che'jia
单面走廊式,dan'mian'zou'lang'shi
单人床,dan'ren'chuang
单扇窗,dan'shan'chuang
单扇门,dan'shan'men
但扇推拉门,dan'shan'tui'la'men
单身宿舍,dan'shen'su'she
单投开关,dan'tou'kai'guan
单位长度,dan'wei'chang'du
单位面积,dan'wei'mian'ji
单线图,dan'xian'tu
单向板,dan'xiang'ban
单相电动机,dan'xiang'dian'dong'ji
单向电路,dan'xiang'dian'lu
单向阀,dan'xiang'fa
单相系统,dan'xiang'xi'tong
单行道,dan'xing'dao
单砖墙,dan'zhuan'qiang
弹子房,dan'zi'fang
档案馆,dang'an'guan
档案柜,dang'an'gui
档案设备,dang'an'she'bei
档案室,dang'an'shi
当地可用材料,dang'di'ke'yong'cai'liao
挡水墙,dang'shui'qiang
挡土墙,dang'tu'qiang
导电,dao'dian
导电材料,dao'dian'cai'liao
导管,dao'guan
导轨,dao'gui
道具室,dao'ju'shi
道路,dao'lu
道路工程,dao'lu'gong'cheng
导体,dao'ti
导线,dao'xian
灯槽,deng'cao
等高线,deng'gao'xian
灯光,deng'guang
灯光渡桥,deng'guang'du'qiao
灯光控制,deng'guang'kong'zhi
灯光控制室,deng'guang'kong'zhi'shi
灯光控制台,deng'guang'kong'zhi'tai
灯光平台,deng'guang'ping'tai
灯光球场,deng'guang'qiu'chang
灯光天桥,deng'guang'tian'qiao
灯光系统,deng'guang'xi'tong
灯光信号,deng'guang'xin'hao
灯光指示器,deng'guang'zhi'shi'qi
等候室,deng'hou'shi
等截面,deng'jie'mian
灯具,deng'ju
灯泡,deng'pao
灯塔,deng'ta
灯罩,deng'zhao
等照度曲线,deng'zhao'du'qu'xian
灯柱,deng'zhu
灯座,deng'zuo
地板,di'ban
底板,di'ban
底标高,di'biao'gao
地表面,di'biao'mian
底层,di'ceng
低层建筑,di'ceng'jian'zhu
底层平面,di'ceng'ping'mian
低层住宅,di'ceng'zhu'zhai
地点,di'dian
底脚螺栓,di'jiao'luo'shuan
地面,di'mian
地面暗管道,di'mian'an'guan'dao
地面标高,di'mian'biao'gao
地面插座,di'mian'cha'zuo
地面插座出线口,di'mian'cha'zuo'chu'xian'kou
地面出线盒,di'mian'chu'xian'he
地面出线口,di'mian'chu'xian'kou
地面电话出线口,di'mian'dian'hua'chu'xian'kou
地面专用插座,di'mian'zhuan'yong'cha'zuo
低频,di'pin
低频变压器,di'pin'bian'ya'qi
低频扬声器,di'pin'yang'sheng'qi
低水位,di'shui'wei
低水位报警器,di'shui'wei'bao'jing'qi
低水位保险装置,di'shui'wei'bao'xian'zhuang'zhi
迪斯科舞厅,di'si'ke'wu'ting
底图,di'tu
地下车库,di'xia'che'ku
地下车站,di'xia'che'zhan
地下电梯,di'xia'dian'ti
地下定线,di'xia'ding'xian
地下防空洞,di'xia'fang'kong'dong
地下辐射,di'xia'fu'she
地下工厂,di'xia'gong'chang
地下工程,di'xia'gong'cheng
地下管道,di'xia'guan'dao
地下管道工程,di'xia'guan'dao'gong'cheng
地下管网,di'xia'guan'wang
地下室,di'xia'shi
地下室层,di'xia'shi'ceng
地下室平面,di'xia'shi'ping'mian
地下铁道,di'xia'tie'dao
地下铁道车站,di'xia'tie'dao'che'zhan
