阿蓖姬,a'bi'ji
阿篱,a'li
阿毘公主,a'pi'gong'zhu
爱的讴歌,ai'de'ou'ge
奥义,ao'yi
奥义苍龙破,ao'yi'cang'long'po
奥义皆传,ao'yi'jie'chuan
奥义乱舞,ao'yi'luan'wu
白角,bai'jiao
白童子,bai'tong'zi
白心上人,bai'xin'shang'ren
百足上蔼,bai'zu'shang'ai
半妖,ban'yao
爆流破,bao'liu'po
爆碎牙,bao'sui'ya
北条君,bei'tiao'jun
北条秋时,bei'tiao'qiu'shi
北条同学,bei'tiao'tong'xue
悲运巫女桔梗,bei'yun'wu'nv'jie'geng
毕业为了明天说再见,bi'ye'wei'le'ming'tian'shuo'zai'jian
步美,bu'mei
苍龙破,cang'long'po
草太,cao'tai
叉叉,cha'cha
叉迷,cha'mi
刹那猛丸,cha'na'meng'wan
菖蒲,chang'pu
超越时空的思念,chao'yue'shi'kong'de'si'nian
超越时空之幻想,chao'yue'shi'kong'zhi'huan'xiang
池田成,chi'tian'cheng
池田繁美,chi'tian'fan'mei
赤子,chi'zi
除妖师,chu'yao'shi
丛云牙,cong'yun'ya
村的一日,cun'de'yi'ri
刀刀斋,dao'dao'zhai
德川家康,de'chuan'jia'kang
地念儿,di'nian'er
斗鬼神,dou'gui'shen
斗牙王,dou'ya'wang
毒华爪,du'hua'zhao
恶作剧之吻,e'zuo'ju'zhi'wen
飞来骨,fei'lai'gu
飞刃血爪,fei'ren'xue'zhao
飞妖蛾,fei'yao'e
风穴,feng'xue
封印之箭,feng'yin'zhi'jian
封印之矢,feng'yin'zhi'shi
风之伤,feng'zhi'shang
钢牙,gang'ya
高桥留美子,gao'qiao'liu'mei'zi
戈薇,ge'wei
鬼女,gui'nv
鬼蜘蛛,gui'zhi'zhu
和魂,he'hun
黑色铁碎牙,hei'se'tie'sui'ya
红莲之蓬莱岛,hong'lian'zhi'peng'lai'dao
红色铁碎牙,hong'se'tie'sui'ya
琥珀,hu'po
幻影杀,huan'ying'sha
荒魂,huang'hun
灰刀坊,hui'dao'fang
绘理,hui'li
火鼠裘,huo'shu'qiu
桔梗,jie'geng
金刚枪破,jin'gang'qiang'po
金钢枪破,jin'gang'qiang'po
净化之矢,jing'hua'zhi'shi
镜中的梦幻城,jing'zhong'de'meng'huan'cheng
桔殿,ju'dian
桔迷,ju'mi
桔薇,ju'wei
乐园,le'yuan
里陶,li'tao
炼骨,lian'gu
灵力,ling'li
凌月仙姬,ling'yue'xian'ji
菱沼义仁,ling'zhao'yi'ren
龙鳞铁碎牙,long'lin'tie'sui'ya
蛮骨,man'gu
蛮龙,man'long
蛮蛇,man'she
毛怪,mao'guai
魅魉丸,mei'liang'wan
没有你的未来,mei'you'ni'de'wei'lai
梦幻的白夜,meng'huan'de'bai'ye
梦幻之白夜,meng'huan'zhi'bai'ye
弥勒,mi'le
弥珊,mi'shan
冥道,ming'dao
冥道残月破,ming'dao'can'yue'po
冥道石,ming'dao'shi
冥道圆月破,ming'dao'yuan'yue'po
冥加,ming'jia
慕情,mu'qing
奈殿,nai'dian
奈桔,nai'ju
奈落,nai'luo
奈犬,nai'quan
奈薇,nai'wei
逆发之结罗,ni'fa'zhi'jie'luo
破魔箭,po'mo'jian
破魔之箭,po'mo'zhi'jian
破魔之矢,po'mo'zhi'shi
七宝,qi'bao
奇魂,qi'hun
七人队,qi'ren'dui
乾坤长刀,qian'kun'chang'dao
青木康直,qing'mu'kang'zhi
曲魂,qu'hun
犬大将,quan'da'jiang
犬桔,quan'ju
犬漫,quan'man
犬弥,quan'mi
犬迷,quan'mi
犬犬,quan'quan
犬杀,quan'sha
犬薇,quan'wei
全心全意,quan'xin'quan'yi
犬妖,quan'yao
犬夜叉,quan'ye'cha
犬夜叉完结篇,quan'ye'cha'wan'jie'pian
人见阴刀,ren'jian'yin'dao
人器,ren'qi
日本战国时代,ri'ben'zhan'guo'shi'dai
日高法子,ri'gao'fa'zi
日暮草太,ri'mu'cao'tai
日暮戈薇,ri'mu'ge'wei
日暮篱,ri'mu'li
日暮神社,ri'mu'shen'she
散魂铁爪,san'hun'tie'zhua
杀殿,sha'dian
杀桔,sha'ju
杀乐,sha'le
杀铃,sha'ling
杀迷,sha'mi
杀奈,sha'nai
杀生丸,sha'sheng'wan
杀薇,sha'wei
杀邪,sha'xie
珊瑚,shan'hu
山口胜平,shan'kou'sheng'ping
蛇骨,she'gu
蛇骨刀,she'gu'dao
神久夜,shen'jiu'ye
神乐,shen'le
神无,shen'wu
神无之镜,shen'wu'zhi'jing
时代树,shi'dai'shu
食骨井,shi'gu'jing
食骨之井,shi'gu'zhi'jing
十六夜,shi'liu'ye
尸舞乌,shi'wu'wu
兽郎丸,shou'lang'wan
双面人头杖,shuang'mian'ren'tou'zhang
睡骨,shui'gu
四斗神,si'dou'shen
死魂虫,si'hun'chong
四魂碎片,si'hun'sui'pian
四魂之玉,si'hun'zhi'yu
送魂曲,song'hun'qu
天生牙,tian'sheng'ya
天下霸道之剑,tian'xia'ba'dao'zhi'jian
铁碎牙,tie'sui'ya
魍魉丸,wang'liang'wan
薇迷,wei'mi
雾骨,wu'gu
五雷指,wu'lei'zhi
巫女,wu'nv
无双,wu'shuang
悟心鬼,wu'xin'gui
无止境的梦,wu'zhi'jing'de'meng
西囯,xi'guo
西国,xi'guo
小铃,xiao'ling
邪见,xie'jian
邪气,xie'qi
幸魂,xing'hun
凶骨,xiong'gu
雪乃五月,xue'nai'wu'yue
亚由美,ya'you'mei
言灵,yan'ling
妖刀,yao'dao
妖化,yao'hua
妖狼族,yao'lang'zu
妖兄杀生丸,yao'xiong'sha'sheng'wan
银骨,yin'gu
银太,yin'tai
