阿白,a'bai
阿公,a'gong
阿嬷叫,a'mo'jiao
食炮打粉阿,a'pao'da'fen'a
阿婆,a'po
阿兴仔,a'xing'zi
阿姊,a'zi
矮瓜,ai'gua
昂菜,ang'cai
白公,bai'gong
摆酒,bai'jiu
半生死,ban'sheng'si
包粟,bao'su
鼻汞,bi'gong
壁缩,bi'suo
摒屎,bing'shi
博头,bo'tou
菜补,cai'bu
昌公,chang'gong
昌人婆,chang'ren'po
吵交,chao'jiao
潮之蜡搭,chao'zhi'la'da
池更,chi'geng
痴娜娜,chi'na'na
痴线,chi'xian
出冲,chu'chong
打靶,da'ba
打靶婆,da'ba'po
打波,da'bo
大江毛砍盖,da'jiang'mao'kan'gai
打交,da'jiao
大近,da'jin
大领憨,da'ling'han
大龙本,da'long'ben
大炮打尼了,da'pao'da'ni'le
大脾,da'pi
打野餐,da'ye'can
带头,dai'tou
担竿,dan'gan
担遮,dan'zhe
倒蜡塞,dao'la'sai
得把死嘴,de'ba'si'zui
邓家仔,deng'jia'zi
睇病,di'bing
地豆,di'dou
叼惹奶万代,diao're'nai'wan'dai
叼惹奶滋别,diao're'nai'zi'bie
叼惹圣,diao're'sheng
肚拔,du'ba
肚腩,du'nan
发烂咋,fa'lan'za
饭辣,fan'la
返学,fan'xue
福头,fu'tou
负仔,fu'zi
哥么产,ge'me'chan
狗窦,gou'dou
鬼打,gui'da
鬼签神,gui'qian'shen
蛤拿,ha'na
红痴痴,hong'chi'chi
猴猴狗狗,hou'hou'gou'gou
花哩笔了,hua'li'bi'le
滑溜溜,hua'liu'liu
黄砍砍,huang'kan'kan
镬头,huo'tou
机关枪,ji'guan'qiang
鸡近,ji'jin
鸡哪,ji'na
鸡婆,ji'po
即头,ji'tou
鸡忘记,ji'wang'ji
脚梗,jiao'geng
脚腩肚,jiao'nan'du
姣之顿督,jiao'zhi'dun'du
解老,jie'lao
颈系,jing'xi
凯担罗,kai'dan'luo
砍劳,kan'lao
砍署,kan'shu
砍贼,kan'zei
赖鸽,lai'ge
烂别别,lan'bie'bie
烂领吓,lan'ling'xia
老窦,lao'dou
老解,lao'jie
老举婆,lao'ju'po
老妹,lao'mei
老妹仔,lao'mei'zi
老母,lao'mu
老女精,lao'nv'jing
老剃,lao'ti
老剃仔,lao'ti'zi
雷公解,lei'gong'jie
冷铁铁,leng'tie'tie
萝卜杠,luo'bo'gang
马池,ma'chi
麻领烦,ma'ling'fan
马仔,ma'zai
毛领用,mao'ling'yong
毛死醒,mao'si'xing
毛阴公,mao'yin'gong
奈尔,nai'er
囊老,nang'lao
囊眉,nang'mei
能泵泵,neng'beng'beng
逆池,ni'chi
逆门头,ni'men'tou
哦壳,o'ke
哦尿,o'niao
哦屎,o'shi
泼扇,po'shan
扑街,pu'jie
其南,qi'nan
起屋,qi'wu
其蚱,qi'zha
青敢敢,qing'gan'gan
倾计,qing'ji
软搭搭,ruan'da'da
塞格格,sai'ge'ge
沙冷硬,sha'leng'ying
韶白,shao'bai
烧炮仗,shao'pao'zhang
韶仔,shao'zi
深尾,shen'wei
生鸽炒死鸽,sheng'ge'chao'si'ge
屎出,shi'chu
实得得,shi'de'de
室团,shi'tuan
瘦莽莽,shou'mang'mang
手指公,shou'zhi'gong
手指仔,shou'zhi'zi
叔伯老弟,shu'bai'lao'di
衰格,shuai'ge
衰家宝,shuai'jia'bao
衰滋别,shuai'zi'bie
死产,si'chan
死砍贼,si'kan'zei
死仔包,si'zi'bao
酸果,suan'guo
酸果仔,suan'guo'zi
锑煲,ti'bao
天阿公,tian'a'gong
天收你了,tian'shou'ni'le
厅下,ting'xia
头拿,tou'na
头拿壳,tou'na'ke
头先,tou'xian
托拆,tuo'chai
托领,tuo'ling
拖箱,tuo'xiang
瓦仔,wa'zi
玩笨拆,wan'ben'chai
乌哩间刀,wu'li'jian'dao
乌哩墨黑,wu'li'mo'hei
乌迎,wu'ying
乌字字,wu'zi'zi
乌嘴狗,wu'zui'gou
洗假茬,xi'jia'cha
细老哥,xi'lao'ge
洗身,xi'shen
陷家产,xian'jia'chan
心布,xin'bu
心布仔,xin'bu'zi
行街,xing'jie
血哩哩,xue'li'li
雪条,xue'tiao
训觉,xun'jue
牙擦,ya'ca
呀亥,ya'hai
炎蛇,yan'she
样边,yang'bian
硬咯咯,ying'ge'ge
晕之驼野,yun'zhi'tuo'ye
灶头,zao'tou
掌牛仔,zhang'niu'zai
者公,zhe'gong
者婆,zhe'po
着仔,zhe'zi
斟茶,zhen'cha
执笠,zhi'li
汁嘴,zhi'zui
煮惹,zhu're
走劳,zou'lao
嘴结结,zui'jie'jie
