包摄一罪,bao'she'yi'zui
限制自由刑,xian'zhi'zi'you'xing
相加原则,xiang'jia'yuan'ze
相加主义并罚原则,xiang'jia'zhu'yi'bing'fa'yuan'ze
想象的数罪,xiang'xiang'de'shu'zui
想象竞合犯,xiang'xiang'jing'he'fan
刑的并科,xing'de'bing'ke
刑的选科,xing'de'xuan'ke
刑的酌科,xing'de'zhuo'ke
刑度,xing'du
刑罚,xing'fa
刑罚的本质,xing'fa'de'ben'zhi
刑罚的对象,xing'fa'de'dui'xiang
刑罚的概念和目的,xing'fa'de'gai'nian'he'mu'di
刑罚的目的,xing'fa'de'mu'di
刑罚的适用,xing'fa'de'shi'yong
刑罚的属性,xing'fa'de'shu'xing
刑罚的体系和种类,xing'fa'de'ti'xi'he'zhong'lei
刑罚的消灭,xing'fa'de'xiao'mie
刑罚的执行,xing'fa'de'zhi'xing
刑罚观,xing'fa'guan
刑罚类型,xing'fa'lei'xing
刑罚权,xing'fa'quan
刑罚权主体,xing'fa'quan'zhu'ti
刑罚时效,xing'fa'shi'xiao
刑罚体系,xing'fa'ti'xi
刑罚制度,xing'fa'zhi'du
刑期,xing'qi
刑期计算,xing'qi'ji'suan
刑期起算,xing'qi'qi'suan
刑期折抵,xing'qi'zhe'di
刑期折算,xing'qi'zhe'suan
刑事责任,xing'shi'ze'ren
刑事制裁,xing'shi'zhi'cai
行刑权时效,xing'xing'quan'shi'xiao
行刑时效,xing'xing'shi'xiao
行刑时效的停止,xing'xing'shi'xiao'de'ting'zhi
行刑时效的中断,xing'xing'shi'xiao'de'zhong'duan
刑种,xing'zhong
宣告刑期,xuan'gao'xing'qi
选科罚金,xuan'ke'fa'jin
训诫,xun'jie
一般累犯,yi'ban'lei'fan
一般预防,yi'ban'yu'fang
一般自首,yi'ban'zi'shou
一次缴纳,yi'ci'jiao'na
异种类的想象数罪,yi'zhong'lei'de'xiang'xiang'shu'zui
异种累犯,yi'zhong'lei'fan
异种类数罪,yi'zhong'lei'shu'zui
一罪,yi'zui
有期徒刑,you'qi'tu'xing
余罪,yu'zui
再犯,zai'fan
赃款,zang'kuan
赃物,zang'wu
责令赔偿损失,ze'ling'pei'chang'sun'shi
责令赔礼道歉,ze'ling'pei'li'dao'qian
执行刑期,zhi'xing'xing'qi
重点比较,zhong'dian'bi'jiao
重徒刑,zhong'tu'xing
主刑,zhu'xing
主刑并科,zhu'xing'bing'ke
主刑从刑并科,zhu'xing'cong'xing'bing'ke
主行为吸收从行为,zhu'xing'wei'xi'shou'cong'xing'wei
追缴,zhui'jiao
追诉权时效,zhui'su'quan'shi'xiao
追诉时效,zhui'su'shi'xiao
追诉时效的期限,zhui'su'shi'xiao'de'qi'xian
追诉时效的停止,zhui'su'shi'xiao'de'ting'zhi
追诉时效的延长,zhui'su'shi'xiao'de'yan'chang
追诉时效的中断,zhui'su'shi'xiao'de'zhong'duan
追诉时效起算,zhui'su'shi'xiao'qi'suan
酌定情节,zhuo'ding'qing'jie
酌量从轻,zhuo'liang'cong'qing
酌量从重,zhuo'liang'cong'zhong
酌量减轻,zhuo'liang'jian'qing
酌量免除,zhuo'liang'mian'chu
酌量情节,zhuo'liang'qing'jie
资格刑,zi'ge'xing
自首,zi'shou
自首减免制,zi'shou'jian'mian'zhi
自诉时效,zi'su'shi'xiao
自由刑,zi'you'xing
总和刑,zong'he'xing
综合主义并罚原则,zong'he'zhu'yi'bing'fa'yuan'ze
罪数,zui'shu
罪质,zui'zhi
