阿斗,a'dou
阿江,a'jiang
哀一逝而异乡,ai'yi'shi'er'yi'xiang
暗黑的傀儡师,an'hei'de'kui'lei'shi
暗箭,an'jian
安乐公,an'le'gong
安恤,an'xu
暗置,an'zhi
昂翼天使,ang'yi'tian'shi
八斗之才,ba'dou'zhi'cai
八废,ba'fei
八卦,ba'gua
八卦阵,ba'gua'zhen
八号位,ba'hao'wei
八门金锁,ba'men'jin'suo
八人局,ba'ren'ju
八血,ba'xue
八血董卓,ba'xue'dong'zhuo
霸业的继承者,ba'ye'de'ji'cheng'zhe
霸业未成未成啊,ba'ye'wei'cheng'wei'cheng'a
八阵,ba'zhen
白板,bai'ban
百步穿杨,bai'bu'chuan'yang
白马将军,bai'ma'jiang'jun
白马先锋,bai'ma'xian'feng
白马义从,bai'ma'yi'cong
白衣渡江,bai'yi'du'jiang
拜印,bai'yin
白银狮子,bai'yin'shi'zi
搬石砸脚,ban'shi'za'jiao
豹变,bao'bian
爆发,bao'fa
暴发户,bao'fa'hu
爆菊,bao'ju
暴怒标记,bao'nu'biao'ji
暴怒的战神,bao'nu'de'zhan'shen
暴虐,bao'nue
暴死,bao'si
被兵粮,bei'bing'liang
被寸,bei'cun
悲歌,bei'ge
被看穿了吗,bei'kan'chuan'le'ma
被乐,bei'le
背水一战,bei'shui'yi'zhan
崩坏,beng'huai
闭貂英周,bi'diao'ying'zhou
笔伐,bi'fa
闭月,bi'yue
边锋,bian'feng
标准版,biao'zhun'ban
标准包,biao'zhun'bao
标准场,biao'zhun'chang
别救,bie'jiu
濒死,bin'si
濒死状态,bin'si'zhuang'tai
兵不血刃,bing'bu'xue'ren
秉公无私,bing'gong'wu'si
兵精粮足,bing'jing'liang'zu
兵粮,bing'liang
兵粮寸断,bing'liang'cun'duan
兵粮男,bing'liang'nan
秉忠贞之志守谦退之节,bing'zhong'zhen'zhi'zhi'shou'qian'tui'zhi'jie
伯父我去了,bo'fu'wo'qu'le
伯符我去了,bo'fu'wo'qu'le
薄幸的美人,bo'xing'de'mei'ren
薄幸的女人,bo'xing'de'nv'ren
不得不服老啊,bu'de'bu'fu'lao'a
不得不服老了,bu'de'bu'fu'lao'le
不动之督,bu'dong'zhi'du
不可楞,bu'ke'leng
不可能,bu'ke'neng
步练师,bu'lian'shi
补牌,bu'pai
不屈,bu'qu
不屈牌,bu'qu'pai
不同花色,bu'tong'hua'se
不同颜色,bu'tong'yan'se
不我还不可以死,bu'wo'hai'bu'ke'yi'si
补益,bu'yi
不遗余力,bu'yi'yu'li
步鸷,bu'zhi
补至,bu'zhi
猜猜看啊,cai'cai'kan'a
猜猜看那,cai'cai'kan'na
彩三,cai'san
蔡文姬,cai'wen'ji
参军,can'jun
藏机,cang'ji
苍天已死黄天当立,cang'tian'yi'si'huang'tian'dang'li
曹操,cao'cao
曹冲,cao'chong
曹洪,cao'hong
曹丕,cao'pi
曹仁,cao'ren
草头天子,cao'tou'tian'zi
曹魏的谋主,cao'wei'de'mou'zhu
曹彰,cao'zhang
曹植,cao'zhi
茶壶,cha'hu
茶壶居士,cha'hu'ju'shi
插入结算原则,cha'ru'jie'suan'yuan'ze
拆兵粮,chai'bing'liang
拆盾,chai'dun
拆光,chai'guang
拆乐,chai'le
拆马,chai'ma
拆手牌,chai'shou'pai
拆武器,chai'wu'qi
场上,chang'shang
常胜将军,chang'sheng'jiang'jun
超世之英杰,chao'shi'zhi'ying'jie
陈宫,chen'gong
陈琳,chen'lin
趁虚而入,chen'xu'er'ru
沉毅的国丈,chen'yi'de'guo'zhang
程普,cheng'pu
称象,cheng'xiang
赤壁的火神,chi'bi'de'huo'shen
赤壁的妖术师,chi'bi'de'yao'shu'shi
吃菜,chi'cai
驰骋西陲,chi'cheng'xi'chui
赤胆忠心,chi'dan'zhong'xin
持久战,chi'jiu'zhan
迟暮的丞相,chi'mu'de'cheng'xiang
吃桃,chi'tao
赤兔,chi'tu
吃我一戟,chi'wo'yi'ji
重生,chong'sheng
冲阵,chong'zhen
重置,chong'zhi
重铸,chong'zhu
仇恨值,chou'hen'zhi
抽取,chou'qu
初尝胜果,chu'chang'sheng'guo
初出茅庐,chu'chu'mao'lu
初级杀手,chu'ji'sha'shou
