哀兵必胜,ai'bing'bi'sheng
爱不释手,ai'bu'shi'shou
爱财如命,ai'cai'ru'ming
爱屋及乌,ai'wu'ji'wu
按兵不动,an'bing'bu'dong
安步当车,an'bu'dang'che
按部就班,an'bu'jiu'ban
安分守己,an'fen'shou'ji
安家立业,an'jia'li'ye
暗箭伤人,an'jian'shang'ren
黯然失色,an'ran'shi'se
按图索骥,an'tu'suo'ji
暗无天日,an'wu'tian'ri
安于现状,an'yu'xian'zhuang
安之若素,an'zhi'ruo'su
昂首阔步,ang'shou'kuo'bu
八面玲珑,ba'mian'ling'long
八面威风,ba'mian'wei'feng
跋山涉水,ba'shan'she'shui
白璧无瑕,bai'bi'wu'xia
百步穿杨,bai'bu'chuan'yang
百川归海,bai'chuan'gui'hai
百读不厌,bai'du'bu'yan
百废俱兴,bai'fei'ju'xing
百感交集,bai'gan'jiao'ji
白驹过隙,bai'ju'guo'xi
百孔千疮,bai'kong'qian'chuang
百里挑一,bai'li'tiao'yi
百年不遇,bai'nian'bu'yu
百年大计,bai'nian'da'ji
败事有余,bai'shi'you'yu
白手起家,bai'shou'qi'jia
百思不解,bai'si'bu'jie
百无聊赖,bai'wu'liao'lai
百依百顺,bai'yi'bai'shun
百战百胜,bai'zhan'bai'sheng
百折不挠,bai'zhe'bu'nao
白纸黑字,bai'zhi'hei'zi
斑驳陆离,ban'bo'lu'li
半斤八两,ban'jin'ba'liang
半路出家,ban'lu'chu'jia
班门弄斧,ban'men'nong'fu
搬弄是非,ban'nong'shi'fei
半死不活,ban'si'bu'huo
半途而废,ban'tu'er'fei
半信半疑,ban'xin'ban'yi
包办代替,bao'ban'dai'ti
抱残守缺,bao'can'shou'que
包藏祸心,bao'cang'huo'xin
报仇雪恨,bao'chou'xue'hen
饱经风霜,bao'jing'feng'shuang
暴戾恣睢,bao'li'zi'sui
包罗万象,bao'luo'wan'xiang
饱食终日,bao'shi'zhong'ri
暴殄天物,bao'tian'tian'wu
暴跳如雷,bao'tiao'ru'lei
抱头鼠窜,bao'tou'shu'cuan
抱薪救火,bao'xin'jiu'huo
背道而驰,bei'dao'er'chi
卑躬屈膝,bei'gong'qu'xi
杯弓蛇影,bei'gong'she'ying
悲欢离合,bei'huan'li'he
背井离乡,bei'jing'li'xiang
杯盘狼藉,bei'pan'lang'ji
杯水车薪,bei'shui'che'xin
悲喜交集,bei'xi'jiao'ji
背信弃义,bei'xin'qi'yi
本来面目,ben'lai'mian'mu
本末倒置,ben'mo'dao'zhi
笨鸟先飞,ben'niao'xian'fei
奔走相告,ben'zou'xiang'gao
笨嘴笨舌,ben'zui'ben'she
比比皆是,bi'bi'jie'shi
毕恭毕敬,bi'gong'bi'jing
比肩继踵,bi'jian'ji'zhong
闭门造车,bi'men'zao'che
逼上梁山,bi'shang'liang'shan
避重就轻,bi'zhong'jiu'qing
笔走龙蛇,bi'zou'long'she
变本加厉,bian'ben'jia'li
鞭长莫及,bian'chang'mo'ji
表里如一,biao'li'ru'yi
标新立异,biao'xin'li'yi
别出心裁,bie'chu'xin'cai
别有用心,bie'you'yong'xin
宾至如归,bin'zhi'ru'gui
兵不厌诈,bing'bu'yan'zha
病入膏肓,bing'ru'gao'huang
博大精深,bo'da'jing'shen
波澜壮阔,bo'lan'zhuang'kuo
不耻下问,bu'chi'xia'wen
捕风捉影,bu'feng'zhuo'ying
不寒而栗,bu'han'er'li
不合时宜,bu'he'shi'yi
不欢而散,bu'huan'er'san
不计其数,bu'ji'qi'shu
不拘一格,bu'ju'yi'ge
不堪回首,bu'kan'hui'shou
不可告人,bu'ke'gao'ren
不可救药,bu'ke'jiu'yao
不可收拾,bu'ke'shou'shi
不可思议,bu'ke'si'yi
不劳而获,bu'lao'er'huo
不露声色,bu'lu'sheng'se
不求甚解,bu'qiu'shen'jie
不三不四,bu'san'bu'si
不速之客,bu'su'zhi'ke
不同凡响,bu'tong'fan'xiang
不务正业,bu'wu'zheng'ye
不厌其烦,bu'yan'qi'fan
不以为然,bu'yi'wei'ran
不由自主,bu'you'zi'zhu
不约而同,bu'yue'er'tong
不知所措,bu'zhi'suo'cuo
不自量力,bu'zi'liang'li
不足挂齿,bu'zu'gua'chi
不足为奇,bu'zu'wei'qi
彩凤随鸦,cai'feng'sui'ya
才高八斗,cai'gao'ba'dou
才疏学浅,cai'shu'xue'qian
才疏意广,cai'shu'yi'guang
残兵败将,can'bing'bai'jiang
惨不忍睹,can'bu'ren'du
惨不忍闻,can'bu'ren'wen
餐风宿露,can'feng'su'lu
残羹冷炙,can'geng'leng'zhi
残花败柳,can'hua'bai'liu
蚕食鲸吞,can'shi'jing'tun
惨无人道,can'wu'ren'dao
沧海桑田,cang'hai'sang'tian
沧海一粟,cang'hai'yi'su
藏龙卧虎,cang'long'wo'hu
草草了事,cao'cao'liao'shi
草菅人命,cao'jian'ren'ming
草木皆兵,cao'mu'jie'bing
草长莺飞,cao'zhang'ying'fei
操之过急,cao'zhi'guo'ji
侧目而视,ce'mu'er'shi
参差不齐,cen'ci'bu'qi
层出不穷,ceng'chu'bu'qiong
插翅难飞,cha'chi'nan'fei
差强人意,cha'qiang'ren'yi
查无实据,cha'wu'shi'ju
察言观色,cha'yan'guan'se
茶余饭后,cha'yu'fan'hou
差之毫厘,cha'zhi'hao'li
豺狼成性,chai'lang'cheng'xing
蝉不知雪,chan'bu'zhi'xue
谄上欺下,chan'shang'qi'xia
长才大略,chang'cai'da'lue
长此以往,chang'ci'yi'wang
肠肥脑满,chang'fei'nao'man
长年累月,chang'nian'lei'yue
长篇大论,chang'pian'da'lun
长驱直入,chang'qu'zhi'ru
长生不老,chang'sheng'bu'lao
畅所欲言,chang'suo'yu'yan
长吁短叹,chang'xu'duan'tan
长治久安,chang'zhi'jiu'an
超群出众,chao'qun'chu'zhong
超群绝伦,chao'qun'jue'lun
车水马龙,che'shui'ma'long
彻头彻尾,che'tou'che'wei
车载斗量,che'zai'dou'liang
陈词滥调,chen'ci'lan'diao
陈规陋习,chen'gui'lou'xi
趁火打劫,chen'huo'da'jie
沉默寡言,chen'mo'gua'yan
