杯头螺丝,bei'tou'luo'si
备注,bei'zhu
边钉,bian'ding
扁顶针,bian'ding'zhen
边司,bian'si
波子弹弓,bo'zi'dan'gong
波子螺丝,bo'zi'luo'si
波子弹簧,bo'zi'tan'huang
不准用镶件,bu'zhun'yong'xiang'jian
材料,cai'liao
插头,cha'tou
插座,cha'zuo
铲鸡,chan'ji
常用名,chang'yong'ming
承板,cheng'ban
撑鸡,cheng'ji
撑头,cheng'tou
齿轮,chi'lun
重载荷弹簧,chong'zai'he'tan'huang
粗电极,cu'dian'ji
粗工,cu'gong
粗加工,cu'jia'gong
淬火,cui'huo
打光,da'guang
打火花,da'huo'hua
大水口,da'shui'kou
大水口模,da'shui'kou'mo
大同,da'tong
弹弓,dan'gong
弹弓柱,dan'gong'zhu
氮化,dan'hua
挡板,dang'ban
挡水板,dang'shui'ban
导边,dao'bian
导套,dao'tao
导向块,dao'xiang'kuai
导柱,dao'zhu
德胜,de'sheng
底板,di'ban
底针板,di'zhen'ban
电镀,dian'du
电极,dian'ji
垫脚,dian'jiao
电木,dian'mu
电脑锣,dian'nao'luo
电热衬套,dian're'chen'tao
电热管,dian're'guan
电热圈,dian're'quan
顶板,ding'ban
顶出块,ding'chu'kuai
顶棍孔,ding'gun'kong
定模,ding'mo
定位钢珠,ding'wei'gang'zhu
定位环,ding'wei'huan
定位圈,ding'wei'quan
定位销,ding'wei'xiao
定位珠,ding'wei'zhu
顶针,ding'zhen
顶针板,ding'zhen'ban
顶针板导套,ding'zhen'ban'dao'tao
顶针板导柱,ding'zhen'ban'dao'zhu
动模,dong'mo
度定位块,du'ding'wei'kuai
二板模,er'ban'mo
法兰,fa'lan
发热管,fa're'guan
放电,fang'dian
放电间隙,fang'dian'jian'xi
方顶针,fang'ding'zhen
防水胶圈,fang'shui'jiao'quan
方铁,fang'tie
方型辅助器,fang'xing'fu'zhu'qi
飞边,fei'bian
飞模,fei'mo
分流锥,fen'liu'zhui
分模面,fen'mo'mian
封料,feng'liao
复位顶杆,fu'wei'ding'gan
复位杆,fu'wei'gan
复位键,fu'wei'jian
扶针,fu'zhen
隔片,ge'pian
隔水片,ge'shui'pian
公差,gong'cha
公模,gong'mo
公模板,gong'mo'ban
公模仁,gong'mo'ren
勾针,gou'zhen
骨位,gu'wei
骨位或者圆柱底部的防缩水减胶位,gu'wei'huo'zhe'yuan'zhu'di'bu'de'fang'suo'shui'jian'jiao'wei
管钉,guan'ding
光刀,guang'dao
规格,gui'ge
合模,he'mo
红铜,hong'tong
喉管,hou'guan
后模,hou'mo
喉塞,hou'sai
互换镶件,hu'huan'xiang'jian
滑块,hua'kuai
滑块导轨,hua'kuai'dao'gui
滑块束块,hua'kuai'shu'kuai
滑块镶件,hua'kuai'xiang'jian
黄铜,huang'tong
回针,hui'zhen
活动臂,huo'dong'bi
火花位,huo'hua'wei
火山口,huo'shan'kou
唧咀,ji'ju
极重载荷弹簧,ji'zhong'zai'he'tan'huang
唧嘴,ji'zui
唧嘴口径,ji'zui'kou'jing
唧嘴直流,ji'zui'zhi'liu
加工中心,jia'gong'zhong'xin
加强筋,jia'qiang'jin
胶口衬套,jiao'kou'chen'tao
浇口衬套,jiao'kou'chen'tao
胶圈,jiao'quan
进胶,jin'jiao
进水位,jin'shui'wei
精电极,jing'dian'ji
精加工,jing'jia'gong
开闭器,kai'bi'qi
开粗,kai'cu
开框,kai'kuang
开模槽,kai'mo'cao
开模止板,kai'mo'zhi'ban
控温耦合器,kong'wen'ou'he'qi
孔止环,kong'zhi'huan
扣鸡,kou'ji
扣机,kou'ji
快速接头,kuai'su'jie'tou
快走丝,kuai'zou'si
拉杆,la'gan
垃圾钉,la'ji'ding
拉料销,la'liao'xiao
冷流道,leng'liu'dao
冷却水道,leng'que'shui'dao
冷却水接头,leng'que'shui'jie'tou
零度块,ling'du'kuai
流道,liu'dao
流道平衡,liu'dao'ping'heng
龙记,long'ji
锣床,luo'chuang
螺丝,luo'si
慢走丝,man'zou'si
毛边,mao'bian
