白鹭洲公园,bai'lu'zhou'gong'yuan
白塘医院,bai'tang'yi'yuan
白云路,bai'yun'lu
步行街,bu'xing'jie
步行街口,bu'xing'jie'kou
长塘镇,chang'tang'zhen
长塘中学,chang'tang'zhong'xue
长亭上,chang'ting'shang
长途车站,chang'tu'che'zhan
城北车站,cheng'bei'che'zhan
城北加油站,cheng'bei'jia'you'zhan
城北市场,cheng'bei'shi'chang
城关一小,cheng'guan'yi'xiao
城南车站,cheng'nan'che'zhan
城南加油站,cheng'nan'jia'you'zhan
城南汽车站,cheng'nan'qi'che'zhan
城南圆盘,cheng'nan'yuan'pan
传染病医院,chuan'ran'bing'yi'yuan
大塘,da'tang
第三人民医院,di'san'ren'min'yi'yuan
第一人民医院,di'yi'ren'min'yi'yuan
东门,dong'men
堆花酒厂,dui'hua'jiu'chang
敦厚调度室,dun'hou'diao'du'shi
敦厚镇政府,dun'hou'zhen'zheng'fu
二医院,er'yi'yuan
枫树坑,feng'shu'keng
富川路口,fu'chuan'lu'kou
附属医院,fu'shu'yi'yuan
福音堂,fu'yin'tang
赣江大桥东,gan'jiang'da'qiao'dong
赣江大桥西,gan'jiang'da'qiao'xi
甘雨亭,gan'yu'ting
高昌路,gao'chang'lu
高灯,gao'deng
高峰麻油厂,gao'feng'ma'you'chang
高新开发区,gao'xin'kai'fa'qu
公桩,gong'zhuang
古南派出所,gu'nan'pai'chu'suo
古南一小,gu'nan'yi'xiao
古南一中,gu'nan'yi'zhong
罐头厂宿舍,guan'tou'chang'su'she
广电局,guang'dian'ju
海尔希望小学,hai'er'xi'wang'xiao'xue
海关大楼,hai'guan'da'lou
浩伦集团,hao'lun'ji'tuan
禾埠桥,he'bu'qiao
河东街道办,he'dong'jie'dao'ban
河东开发区,he'dong'kai'fa'qu
红卫垦殖厂,hong'wei'ken'zhi'chang
红卫垦殖场,hong'wei'ken'zhi'chang
华昌大厦,hua'chang'da'sha
黄泥塘,huang'ni'tang
回归园,hui'gui'yuan
火车站,huo'che'zhan
吉安八中,ji'an'ba'zhong
吉安宾馆,ji'an'bin'guan
吉安大桥,ji'an'da'qiao
吉安大桥东,ji'an'da'qiao'dong
吉安大桥西,ji'an'da'qiao'xi
吉安大桥下,ji'an'da'qiao'xia
吉安附小,ji'an'fu'xiao
吉安师范,ji'an'shi'fan
吉安四中,ji'an'si'zhong
吉安糖厂,ji'an'tang'chang
吉安武校,ji'an'wu'xiao
吉安五中,ji'an'wu'zhong
吉安一中,ji'an'yi'zhong
吉福路口,ji'fu'lu'kou
吉州宾馆,ji'zhou'bin'guan
吉州大道,ji'zhou'da'dao
吉州工业园,ji'zhou'gong'ye'yuan
江南御景城,jiang'nan'yu'jing'cheng
交警支队,jiao'jing'zhi'dui
交通局,jiao'tong'ju
金顶药业,jin'ding'yao'ye
金牛寺,jin'niu'si
进修学校,jin'xiu'xue'xiao
锦源,jin'yuan
井冈山大桥东,jing'gang'shan'da'qiao'dong
井冈山大学,jing'gang'shan'da'xue
井冈山卷烟厂,jing'gang'shan'juan'yan'chang
井冈山医学院,jing'gang'shan'yi'xue'yuan
军分区,jun'fen'qu
君山湖,jun'shan'hu
君山湖度假村,jun'shan'hu'du'jia'cun
开发区园盘,kai'fa'qu'yuan'pan
开发区圆盘,kai'fa'qu'yuan'pan
开发区转盘,kai'fa'qu'zhuan'pan
康泰农机有限公司,kang'tai'nong'ji'you'xian'gong'si
科技园,ke'ji'yuan
老国道路口,lao'guo'dao'lu'kou
粮食车队,liang'shi'che'dui
六合盛世,lu'he'sheng'shi
庐境园,lu'jing'yuan
路口村,lu'kou'cun
庐陵竹园,lu'ling'zhu'yuan
鹭洲路口,lu'zhou'lu'kou
贸易广场,mao'yi'guang'chang
贸易广场北,mao'yi'guang'chang'bei
贸易广场南,mao'yi'guang'chang'nan
梅林工业园,mei'lin'gong'ye'yuan
梅苑小区,mei'yuan'xiao'qu
米西宾馆,mi'xi'bin'guan
农村信用社,nong'cun'xin'yong'she
农校,nong'xiao
啤酒厂,pi'jiu'chang
平湖,ping'hu
桥上,qiao'shang
青原车站,qing'yuan'che'zhan
青原工业园,qing'yuan'gong'ye'yuan
青原汽车站,qing'yuan'qi'che'zhan
青原区工业园,qing'yuan'qu'gong'ye'yuan
青原区行政中心,qing'yuan'qu'xing'zheng'zhong'xin
青原区邮政大楼,qing'yuan'qu'you'zheng'da'lou
青原区政府,qing'yuan'qu'zheng'fu
青原山,qing'yuan'shan
