艾后儿,ai'hou'er
粑,ba
把罐,ba'guan
罢晚,ba'wan
摆尾,bai'wei
背朗骨,bei'lang'gu
鼻拱,bi'gong
别个,bie'ge
博士,bo'shi
财喜,cai'xi
豺狗,chai'gou
车谎达白,che'huang'da'bai
掣霍,che'huo
触蟮,chu'shan
喘皮,chuan'pi
刺鼠子,ci'shu'zi
打阔树,da'kuo'shu
打雷,da'lei
大首,da'shou
倒拐包,dao'guai'bao
倒厅,dao'ting
坻,di
靛笔,dian'bi
丁丁,ding'ding
钉耙,ding'pa
豆折,dou'zhe
炖钵,dun'bo
轭头,e'tou
恩,en
恩罗,en'luo
粉明,fen'ming
干枯凌,gan'ku'ling
高头,gao'tou
告屋,gao'wu
牯子,gu'zi
寡汉条,gua'han'tiao
刮气,gua'qi
过早,guo'zao
哈巴,ha'ba
哈把,ha'ba
哈昼,ha'zhou
黑耳朵,hei'er'duo
后艾,hou'ai
虺虺,hui'hui
火烙,huo'lao
几咱,ji'zan
犍娃,jian'wa
脚蔸,jiao'dou
嚼经,jiao'jing
今着,jin'zhe
井古子,jing'gu'zi
颈窝,jing'wo
克马,ke'ma
髁膝包,ke'xi'bao
口哈,kou'ha
扣襻,kou'pan
哭倒,ku'dao
垮子,kua'zi
拉瓜,la'gua
癞肚宝,lai'du'bao
榔耙,lang'ba
郎猪,lang'zhu
里拱子,li'gong'zi
亮花虫,liang'hua'chong
料条子,liao'tiao'zi
烈跳,lie'tiao
凌冰,ling'bing
领褂,ling'gua
灵净,ling'jing
落把,luo'ba
罗连,luo'lian
猡猡,luo'luo
螺蛳壳,luo'si'ke
唛,ma
麻麻擦,ma'ma'ca
麻麻喷,ma'ma'pen
毛狗,mao'gou
茅司,mao'si
米子,mi'zi
绵合,mian'he
明着,ming'zhe
抹汗,mo'han
木脑壳,mu'nao'ke
那哈,na'ha
男将,nan'jiang
牛嘎子,niu'ga'zi
女将,nv'jiang
片子,pian'zi
七饭,qi'fan
欠衿,qian'jin
墙头,qiang'tou
秋蛉,qiu'ling
日里,ri'li
日求,ri'qiu
日头,ri'tou
软饼,ruan'bing
馓鸡公,san'ji'gong
刹黑,sha'hei
莎子,sha'zi
苕,shao
烧火,shao'huo
屎逛鳊,shi'guang'bian
水酒,shui'jiu
棠梨花,tang'li'hua
陶屋,tao'wu
桃屋,tao'wu
踢架,ti'jia
田板,tian'ban
天大黑,tian'da'hei
甜根,tian'gen
天涩,tian'se
调杆,tiao'gan
跳钻,tiao'zuan
土狗,tu'gou
土龙子,tu'long'zi
托耙,tuo'ba
外头人,wai'tou'ren
卧单,wo'dan
握灶,wo'zao
锡耳朵,xi'er'duo
洗口,xi'kou
喜头,xi'tou
下凌,xia'ling
下头,xia'tou
下罩子,xia'zhao'zi
小首,xiao'shou
胁暗窝,xie'an'wo
星斗,xing'dou
鸦鹊,ya'que
燕菜,yan'cai
檐老鼠,yan'lao'shu
眼子,yan'zi
颖子,ying'zi
油炸马蜡,you'zha'ma'la
云头,yun'tou
錾磨佬,zan'mo'lao
灶马子,zao'ma'zi
长得刮气,zhang'de'gua'qi
蒸馍馍馍,zheng'mo'mo'mo
指嘎草,zhi'ga'cao
指嘎棚,zhi'ga'peng
中干,zhong'gan
中时,zhong'shi
赚头,zhuan'tou
