安得广厦千万间,an'de'guang'sha'qian'wan'jian
岸芷汀兰,an'zhi'ting'lan
拔剑四顾心茫然,ba'jian'si'gu'xin'mang'ran
把酒临风其喜洋洋者矣,ba'jiu'lin'feng'qi'xi'yang'yang'zhe'yi
把酒问青天,ba'jiu'wen'qing'tian
巴山楚水凄凉地,ba'shan'chu'shui'qi'liang'de
八月秋高风怒号,ba'yue'qiu'gao'feng'nu'hao
百废具兴,bai'fei'ju'xing
白居易,bai'ju'yi
白雪歌送武判官归京,bai'xue'ge'song'wu'pan'guan'gui'jing
半夜凉初透,ban'ye'liang'chu'tou
抱子在其旁,bao'zi'zai'qi'pang
北斗阑干南斗斜,bei'dou'lan'gan'nan'dou'xie
北风卷地白草折,bei'feng'juan'di'bai'cao'zhe
背灼炎天光,bei'zhuo'yan'tian'guang
便欣然忘食,bian'xin'ran'wang'shi
丙辰中秋,bing'chen'zhong'qiu
冰皮始解,bing'pi'shi'jie
病树前头万木春,bing'shu'qian'tou'wan'mu'chun
波澜不惊,bo'lan'bu'jing
薄暮冥冥,bo'mu'ming'ming
波色乍明,bo'se'zha'ming
波涛如怒,bo'tao'ru'nu
薄雾浓云愁永昼,bo'wu'nong'yun'chou'yong'zhou
不蔽风日,bu'bi'feng'ri
不必若余之手录,bu'bi'ruo'yu'zhi'shou'lu
不敢出一言以复,bu'gan'chu'yi'yan'yi'fu
不敢销逾约,bu'gan'xiao'yu'yue
不汲汲于富贵,bu'ji'ji'yu'fu'gui
不尽长江滚滚流,bu'jin'chang'jiang'gun'gun'liu
不可久居,bu'ke'jiu'ju
不可知其源,bu'ke'zhi'qi'yuan
不慕荣利,bu'mu'rong'li
不能常得,bu'neng'chang'de
不戚戚于贫贱,bu'qi'qi'yu'pin'jian
布衾多年冷似铁,bu'qin'duo'nian'leng'si'tie
不求甚解,bu'qiu'shen'jie
卜算子咏梅,bu'suan'zi'yong'mei
不以己悲,bu'yi'ji'bei
不以物喜,bu'yi'wu'xi
不应有恨,bu'ying'you'hen
不知口体之奉不若人也,bu'zhi'kou'ti'zhi'feng'bu'ruo'ren'ye
不知其能千里而食也,bu'zhi'qi'neng'qian'li'er'shi'ye
不知天上宫阙,bu'zhi'tian'shang'gong'que
采菊东篱下,cai'ju'dong'li'xia
才美不外见,cai'mei'bu'wai'jian
采桑径里逢迎,cai'sang'jing'li'feng'ying
苍然白发,cang'ran'bai'fa
策之不以其道,ce'zhi'bu'yi'qi'dao
参差披拂,cen'ci'pi'fu
岑参,cen'shen
曾不吝情去留,ceng'bu'lin'qing'qu'liu
曾不事农桑,ceng'bu'shi'nong'sang
蝉则千转不穷,chan'ze'qian'zhuan'bu'qiong
长风破浪会有时,chang'feng'po'lang'hui'you'shi
尝趋百里外从乡之先达执经叩问,chang'qu'bai'li'wai'cong'xiang'zhi'xian'da'zhi'jing'kou'wen
长夜沾湿何由彻,chang'ye'zhan'shi'he'you'che
常著文章自娱,chang'zhu'wen'zhang'zi'yu
朝而往,chao'er'wang
晨起动征铎,chen'qi'dong'zheng'duo
