半衰期,ban'shuai'qi
苯酚,ben'fen
苯乙烯,ben'yi'xi
吡咯,bi'luo
表观,biao'guan
丙烯,bing'xi
丙烯腈,bing'xi'jing
丙烯酸,bing'xi'suan
丙烯酰胺,bing'xi'xian'an
玻璃化,bo'li'hua
玻璃化转变温度,bo'li'hua'zhuan'bian'wen'du
布氏,bu'shi
层流,ceng'liu
层片,ceng'pian
冲击强度,chong'ji'qiang'du
串晶,chuan'jing
单键,dan'jian
第二维利系数,di'er'wei'li'xi'shu
电导,dian'dao
电导率,dian'dao'lv
电解质,dian'jie'zhi
丁二烯,ding'er'xi
动力学,dong'li'xue
断裂韧性,duan'lie'ren'xing
对苯二甲酸丁二酯,dui'ben'er'jia'suan'ding'er'zhi
多分散性,duo'fen'san'xing
反式,fan'shi
芳环,fang'huan
芳香族,fang'xiang'zu
非晶态,fei'jing'tai
分率,fen'lv
酚醛,fen'quan
酚醛树脂,fen'quan'shu'zhi
分子链,fen'zi'lian
氟乙烯,fu'yi'xi
高弹态,gao'tan'tai
共混,gong'hun
共晶,gong'jing
共聚物,gong'ju'wu
功能高分子,gong'neng'gao'fen'zi
共析,gong'xi
共析钢,gong'xi'gang
构象,gou'xiang
构型,gou'xing
构造,gou'zao
固溶化,gu'rong'hua
固溶强化,gu'rong'qiang'hua
固溶体,gu'rong'ti
光敏剂,guang'min'ji
光学显微镜,guang'xue'xian'wei'jing
硅氧,gui'yang
胡克,hu'ke
胡克定律,hu'ke'ding'lv
化学位,hua'xue'wei
环氧,huan'yang
环氧树脂,huan'yang'shu'zhi
回火,hui'huo
挤出物,ji'chu'wu
挤出胀大,ji'chu'zhang'da
加工硬化,jia'gong'ying'hua
甲基,jia'ji
甲基丙烯酸,jia'ji'bing'xi'suan
甲基丙烯酸甲脂,jia'ji'bing'xi'suan'jia'zhi
加聚,jia'ju
甲醛,jia'quan
剪切带,jian'qie'dai
间同,jian'tong
间同立构,jian'tong'li'gou
交变,jiao'bian
交联度,jiao'lian'du
胶束,jiao'shu
胶粘剂,jiao'zhan'ji
结晶度,jie'jing'du
截面积,jie'mian'ji
接枝,jie'zhi
竞聚率,jing'ju'lv
晶区,jing'qu
颈缩,jing'suo
晶态,jing'tai
聚氨酯,ju'an'zhi
聚苯醚,ju'ben'mi
聚苯乙烯,ju'ben'yi'xi
聚吡咯,ju'bi'luo
聚丙烯,ju'bing'xi
聚丙烯酸,ju'bing'xi'suan
聚丙烯酰胺,ju'bing'xi'xian'an
聚丁二烯,ju'ding'er'xi
聚对苯二甲酸丁二酯,ju'dui'ben'er'jia'suan'ding'er'zhi
聚对苯二甲酰对苯二胺,ju'dui'ben'er'jia'xian'dui'ben'er'an
聚二甲基硅氧烷,ju'er'jia'ji'gui'yang'wan
聚砜,ju'feng
聚合度,ju'he'du
聚集态,ju'ji'tai
聚甲基丙烯酸,ju'jia'ji'bing'xi'suan
聚甲基丙烯酸甲脂,ju'jia'ji'bing'xi'suan'jia'zhi
聚甲醛,ju'jia'quan
聚氯丁二烯,ju'lv'ding'er'xi
聚氯化膦腈,ju'lv'hua'lin'jing
聚氯乙烯,ju'lv'yi'xi
聚醚,ju'mi
聚醚醚酮,ju'mi'mi'tong
聚偏二氯乙烯,ju'pian'er'lv'yi'xi
聚偏氟乙烯,ju'pian'fu'yi'xi
聚羟基乙酸,ju'qiang'ji'yi'suan
聚四氟乙烯,ju'si'fu'yi'xi
