安插铸道,an'cha'zhu'dao
鞍基,an'ji
按扣,an'kou
凹面的,ao'mian'de
半固定桥,ban'gu'ding'qiao
半解剖式牙,ban'jie'pou'shi'ya
半精密附着体,ban'jing'mi'fu'zhuo'ti
半可调牙合架,ban'ke'tiao'ya'he'jia
半透明的,ban'tou'ming'de
邦威尔三角,bang'wei'er'san'jiao
包藏气体性气孔,bao'cang'qi'ti'xing'qi'kong
饱和度,bao'he'du
包理法,bao'li'fa
包埋,bao'mai
包埋材料,bao'mai'cai'liao
焙烧,bei'shao
焙烧温度,bei'shao'wen'du
本生灯,ben'sheng'deng
闭合磁场,bi'he'ci'chang
闭口式印模,bi'kou'shi'yin'mo
比例极限,bi'li'ji'xian
比色板,bi'se'ban
比重,bi'zhong
变色,bian'se
变形计,bian'xing'ji
边缘封闭区,bian'yuan'feng'bi'qu
边缘嵴,bian'yuan'ji
边缘设计,bian'yuan'she'ji
表面活化剂,biao'mian'huo'hua'ji
表面活性剂,biao'mian'huo'xing'ji
表面特性,biao'mian'te'xing
表面张力,biao'mian'zhang'li
表面质地,biao'mian'zhi'di
标准光源,biao'zhun'guang'yuan
并发症,bing'fa'zheng
病史,bing'shi
丙烯酸树腊,bing'xi'suan'shu'la
丙烯酸酯塑料牙,bing'xi'suan'zhi'su'liao'ya
铂箔,bo'bo
玻璃离子水门汀,bo'li'li'zi'shui'men'ting
玻璃渗透全瓷材料,bo'li'shen'tou'quan'ci'cai'liao
玻璃碳种植,bo'li'tan'zhong'zhi
玻璃陶瓷,bo'li'tao'ci
玻璃调拌板,bo'li'tiao'ban'ban
补偿曲线,bu'chang'qu'xian
补偿曲线曲度,bu'chang'qu'xian'qu'du
部分冠,bu'fen'guan
不可逆性水解胶体,bu'ke'ni'xing'shui'jie'jiao'ti
不透明处理,bu'tou'ming'chu'li
不透明的,bu'tou'ming'de
不透明性,bu'tou'ming'xing
彩度,cai'du
残根,can'gen
残余应力,can'yu'ying'li
侧腭杆,ce'e'gan
侧方髁导斜度,ce'fang'ke'dao'xie'du
侧方牙合平衡,ce'fang'ya'he'ping'heng
颤动线,chan'dong'xian
长臂卡环,chang'bi'ka'huan
长石,chang'shi
超声清洗,chao'sheng'qing'xi
超声调拌器,chao'sheng'tiao'ban'qi
超牙合,chao'ya'he
超硬石膏,chao'ying'shi'gao
成分,cheng'fen
成品附着体,cheng'pin'fu'zhuo'ti
成品冠,cheng'pin'guan
成品托盘,cheng'pin'tuo'pan
成品桩,cheng'pin'zhuang
成型模,cheng'xing'mo
匙形器械,chi'xing'qi'xie
持续因素,chi'xu'yin'su
重衬,chong'chen
虫蜡基托板,chong'la'ji'tuo'ban
冲洗,chong'xi
储金池,chu'jin'chi
初印模,chu'yin'mo
初诊,chu'zhen
传统型丙烯酸酯义齿软衬材料,chuan'tong'xing'bing'xi'suan'zhi'yi'chi'ruan'chen'cai'liao
锤造全冠,chui'zao'quan'guan
垂直距离,chui'zhi'ju'li
唇的,chun'de
纯度,chun'du
唇面预备,chun'mian'yu'bei
纯钛,chun'tai
唇系带,chun'xi'dai
唇状的,chun'zhuang'de
瓷浆,ci'jiang
瓷结合机制,ci'jie'he'ji'zhi
瓷器,ci'qi
瓷贴面,ci'tie'mian
磁性附着体,ci'xing'fu'zhuo'ti
瓷牙,ci'ya
磁种植体,ci'zhong'zhi'ti
从包埋材料中取出修复体,cong'bao'mai'cai'liao'zhong'qu'chu'xiu'fu'ti
粗糙度,cu'cao'du
脆的,cui'de
淬火,cui'huo
大连接体,da'lian'jie'ti
打磨,da'mo
大气压力,da'qi'ya'li
代型材料,dai'xing'cai'liao
代型隙料,dai'xing'xi'liao
代型桩钉,dai'xing'zhuang'ding
单臂卡环,dan'bi'ka'huan
单端固定桥,dan'duan'gu'ding'qiao
单颌全口义齿,dan'he'quan'kou'yi'chi
单面嵌体,dan'mian'qian'ti
单体,dan'ti
倒凹,dao'ao
倒凹区,dao'ao'qu
倒凹区卡环,dao'ao'qu'ka'huan
倒钩卡环,dao'gou'ka'huan
导平面,dao'ping'mian
导线,dao'xian
导针,dao'zhen
底冠,di'guan
底漆,di'qi
低温焊料,di'wen'han'liao
电镀,dian'du
电镀代型,dian'du'dai'xing
电解酸蚀,dian'jie'suan'shi
点蚀,dian'shi
玷污层,dian'wu'ceng
电泳沉积全瓷材料,dian'yong'chen'ji'quan'ci'cai'liao
电铸,dian'zhu
雕刻牙模型,diao'ke'ya'mo'xing
顶盖,ding'gai
顶盖固定螺丝,ding'gai'gu'ding'luo'si
定位平面斜度,ding'wei'ping'mian'xie'du
定制附着仲,ding'zhi'fu'zhuo'zhong
钉支抗,ding'zhi'kang
动态印模法,dong'tai'yin'mo'fa
洞型,dong'xing
短柄金刚砂车针,duan'bing'jin'gang'sha'che'zhen
断裂韧性,duan'lie'ren'xing
锻丝卡环,duan'si'ka'huan
对半卡环,dui'ban'ka'huan
对抗臂,dui'kang'bi
