白噪,bai'zao
饱和效应,bao'he'xiao'ying
爆破,bao'po
爆炸震源费,bao'zha'zhen'yuan'fei
边界条件,bian'jie'tiao'jian
标本测定法,biao'ben'ce'ding'fa
滨海区,bin'hai'qu
波动方程,bo'dong'fang'cheng
波粒二象性,bo'li'er'xiang'xing
波前面,bo'qian'mian
波数变换,bo'shu'bian'huan
波速孔,bo'su'kong
波形图,bo'xing'tu
波源,bo'yuan
波阻抗,bo'zu'kang
不良地质,bu'liang'di'zhi
不良地质体,bu'liang'di'zhi'ti
不密实,bu'mi'shi
布设测线,bu'she'ce'xian
布置测线,bu'zhi'ce'xian
采样,cai'yang
采样点数,cai'yang'dian'shu
采样间隔,cai'yang'jian'ge
采样率,cai'yang'lv
测井,ce'jing
测井斜,ce'jing'xie
测距轮触发,ce'ju'lun'chu'fa
测量电极,ce'liang'dian'ji
测区,ce'qu
测深法,ce'shen'fa
测试深度,ce'shi'shen'du
测线布设,ce'xian'bu'she
测线布置,ce'xian'bu'zhi
测线长度,ce'xian'chang'du
层析成像,ceng'xi'cheng'xiang
场地微振动,chang'di'wei'zhen'dong
常时微动,chang'shi'wei'dong
场源校正,chang'yuan'jiao'zheng
潮间带,chao'jian'dai
超前预报,chao'qian'yu'bao
充电装置,chong'dian'zhuang'zhi
冲击波,chong'ji'bo
初至,chu'zhi
初至波,chu'zhi'bo
传播方向,chuan'bo'fang'xiang
串珠状,chuan'zhu'zhuang
锤击,chui'ji
锤击震源,chui'ji'zhen'yuan
垂直接触面,chui'zhi'jie'chu'mian
垂直向,chui'zhi'xiang
磁法,ci'fa
磁法测线,ci'fa'ce'xian
磁法勘探,ci'fa'kan'tan
磁法仪,ci'fa'yi
磁法仪器,ci'fa'yi'qi
磁矢量,ci'shi'liang
错层,cuo'ceng
错动,cuo'dong
错动层,cuo'dong'ceng
大地电磁法,da'di'dian'ci'fa
大应变,da'ying'bian
带通,dai'tong
单孔探测,dan'kong'tan'ce
道平均,dao'ping'jun
导体,dao'ti
德布罗意波,de'bu'luo'yi'bo
等比测深,deng'bi'ce'shen
等比测深装置,deng'bi'ce'shen'zhuang'zhi
等比装置,deng'bi'zhuang'zhi
等值线,deng'zhi'xian
等值线图,deng'zhi'xian'tu
地脉动,di'mai'dong
地面电法,di'mian'dian'fa
低频天线,di'pin'tian'xian
地球物理勘查,di'qiu'wu'li'kan'cha
地球物理勘探,di'qiu'wu'li'kan'tan
地球物理前提,di'qiu'wu'li'qian'ti
地球物理特征,di'qiu'wu'li'te'zheng
地球物理条件,di'qiu'wu'li'tiao'jian
低速层,di'su'ceng
低通,di'tong
地形校正,di'xing'jiao'zheng
低应变,di'ying'bian
地震,di'zhen
地震测线,di'zhen'ce'xian
地震反射,di'zhen'fan'she
地震反射法,di'zhen'fan'she'fa
地震勘探,di'zhen'kan'tan
地震映像,di'zhen'ying'xiang
地震映像法,di'zhen'ying'xiang'fa
地震折射,di'zhen'zhe'she
地震折射法,di'zhen'zhe'she'fa
地震资料,di'zhen'zi'liao
地质超前预报,di'zhi'chao'qian'yu'bao
地质雷达,di'zhi'lei'da
地质异常,di'zhi'yi'chang
低阻封闭,di'zu'feng'bi
低阻封闭区域,di'zu'feng'bi'qu'yu
低阻区,di'zu'qu
低阻区域,di'zu'qu'yu
低阻异常,di'zu'yi'chang
低阻异常带,di'zu'yi'chang'dai
点测,dian'ce
电测井,dian'ce'jing
电测深,dian'ce'shen
电测深法,dian'ce'shen'fa
电磁波,dian'ci'bo
电磁法,dian'ci'fa
电磁耦合,dian'ci'ou'he
电磁振动器,dian'ci'zhen'dong'qi
电导率,dian'dao'lv
电法,dian'fa
电法测线,dian'fa'ce'xian
电法勘探,dian'fa'kan'tan
电法仪,dian'fa'yi
电法仪器,dian'fa'yi'qi
电法资料,dian'fa'zi'liao
电极,dian'ji
点距,dian'ju
电矢量,dian'shi'liang
电性参数,dian'xing'can'shu
电子衍射,dian'zi'yan'she
电阻率,dian'zu'lv
电阻率值,dian'zu'lv'zhi
叠加,die'jia
叠加速度,die'jia'su'du
顶板埋深,ding'ban'mai'shen
顶部埋深,ding'bu'mai'shen
定位费,ding'wei'fei
洞壁,dong'bi
断面图,duan'mian'tu
对称四极,dui'chen'si'ji
对称四极装置,dui'chen'si'ji'zhuang'zhi
多次波,duo'ci'bo
多次叠加,duo'ci'die'jia
多道,duo'dao
多道瞬态,duo'dao'shun'tai
多道瞬态面波,duo'dao'shun'tai'mian'bo
多分量,duo'fen'liang
多解性,duo'jie'xing
二次场,er'ci'chang
发射天线,fa'she'tian'xian
反滤波,fan'lv'bo
反射,fan'she
反射波,fan'she'bo
反射波法,fan'she'bo'fa
反射法,fan'she'fa
反演,fan'yan
反演解释图,fan'yan'jie'shi'tu
反演拟断面图,fan'yan'ni'duan'mian'tu
反演图,fan'yan'tu
反褶积,fan'zhe'ji
防腐层,fang'fu'ceng
防腐剂,fang'fu'ji
方量,fang'liang
放样,fang'yang
非金属管道,fei'jin'shu'guan'dao
非屏蔽天线,fei'ping'bi'tian'xian
覆盖层,fu'gai'ceng
附加调整系数,fu'jia'tiao'zheng'xi'shu
傅里叶,fu'li'ye
傅里叶变换,fu'li'ye'bian'huan
幅值,fu'zhi
幅值域,fu'zhi'yu
概率波,gai'lv'bo
感应体,gan'ying'ti
高程数据,gao'cheng'shu'ju
高密度,gao'mi'du
高密度电阻率,gao'mi'du'dian'zu'lv
高密度电阻率法,gao'mi'du'dian'zu'lv'fa
高频天线,gao'pin'tian'xian
高速层,gao'su'ceng
高通,gao'tong
高应变,gao'ying'bian
高阻封闭,gao'zu'feng'bi
高阻封闭区域,gao'zu'feng'bi'qu'yu
