保赤新书,bao'chi'xin'shu
保童秘要,bao'tong'mi'yao
保婴撮要,bao'ying'cuo'yao
备急千金要方,bei'ji'qian'jin'yao'fang
本草备要,ben'cao'bei'yao
本草从新,ben'cao'cong'xin
本草纲目,ben'cao'gang'mu
本草经集注,ben'cao'jing'ji'zhu
本草问答,ben'cao'wen'da
濒湖脉学,bin'hu'mai'xue
濒湖山人,bin'hu'shan'ren
博集稀痘方论,bo'ji'xi'dou'fang'lun
泊庐医案,bo'lu'yi'an
蔡小荪,cai'xiao'sun
曾德显,ceng'de'xian
曾世荣,ceng'shi'rong
查玉明,cha'yu'ming
产育宝庆集,chan'yu'bao'qing'ji
晁恩祥,chao'en'xiang
巢元方,chao'yuan'fang
陈潮祖,chen'chao'zu
陈飞霞,chen'fei'xia
陈复正,chen'fu'zheng
陈纪藩,chen'ji'fan
陈镜合,chen'jing'he
陈九韶,chen'jiu'shao
陈可冀,chen'ke'ji
陈崑山,chen'kun'shan
陈良甫,chen'liang'fu
陈念祖,chen'nian'zu
陈瑞春,chen'rui'chun
陈实功,chen'shi'gong
陈司成,chen'si'cheng
陈文秀,chen'wen'xiu
陈文中,chen'wen'zhong
陈修园,chen'xiu'yuan
陈益昀,chen'yi'yun
陈毓仁,chen'yu'ren
陈自明,chen'zi'ming
程国彭,cheng'guo'peng
成无己,cheng'wu'ji
程莘农,cheng'xin'nong
程钟龄,cheng'zhong'ling
重楼玉钥,chong'lou'yu'yao
褚澄,chu'cheng
褚氏遗书,chu'shi'yi'shu
褚彦道,chu'yan'dao
淳于意,chun'yu'yi
此事难知,ci'shi'nan'zhi
达生篇,da'sheng'pian
戴思恭,dai'si'gong
戴肃斋,dai'su'zhai
戴天章,dai'tian'zhang
戴裕光,dai'yu'guang
戴原礼,dai'yuan'li
邓铁涛,deng'tie'tao
邓亚平,deng'ya'ping
邓中甲,deng'zhong'jia
丁锷,ding'e
丁甘仁,ding'gan'ren
丁启后,ding'qi'hou
丁泽民,ding'ze'min
董汲,dong'ji
董及之,dong'ji'zhi
痘疹金镜赋集解,dou'zhen'jin'jing'fu'ji'jie
痘疹心法,dou'zhen'xin'fa
读过金匮要略,du'guo'jin'kui'yao'lue
读过伤寒论,du'guo'shang'han'lun
段富津,duan'fu'jin
樊粤光,fan'yue'guang
方和谦,fang'he'qian
方先之,fang'xian'zhi
妇科玉尺,fu'ke'yu'chi
傅青主,fu'qing'zhu
傅青主女科,fu'qing'zhu'nv'ke
妇人大略,fu'ren'da'lue
妇人大全良方,fu'ren'da'quan'liang'fang
妇人规,fu'ren'gui
傅山,fu'shan
干祖望,gan'zu'wang
高秉钧,gao'bing'jun
高桂林,gao'gui'lin
高锦庭,gao'jin'ting
葛洪,ge'hong
葛琳仪,ge'lin'yi
龚庆宣,gong'qing'xuan
龚廷贤,gong'ting'xian
龚信,gong'xin
龚云林,gong'yun'lin
龚子才,gong'zi'cai
古今医鉴,gu'jin'yi'jian
谷铭三,gu'ming'san
广嗣纪要,guang'si'ji'yao
郭稽中,guo'ji'zhong
郭士魁,guo'shi'kui
郭维淮,guo'wei'huai
郭子光,guo'zi'guang
郭子章,guo'zi'zhang
哈荔田,ha'li'tian
邯郸遗稿,han'dan'yi'gao
寒温条辨,han'wen'tiao'bian
韩祗和,han'zhi'he
郝万山,hao'wan'shan
何炳元,he'bing'yuan
何梦瑶,he'meng'yao
何任,he'ren
胡廷光,hu'ting'guang
黄帝素问宣明论方,huang'di'su'wen'xuan'ming'lun'fang
黄煌,huang'huang
黄元御,huang'yuan'yu
活幼口议,huo'you'kou'yi
活幼心书,huo'you'xin'shu
济生方,ji'sheng'fang
济阴纲目,ji'yin'gang'mu
亟斋居士,ji'zhai'ju'shi
焦树德,jiao'shu'de
校注妇人良方,jiao'zhu'fu'ren'liang'fang
洁古本草,jie'gu'ben'cao
洁古家珍,jie'gu'jia'zhen
洁古老人,jie'gu'lao'ren
金疮秘传禁方,jin'chuang'mi'chuan'jin'fang
金匮钩玄,jin'kui'gou'xuan
金匮要略,jin'kui'yao'lue
金匮要略浅注补正,jin'kui'yao'lue'qian'zhu'bu'zheng
靳瑞,jin'rui
靳三针,jin'san'zhen
经效产宝,jing'xiao'chan'bao
孔伯华,kong'bo'hua
寇平,kou'ping
坤元是保,kun'yuan'shi'bao
类经,lei'jing
雷少逸,lei'shao'yi
类证治裁,lei'zheng'zhi'cai
黎炳南,li'bing'nan
李东璧,li'dong'bi
李东垣,li'dong'yuan
李发枝,li'fa'zhi
李杲,li'gao
李介鸣,li'jie'ming
李可,li'ke
李师圣,li'shi'sheng
李时珍,li'shi'zhen
李言闻,li'yan'wen
李宜瑞,li'yi'rui
李月池,li'yue'chi
理瀹骈文,li'yue'pian'wen
痢症三字诀,li'zheng'san'zi'jue
李仲南,li'zhong'nan
李子郁,li'zi'yu
梁勇才,liang'yong'cai
廖世煌,liao'shi'huang
蔺道人,lin'dao'ren
林锦涛,lin'jin'tao
林佩琴,lin'pei'qin
林羲桐,lin'xi'tong
林云和,lin'yun'he
临证,lin'zheng
临证指南医案,lin'zheng'zhi'nan'yi'an
刘昉,liu'fang
刘景源,liu'jing'yuan
刘涓子鬼遗方,liu'juan'zi'gui'yi'fang
刘守真,liu'shou'zhen
刘完素,liu'wan'su
刘亚娴,liu'ya'xian
鲁伯嗣,lu'bo'si
卢崇汉,lu'chong'han
陆九芝,lu'jiu'zhi
颅囟经,lu'xin'jing
罗元恺,luo'yuan'kai
吕英,lv'ying
麻科活人全书,ma'ke'huo'ren'quan'shu
马培之,ma'pei'zhi
麻瑞亭,ma'rui'ting
马文植,ma'wen'zhi
脉经,mai'jing
脉象统类,mai'xiang'tong'lei
脉学举要,mai'xue'ju'yao
霉疮秘录,mei'chuang'mi'lu
孟景春,meng'jing'chun
秘传证治要诀及类方,mi'chuan'zheng'zhi'yao'jue'ji'lei'fang
名医别录,ming'yi'bie'lu
内经运气要旨,nei'jing'yun'qi'yao'zhi
女科百问,nv'ke'bai'wen
女科撮要,nv'ke'cuo'yao
女科辑要,nv'ke'ji'yao
女科精华,nv'ke'jing'hua
女科经纶,nv'ke'jing'lun
女科要旨,nv'ke'yao'zhi
女科医案选粹,nv'ke'yi'an'xuan'cui
女科证治约旨,nv'ke'zheng'zhi'yue'zhi
欧阳惠卿,ou'yang'hui'qing
