阿邦,a'bang
鲁本,lu'ben
鲁尼,lu'ni
卢西奥,lu'xi'ao
路易斯,lu'yi'si
路易斯加西亚,lu'yi'si'jia'xi'ya
伦农,lun'nong
罗本,luo'ben
罗比,luo'bi
罗比基恩,luo'bi'ji'en
罗宾逊,luo'bin'xun
罗伯特卡洛斯,luo'bo'te'ka'luo'si
罗布森,luo'bu'sen
洛夫,luo'fu
罗西,luo'xi
罗西基,luo'xi'ji
罗伊基恩,luo'yi'ji'en
马克思,ma'ke'si
马克休斯,ma'ke'xiu'si
马卢达,ma'lu'da
马明宇,ma'ming'yu
马尼切,ma'ni'qie
马赛库奥,ma'sai'ku'ao
马塞洛,ma'sai'luo
马特拉齐,ma'te'la'qi
麦,mai
麦克,mai'ke
麦克汉姆,mai'ke'han'mu
麦克罗伊,mai'ke'luo'yi
麦孔,mai'kong
曼联,man'lian
梅拉,mei'la
梅西,mei'xi
米拉,mi'la
米内罗,mi'nei'luo
纳,na
纳尼,na'ni
内德维德,nei'de'wei'de
内斯塔,nei'si'ta
帕尔多,pa'er'duo
帕勒莫,pa'le'mo
帕里斯特,pa'li'si'te
佩蒂特,pei'di'te
佩罗塔,pei'luo'ta
佩佩,pei'pei
佩特,pei'te
佩特戈,pei'te'ge
皮尔洛,pi'er'luo
皮奎,pi'kui
皮雷,pi'lei
皮雷斯,pi'lei'si
朴智星,piao'zhi'xing
朴周永,piao'zhou'yong
普尔绍,pu'er'shao
普约尔,pu'yue'er
齐达内,qi'da'nei
祁宏,qi'hong
乔科尔,qiao'ke'er
切赫,qie'he
儒尼尼奥,ru'ni'ni'ao
若苏艾,ruo'su'ai
萨哈,sa'ha
萨内蒂,sa'nei'di
塞萨尔,sai'sa'er
桑切斯,sang'qie'si
邵佳一,shao'jia'yi
申思,shen'si
施耐德,shi'nai'de
施瓦泽,shi'wa'ze
斯宾塞,si'bin'sai
斯内德,si'nei'de
斯塔姆,si'ta'mu
斯坦科维奇,si'tan'ke'wei'qi
斯特普尼,si'te'pu'ni
苏克,su'ke
孙吉,sun'ji
孙继海,sun'ji'hai
孙祥,sun'xiang
索林,suo'lin
汤米泰勒,tang'mi'tai'le
唐宁,tang'ning
特雷泽盖,te'lei'ze'gai
特里,te'li
特维兹,te'wei'zi
图拉姆,tu'la'mu
图雷,tu'lei
托蒂,tuo'di
托尔多,tuo'er'duo
托雷斯,tuo'lei'si
托尼,tuo'ni
瓦伦特,wa'lun'te
瓦塞尔,wa'sai'er
万乔普,wan'qiao'pu
王栋,wang'dong
维埃拉,wei'ai'la
维迪奇,wei'di'qi
维杜卡,wei'du'ka
维森特,wei'sen'te
温格,wen'ge
乌,wu
乌伊法鲁西,wu'yi'fa'lu'xi
西多夫,xi'duo'fu
西芒,xi'mang
西塞,xi'sai
谢晖,xie'hui
谢林汉姆,xie'lin'han'mu
扬科勒,yang'ke'le
伊布拉希莫维奇,yi'bu'la'xi'mo'wei'qi
伊瓜因,yi'gua'yin
永贝里,yong'bei'li
约克,yue'ke
赞布罗塔,zan'bu'luo'ta
泽罗伯托,ze'luo'bo'tuo
张耀坤,zhang'yao'kun
赵铭,zhao'ming
赵旭日,zhao'xu'ri
郑智,zheng'zhi
中泽佑二,zhong'ze'you'er
周海滨,zhou'hai'bin
朱广沪,zhu'guang'hu
朱挺,zhu'ting
