安昌,an'chang
安居村,an'ju'cun
柏后村,bai'hou'cun
鲍店镇,bao'dian'zhen
北韩村,bei'han'cun
北社乡,bei'she'xiang
长北,chang'bei
常村,chang'cun
常村矿,chang'cun'kuang
长钢,chang'gang
长治城区,chang'zhi'cheng'qu
长治郊区,chang'zhi'jiao'qu
长治市,chang'zhi'shi
长治县,chang'zhi'xian
大辛庄,da'xin'zhuang
店上村,dian'shang'cun
店上镇,dian'shang'zhen
东白兔,dong'bai'tu
东固村,dong'gu'cun
东史村,dong'shi'cun
东旺村,dong'wang'cun
丰宜镇,feng'yi'zhen
富村,fu'cun
葛家庄,ge'jia'zhuang
贡村,gong'cun
故县村,gu'xian'cun
故县镇,gu'xian'zhen
故驿,gu'yi
故漳,gu'zhang
广志镇,guang'zhi'zhen
埚坨,guo'tuo
郭庄,guo'zhuang
郝家庄镇,hao'jia'zhuang'zhen
后堡,hou'bao
堠北庄,hou'bei'zhuang
堠北庄镇,hou'bei'zhuang'zhen
壶关县,hu'guan'xian
胡家庄村,hu'jia'zhuang'cun
淮海,huai'hai
黄碾,huang'nian
黄牛蹄,huang'niu'ti
惠丰,hui'feng
蒋村,jiang'cun
老顶山镇,lao'ding'shan'zhen
黎城县,li'cheng'xian
李村,li'cun
李村沟,li'cun'gou
李高乡,li'gao'xiang
临漳,lin'zhang
潞城市,lu'cheng'shi
鹿家庄,lu'jia'zhuang
马场,ma'chang
苗家镇,miao'jia'zhen
南李庄村,nan'li'zhuang'cun
南小庄,nan'xiao'zhuang
平顺县,ping'shun'xian
坡底村,po'di'cun
铺上村,pu'shang'cun
沁县,qin'xian
沁源县,qin'yuan'xian
曲庄村,qu'zhuang'cun
山化,shan'hua
神下村,shen'xia'cun
石圪节,shi'ge'jie
史家庄,shi'jia'zhuang
寺底村,si'di'cun
苏店镇,su'dian'zhen
太锯,tai'ju
铁三局,tie'san'ju
屯留县,tun'liu'xian
王公庄,wang'gong'zhuang
王桥,wang'qiao
王庄,wang'zhuang
王庄矿,wang'zhuang'kuang
魏村,wei'cun
微子镇,wei'zi'zhen
武乡县,wu'xiang'xian
西白兔,xi'bai'tu
西沟村,xi'gou'cun
西上坊村,xi'shang'fang'cun
西旺村,xi'wang'cun
襄垣县,xiang'yuan'xian
小辛庄,xiao'xin'zhuang
新店镇,xin'dian'zhen
淹村,yan'cun
杨暴村,yang'bao'cun
余庄村,yu'zhuang'cun
泽头,ze'tou
翟店镇,zhai'dian'zhen
漳村,zhang'cun
漳村矿,zhang'cun'kuang
张公庄,zhang'gong'zhuang
张庄,zhang'zhuang
长子县,zhang'zi'xian
朱坡底村,zhu'po'di'cun
