阿裕尼,a'yu'ni
巴特礼,ba'te'li
巴西班让,ba'xi'ban'rang
巴西立,ba'xi'li
巴耶利峇,ba'ye'li'ba
百胜,bai'sheng
榜鹅,bang'e
宝门廊,bao'men'lang
碧山,bi'shan
滨海湾,bin'hai'wan
滨海中心,bin'hai'zhong'xin
波东巴西,bo'dong'ba'xi
博览,bo'lan
波那维斯达,bo'na'wei'si'da
布莱德,bu'lai'de
蔡厝港,cai'cuo'gang
大巴窑,da'ba'yao
大成,da'cheng
达科达,da'ke'da
淡滨尼,dan'bin'ni
丹那美拉,dan'na'mei'la
丹戎巴葛,dan'rong'ba'ge
杜佛,du'fo
多美歌,duo'mei'ge
港湾,gang'wan
高文,gao'wen
海军部,hai'jun'bu
荷兰村,he'lan'cun
宏茂桥,hong'mao'qiao
红山,hong'shan
后港,hou'gang
虎豹别墅,hu'bao'bie'shu
湖畔,hu'pan
花拉公园,hua'la'gong'yuan
花拉路,hua'la'lu
加冷,jia'leng
加利谷,jia'li'gu
金文泰,jin'wen'tai
景万岸,jing'wan'an
卡迪,ka'di
克拉码头,ke'la'ma'tou
克兰芝,ke'lan'zhi
肯特岗,ken'te'gang
拉柏多公园,la'bai'duo'gong'yuan
莱佛士坊,lai'fo'shi'fang
劳明达,lao'ming'da
联邦,lian'bang
罗弄泉,luo'nong'quan
玛丽蒙,ma'li'meng
马西岭,ma'xi'ling
麦波申,mai'bo'shen
蒙巴登,meng'ba'deng
尼诰大道,ni'gao'da'dao
牛车水,niu'che'shui
纽顿,niu'dun
诺维娜,nuo'wei'na
女皇镇,nv'huang'zhen
欧南园,ou'nan'yuan
三巴旺,san'ba'wang
盛港,sheng'gang
实龙岗,shi'long'gang
四美,si'mei
索美塞,suo'mei'sai
体育场,ti'yu'chang
万国,wan'guo
纬壹,wei'yi
文礼,wen'li
文庆,wen'qing
武吉巴督,wu'ji'ba'du
武吉甘柏,wu'ji'gan'bai
武吉士,wu'ji'shi
乌节,wu'jie
兀兰,wu'lan
兀里,wu'li
勿洛,wu'luo
先驱,xian'qu
小印度,xiao'yin'du
杨厝港,yang'cuo'gang
义顺,yi'shun
油池,you'chi
友诺士,you'nuo'shi
裕华园,yu'hua'yuan
裕廊东,yu'lang'dong
裕群,yu'qun
樟宜机场,zhang'yi'ji'chang
政府大厦,zheng'fu'da'sha
直落布兰雅,zhi'luo'bu'lan'ya
植物园,zhi'wu'yuan
中峇鲁,zhong'ba'lu
