朝阳峰,chao'yang'feng
枯草岭,ku'cao'ling
苦茶斋,ku'cha'zhai
坤宁宫,kun'ning'gong
烂柯山,lan'ke'shan
琅環玉洞,lang'huan'yu'dong
乐寿堂,le'shou'tang
擂鼓山,lei'gu'shan
丽春院,li'chun'yuan
厉鬼峰,li'gui'feng
梨香院,li'xiang'yuan
莲花山庄,lian'hua'shan'zhuang
灵獒营,ling'ao'ying
灵龟阁,ling'gui'ge
灵境寺,ling'jing'si
灵鹫宫,ling'jiu'gong
灵蛇岛,ling'she'dao
凌霄城,ling'xiao'cheng
灵应寺,ling'ying'si
刘氏宗祠,liu'shi'zong'ci
隆福门,long'fu'men
龙虎观,long'hu'guan
龙家关,long'jia'guan
龙驹镇,long'ju'zhen
龙泉铸剑谷,long'quan'zhu'jian'gu
鹿鼎山,lu'ding'shan
卢家庄,lu'jia'zhuang
陆家庄,lu'jia'zhuang
乱石寨,luan'shi'zhai
绿柳山庄,lv'liu'shan'zhuang
绿竹林,lv'zhu'lin
马迹山,ma'ji'shan
麻溪铺,ma'xi'pu
曼陀山庄,man'tuo'shan'zhuang
弥勒庙,mi'le'miao
妙相庵,miao'xiang'an
悯忠寺,min'zhong'si
明霞岛,ming'xia'dao
鸣玉坊,ming'yu'fang
莫厘峰,mo'li'feng
摩天崖,mo'tian'ya
沐王府,mu'wang'fu
拈花寺,nian'hua'si
宁寿宫,ning'shou'gong
牛家村,niu'jia'cun
皮岛,pi'dao
缥缈峰,piao'miao'feng
平阳寨,ping'yang'zhai
普光寺,pu'guang'si
普济寺,pu'ji'si
菩提院,pu'ti'yuan
千柳庄,qian'liu'zhuang
潜龙堂,qian'long'tang
乾清宫,qian'qing'gong
琴韵小筑,qin'yun'xiao'zhu
青风阁,qing'feng'ge
情花坳,qing'hua'ao
清静庵,qing'jing'an
清凉寺,qing'liang'si
青龙滩,qing'long'tan
庆寿寺,qing'shou'si
青阳观,qing'yang'guan
清音洞,qing'yin'dong
群玉院,qun'yu'yuan
日精峰,ri'jing'feng
柔情院,rou'qing'yuan
三斗坪,san'dou'ping
三光寺,san'guang'si
三圣庵,san'sheng'an
三圣坳,san'sheng'ao
三休台,san'xiu'tai
杀豹岗,sha'bao'gang
莎梦坪,sha'meng'ping
善人渡,shan'ren'du
山荪亭,shan'sun'ting
商家堡,shang'jia'bao
尚膳监,shang'shan'jian
赏心楼,shang'xin'lou
蛇岛,she'dao
舍利院,she'li'yuan
舍身崖,she'shen'ya
身戒寺,shen'jie'si
神蛇阁,shen'she'ge
圣峰嶂,sheng'feng'zhang
石佛庙,shi'fo'miao
试剑亭,shi'jian'ting
寿康宫,shou'kang'gong
双凤驿,shuang'feng'yi
双塔堡,shuang'ta'bao
水乐洞,shui'le'dong
水仙庄,shui'xian'zhuang
思过崖,si'guo'ya
松风观,song'feng'guan
松韶关,song'shao'guan
台麓寺,tai'lu'si
潭头铺,tan'tou'pu
弹指峰,tan'zhi'feng
唐努山,tang'nu'shan
桃花岛,tao'hua'dao
桃花坪,tao'hua'ping
体元殿,ti'yuan'dian
天聋地哑谷,tian'long'di'ya'gu
天龙寺,tian'long'si
天琴峡,tian'qin'xia
天声峡,tian'sheng'xia
铁胆庄,tie'dan'zhuang
铁佛寺,tie'fo'si
铁琴居,tie'qin'ju
铁掌峰,tie'zhang'feng
听香水榭,ting'xiang'shui'xie
通吃岛,tong'chi'dao
铜瓦厢,tong'wa'xiang
通元谷,tong'yuan'gu
万安寺,wan'an'si
万劫谷,wan'jie'gu
万妙山庄,wan'miao'shan'zhuang
万兽山庄,wan'shou'shan'zhuang
望海峰,wang'hai'feng
王盘山,wang'pan'shan
问菊楼,wen'ju'lou
五霸岗,wu'ba'gang
五华宫,wu'hua'gong
乌金峡,wu'jin'xia
乌兰山,wu'lan'shan
无量山,wu'liang'shan
无相庵,wu'xiang'an
乌鸦山,wu'ya'shan
西铁门,xi'tie'men
西玄门,xi'xuan'men
希夷匣,xi'yi'xia
侠客岛,xia'ke'dao
虾峙岛,xia'zhi'dao
仙愁峡,xian'chou'xia
仙都山,xian'du'shan
仙福居,xian'fu'ju
湘妃庙,xiang'fei'miao
香雪厅,xiang'xue'ting
小镜湖,xiao'jing'hu
星星峡,xing'xing'xia
熊耳山,xiong'er'shan
悬空寺,xuan'kong'si
玄冥岛,xuan'ming'dao
