步行街口,bu'xing'jie'kou
菜市场,cai'shi'chang
电厂,dian'chang
东江大酒店,dong'jiang'da'jiu'dian
段家坪,duan'jia'ping
凤山底,feng'shan'di
凤山底小学,feng'shan'di'xiao'xue
高家沟,gao'jia'gou
高涯湾大桥,gao'ya'wan'da'qiao
圪塔上,ge'ta'shang
国际宾馆,guo'ji'bin'guan
国税局,guo'shui'ju
贺昌中学,he'chang'zhong'xue
加油站,jia'you'zhan
交口,jiao'kou
交口大桥,jiao'kou'da'qiao
开新宇超市,kai'xin'yu'chao'shi
离石师范,li'shi'shi'fan
刘家湾,liu'jia'wan
龙凤大桥,long'feng'da'qiao
龙凤装饰城,long'feng'zhuang'shi'cheng
吕梁大酒店,lv'liang'da'jiu'dian
吕梁高专,lv'liang'gao'zhuan
吕梁会校,lv'liang'hui'xiao
吕梁技工学校,lv'liang'ji'gong'xue'xiao
吕梁教育学院,lv'liang'jiao'yu'xue'yuan
吕梁经管校,lv'liang'jing'guan'xiao
吕梁农校,lv'liang'nong'xiao
吕梁卫校,lv'liang'wei'xiao
南关,nan'guan
农机公司,nong'ji'gong'si
汽车站,qi'che'zhan
七里滩煤矿,qi'li'tan'mei'kuang
岐则沟,qi'ze'gou
乔家沟,qiao'jia'gou
桥头街,qiao'tou'jie
区第八小学,qu'di'ba'xiao'xue
区第二小学,qu'di'er'xiao'xue
区第一小学,qu'di'yi'xiao'xue
区第一中学,qu'di'yi'zhong'xue
区法院,qu'fa'yuan
区公安局,qu'gong'an'ju
区工商局,qu'gong'shang'ju
区煤炭局,qu'mei'tan'ju
区委家属院,qu'wei'jia'shu'yuan
区政府,qu'zheng'fu
区职中,qu'zhi'zhong
上安,shang'an
时代购物广场,shi'dai'gou'wu'guang'chang
市地税局,shi'di'shui'ju
市电视台,shi'dian'shi'tai
市法院,shi'fa'yuan
市工行,shi'gong'hang
世纪广场,shi'ji'guang'chang
市交警队,shi'jiao'jing'dui
市交通局,shi'jiao'tong'ju
石盘村,shi'pan'cun
市人民医院,shi'ren'min'yi'yuan
市委党校,shi'wei'dang'xiao
市乡镇局,shi'xiang'zhen'ju
石油公司,shi'you'gong'si
市政府,shi'zheng'fu
石州宾馆,shi'zhou'bin'guan
石州桥,shi'zhou'qiao
蔬菜公司,shu'cai'gong'si
体育馆,ti'yu'guan
停车场,ting'che'chang
同仁堂大药房,tong'ren'tang'da'yao'fang
投资公司,tou'zi'gong'si
王家沟,wang'jia'gou
王家坡,wang'jia'po
西客站,xi'ke'zhan
西属巴,xi'shu'ba
西属巴体育馆,xi'shu'ba'ti'yu'guan
下安,xia'an
兴隆商厦,xing'long'shang'sha
袁家庄,yuan'jia'zhuang
枣架村,zao'jia'cun
中国人民银行吕梁支行,zhong'guo'ren'min'yin'hang'lv'liang'zhi'hang
中国移动吕梁分公司,zhong'guo'yi'dong'lv'liang'fen'gong'si
自来水公司,zi'lai'shui'gong'si
