阿必的女性亚母亲,a'bi'de'nv'xing'ya'mu'qin
阿迪华,a'di'hua
阿迪贤,a'di'xian
阿尔刻提斯,a'er'ke'ti'si
啊荒野,a'huang'ye
阿伽门农,a'jia'men'nong
阿加门农,a'jia'men'nong
阿卡奈人,a'ka'nai'ren
阿里,a'li
阿里斯托芬,a'li'si'tuo'fen
阿慕莫奈,a'mu'mo'nai
阿纽达,a'niu'da
阿试妻正传,a'shi'qi'zheng'zhuan
阿双全,a'shuang'quan
阿彦涛,a'yan'tao
埃阿斯,ai'a'si
爱的挫折,ai'de'cuo'zhe
爱的徒劳,ai'de'tu'lao
埃古普托斯的儿子们,ai'gu'pu'tuo'si'de'er'zi'men
艾世菊,ai'shi'ju
埃斯库罗斯,ai'si'ku'luo'si
安安送米,an'an'song'mi
俺爹我爸,an'die'wo'ba
安东尼奥兰纳斯,an'dong'ni'ao'lan'na'si
安东尼与风流奥里斯,an'dong'ni'yu'feng'liu'ao'li'si
安东尼与克斯奥佩屈拉,an'dong'ni'yu'ke'si'ao'pei'qu'la
暗恋桃花源,an'lian'tao'hua'yuan
安娜边外斯蒂,an'na'bian'wai'si'di
庵堂认母,an'tang'ren'mu
安提戈涅,an'ti'ge'nie
昂朵巴依,ang'duo'ba'yi
昂塔尼居斯,ang'ta'ni'ju'si
奥克拉荷马,ao'ke'la'he'ma
奥尼尔,ao'ni'er
奥瑟克斯,ao'se'ke'si
奥瑟罗,ao'se'luo
芭芭拉少校,ba'ba'la'shao'xiao
八大改行,ba'da'gai'hang
八件衣,ba'jian'yi
八猫图,ba'mao'tu
八十一层楼,ba'shi'yi'ceng'lou
霸王别姬,ba'wang'bie'ji
巴雅泽,ba'ya'ze
把眼光放远一点,ba'yan'guang'fang'yuan'yi'dian
白葆亭,bai'bao'ting
白逼宫,bai'bi'gong
白帝城,bai'di'cheng
白迪瀚,bai'di'han
白桦,bai'hua
白家林,bai'jia'lin
白鉴堂,bai'jian'tang
白立,bai'li
白龙岩,bai'long'yan
白鹿原,bai'lu'yuan
白门楼,bai'men'lou
白全福,bai'quan'fu
白蛇传,bai'she'zhuan
白先生看病,bai'xian'sheng'kan'bing
白晓芳,bai'xiao'fang
白英杰,bai'ying'jie
白玉,bai'yu
白玉钿,bai'yu'dian
白长命,bai'zhang'ming
班德贵,ban'de'gui
班松麟,ban'song'lin
棒打与溺爱,bang'da'yu'ni'ai
抱抱子,bao'bao'zi
包长春,bao'chang'chun
报春花,bao'chun'hua
暴风雨,bao'feng'yu
