阿会喃,a'hui'nan
白寿,bai'shou
鲍隆,bao'long
鲍素,bao'su
鲍信,bao'xin
鲍忠,bao'zhong
卑衍,bei'yan
毕轨,bi'gui
边洪,bian'hong
边让,bian'rang
卞氏,bian'shi
卞喜,bian'xi
邴原,bing'yuan
步阐,bu'chan
步骘,bu'zhi
蔡和,cai'he
蔡林,cai'lin
蔡瑁,cai'mao
蔡氏,cai'shi
蔡王熏,cai'wang'xun
蔡琰,cai'yan
蔡阳,cai'yang
蔡邕,cai'yong
蔡中,cai'zhong
曹安民,cao'an'min
曹豹,cao'bao
曹操,cao'cao
曹纯,cao'chun
曹德,cao'de
曹芳,cao'fang
曹洪,cao'hong
曹奂,cao'huan
曹节,cao'jie
曹据,cao'ju
曹霖,cao'lin
曹髦,cao'mao
曹丕,cao'pi
曹仁,cao'ren
曹睿,cao'rui
曹氏,cao'shi
曹爽,cao'shuang
曹嵩,cao'song
曹腾,cao'teng
曹文叔,cao'wen'shu
曹羲,cao'xi
曹性,cao'xing
曹熊,cao'xiong
曹休,cao'xiu
曹训,cao'xun
曹彦,cao'yan
曹永,cao'yong
曹宇,cao'yu
曹彰,cao'zhang
曹真,cao'zhen
曹植,cao'zhi
曹遵,cao'zun
岑壁,cen'bi
岑昏,cen'hun
岑威,cen'wei
岑晊,cen'zhi
曾宣,ceng'xuan
单于,chan'yu
常雕,chang'diao
昌奇,chang'qi
昌豨,chang'xi
彻里吉,che'li'ji
车胄,che'zhou
陈耽,chen'dan
陈登,chen'deng
陈蕃,chen'fan
陈宫,chen'gong
陈珪,chen'gui
陈横,chen'heng
陈纪,chen'ji
陈矫,chen'jiao
陈就,chen'jiu
陈俊,chen'jun
陈兰,chen'lan
陈琳,chen'lin
陈骞,chen'qian
陈群,chen'qun
陈生,chen'sheng
陈式,chen'shi
陈氏,chen'shi
陈孙,chen'sun
陈泰,chen'tai
陈炜,chen'wei
陈武,chen'wu
陈翔,chen'xiang
陈应,chen'ying
陈元,chen'yuan
陈造,chen'zao
陈震,chen'zhen
程秉,cheng'bing
成倅,cheng'cui
成何,cheng'he
成济,cheng'ji
程畿,cheng'ji
程旷,cheng'kuang
成廉,cheng'lian
程普,cheng'pu
程武,cheng'wu
成宜,cheng'yi
程银,cheng'yin
程昱,cheng'yu
程远志,cheng'yuan'zhi
程咨,cheng'zi
仇连,chou'lian
淳于丹,chun'yu'dan
淳于导,chun'yu'dao
淳于琼,chun'yu'qiong
爨习,cuan'xi
崔夫人,cui'fu'ren
崔谅,cui'liang
崔烈,cui'lie
崔琰,cui'yan
崔毅,cui'yi
崔勇,cui'yong
崔禹,cui'yu
崔州平,cui'zhou'ping
大乔,da'qiao
带来洞主,dai'lai'dong'zhu
戴陵,dai'ling
戴员,dai'yuan
单子春,dan'zi'chun
党均,dang'jun
邓艾,deng'ai
邓程,deng'cheng
邓敦,deng'dun
邓良,deng'liang
邓龙,deng'long
邓茂,deng'mao
邓铜,deng'tong
邓贤,deng'xian
邓飏,deng'yang
邓义,deng'yi
邓芝,deng'zhi
邓忠,deng'zhong
典满,dian'man
典韦,dian'wei
貂婵,diao'chan
丁斐,ding'fei
丁奉,ding'feng
丁封,ding'feng
丁夫人,ding'fu'ren
丁管,ding'guan
丁立,ding'li
丁谧,ding'mi
丁咸,ding'xian
丁仪,ding'yi
丁廙,ding'yi
丁原,ding'yuan
董超,dong'chao
董朝,dong'chao
董承,dong'cheng
董贵妃,dong'gui'fei
董和,dong'he
董衡,dong'heng
董璜,dong'huang
董厥,dong'jue
董旻,dong'min
董母,dong'mu
董祀,dong'si
董太后,dong'tai'hou
董荼那,dong'tu'na
董袭,dong'xi
董禧,dong'xi
董寻,dong'xun
董允,dong'yun
董昭,dong'zhao
董治,dong'zhi
董重,dong'zhong
董卓,dong'zhuo
窦武,dou'wu
杜路,du'lu
杜祺,du'qi
杜琼,du'qiong
杜睿,du'rui
杜微,du'wei
杜袭,du'xi
杜义,du'yi
督邮,du'you
杜预,du'yu
杜远,du'yuan
段珪,duan'gui
段煨,duan'wei
朵思大王,duo'si'da'wang
俄何烧戈,e'he'shao'ge
鄂焕,e'huan
法正,fa'zheng
范成,fan'cheng
樊稠,fan'chou
樊建,fan'jian
范疆,fan'jiang
范康,fan'kang
樊能,fan'neng
范滂,fan'pang
樊岐,fan'qi
樊氏,fan'shi
方悦,fang'yue
费观,fei'guan
费诗,fei'shi
费耀,fei'yao
费祎,fei'yi
冯方女,feng'fang'nv
逢纪,feng'ji
冯礼,feng'li
冯习,feng'xi
封谞,feng'xu
伏德,fu'de
傅干,fu'gan
傅嘏,fu'gu
伏皇后,fu'huang'hou
傅佥,fu'qian
傅士仁,fu'shi'ren
傅彤,fu'tong
伏完,fu'wan
傅巽,fu'xun
傅婴,fu'ying
甘夫人,gan'fu'ren
甘宁,gan'ning
干休,gan'xiu
高定,gao'ding
高干,gao'gan
高览,gao'lan
高沛,gao'pei
高柔,gao'rou
高升,gao'sheng
高顺,gao'shun
高翔,gao'xiang
戈定,ge'ding
葛雍,ge'yong
耿纪,geng'ji
耿武,geng'wu
龚都,gong'dou
龚景,gong'jing
龚起,gong'qi
公孙度,gong'sun'du
公孙恭,gong'sun'gong
公孙晃,gong'sun'huang
公孙康,gong'sun'kang
公孙修,gong'sun'xiu
公孙渊,gong'sun'yuan
公孙越,gong'sun'yue
公孙瓒,gong'sun'zan
巩志,gong'zhi
苟安,gou'an
谷利,gu'li
顾雍,gu'yong
关纯,guan'chun
关定,guan'ding
管亥,guan'hai
管辂,guan'lu
管辂舅,guan'lu'jiu
关宁,guan'ning
管宁,guan'ning
关平,guan'ping
关索,guan'suo
关兴,guan'xing
关彝,guan'yi
官雝,guan'yong
关羽,guan'yu
眭固,gui'gu
妫览,gui'lan
眭元进,gui'yuan'jin
郭常,guo'chang
郭常子,guo'chang'zi
郭恩,guo'en
郭夫人,guo'fu'ren
郭贵妃,guo'gui'fei
郭淮,guo'huai
郭嘉,guo'jia
郭妻,guo'qi
郭胜,guo'sheng
郭汜,guo'si
郭图,guo'tu
郭奕,guo'yi
郭永,guo'yong
郭攸之,guo'you'zhi
韩当,han'dang
韩德,han'de
韩馥,han'fu
韩福,han'fu
韩浩,han'hao
韩珩,han'heng
韩暨,han'ji
韩莒子,han'ju'zi
汉灵帝,han'ling'di
韩猛,han'meng
韩琪,han'qi
韩琼,han'qiong
韩融,han'rong
韩嵩,han'song
韩遂,han'sui
韩暹,han'xian
韩玄,han'xuan
韩瑶,han'yao
韩胤,han'yin
韩瑛,han'ying
韩祯,han'zhen
韩忠,han'zhong
韩综,han'zong
郝萌,hao'meng
郝昭,hao'zhao
何进,he'jin
何曼,he'man
何苗,he'miao
和洽,he'qia
何氏,he'shi
何太后,he'tai'hou
何晏,he'yan
何仪,he'yi
何顒,he'yu
何植,he'zhi
何宗,he'zong
后槽,hou'cao
侯成,hou'cheng
侯览,hou'lan
侯选,hou'xuan
胡班,hu'ban
胡才,hu'cai
胡车儿,hu'che'er
胡赤儿,hu'chi'er
胡冲,hu'chong
胡奋,hu'fen
胡华,hu'hua
胡济,hu'ji
胡烈,hu'lie
胡邈,hu'miao
胡氏,hu'shi
胡渊,hu'yuan
胡轸,hu'zhen
胡质,hu'zhi
胡忠,hu'zhong
胡遵,hu'zun
华核,hua'he
华佗,hua'tuo
华歆,hua'xin
华雄,hua'xiong
花永,hua'yong
桓范,huan'fan
桓嘉,huan'jia
桓阶,huan'jie
桓彝,huan'yi
黄承彦,huang'cheng'yan
黄崇,huang'chong
皇甫闿,huang'fu'kai
皇甫郦,huang'fu'li
皇甫嵩,huang'fu'song
黄盖,huang'gai
黄皓,huang'hao
黄奎,huang'kui
黄权,huang'quan
黄劭,huang'shao
黄氏,huang'shi
黄琬,huang'wan
黄忠,huang'zhong
黄祖,huang'zu
霍峻,huo'jun
霍弋,huo'yi
纪灵,ji'ling
吉邈,ji'miao
吉穆,ji'mu
吉太,ji'tai
贾充,jia'chong
贾范,jia'fan
贾华,jia'hua
贾逵,jia'kui
贾诩,jia'xu
蹇硕,jian'shuo
简雍,jian'yong
