八大不挨,ba'da'bu'ai
白皮泛脸,bai'pi'fan'lian
背锅打蛋,bei'guo'da'dan
蝙但蚂蚱,bian'dan'ma'zha
变眉色脸,bian'mei'se'lian
不叽不腊,bu'ji'bu'la
不记明笨蛋死脑筋,bu'ji'ming'ben'dan'si'nao'jin
超眉架眼,chao'mei'jia'yan
陈里格瑟,chen'li'ge'se
成里八色,cheng'li'ba'se
成色懒气,cheng'se'lan'qi
成色弱智经相声艺术家冯辊演义而流传到北方各个城市,cheng'se'ruo'zhi'jing'xiang'sheng'yi'shu'jia'feng'gun'yan'yi'er'liu'chuan'dao'bei'fang'ge'ge'cheng'shi
戳鬼不悟,chuo'gui'bu'wu
瓷眉杏眼,ci'mei'xing'yan
磋着印章,cuo'zhe'yin'zhang
打架隔厌,da'jia'ge'yan
打牙讪嘴,da'ya'shan'zui
的零兰蛋,de'ling'lan'dan
滴溜牵挂,di'liu'qian'gua
点毛颤眼,dian'mao'chan'yan
跌东舀西,die'dong'yao'xi
东老西刮,dong'lao'xi'gua
二夹克梁,er'jia'ke'liang
翻鼻麻叶,fan'bi'ma'ye
噶切是吗用于第人称疑问,ga'qie'shi'ma'yong'yu'di'ren'cheng'yi'wen
干噎克梁,gan'ye'ke'liang
圪丁圪巴,ge'ding'ge'ba
圪都丫杈,ge'dou'ya'cha
咯唧散塌,ge'ji'san'ta
各揪蹲,ge'jiu'dun
各乐儿挠侥侥,ge'le'er'nao'jiao'jiao
疙溜板弯,ge'liu'ban'wan
各闹,ge'nao
各泡,ge'pao
圪丝圪韧,ge'si'ge'ren
疙塌唠叨没完没了,ge'ta'lao'dao'mei'wan'mei'liao
圪瘾八自,ge'yin'ba'zi
圪折摆受,ge'zhe'bai'shou
孤独流戏,gu'du'liu'xi
寡壁溜梢,gua'bi'liu'shao
呱嗒,gua'da
寡无聊指一个人说话没有味道,gua'wu'liao'zhi'yi'ge'ren'shuo'hua'mei'you'wei'dao
拐七列八,guai'qi'lie'ba
光眉俊眼,guang'mei'jun'yan
鬼狐零丁,gui'hu'ling'ding
滚略滚开,gun'lue'gun'kai
合烙抿豆面的原始名称,he'lao'min'dou'mian'de'yuan'shi'ming'cheng
黑潮污烂,hei'chao'wu'lan
黑眉洼眼,hei'mei'wa'yan
黑能圪痂,hei'neng'ge'jia
横搅顺说,heng'jiao'shun'shuo
红火,hong'huo
猴眉洼眼,hou'mei'wa'yan
胡嚼瞎说,hu'jiao'xia'shuo
忽松咬沓,hu'song'yao'ta
花大蝴蝶,hua'da'hu'die
灰眉触眼,hui'mei'chu'yan
灰塌二虎,hui'ta'er'hu
豁沟打牙,huo'gou'da'ya
家八雀儿麻雀,jia'ba'qiao'er'ma'que
夹疯愣赠,jia'feng'leng'zeng
假眉三道,jia'mei'san'dao
紧巴,jin'ba
精说白道,jing'shuo'bai'dao
砍眉惺眼,kan'mei'xing'yan
傀儡莜面在炒锅炒出来的粗粮,kui'lei'you'mian'zai'chao'guo'chao'chu'lai'de'cu'liang
愣七砍赠,leng'qi'kan'zeng
愣求噶笨蛋,leng'qiu'ga'ben'dan
冷阴坎晴,leng'yin'kan'qing
立眉霸眼,li'mei'ba'yan
撩猫戏狗,liao'mao'xi'gou
乱朝王世,luan'chao'wang'shi
蚂蚂别蜂蚂蚁,ma'ma'bie'feng'ma'yi
毛反带烂,mao'fan'dai'lan
毛连涩带,mao'lian'se'dai
没倌辣撒,mei'guan'la'sa
迷糊打蛋,mi'hu'da'dan
面呐儿蝴蝶,mian'na'er'hu'die
磨鼻蹭痒,mo'bi'ceng'yang
那糕玉米面和莜面制成的粘稠状粗粮,na'gao'yu'mi'mian'he'you'mian'zhi'cheng'de'nian'chou'zhuang'cu'liang
呐心恶心,na'xin'e'xin
乃心亲爱的,nai'xin'qin'ai'de
囊眉粪眼,nang'mei'fen'yan
