安匝,an'za
安匝分布,an'za'fen'bu
拔包,ba'bao
白布,bai'bu
白布带,bai'bu'dai
半导电纸,ban'dao'dian'zhi
半叠,ban'die
板料,ban'liao
绑扎,bang'za
绑扎带,bang'za'dai
保变,bao'bian
保护板,bao'hu'ban
本图,ben'tu
避雷器,bi'lei'qi
变电站,bian'dian'zhan
边界条件,bian'jie'tiao'jian
变径,bian'jing
扁线,bian'xian
变压器油,bian'ya'qi'you
辫子线,bian'zi'xian
并联支路数,bing'lian'zhi'lu'shu
波纹管,bo'wen'guan
波纹式,bo'wen'shi
补环,bu'huan
补件,bu'jian
材料代号,cai'liao'dai'hao
残压,can'ya
槽垫,cao'dian
槽钢,cao'gang
槽盒,cao'he
层式,ceng'shi
层压,ceng'ya
层压木,ceng'ya'mu
层压纸,ceng'ya'zhi
层压纸板,ceng'ya'zhi'ban
插板实验,cha'ban'shi'yan
插入法,cha'ru'fa
插铁,cha'tie
拆封,chai'feng
厂变,chang'bian
常变,chang'bian
撑板,cheng'ban
撑条,cheng'tiao
充氮,chong'dan
出线盒,chu'xian'he
储油柜,chu'you'gui
穿配,chuan'pei
磁密,ci'mi
磁屏蔽,ci'ping'bi
磁通,ci'tong
磁滞,ci'zhi
打板,da'ban
达驰,da'chi
打底,da'di
大杠,da'gang
搭接,da'jie
大亚湾,da'ya'wan
丹尼森,dan'ni'sen
单相,dan'xiang
导电杆,dao'dian'gan
导电排,dao'dian'pai
导线夹,dao'xian'jia
导销,dao'xiao
导油管,dao'you'guan
导油盒,dao'you'he
笛卡尔坐标,di'ka'er'zuo'biao
地坑,di'keng
地屏,di'ping
底漆,di'qi
低碳钢,di'tan'gang
低压绕组,di'ya'rao'zu
低压线圈,di'ya'xian'quan
垫板,dian'ban
电场强度,dian'chang'qiang'du
电磁感应定律,dian'ci'gan'ying'ding'lv
电磁力,dian'ci'li
电磁线,dian'ci'xian
电介质,dian'jie'zhi
电抗器,dian'kang'qi
垫块,dian'kuai
电炉变压器,dian'lu'bian'ya'qi
电密,dian'mi
电桥,dian'qiao
垫圈,dian'quan
垫条,dian'tiao
电位移,dian'wei'yi
电压变化率,dian'ya'bian'hua'lv
电压调整率,dian'ya'tiao'zheng'lv
吊具,diao'ju
吊梁,diao'liang
吊攀,diao'pan
吊罩,diao'zhao
蝶阀,die'fa
碟簧,die'huang
叠积,die'ji
叠片,die'pian
叠铁,die'tie
定尺,ding'chi
定位板,ding'wei'ban
定位钉,ding'wei'ding
定位孔,ding'wei'kong
定位销,ding'wei'xiao
东北电网,dong'bei'dian'wang
