靶场,ba'chang
八月,ba'yue
白露,bai'lu
百年,bai'nian
白区,bai'qu
版图,ban'tu
半夜,ban'ye
半殖民地,ban'zhi'min'di
傍晚,bang'wan
报时信号,bao'shi'xin'hao
本月,ben'yue
边,bian
边地,bian'di
遍地,bian'di
边界,bian'jie
边塞,bian'sai
边缘,bian'yuan
标准时,biao'zhun'shi
滨,bin
冰月,bing'yue
薄暮,bo'mu
不毛之地,bu'mao'zhi'di
不日,bu'ri
部位,bu'wei
残冬,can'dong
舱外,cang'wai
测时,ce'shi
岔口,cha'kou
场地,chang'di
常年,chang'nian
场所,chang'suo
长夜,chang'ye
畅月,chang'yue
城区,cheng'qu
成天,cheng'tian
重阳节,chong'yang'jie
绸月,chou'yue
初冬,chu'dong
初期,chu'qi
处暑,chu'shu
除夕,chu'xi
初夏,chu'xia
除月,chu'yue
初月,chu'yue
船外,chuan'wai
春,chun
春分,chun'fen
春节,chun'jie
纯月,chun'yue
次年,ci'nian
次日,ci'ri
村庄,cun'zhuang
大寒,da'han
大后方,da'hou'fang
大后天,da'hou'tian
大年,da'nian
大前天,da'qian'tian
大暑,da'shu
大雪,da'xue
大月,da'yue
单日,dan'ri
单周,dan'zhou
当代,dang'dai
当日,dang'ri
当天,dang'tian
当月,dang'yue
当中,dang'zhong
到处,dao'chu
底,di
地带,di'dai
地点,di'dian
地段,di'duan
地方,di'fang
地方时,di'fang'shi
地界,di'jie
地面,di'mian
地平线,di'ping'xian
地区,di'qu
底下,di'xia
地域,di'yu
地域名词,di'yu'ming'ci
地址,di'zhi
电子挂历,dian'zi'gua'li
冬,dong
冬月,dong'yue
冬至,dong'zhi
渡口,du'kou
端午节,duan'wu'jie
端月,duan'yue
对过,dui'guo
对门,dui'men
对面,dui'mian
二百周年纪念,er'bai'zhou'nian'ji'nian
二月,er'yue
法定假日,fa'ding'jia'ri
法定时,fa'ding'shi
范围,fan'wei
方位,fang'wei
方位名词,fang'wei'ming'ci
防线,fang'xian
方向,fang'xiang
