艾菲斯,ai'fei'si
艾斯戈尔,ai'si'ge'er
艾斯利尔,ai'si'li'er
艾斯利尔逐梦,ai'si'li'er'zhu'meng
安黛因,an'dai'yin
安分守狗,an'fen'shou'gou
芭蕾舞鞋,ba'lei'wu'xie
保持你的决心,bao'chi'ni'de'jue'xin
绷带,beng'dai
波动狗,bo'dong'gou
不灭的安黛因,bu'mie'de'an'dai'yin
不是杀人就是被杀,bu'shi'sha'ren'jiu'shi'bei'sha
不要招风惹狗,bu'yao'zhao'feng're'gou
裁决眼,cai'jue'yan
橙色攻击,cheng'se'gong'ji
重置,chong'zhi
大表哥,da'biao'ge
大长腿,da'chang'tui
大骚腿,da'sao'tui
但是谁也没有来,dan'shi'shui'ye'mei'you'lai
但是他拒绝了,dan'shi'ta'ju'jue'le
刀子在哪,dao'zi'zai'na
多么美好的一天啊,duo'me'mei'hao'de'yi'tian'a
番茄酱,fan'qie'jiang
弗里斯克,fu'li'si'ke
嘎啊啊啊啊,ga'a'a'a'a
葛森,ge'sen
葛森正义之锤,ge'sen'zheng'yi'zhi'chui
狗剩,gou'sheng
狗吸收了神器,gou'xi'shou'le'shen'qi
骨兄弟,gu'xiong'di
刮花的眼睛,gua'hua'de'yan'jing
龟爷爷,gui'ye'ye
汉堡裤,han'bao'ku
和平结局,he'ping'jie'ju
和平线,he'ping'xian
核心,he'xin
花式吊打,hua'shi'diao'da
坏档狗,huai'dang'gou
坏档苟,huai'dang'gou
加斯特,jia'si'te
加斯特冲击波,jia'si'te'chong'ji'bo
结界,jie'jie
金色花朵,jin'se'hua'duo
精污小花,jing'wu'xiao'hua
掘森,jue'sen
决心,jue'xin
决心脸,jue'xin'lian
决心提取机,jue'xin'ti'qu'ji
烤二逼,kao'er'bi
烤尔比,kao'er'bi
狂风呼啸,kuang'feng'hu'xiao
狂妄之人,kuang'wang'zhi'ren
蓝色攻击,lan'se'gong'ji
牢固手套,lao'gu'shou'tao
龙骨炮,long'gu'pao
马婷婷,ma'ting'ting
马桶套,ma'tong'tao
毛莨,mao'liang
毛茸茸好好先生,mao'rong'rong'hao'hao'xian'sheng
镁塔顿,mei'ta'dun
没子弹的枪,mei'zi'dan'de'qiang
蒙尘的芭蕾舞裙,meng'chen'de'ba'lei'wu'qun
魔王花,mo'wang'hua
纳普斯特,na'pu'si'te
奶油糖肉桂派,nai'you'tang'rou'gui'pai
你充满了决心,ni'chong'man'le'jue'xin
你个蠢货,ni'ge'chun'huo
牛仔帽,niu'zai'mao
帕派瑞斯,pa'pai'rui'si
瀑布,pu'bu
普通结局,pu'tong'jie'ju
七个人类灵魂,qi'ge'ren'lei'ling'hun
恰拉,qia'la
全然不信,quan'ran'bu'xin
热域,re'yu
仁慈,ren'ci
人类灵魂,ren'lei'ling'hun
人类与怪物,ren'lei'yu'guai'wu
融合怪,rong'he'guai
杀与被杀的世界,sha'yu'bei'sha'de'shi'jie
衫猹花,shan'cha'hua
衫除,shan'chu
衫然泪下,shan'ran'lei'xia
衫斯,shan'si
衫斯而后行,shan'si'er'hou'xing
烧焦的平底锅,shao'jiao'de'ping'di'guo
神烦狗,shen'fan'gou
审判,shen'pan
审判长廊,shen'pan'chang'lang
审判眼,shen'pan'yan
审判战,shen'pan'zhan
实验记录十七,shi'yan'ji'lu'shi'qi
树枝,shu'zhi
双关笑话,shuang'guan'xiao'hua
双口相声,shuang'kou'xiang'sheng
死弟控,si'di'kong
损坏的笔记,sun'huai'de'bi'ji
提米,ti'mi
提米村,ti'mi'cun
提米商店,ti'mi'shang'dian
调情大师,tiao'qing'da'shi
屠杀结局,tu'sha'jie'ju
屠杀路线,tu'sha'lu'xian
褪色缎带,tui'shai'duan'dai
托丽尔,tuo'li'er
玩具刀,wan'ju'dao
伪善结局,wei'shan'jie'ju
微笑着的碎片,wei'xiao'zhe'de'sui'pian
我的挂坠盒,wo'de'gua'zhui'he
蜗牛派,wo'niu'pai
物品,wu'pin
鲜花在绽放,xian'hua'zai'zhan'fang
像你这样的孩子,xiang'ni'zhe'yang'de'hai'zi
小花,xiao'hua
小毛球国王,xiao'mao'qiu'guo'wang
小鸟在歌唱,xiao'niao'zai'ge'chang
小天使,xiao'tian'shi
小幽灵,xiao'you'ling
新家,xin'jia
心形挂坠盒,xin'xing'gua'zhui'he
行动,xing'dong
兄贵头巾,xiong'gui'tou'jin
修图花,xiu'tu'hua
炫彩暗黑中二小王子,xuan'cai'an'hei'zhong'er'xiao'wang'zi
雪镇,xue'zhen
颜艺小哥,yan'yi'xiao'ge
羊爸,yang'ba
羊爸绿,yang'ba'lv
羊妈,yang'ma
意大利面,yi'da'li'mian
遗迹,yi'ji
意面,yi'mian
应该在地狱里焚烧,ying'gai'zai'di'yu'li'fen'shao
幽灵纳普斯文,you'ling'na'pu'si'wen
鱼姐,yu'jie
在这样的一天里,zai'zhe'yang'de'yi'tian'li
脏兮兮的围裙,zang'xi'xi'de'wei'qun
糟糕的时光,zao'gao'de'shi'guang
宅龙,zhai'long
战斗,zhan'dou
这里就是终点了,zhe'li'jiu'shi'zhong'dian'le
这是个雪澎,zhe'shi'ge'xue'peng
这玩意到底叫啥,zhe'wan'yi'dao'di'jiao'sha
真刀,zhen'dao
真实验室,zhen'shi'yan'shi
真正的英雄,zhen'zheng'de'ying'xiong
真正的最终战,zhen'zheng'de'zui'zhong'zhan
拯救,zheng'jiu
中二羊,zhong'er'yang
中立结局,zhong'li'jie'ju
中立线,zhong'li'xian
注射决心,zhu'she'jue'xin
